StoreNames,Index,StoreName,No_Coupons,Coupons,Coupon_N_A_Offer,CashBack_Pct_Dollars,CashBack,CB_NOD_Up_To,Total,AvgCashBack,TotalPurchAmt,,
Parker NY,1412,Parker NY,5,5 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,2717,109,"67,925",,
Gilchrist & Soames,757,Gilchrist & Soames,1,1 Coupon,Coupon,6.00%,6.0% Cash Back,Cash Back,2746,2,"45,767",,
Lifeline Skin Care,1100,Lifeline Skin Care,4,4 Coupons,Coupons,8.50%,8.5% Cash Back,Cash Back,2758,234,"32,447",,
Desigual,507,Desigual,1,1 Coupon,Coupon,4.00%,4.0% Cash Back,Cash Back,2760,1,"69,000",,
Liberty Mutual Insurance,1096,Liberty Mutual Insurance,1,1 Coupon,Coupon,$8.50 ,Up to $8.50,Up to Dollars,2791,9,N/a,,
CuffLinks.com,469,CuffLinks.com,3,3 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,2796,1,"55,920",,
Go City Card,769,Go City Card,31,31 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,2799,1,"93,300",,
Speck,1735,Speck,7,7 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,2800,70,"112,000",,
Domain.com,542,Domain.com,3,3 Coupons,Coupons,10.00%,10.0% Cash Back,Cash Back,2829,3,"28,290",,
Tmart.com,1887,Tmart.com,11,11 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,2832,142,"56,640",,
Cruiser Customizing,464,Cruiser Customizing,2,2 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,2834,1,"113,360",,
Saatchi Art,1604,Saatchi Art,0,No Coupons Available,N/A,6.00%,6.0% Cash Back,Cash Back,2836,170,"47,267",,
Spencer's Gifts,1737,Spencer's Gifts,13,13 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,2859,143,"57,180",,
OneCall,1360,OneCall,7,7 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,2867,57,"143,350",,
Oster.com,1379,Oster.com,6,6 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,2868,115,"71,700",,
Hallmark eCards,811,Hallmark eCards,4,4 Coupons,Coupons,15.00%,15.0% Cash Back,Cash Back,2872,4,"19,147",,
App Store,89,App Store,0,No Coupons Available,N/A,$7.50 ,7.0% Cash Back,Cash Back,2900,218,387,,
O'Neill,1339,O'Neill,0,No Coupons Available,N/A,3.00%,3.0% Cash Back,Cash Back,2921,88,"97,367",,
Cupshe,470,Cupshe,4,4 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,2928,1,"58,560",,
Inline Skates,914,Inline Skates,1,1 Coupon,Coupon,3.00%,3.0% Cash Back,Cash Back,2940,1,"98,000",,
Magic Cabin,1172,Magic Cabin,4,4 Coupons,Coupons,1.00%,1.0% Cash Back,Cash Back,2946,29,"294,600",,
Choies.com,384,Choies.com,27,27 Coupons,Coupons,6.00%,6.0% Cash Back,Cash Back,2982,2,"49,700",,
Planet Hollywood Resort & Casino,1479,Planet Hollywood Resort & Casino,2,2 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,2991,75,"119,640",,
AW Direct,131,AW Direct,2,2 Coupons,Coupons,$5.00 ,3.5% Cash Back,Cash Back,3001,150,600,,
bambeco,148,bambeco,7,7 Coupons,Coupons,$1.00 ,4.0% Cash Back,Cash Back,3004,30,"3,004",,
Rachel Pally,1527,Rachel Pally,5,5 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,3020,60,"151,000",,
RepairClinic,1564,RepairClinic,0,No Coupons Available,N/A,3.00%,3.0% Cash Back,Cash Back,3050,92,"101,667",,
High Sierra,852,High Sierra,2,2 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,3051,1,"122,040",,
ILLUME Candles,907,ILLUME Candles,3,3 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,3074,1,"76,850",,
Rachel Roy,1528,Rachel Roy,0,No Coupons Available,N/A,6.00%,6.0% Cash Back,Cash Back,3099,186,"51,650",,
TM Lewin,1886,TM Lewin,2,2 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,3157,79,"126,280",,
Cambria Suites,323,Cambria Suites,0,No Coupons Available,N/A,2.50%,2.5% Cash Back,Cash Back,3169,1,"126,760",,
Living XL,1117,Living XL,1,1 Coupon,Coupon,3.50%,3.5% Cash Back,Cash Back,3204,112,"91,543",,
ASICS,107,ASICS,4,4 Coupons,Coupons,$15.00 ,1.5% Cash Back,Cash Back,3205,481,214,,
RoseGal,1594,RoseGal,42,42 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,3215,64,"160,750",,
Paperless Post,1403,Paperless Post,1,1 Coupon,Coupon,2.50%,2.5% Cash Back,Cash Back,3218,80,"128,720",,
Scentbird,1630,Scentbird,5,5 Coupons,Coupons,$5.00 ,Up to $5.00,Up to Dollars,3225,5,N/a,,
Wind & Weather,2039,Wind & Weather,6,6 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,3238,130,"80,950",,
Equipment,612,Equipment,4,4 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,3285,1,"93,857",,
Handy,817,Handy,19,19 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,3296,2,"65,920",,
P90X,1392,P90X,0,No Coupons Available,N/A,4.00%,4.0% Cash Back,Cash Back,3297,132,"82,425",,
Zaful,2082,Zaful,23,23 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,3312,166,"66,240",,
Wantable,2014,Wantable,1,1 Coupon,Coupon,10.00%,10.0% Cash Back,Cash Back,3316,332,"33,160",,
Mr. Coffee,1259,Mr. Coffee,4,4 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,3318,133,"82,950",,
Readers.com,1547,Readers.com,3,3 Coupons,Coupons,7.50%,7.5% Cash Back,Cash Back,3370,253,"44,933",,
Le Meridien,1076,Le Meridien,0,No Coupons Available,N/A,2.50%,2.5% Cash Back,Cash Back,3387,85,"135,480",,
Avast,125,Avast,15,15 Coupons,Coupons,$6.00 ,20.0% Cash Back,Cash Back,3441,206,574,,
The Trend Boutique,1915,The Trend Boutique,2,2 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,3453,104,"115,100",,
Hatley,835,Hatley,4,4 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,3462,1,"98,914",,
Razer,1545,Razer,4,4 Coupons,Coupons,1.00%,1.0% Cash Back,Cash Back,3502,35,"350,200",,
Peltz Shoes,1432,Peltz Shoes,5,5 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,3523,176,"70,460",,
Astro Gaming,109,Astro Gaming,1,1 Coupon,Coupon,$37.50 ,2.5% Cash Back,Cash Back,3524,"1,322",94,,
ZIRH men's skin care,2090,ZIRH men's skin care,0,No Coupons Available,N/A,5.00%,5.0% Cash Back,Cash Back,3551,178,"71,020",,
Mead,1202,Mead,9,9 Coupons,Coupons,5.50%,5.5% Cash Back,Cash Back,3589,197,"65,255",,
Aquasana,95,Aquasana,5,5 Coupons,Coupons,$9.00 ,Up to 10.0%,Up to Pct off,3591,9,N/a,,
Horizon and Vision Fitness,878,Horizon and Vision Fitness,15,15 Coupons,Coupons,5.50%,5.5% Cash Back was 4.0%,Cash Back Promo,3593,198,"65,327",,
RoomMates Decor,1591,RoomMates Decor,5,5 Coupons,Coupons,8.00%,8.0% Cash Back,Cash Back,3608,289,"45,100",,
Insanity,915,Insanity,1,1 Coupon,Coupon,4.00%,4.0% Cash Back,Cash Back,3615,1,"90,375",,
Yugster,2078,Yugster,1,1 Coupon,Coupon,3.00%,3.0% Cash Back,Cash Back,3625,109,"120,833",,
PBS KIDS Shop,1424,PBS KIDS Shop,4,4 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,3634,182,"72,680",,
Shelving.com,1649,Shelving.com,5,5 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,3659,128,"104,543",,
SportsMemorabilia.com,1747,SportsMemorabilia.com,76,76 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,3660,183,"73,200",,
CleanerFilters,399,CleanerFilters,4,4 Coupons,Coupons,7.50%,7.5% Cash Back,Cash Back,3664,3,"48,853",,
BelleChic,191,BelleChic,0,No Coupons Available,N/A,3.00%,3.0% Cash Back,Cash Back,3676,1,"122,533",,
Rodeway Inn,1589,Rodeway Inn,0,No Coupons Available,N/A,2.50%,2.5% Cash Back,Cash Back,3690,92,"147,600",,
GUNNAR Optiks,801,GUNNAR Optiks,2,2 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,3691,2,"73,820",,
Superstar Tickets,1802,Superstar Tickets,1,1 Coupon,Coupon,3.50%,3.5% Cash Back,Cash Back,3730,131,"106,571",,
YesAsia,2070,YesAsia,3,3 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,3745,94,"149,800",,
Azalea Boutique,132,Azalea Boutique,3,3 Coupons,Coupons,$4.50 ,4.0% Cash Back,Cash Back,3757,169,835,,
Ojon Haircare,1348,Ojon Haircare,0,No Coupons Available,N/A,4.00%,4.0% Cash Back,Cash Back,3758,150,"93,950",,
GearBest,741,GearBest,3,3 Coupons,Coupons,1.00%,1.0% Cash Back,Cash Back,3764,0,"376,400",,
Bob's Stores,248,Bob's Stores,18,18 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,3824,1,"152,960",,
Gemnation,743,Gemnation,8,8 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,3828,1,"109,371",,
TRX Training,1928,TRX Training,1,1 Coupon,Coupon,4.00%,4.0% Cash Back,Cash Back,3830,153,"95,750",,
TripAdvisor Instant Book,1920,TripAdvisor Instant Book,25,25 Coupons,Coupons,4.50%,4.5% Cash Back was 1.5%,Cash Back Promo,3844,173,"85,422",,
Isotonix,935,Isotonix,4,4 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,3859,2,"96,475",,
VivaTerra,1994,VivaTerra,8,8 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,3907,156,"97,675",,
Harrah's Resort Atlantic City,830,Harrah's Resort Atlantic City,7,7 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,3911,1,"156,440",,
Dealflicks,491,Dealflicks,0,No Coupons Available,N/A,9.00%,9.0% Cash Back,Cash Back,3923,4,"43,589",,
Cutter & Buck,474,Cutter & Buck,3,3 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,3941,1,"157,640",,
Wonderslim,2054,Wonderslim,37,37 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,3944,99,"157,760",,
Gold Medal Wine Club,773,Gold Medal Wine Club,2,2 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,3947,2,"78,940",,
Yumi Kim,2079,Yumi Kim,4,4 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,3968,159,"99,200",,
NeoStrata,1296,NeoStrata,3,3 Coupons,Coupons,7.50%,7.5% Cash Back,Cash Back,3997,300,"53,293",,
JustBlinds.com,1007,JustBlinds.com,3,3 Coupons,Coupons,1.50%,1.5% Cash Back,Cash Back,4001,60,"266,733",,
CyberLink,475,CyberLink,23,23 Coupons,Coupons,7.50%,7.5% Cash Back,Cash Back,4009,3,"53,453",,
POPSUGAR Must Have,1487,POPSUGAR Must Have,0,No Coupons Available,N/A,3.00%,3.0% Cash Back,Cash Back,4009,120,"133,633",,
Pimsleur Language Program,1476,Pimsleur Language Program,3,3 Coupons,Coupons,7.50%,7.5% Cash Back,Cash Back,4025,302,"53,667",,
Halston Heritage,813,Halston Heritage,6,6 Coupons,Coupons,6.00%,6.0% Cash Back,Cash Back,4061,2,"67,683",,
Dawgs,484,Dawgs,5,5 Coupons,Coupons,7.50%,7.5% Cash Back,Cash Back,4069,3,"54,253",,
Dish Network - Cannon Satellite TV,531,Dish Network - Cannon Satellite TV,0,No Coupons Available,N/A,$75.00 ,Up to $75.00,Up to Dollars,4070,75,N/a,,
Corelle,432,Corelle,5,5 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,4072,1,"162,880",,
Travelodge,1914,Travelodge,6,6 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,4101,103,"164,040",,
RitzPix,1577,RitzPix,10,10 Coupons,Coupons,7.50%,7.5% Cash Back,Cash Back,4128,310,"55,040",,
Betterbraces.com,209,Betterbraces.com,3,3 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,4136,2,"82,720",,
Broderbund.com,285,Broderbund.com,2,2 Coupons,Coupons,7.50%,Up to 7.5%,Up to Pct off,4178,3,"55,707",,
Shu Uemura Art of Hair,1671,Shu Uemura Art of Hair,1,1 Coupon,Coupon,7.50%,7.5% Cash Back was 3.5%,Cash Back Promo,4180,314,"55,733",,
Goggles4u,772,Goggles4u,0,No Coupons Available,N/A,7.50%,7.5% Cash Back,Cash Back,4183,3,"55,773",,
Kobo,1045,Kobo,2,2 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,4184,209,"83,680",,
Hurley,896,Hurley,2,2 Coupons,Coupons,3.00%,3.0% Cash Back was 1.5%,Cash Back Promo,4211,126,"140,367",,
La Garconne,1056,La Garconne,10,10 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,4238,127,"141,267",,
Marbles: The Brain Store,1181,Marbles: The Brain Store,0,No Coupons Available,N/A,1.00%,1.0% Cash Back,Cash Back,4258,43,"425,800",,
Rock Bottom Golf,1582,Rock Bottom Golf,0,No Coupons Available,N/A,1.00%,1.0% Cash Back,Cash Back,4259,43,"425,900",,
Amara,64,Amara,1,1 Coupon,Coupon,5.00%,5.0% Cash Back,Cash Back,4282,2,"85,640",,
Skyo Textbooks,1697,Skyo Textbooks,0,No Coupons Available,N/A,4.00%,4.0% Cash Back,Cash Back,4290,172,"107,250",,
HandleSets.com,816,HandleSets.com,26,26 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,4300,1,"215,000",,
3.1 Phillip Lim,2119,3.1 Phillip Lim,0,No Coupons Available,N/A,3.00%,3.0% Cash Back,Cash Back,4306,129,"143,533",,
Mara Hoffman,1180,Mara Hoffman,4,4 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,4327,151,"123,629",,
Nicole Miller,1315,Nicole Miller,6,6 Coupons,Coupons,6.00%,6.0% Cash Back,Cash Back,4356,261,"72,600",,
Babybasket.com,139,Babybasket.com,0,No Coupons Available,N/A,$8.00 ,5.0% Cash Back,Cash Back,4371,350,546,,
Cosabella,433,Cosabella,5,5 Coupons,Coupons,5.50%,5.5% Cash Back,Cash Back,4399,2,"79,982",,
C.O. Bigelow,312,C.O. Bigelow,2,2 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,4411,2,"88,220",,
STA Travel,1754,STA Travel,58,58 Coupons,Coupons,6.00%,Up to 6.0%,Up to Pct off,4428,266,"73,800",,
Paula Young,1420,Paula Young,2,2 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,4463,89,"223,150",,
Novotel,1330,Novotel,1,1 Coupon,Coupon,4.00%,4.0% Cash Back,Cash Back,4472,179,"111,800",,
Ctrip,466,Ctrip,1,1 Coupon,Coupon,2.50%,2.5% Cash Back,Cash Back,4481,1,"179,240",,
Harrah's Las Vegas,827,Harrah's Las Vegas,1,1 Coupon,Coupon,2.50%,2.5% Cash Back,Cash Back,4489,1,"179,560",,
Folli Follie,686,Folli Follie,3,3 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,4506,2,"90,120",,
Happy Socks,822,Happy Socks,6,6 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,4535,2,"90,700",,
Yowza Fitness,2076,Yowza Fitness,18,18 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,4544,182,"113,600",,
Fashion to Figure,650,Fashion to Figure,1,1 Coupon,Coupon,6.00%,6.0% Cash Back,Cash Back,4555,3,"75,917",,
NorthlineExpress.com,1326,NorthlineExpress.com,2,2 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,4572,160,"130,629",,
Dr. Scholls Shoes,552,Dr. Scholls Shoes,7,7 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,4576,2,"114,400",,
Flamingo Las Vegas,674,Flamingo Las Vegas,2,2 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,4581,1,"183,240",,
CarCovers.com,334,CarCovers.com,1,1 Coupon,Coupon,10.00%,10.0% Cash Back,Cash Back,4639,5,"46,390",,
Grace and Lace,783,Grace and Lace,3,3 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,4661,1,"186,440",,
Tablet Hotels,1821,Tablet Hotels,4,4 Coupons,Coupons,3.75%,3.75% Cash Back,Cash Back,4699,176,"125,307",,
AMOREPACIFIC,75,AMOREPACIFIC,0,No Coupons Available,N/A,9.00%,9.0% Cash Back was 5.0%,Cash Back Promo,4701,423,"52,233",,
Cubavera,467,Cubavera,9,9 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,4715,2,"117,875",,
Modern Bathroom,1240,Modern Bathroom,2,2 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,4786,120,"191,440",,
Monster Products,1243,Monster Products,7,7 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,4787,168,"136,771",,
Etihad Airways,618,Etihad Airways,1,1 Coupon,Coupon,1.00%,1.0% Cash Back,Cash Back,4788,0,"478,800",,
Titanium Kay,1885,Titanium Kay,2,2 Coupons,Coupons,7.00%,7.0% Cash Back,Cash Back,4791,335,"68,443",,
Jack Wills,950,Jack Wills,0,No Coupons Available,N/A,4.00%,4.0% Cash Back,Cash Back,4875,2,"121,875",,
Dolce Vita,538,Dolce Vita,1,1 Coupon,Coupon,4.00%,4.0% Cash Back,Cash Back,4899,2,"122,475",,
TeeFury,1841,TeeFury,1,1 Coupon,Coupon,5.00%,5.0% Cash Back,Cash Back,4907,245,"98,140",,
TrueFacet,1926,TrueFacet,6,6 Coupons,Coupons,1.00%,1.0% Cash Back,Cash Back,4915,49,"491,500",,
Meredith Magazines,1210,Meredith Magazines,11,11 Coupons,Coupons,40.00%,Up to 40.0%,Up to Pct off,4926,"1,970","12,315",,
360Training,2120,360Training,6,6 Coupons,Coupons,9.00%,9.0% Cash Back,Cash Back,4932,444,"54,800",,
VitalSource,1989,VitalSource,6,6 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,4937,99,"246,850",,
Philips,1467,Philips,6,6 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,4949,148,"164,967",,
Current Labels,471,Current Labels,1,1 Coupon,Coupon,10.00%,10.0% Cash Back was 2.5%,Cash Back Promo,4959,496,"49,590",,
Hush Puppies,897,Hush Puppies,6,6 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,4967,2,"124,175",,
Vimeo,1976,Vimeo,1,1 Coupon,Coupon,$25.00 ,Up to $25.00,Up to Dollars,4979,25,N/a,,
Easton Baseball/Softball,574,Easton Baseball/Softball,9,9 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,4981,2,"99,620",,
The Grommet,793,The Grommet,5,5 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,4983,1,"199,320",,
Best Bully Sticks,198,Best Bully Sticks,7,7 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,4997,1,"249,850",,
WSJwine Club,2064,WSJwine Club,1,1 Coupon,Coupon,$20.00 ,Up to $20.00,Up to Dollars,5013,20,N/a,,
Marks & Spencer,1189,Marks & Spencer,2,2 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,5016,176,"143,314",,
Silver Jeans,1677,Silver Jeans,1,1 Coupon,Coupon,4.00%,4.0% Cash Back,Cash Back,5026,201,"125,650",,
J.McLaughlin,945,J.McLaughlin,2,2 Coupons,Coupons,7.50%,7.5% Cash Back,Cash Back,5106,4,"68,080",,
JBL,960,JBL,26,26 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,5155,2,"171,833",,
ProBikeKit.com,1501,ProBikeKit.com,11,11 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,5163,103,"258,150",,
Swiss International Air Lines,1815,Swiss International Air Lines,2,2 Coupons,Coupons,1.00%,1.0% Cash Back,Cash Back,5180,52,"518,000",,
Radisson Blu,1530,Radisson Blu,0,No Coupons Available,N/A,3.00%,3.0% Cash Back,Cash Back,5181,155,"172,700",,
AlexandAlexa,45,AlexandAlexa,4,4 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,5196,2,"173,200",,
Wolverine,2051,Wolverine,6,6 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,5213,209,"130,325",,
Parallels,1406,Parallels,0,No Coupons Available,N/A,3.50%,3.5% Cash Back,Cash Back,5220,183,"149,143",,
Next,1310,Next,3,3 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,5243,210,"131,075",,
Wysong,2066,Wysong,6,6 Coupons,Coupons,9.00%,9.0% Cash Back,Cash Back,5310,478,"59,000",,
The Fruit Company,713,The Fruit Company,3,3 Coupons,Coupons,6.00%,6.0% Cash Back,Cash Back,5321,3,"88,683",,
DL 1961,534,DL 1961,0,No Coupons Available,N/A,6.00%,6.0% Cash Back,Cash Back,5334,3,"88,900",,
Joe Fresh,979,Joe Fresh,3,3 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,5347,2,"178,233",,
Precious Moments,1492,Precious Moments,2,2 Coupons,Coupons,10.00%,10.0% Cash Back,Cash Back,5356,536,"53,560",,
Harman Kardon,824,Harman Kardon,5,5 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,5373,2,"179,100",,
OYO Sportstoys,1389,OYO Sportstoys,2,2 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,5412,271,"108,240",,
South Moon Under,1729,South Moon Under,4,4 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,5430,163,"181,000",,
Inspired Silver,917,Inspired Silver,12,12 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,5443,2,"136,075",,
HisRoom,857,HisRoom,2,2 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,5478,2,"136,950",,
SwimSuits Direct,1813,SwimSuits Direct,5,5 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,5481,274,"109,620",,
Toolbarn,1897,Toolbarn,13,13 Coupons,Coupons,1.50%,1.5% Cash Back,Cash Back,5485,82,"365,667",,
Acme Tools,15,Acme Tools,14,14 Coupons,Coupons,1.50%,1.5% Cash Back,Cash Back,5518,1,"367,867",,
Wise Emergency Foods,2047,Wise Emergency Foods,2,2 Coupons,Coupons,6.00%,6.0% Cash Back,Cash Back,5535,332,"92,250",,
Discount Filter Store,523,Discount Filter Store,3,3 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,5536,2,"158,171",,
shi by Journeys,1651,shi by Journeys,19,19 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,5547,166,"184,900",,
Karen Kane,1013,Karen Kane,3,3 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,5548,222,"138,700",,
YogaOutlet.com,2072,YogaOutlet.com,1,1 Coupon,Coupon,3.50%,3.5% Cash Back,Cash Back,5561,195,"158,886",,
LELO,1084,LELO,1,1 Coupon,Coupon,10.00%,10.0% Cash Back,Cash Back,5602,560,"56,020",,
ParkSleepFly,1413,ParkSleepFly,1,1 Coupon,Coupon,10.00%,10.0% Cash Back,Cash Back,5608,561,"56,080",,
Living Proof,1116,Living Proof,3,3 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,5629,225,"140,725",,
101Phones.com,2100,101Phones.com,1,1 Coupon,Coupon,3.00%,3.0% Cash Back,Cash Back,5634,169,"187,800",,
YLANG 23,2071,YLANG 23,4,4 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,5636,282,"112,720",,
DesignCrowd,505,DesignCrowd,2,2 Coupons,Coupons,$2.50 ,$2.50 Cash Back,Dollars back,5643,3,N/a,,
Greeting Card Universe,790,Greeting Card Universe,2,2 Coupons,Coupons,7.50%,7.5% Cash Back,Cash Back,5664,4,"75,520",,
Utrecht Art Supplies,1955,Utrecht Art Supplies,4,4 Coupons,Coupons,1.50%,1.5% Cash Back,Cash Back,5727,86,"381,800",,
PeaceLoveWorld,1428,PeaceLoveWorld,6,6 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,5750,230,"143,750",,
Casa.com,346,Casa.com,6,6 Coupons,Coupons,1.00%,1.0% Cash Back,Cash Back,5775,1,"577,500",,
SeatGeek,1636,SeatGeek,1,1 Coupon,Coupon,3.00%,3.0% Cash Back,Cash Back,5783,173,"192,767",,
Planet Blue,1478,Planet Blue,5,5 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,5794,290,"115,880",,
Cellular Country,356,Cellular Country,6,6 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,5826,2,"166,457",,
Cle de Peau Beaute,398,Cle de Peau Beaute,5,5 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,5834,2,"145,850",,
DEQOR,501,DEQOR,0,No Coupons Available,N/A,5.00%,5.0% Cash Back,Cash Back,5863,3,"117,260",,
Wendell August,2025,Wendell August,2,2 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,5871,235,"146,775",,
Leonisa.com,1091,Leonisa.com,2,2 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,5872,235,"146,800",,
Darphin,481,Darphin,3,3 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,5876,2,"195,867",,
Total Diabetes Supply,1902,Total Diabetes Supply,6,6 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,5882,118,"294,100",,
The Catholic Company,352,The Catholic Company,1,1 Coupon,Coupon,5.00%,5.0% Cash Back,Cash Back,5911,3,"118,220",,
Pelican Water,1431,Pelican Water,3,3 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,5935,297,"118,700",,
Show Me Your Mumu,1669,Show Me Your Mumu,4,4 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,5959,238,"148,975",,
TCM Store,1833,TCM Store,6,6 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,6010,150,"240,400",,
StylesForLess.com,1787,StylesForLess.com,7,7 Coupons,Coupons,6.00%,6.0% Cash Back,Cash Back,6014,361,"100,233",,
Zinio,2088,Zinio,5,5 Coupons,Coupons,1.50%,1.5% Cash Back,Cash Back,6018,90,"401,200",,
WinterSilks,2045,WinterSilks,2,2 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,6037,121,"301,850",,
Intrepid Travel,921,Intrepid Travel,7,7 Coupons,Coupons,1.00%,1.0% Cash Back,Cash Back,6088,1,"608,800",,
Links of London,1114,Links of London,5,5 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,6136,307,"122,720",,
MindWare,1225,MindWare,14,14 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,6176,309,"123,520",,
Brahmin,280,Brahmin,1,1 Coupon,Coupon,3.50%,3.5% Cash Back,Cash Back,6180,2,"176,571",,
Crayola,453,Crayola,0,No Coupons Available,N/A,5.00%,5.0% Cash Back,Cash Back,6206,3,"124,120",,
Dream Products Catalog,555,Dream Products Catalog,7,7 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,6221,2,"155,525",,
Cafe Britt,315,Cafe Britt,3,3 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,6283,3,"125,660",,
DNA Footwear,535,DNA Footwear,3,3 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,6304,3,"157,600",,
Microtel Inn and Suites,1219,Microtel Inn and Suites,9,9 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,6308,158,"252,320",,
