"","Location","Burrito","Date","Neighborhood","Address","URL","Yelp","Google","Chips","Cost","Hunger","Length","Circum","Volume","Tortilla","Temp","Meat","Fillings","Meat.filling","Uniformity","Salsa","Synergy","Wrap","overall","Rec","Reviewer","Notes","Unreliable","NonSD","Beef","Pico","Guac","Cheese","Fries","Sour.cream","Pork","Chicken","Shrimp","Fish","Rice","Beans","Lettuce","Tomato","Bell.peper","Carrots","Cabbage","Sauce","Salsa.1","Cilantro","Onion","Taquito","Pineapple","Ham","Chile.relleno","Nopales","Lobster","Queso","Egg","Mushroom","Bacon","Sushi","Avocado","Corn","Zucchini","Lat","Long"
"149","Albertacos","Carne asada","6/8/2016","San Marcos","500 W San Marcos Blvd # 103","https://www.yelp.com/biz/albertacos-san-marcos",NA,NA,"",5.25,4,21,21,0.74,3.5,3,2.8,3.5,4,4,4,3.5,5,3.2,"Yes","Emily","","","","X","X","X","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",33.138519,-117.174393
"150","El Rey Moro","California Surf","6/9/2016","Clairemont","4471 Clairemont Mesa Blvd","https://www.yelp.com/biz/el-rey-moro-taco-shop-san-diego",4,3.8,"",9.19,2.8,20.5,23.5,0.9,3.5,4.5,4,3.5,5,4.5,3,3.5,5,4,"Yes","Scott","shrimp is really good. too much chipotle sauce","","","X","","X","X","X","","","","X","","","","","","","","","X","","","","","","","","","",NA,"","","","","","","",32.834188,-117.195824
"151","Tacos por favor","Carne asada","6/11/2016","Santa Monica","1408 Olympic Blvd","https://www.yelp.com/biz/el-dorado-mexican-food-temecula",4,4.1,"x",7.85,3,16.5,20.5,0.55,3,4.5,4.5,3.5,3.5,3.5,1,4,1,3.5,"Yes","Scott","","","x","X","X","X","","","","","","","","X","X","","","","","","","","","","","","","","","",NA,"","","","","","","",32.624891,-116.986188
"152","Tacos por favor","Al pastor","6/11/2016","Santa Monica","1408 Olympic Blvd","https://www.yelp.com/biz/el-dorado-mexican-food-temecula",NA,NA,"",6.85,4,15.5,21,0.54,3,5,4,3,5,4,3,4,3,4,"Yes","Christian","","","x","","X","","","","","x","","","","X","X","","","","","","","","","","","","","","","",NA,"","","","","","","",32.624891,-116.986188
"153","Tacos por favor","Carne asada","6/11/2016","Santa Monica","1408 Olympic Blvd","https://www.yelp.com/biz/el-dorado-mexican-food-temecula",NA,NA,"",6.85,4,18,NA,NA,4,5,3.5,3,4,4,3,3,3,3.5,"","Sam H","","","x","X","X","","","","","","","","","X","X","","","","","","","","","","","","","","","",NA,"","","","","","","",32.624891,-116.986188
"154","El dorado Mexican food","California","6/16/2016","Temecula","29000 Old Town Front St","https://www.yelp.com/biz/el-dorado-mexican-food-temecula",4.5,4,"",6.94,4,NA,NA,NA,4,4,4,4.5,3.2,3,4.5,4.5,2,4.5,"Yes","Scott","Salsa verde has an interesting hint of garlic","","x","X","","X","X","X","X","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",33.483996,-117.143301
"155","El dorado Mexican food","Super","6/16/2016","Temecula","29000 Old Town Front St","https://www.yelp.com/biz/el-dorado-mexican-food-temecula",NA,NA,"",6.94,3.75,NA,NA,NA,3.5,3.5,3.5,3.5,4,4,4.5,3.5,4.5,3.8,"Yes","Emily","","","x","X","","X","X","","X","","","","","","","","","","","","","X","","","","","","","","",NA,"","","","","","","",33.483996,-117.143301
"156","Lolita's Taco Shop","California","6/23/2016","","","",NA,NA,"",7,2.2,18,25,0.9,2.8,3,3,2,2,4.5,2,1.5,4.5,2.3,"No","Scott","","","","x","","","x","x","x","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.715738,-117.161084
"157","Lolita's Taco Shop","California","6/23/2016","","","",NA,NA,"",7,3.5,18,23.5,0.79,4,4,4,3,4,5,4,4,5,4,"Yes","Cris","","","","x","","","x","x","x","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.715738,-117.161084
"158","Lolita's Taco Shop","California","6/23/2016","","","",NA,NA,"",7,3,19,24,0.87,3.5,2,3,4,2,4,3,3,4,3,"","Matt","","","","x","","x","x","x","x","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.715738,-117.161084
"159","Lolita's Taco Shop","Mixed","6/23/2016","","","",NA,NA,"",8.25,4,NA,NA,NA,4,3,4,4,4,5,3,4,5,3.5,"Yes","Marc","","","","x","","x","x","","","","","","","","x","","","","","","","","","","","","","","","",NA,"","","","","","","",32.715738,-117.161084
"160","California Burritos","California Everything","6/24/2016","Linda Vista","7754 Starling Dr","https://www.yelp.com/biz/california-burritos-san-diego",NA,NA,"",6.25,3,23.5,21.5,0.86,3.8,1.3,3.5,3.5,4.5,4.5,3.5,4,5,3.9,"Yes","Scott","Temperature brought it down","","","x","x","x","x","x","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.793178,-117.155917
"161","California Burritos","California Everything","6/24/2016","Linda Vista","7754 Starling Dr","https://www.yelp.com/biz/california-burritos-san-diego",NA,NA,"",6.25,4.5,22.5,22,0.87,4,4,4.5,4,4,3.5,4,4,4.5,4.25,"Yes","Ricardo","","","","x","x","x","x","x","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.793178,-117.155917
"162","California Burritos","California Everything","6/24/2016","Linda Vista","7754 Starling Dr","https://www.yelp.com/biz/california-burritos-san-diego",NA,NA,"",6.25,4,22.5,22,0.87,3,2.5,4,4,4,2,2,3,4,4,"Yes","Elynn","","","","x","x","x","x","x","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.793178,-117.155917
"163","California Burritos","California Everything","6/24/2016","Linda Vista","7754 Starling Dr","https://www.yelp.com/biz/california-burritos-san-diego",NA,NA,"",6.25,3,23,22.5,0.93,5,4,4,4.5,4,4.5,NA,4,4,4.5,"Yes","Erin","","","","x","x","x","x","x","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.793178,-117.155917
"164","California Burritos","California Everything","6/24/2016","Linda Vista","7754 Starling Dr","https://www.yelp.com/biz/california-burritos-san-diego",NA,NA,"",6.25,4,NA,NA,NA,4,3.5,4.5,4,4.5,4,4.5,4.5,5,4.5,"Yes","Luis","","","","x","x","x","x","x","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.793178,-117.155917
"165","California Burritos","Carnitas","6/24/2016","Linda Vista","7754 Starling Dr","https://www.yelp.com/biz/california-burritos-san-diego",NA,NA,"",5.5,4.5,21.5,20,0.68,5,4,5,4,4.5,4,4,4.5,4,4.5,"Yes","Matteo","","","","","","x","","","","x","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.793178,-117.155917
"166","California Burritos","Carne asada everything","6/24/2016","Linda Vista","7754 Starling Dr","https://www.yelp.com/biz/california-burritos-san-diego",NA,NA,"",6.25,3,23,23,0.97,4,3,4,3,4,3,3,4,4,4,"Yes","Brent","","","","x","x","x","x","","x","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.793178,-117.155917
"167","California Burritos","Carne asada everything","6/24/2016","Linda Vista","7754 Starling Dr","https://www.yelp.com/biz/california-burritos-san-diego",NA,NA,"",6.25,4.5,21.5,20.5,0.72,4,5,4.5,4,4.5,4,3,4,5,4.5,"Yes","Daniel","","","","x","x","x","x","","x","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.793178,-117.155917
"168","California Burritos","Carne asada everything","6/24/2016","Linda Vista","7754 Starling Dr","https://www.yelp.com/biz/california-burritos-san-diego",NA,NA,"",6.25,5,23,21.5,0.85,4,3,5,4,4,4,5,5,3,4.2,"Yes","Alejandro","","","","x","x","x","x","","x","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.793178,-117.155917
"169","California Burritos","California Everything","8/1/2016","Linda Vista","7754 Starling Dr","https://www.yelp.com/biz/california-burritos-san-diego",NA,NA,"",6.25,4,22,20.8,0.76,4,4,3.5,4,3,4,4,3.5,4.5,3.75,"Yes","Ricardo","","","","x","x","x","x","x","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.793178,-117.155917
"170","California Burritos","California Everything","8/1/2016","Linda Vista","7754 Starling Dr","https://www.yelp.com/biz/california-burritos-san-diego",NA,NA,"",6.25,4,22.5,21.5,0.83,3,2,4,5,4,4,3,4,3,4,"Yes","Elynn","","","","x","x","x","x","x","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.793178,-117.155917
"171","California Burritos","California Everything","8/1/2016","Linda Vista","7754 Starling Dr","https://www.yelp.com/biz/california-burritos-san-diego",NA,NA,"",6.25,4,23,21.5,0.85,4,3.5,3.5,4,3.5,4,3.5,4,4.5,4,"Yes","Matteo","","","","x","x","x","x","x","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.793178,-117.155917
"172","California Burritos","California Everything","8/1/2016","Linda Vista","7754 Starling Dr","https://www.yelp.com/biz/california-burritos-san-diego",NA,NA,"",6.25,3.5,21,22.5,0.85,3.5,2,3,3.5,3.5,2.5,2.5,3.5,4.5,3.4,"Yes","Scott","","","","x","x","x","x","x","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.793178,-117.155917
"173","California Burritos","California Everything","8/1/2016","Linda Vista","7754 Starling Dr","https://www.yelp.com/biz/california-burritos-san-diego",NA,NA,"",6.25,3,22.5,21,0.79,4,4,4.5,5,4.75,5,4,4.5,4.5,NA,"Yes","Aga","","","","x","x","x","x","x","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.793178,-117.155917
"174","California Burritos","Surf & Turf","8/1/2016","Linda Vista","7754 Starling Dr","https://www.yelp.com/biz/california-burritos-san-diego",NA,NA,"",7,4.31,NA,NA,NA,3,2.5,3.5,3,3.5,4,3,3,4,NA,"Yes","Hannah","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.793178,-117.155917
"175","California Burritos","Carne asada everything","8/1/2016","Linda Vista","7754 Starling Dr","https://www.yelp.com/biz/california-burritos-san-diego",NA,NA,"",6.25,4.5,22,20,0.7,4.5,4,4,4.5,4,4,4.5,4.5,4,4,"Yes","Brent","","","","x","x","x","x","","x","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.793178,-117.155917
"176","Los Primos Mexican Food","Surf & Turf","8/6/2016","UTC","7770 Regents Rd","http://www.primosmex.com/",NA,NA,"",7,2.5,20.5,21.75,0.77,4,4,2,3,2,3.5,3,3,4.5,2.5,"No","Emily","","","","X","","","X","","","","","","","","","","","X","","","","","","X","","","","","","",NA,"","","","","","","",32.86275,-117.224335
"177","Los Primos Mexican Food","Adobada","8/6/2016","UTC","7770 Regents Rd","http://www.primosmex.com/",NA,NA,"",6.25,2,20.5,20,0.65,4,2.5,2.5,3,2,4,3.5,3,4.5,2.6,"No","Scott","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.86275,-117.224335
"178","Los Primos Mexican Food","Carne asada","8/6/2016","UTC","7770 Regents Rd","http://www.primosmex.com/",NA,NA,"",7,4,18.5,20.5,0.62,3.5,3,2,2,1,3,3.5,1.5,4,2,"No","Ricardo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.86275,-117.224335
"179","Papa Chito's Mexican Food","California","8/9/2016","University City","3951 Governor Dr","https://www.yelp.com/biz/papa-chitos-mexican-food-san-diego",2.5,3.3,"",6.25,3.5,21.5,20,0.68,3.5,3.5,2.5,2.5,2.5,4,2,1.5,5,2.2,"No","Scott","","","","x","x","","x","x","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.853489,-117.203946
"180","Papa Chito's Mexican Food","California","8/9/2016","University City","3951 Governor Dr","https://www.yelp.com/biz/papa-chitos-mexican-food-san-diego",NA,NA,"",6.25,4,20,20,0.64,4,5,3,3,4,3.5,4,4,5,3.75,"Yes","Sage","","","","x","x","","x","x","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.853489,-117.203946
"181","El Pueblo Mexican Food","California","8/10/2016","Cardiff ","820 Birmingham Dr","https://www.yelp.com/biz/el-pueblo-authentic-mexican-food-cardiff-by-the-sea",4,4.7,"",4.99,4,19,21,0.67,4.5,4.5,3.5,4,4.5,5,2.5,4.5,5,4.3,"Yes","Scott","","","","x","x","","x","x","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",33.026872,-117.273505
"182","Burros and Fries","California","8/12/2016","Clairemont","4705 Clairemont Dr","http://www.burrosandfries.com/",3.5,4.1,"",6.89,4,21.5,22.5,0.87,3.5,4.5,3.5,3.5,3,1.5,2.5,3.5,5,3.5,"Yes","Scott","good fries","","","x","x","","x","x","x","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.829729,-117.205057
"183","Burros and Fries","Carne asada","8/12/2016","Clairemont","4705 Clairemont Dr","http://www.burrosandfries.com/",NA,NA,"",6.89,5,18.5,21,0.65,3,5,4.5,4.5,3,4,4.5,4,4.5,4,"Yes","Brent","very little guac","","","x","x","x","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.829729,-117.205057
"184","King Burrito","Adobada","8/16/2016","Oceanside","3490 Marron Rd","https://www.yelp.com/biz/king-burrito-oceanside-2",4,3.9,"",4.99,3.5,23,19,0.66,3,3,3,3,2.5,2,2.5,3,4,2.8,"No","Emily","Too much tortilla per bite","","","","X","X","","","","X","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",33.178788,-117.29482
"185","King Burrito","California","8/16/2016","Oceanside","3490 Marron Rd","https://www.yelp.com/biz/king-burrito-oceanside-2",NA,NA,"",5.29,3.5,22.5,20.5,0.75,2.5,4.5,2,3,2.5,1.5,3,2,4.5,2.5,"No","Scott","it does taste homemade. but that's not a good thing","","","x","x","","x","x","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",33.178788,-117.29482
"186","Taco Stand","California ","8/17/2016","La Jolla","621 Pearl St","http://letstaco.com/",NA,NA,"",7.49,2,18.5,21.5,0.68,4,5,4.5,3.5,3.5,2,3.5,4,5,4,"Yes","Scott","","","","x","x","x","x","x","x","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.839352,-117.276819
"187","Taco Stand","California ","8/17/2016","La Jolla","621 Pearl St","http://letstaco.com/",NA,NA,"",7.49,2.5,16.5,23.5,0.73,3.5,5,4,3,4,4.5,3,3.5,5,4,"Yes","TJ","","","","x","x","x","x","x","x","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.839352,-117.276819
"188","Carmen's Mexican Food","Adobada","8/19/2016","Clairemont","4937 Diane Ave","https://www.yelp.com/biz/carmens-authentic-mexican-food-san-diego",4,4.2,"",6.5,3.5,20.5,20.5,0.69,2.5,4,3.5,4,4,3,1.5,3.5,5,3.6,"Yes","Scott","really good guac","","","","","x","","","","x","","","","","x","","","","","","","","x","x","","","","","","",NA,"","","","","","","",32.83514,-117.186832
"189","Carmen's Mexican Food","Carne asada","8/19/2016","Clairemont","4937 Diane Ave","https://www.yelp.com/biz/carmens-authentic-mexican-food-san-diego",NA,NA,"",6.5,5,21,21,0.74,4.5,4.5,3.5,4,4,3.5,4,4,4,4,"Yes","Brent","","","","x","x","x","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.83514,-117.186832
"190","Senor Panchos","Pollo asado","8/21/2016","San Marcos","1909 W San Marcos Blvd","https://www.yelp.com/biz/senor-panchos-mexican-restaurant-san-marcos",4,4.2,"",6.25,3.5,21.5,19.5,0.65,2.5,3.5,3,3,5,4.5,3.5,2,5,2.9,"No","Scott","guac is good, very avocado-y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",33.132652,-117.216954
"191","Senor Panchos","California","8/21/2016","San Marcos","1909 W San Marcos Blvd","https://www.yelp.com/biz/senor-panchos-mexican-restaurant-san-marcos",NA,NA,"",6.25,3,21,19.5,0.64,3,4,4,3,3.5,4.5,4,4,5,4,"Yes","Emily","feels very dense; a lot of meat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",33.132652,-117.216954
"192","Los Cabos","California","8/27/2016","San Marcos","165 S Rancho Santa Fe Rd","https://www.yelp.com/biz/los-cabos-san-marcos",4,4.1,"x",5.99,4,18.5,21,0.65,4,4.5,2.5,2.5,2.5,1.5,3,4,5,3,"No","Scott","Repeatedly get large bites of sour cream","","","X","","","X","X","X","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",33.146907,-117.199843
"193","Los Cabos","Al pastor","8/27/2016","San Marcos","165 S Rancho Santa Fe Rd","https://www.yelp.com/biz/los-cabos-san-marcos",NA,NA,"",5.69,3,17.5,23.5,0.77,4,4.5,3,3.5,4,3.5,2.5,4,4.5,4,"Yes","Emily","Really good with lime","","","","","X","","","","X","","","","","","","","","","","","","X","X","","","","","","",NA,"","","","","","","",33.146907,-117.199843
"194","Rubios UCSD","Tilapia one","8/30/2016","UTC","9500 Gilman Dr","https://www.yelp.com/biz/rubios-la-jolla-4",3.5,3.4,"x",7.99,3.5,17,20,0.54,1.5,4,3,3,1.5,4.5,2.5,3,1.5,3.2,"No","Scott","","","","","","X","","","","","","","X","X","","","","","","X","","","","","","","","","","",NA,"","","","","","x","",32.875302,-117.236973
"195","Lucha Libre North Park","Surf & Turf","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",3.5,4.3,"x",8.25,4,19,22.5,0.77,3,2.5,3,3,3,3,3.5,3,3,3,"Yes","Hannah","","","","x","x","","","","","","","x","","x","","","","","","","x","","","","","","","","","",NA,"","","","","x","","",32.748696,-117.12978
"196","Lucha Libre North Park","Surf & Turf","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",8.25,3,19,24,0.87,5,3,5,4,2,2,5,2,2,2,"No","Tammy","","","","x","x","","","","","","","x","","x","","","","","","","x","","","","","","","","","",NA,"","","","","x","","",32.748696,-117.12978
"197","Lucha Libre North Park","Surf & Turf","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",8.25,3.9,NA,NA,NA,2.1,1.9,2.6,2.4,2.9,3.2,4,2.5,3,2.4,"No","Bankole","Not as good as the first time","","","x","x","","","","","","","x","","x","","","","","","","x","","","","","","","","","",NA,"","","","","x","","",32.748696,-117.12978
"198","Lucha Libre North Park","Surf & Turf","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",8.25,4,20,22,0.77,3,2.5,2,2.8,3.5,3.5,4,3,4,2.2,"","Melissa N","","","","x","x","","","","","","","x","","x","","","","","","","x","","","","","","","","","",NA,"","","","","x","","",32.748696,-117.12978
"199","Lucha Libre North Park","Surf & Turf","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",8.25,3.5,20,22,0.77,3.6,3.2,3.2,3.5,3.6,3.5,NA,3.8,3.9,3.6,"","Katie","","","","x","x","","","","","","","x","","x","","","","","","","x","","","","","","","","","",NA,"","","","","x","","",32.748696,-117.12978
"200","Lucha Libre North Park","Surfin California","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",8.25,3,21,24.5,1,3,3,4,3.5,3,2,3.5,3.5,4,3.9,"Yes","Emily","thick chips","","","x","x","","x","x","","","","x","","","","","","","","","x","","","","","","","","","",NA,"","","","","x","","",32.748696,-117.12978
"201","Lucha Libre North Park","Surfin California","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",8.25,4,18.5,25.5,0.96,3.5,2,4,3,5,5,4,4,5,3.5,"","Melissa G","Good guac","","","x","x","","x","x","","","","x","","","","","","","","","x","","","","","","","","","",NA,"","","","","x","","",32.748696,-117.12978
"202","Lucha Libre North Park","Surfin California","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",8.25,4,NA,NA,NA,4,3,3,3,3,2,3,3,4,3,"Yes","Marc","shrimp was questionable; salsa was mediocre to bad; overall ok, better than past burritos at lucha libre","","","x","x","","x","x","","","","x","","","","","","","","","x","","","","","","","","","",NA,"","","","","x","","",32.748696,-117.12978
"203","Lucha Libre North Park","Surfin California","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",8.25,1,NA,NA,NA,3,2,4,3,5,5,4,3.5,5,3.5,"","Ashley G","good guac but fries could be better","","","x","x","","x","x","","","","x","","","","","","","","","x","","","","","","","","","",NA,"","","","","x","","",32.748696,-117.12978
"204","Lucha Libre North Park","Surfin California","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",8.25,2,20,24.5,0.96,3.5,2,5,3.5,4,2.5,3.5,3,3.5,3.5,"Yes","Richard","probably positively biased by service","","","x","x","","x","x","","","","x","","","","","","","","","x","","","","","","","","","",NA,"","","","","x","","",32.748696,-117.12978
"205","Lucha Libre North Park","Surfin California","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",8.25,3,19,24,0.87,5,4,4,4,3,3,4,4,4,4,"Yes","Mike","","","","x","x","","x","x","","","","x","","","","","","","","","x","","","","","","","","","",NA,"","","","","x","","",32.748696,-117.12978
"206","Lucha Libre North Park","Surfin California","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",8.25,1,19.5,25.5,1.01,4,3,3.5,3,5,4,2,3,4,3,"","Sankha G","","","","x","x","","x","x","","","","x","","","","","","","","","x","","","","","","","","","",NA,"","","","","x","","",32.748696,-117.12978
"207","Lucha Libre North Park","Nutty","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",7.5,3.8,19,25,0.94,3.8,4,4,4,4,4,4.5,4.5,4.5,4.4,"","Luis","","","","","","","x","x","x","","x","","","x","","","","","","","x","","","","","","","","","",NA,"","","","","","","",32.748696,-117.12978
"208","Lucha Libre North Park","Veg Out","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",6.95,3,19,23,0.8,5,5,NA,5,NA,5,4.5,5,3,4.5,"Yes","Aga","","","","","","","","","","","","","","","x","x","","x","","","x","","","","","","","","","",NA,"","x","","","x","","x",32.748696,-117.12978
"209","Lucha Libre North Park","Veggie","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",5.25,3,19.5,25.5,1.01,4.5,4.5,NA,3.5,NA,3,4,3.5,5,3.25,"Yes","Rob G","","","","","x","","","x","","","","","","x","x","x","","","","","","","","","","","","","","",NA,"","","","","","","",32.748696,-117.12978
"210","Lucha Libre North Park","Bean and cheese","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",3.75,5,18,22,0.69,4,3,NA,1,NA,3,3,2,3,2,"No","Meghan","Bland","","","","","","x","","","","","","","","x","","","","","","","","","","","","","","","",NA,"","","","","","","",32.748696,-117.12978
"211","Lucha Libre North Park","California - Steak","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",7.5,2.5,19,23.5,0.83,3,3,5,3.5,3,3.5,4.5,4,4.5,3.9,"Yes","Scott","first bite sour cream, but probably the best steak I've had in a burrito","","","x","x","","x","x","x","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.748696,-117.12978
"212","Lucha Libre North Park","California - Steak","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",7.5,5,17,23,0.72,3.5,3,2,3,3,2,4,2.5,5,3.5,"","Devleena","fries = 4","","","x","x","","x","x","x","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.748696,-117.12978
"213","Lucha Libre North Park","California - Pork Adobada","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",7.5,4,18,24.5,0.86,2,3,3,3,4,3,4,3,5,3,"Yes","Erik","","","","","x","","x","x","x","x","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.748696,-117.12978
"214","Lucha Libre North Park","California - Pork Adobada","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",7.5,4.5,18,26,0.97,3.5,4,4.5,4,3.5,3.5,4,4,4.5,4.25,"Yes","Ricardo","","","","","x","","x","x","x","x","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.748696,-117.12978
"215","Lucha Libre North Park","California - Pork Adobada","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",7.5,2,19,25,0.94,4,5,5,4,4.5,4.5,5,4.5,4,4.5,"Yes","Erin","","","","","x","","x","x","x","x","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.748696,-117.12978
"216","Lucha Libre North Park","California - Chicken","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",7.5,4,20,23.5,0.88,3.5,2.5,3,4.5,3,2,5,4.5,3.5,2.5,"Yes","Kelsey","","","","","x","x","x","x","x","","x","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.748696,-117.12978
"217","Lucha Libre North Park","California - Chicken","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",7.5,3,20,22,0.77,3.5,5,3.5,4,3,3,4,2.5,5,3,"No","Javier","large, bt feels good in my hands","","","","x","","x","x","x","","x","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.748696,-117.12978
"218","Lucha Libre North Park","Holy Moly","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",7.5,5,NA,NA,NA,3.5,2,3.5,3.5,3,4,2,2,4,3.5,"","Sam A","","","","","","","x","","x","","x","","","x","","","","","","","x","","","","","","","","","",NA,"","","","","","","",32.748696,-117.12978
"219","Lucha Libre North Park","Holy Moly","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",7.5,3,17,21,0.6,2.5,2.5,3,2,2,1,5,1,5,1.5,"No","Sage","all meat at bottom 1/8th","","","","","","x","","x","","x","","","x","","","","","","","x","","","","","","","","","",NA,"","","","","","","",32.748696,-117.12978
"220","Lucha Libre North Park","Holy Moly","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",7.5,4,17.5,21.2,0.63,5,3,5,5,3,2,2,3,5,4,"Yes","Aaron S","","","","","","","x","","x","","x","","","x","","","","","","","x","","","","","","","","","",NA,"","","","","","","",32.748696,-117.12978
"221","Lucha Libre North Park","Holy Moly","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",7.5,5,19,21,0.67,5,4,2,1,4,3,5,4,2,2,"","Jaeyoung","Ordered a specialty burrito and guess I was expecting an ordinary one! Sauce was good but overpowering; no veggies at all; overall just did not feel like a burrito.","","","","","","x","","x","","x","","","x","","","","","","","x","","","","","","","","","",NA,"","","","","","","",32.748696,-117.12978
"222","Lucha Libre North Park","Holy Moly","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",7.5,4.5,19.5,19,0.56,4,4,3.5,4.5,4,4,5,4.5,4,4,"Yes","Matteo","","","","","","","x","","x","","x","","","x","","","","","","","x","","","","","","","","","",NA,"","","","","","","",32.748696,-117.12978
