Pos.This.Week|Pos.Last.Week|Peak.Pos.This.Week|Total.Weeks|Title|Artist|Entry.Date|Pos.Entry|Overall.Peak.Pos|Overall.Total.Weeks|Chart.Date,,,,,
53|58|53|4|All Time Low|JON BELLION|2016-10-29|82|16|16|20161119,,,,,
54|NEW|54|1|Better Man|LITTLE BIG TOWN|2016-11-19|54|35|13|20161119,,,,,
55|60|55|8|A Little More Summertime|JASON ALDEAN|2016-10-01|69|52|12|20161119,,,,,
56|62|56|8|Sleep Without You|BRETT YOUNG|2016-10-01|89|47|18|20161119,,,,,
57|57|57|2|Million Reasons|LADY GAGA|2016-11-12|57|57|3|20161119,,,,,
58|67|47|16|Vice|MIRANDA LAMBERT|2016-08-06|47|47|19|20161119,,,,,
59|55|18|5|All We Know|THE CHAINSMOKERS featuring PHOEBE RYAN|2016-10-22|18|18|16|20161119,,,,,
60|63|54|21|Money Longer|LIL UZI VERT|2016-07-02|92|54|22|20161119,,,,,
61|64|61|11|Too Much Sauce|DJ ESCO featuring FUTURE & LIL UZI VERT|2016-09-10|94|50|20|20161119,,,,,
62|56|32|19|No Limit|USHER featuring YOUNG THUG|2016-07-16|80|32|20|20161119,,,,,
63|61|60|16|Come And See Me|PARTYNEXTDOOR featuring DRAKE|2016-08-06|98|55|22|20161119,,,,,
64|65|47|9|Fade|KANYE WEST|2016-09-24|98|47|13|20161119,,,,,
65|68|25|6|This Town|NIALL HORAN|2016-10-15|63|20|18|20161119,,,,,
66|72|66|6|Song For Another Time|OLD DOMINION|2016-10-15|92|59|18|20161119,,,,,
67|70|67|17|You Was Right|LIL UZI VERT|2016-07-30|89|40|28|20161119,,,,,
68|NEW|68|1|Froze|MEEK MILL featuring LIL UZI VERT & NICKI MINAJ|2016-11-19|68|68|1|20161119,,,,,
69|77|69|3|Dirty Laundry|CARRIE UNDERWOOD|2016-11-05|73|48|15|20161119,,,,,
70|NEW|70|1|Offended|MEEK MILL featuring YOUNG THUG & 21 SAVAGE|2016-11-19|70|70|1|20161119,,,,,
71|85|71|2|No Heart|21 SAVAGE & METRO BOOMIN|2016-11-12|85|43|14|20161119,,,,,
72|76|72|5|Wanna Be That Song|BRETT ELDREDGE|2016-10-22|98|46|17|20161119,,,,,
73|NEW|73|1|Two Birds, One Stone|DRAKE|2016-11-19|73|73|1|20161119,,,,
74|80|74|2|Love On The Brain|RIHANNA|2016-11-12|80|14|14|20161119,,,,,
75|NEW|75|1|On The Regular|MEEK MILL|2016-11-19|75|75|1|20161119,,,,,
76|73|70|7|Key To The Streets|YFN LUCCI featuring MIGOS & TROUBLE|2016-10-08|87|70|10|20161119,,,,,
77|32|32|2|Hallejujah|PENTATONIX|2016-11-12|32|23|11|20161119,,,,,
78|75|67|6|HandClap|FITZ AND THE TANTRUMS|2016-10-15|89|53|18|20161119,,,,,
79|74|74|5|Fresh Eyes|ANDY GRAMMER|2016-10-22|97|59|17|20161119,,,,,
80|83|68|6|Mercy|SHAWN MENDES|2016-10-15|68|17|18|20161119,,,,,
81|71|44|15|It Don't Hurt Like It Used To|BILLY CURRINGTON|2016-08-13|97|44|17|20161119,,,,,
82|59|52|10|I Know Somebody|LoCASH|2016-09-17|97|52|11|20161119,,,,,
83|81|78|6|Capsize|FRENSHIP & EMILY WARREN|2016-10-15|94|78|10|20161119,,,,,
84|NEW|84|1|The Difference|MEEK MILL featuring QUAVO|2016-11-19|84|84|1|20161119,,,,,
85|100|85|2|Say You Won't Let Go|JAMES ARTHUR|2016-11-12|100|30|14|20161119,,,,,
86|69|69|2|Shout Out To My Ex|LITTLE MIX|2016-11-12|69|69|2|20161119,,,,,
87|84|79|3|All Eyez|THE GAME featuring JEREMIH|2016-11-05|79|79|4|20161119,,,,,
88|NEW|88|1|Star Of The Show|THOMAS RHETT|2016-11-19|88|45|13|20161119,,,,,
89|89|89|3|How I'll Always Be|TIM McGRAW|2016-11-05|99|70|12|20161119,,,,,
90|86|85|4|Ain't My Fault|ZARA LARSSON|2016-10-29|85|76|7|20161119,,,,,
91|82|77|12|Wishing|DJ DRAMA featuring CHRIS BROWN, SKEME & LYQUIN|2016-09-03|95|77|14|20161119,,,,
92|93|92|3|80s Mercedes|MAREN MORRIS|2016-11-05|95|90|6|20161119,,,,,
93|NEW|93|1|Blue Notes|MEEK MILL|2016-11-19|93|93|1|20161119,,,,,
94|92|92|3|My Shit|A BOOGIE WIT DA HOODIE|2016-11-05|98|89|9|20161119,,,,,
95|99|95|2|What They Want|RUSS|2016-11-12|99|83|7|20161119,,,,,
96|NEW|96|1|Chantaje|SHAKIRA featuring MALUMA|2016-11-19|96|96|1|20161119,,,,,
97|NEW|97|1|Blessed Up|MEEK MILL|2016-11-19|97|97|1|20161119,,,,,
98|NEW|98|1|Love Me Now|JOHN LEGEND|2016-11-19|98|23|13|20161119,,,,,
99|87|66|16|Wat U Mean (Aye, Aye, Aye)|DAE DAE|2016-08-06|96|66|17|20161119,,,
100|NEW|100|1|Cool Girl|TOVE LO|2016-11-19|100|100|1|20161119,,,,,
1|1|1|13|Closer|THE CHAINSMOKERS featuring HALSEY|2016-08-20|9|1|26|20161112,,,,,
2|2|2|6|Starboy|THE WEEKND featuring DAFT PUNK|2016-10-08|40|1|19|20161112,,,,,
3|3|2|19|Heathens|TWENTY ONE PILOTS|2016-07-09|14|2|32|20161112,,,,,
4|4|4|12|Let Me Love You|DJ SNAKE featuring JUSTIN BIEBER|2016-08-27|12|4|25|20161112,,,,,
5|5|5|20|Broccoli|D.R.A.M. featuring LIL YACHTY|2016-07-02|87|5|33|20161112,,,,,
6|6|5|3|24K Magic|BRUNO MARS|2016-10-29|5|4|16|20161112,,,,,
7|8|7|9|Side To Side|ARIANA GRANDE featuring NICKI MINAJ|2016-09-17|31|4|22|20161112,,,,,
8|7|2|14|Cold Water|MAJOR LAZER featuring JUSTIN BIEBER & MO|2016-08-13|2|2|27|20161112,,,,,
9|13|9|4|Juju On That Beat (TZ Anthem)|ZAY HILFIGERRR & ZAYLON McCALL|2016-10-22|89|5|17|20161112,,,,,
10|11|10|28|I Hate U I Love U|GNASH featuring OLIVIA O'BRIEN|2016-05-07|93|10|39|20161112,,,,,
11|10|6|21|Treat You Better|SHAWN MENDES|2016-06-25|34|6|34|20161112,,,,,
12|12|1|37|Cheap Thrills|SIA featuring SEAN PAUL|2016-03-05|81|1|50|20161112,,,,,
13|9|9|3|Don't Wanna Know|MAROON 5 featuring KENDRICK LAMAR|2016-10-29|56|7|16|20161112,,,,,
14|18|14|13|Starving|HAILEE STEINFELD & GREY featuring ZEDD|2016-08-20|96|12|26|20161112,,,,,
15|14|13|23|Gold|KIIARA|2016-06-11|96|13|27|20161112,,,,,
16|22|16|7|Black Beatles|RAE SREMMURD featuring GUCCI MANE|2016-10-01|96|1|20|20161112,,,,,
17|15|3|36|Don't Let Me Down|THE CHAINSMOKERS featuring DAYA|2016-03-12|81|3|49|20161112,,,,,
18|17|3|26|This Is What You Came For|CALVIN HARRIS featuring RIHANNA|2016-05-21|9|3|32|20161112,,,,,
19|25|19|8|The Greatest|SIA featuring KENDRICK LAMAR|2016-09-24|52|18|21|20161112,,,,,
20|16|5|33|Ride|TWENTY ONE PILOTS|2016-04-02|96|5|39|20161112,,,,,
21|19|1|25|Can't Stop The Feeling!|JUSTIN TIMBERLAKE|2016-05-28|1|1|38|20161112,,,,,
22|21|21|9|Ooouuu|YOUNG M.A.|2016-09-17|85|19|20|20161112,,,,,
23|23|1|30|One Dance|DRAKE featuring WIZKID & KYLA|2016-04-23|21|1|36|20161112,,,,,
24|NEW|24|1|Fake Love|DRAKE|2016-11-12|24|9|14|20161112,,,,,
25|32|25|8|Caroline|AMINE|2016-09-24|96|11|21|20161112,,,,,
26|24|8|23|Send My Love (To Your New Lover)|ADELE|2016-06-11|26|8|26|20161112,,,,,
27|30|26|24|Unsteady|X AMBASSADORS|2016-06-04|99|20|34|20161112,,,,,
28|26|7|39|Needed Me|RIHANNA|2016-02-20|91|7|45|20161112,,,,,
29|20|19|18|Luv|TORY LANEZ|2016-07-16|96|19|22|20161112,,,,,
30|36|30|9|Scars To Your Beautiful|ALESSIA CARA|2016-09-17|95|10|22|20161112,,,,,
31|27|15|18|Sucker For Pain|LIL WAYNE, WIZ KHALIFA & IMAGINE DRAGONS with LOGIC, TY DOLL|2016-07-16|32|15|22|20161112,,,
32|NEW|32|1|Hallejujah|PENTATONIX|2016-11-12|32|23|11|20161112,,,,,
33|28|14|26|Too Good|DRAKE featuring RIHANNA|2016-05-21|52|14|29|20161112,,,,,
34|33|28|22|Sit Still, Look Pretty|DAYA|2016-06-18|100|28|24|20161112,,,,
35|29|9|20|We Don't Talk Anymore|CHARLIE PUTH featuring SELENA GOMEZ|2016-07-02|86|9|23|20161112,,,,,
36|31|25|20|Hymn For The Weekend|COLDPLAY|2016-07-02|88|25|21|20161112,,,,,
37|34|34|14|Tiimy Turner|DESIIGNER|2016-08-13|46|34|20|20161112,,,,,
38|NEW|38|1|Sneakin'|DRAKE featuring 21 SAVAGE|2016-11-12|38|28|14|20161112,,,,,
39|37|29|13|Setting The World On Fire|KENNY CHESNEY featuring P!NK|2016-08-20|29|29|20|20161112,,,,,
40|39|39|13|Chill Bill|ROB stone featuring J. DAVI$ & SPOOKS|2016-08-20|97|29|26|20161112,,,,,
41|35|24|6|My Way|CALVIN HARRIS|2016-10-08|24|24|10|20161112,,,,,
42|40|40|7|Blue Ain't Your Color|KEITH URBAN|2016-10-01|73|24|20|20161112,,,,,
43|38|1|36|Panda|DESIIGNER|2016-03-12|96|1|40|20161112,,,,,
44|42|39|11|In The Name Of Love|MARTIN GARRIX & BEBE REXHA|2016-09-03|93|24|23|20161112,,,,,
45|41|13|23|Into You|ARIANA GRANDE|2016-06-11|51|13|23|20161112,,,,,
46|43|43|22|No Problem|CHANCE THE RAPPER featuring LIL WAYNE & 2 CHAINZ|2016-06-18|97|43|25|20161112,,,,,
47|50|47|9|May We All|FLORIDA GEORGIA LINE featuring TIM McGRAW|2016-09-17|56|30|20|20161112,,,,,
48|46|46|14|Middle Of A Memory|COLE SWINDELL|2016-08-13|99|46|20|20161112,,,,,
49|45|16|26|Controlla|DRAKE|2016-05-21|34|16|26|20161112,,,,,
50|54|50|7|X|21 SAVAGE & METRO BOOMIN featuring FUTURE|2016-10-01|98|36|20|20161112,,,,,
51|53|51|10|Move|LUKE BRYAN|2016-09-10|100|50|14|20161112,,,,,
52|55|48|12|Do You Mind|DJ KHALED featuring NICKI MINAJ, CHRIS BROWN & AUGUST ALSINA|2016-08-27|94|27|20|20161112,,,,
53|52|52|11|1 Night|LIL YACHTY|2016-09-03|94|49|19|20161112,,,,,
54|51|43|11|Pick Up The Phone|YOUNG THUG and TRAVIS SCOTT featuring QUAVO|2016-09-03|90|43|20|20161112,,,,,
55|44|18|4|All We Know|THE CHAINSMOKERS featuring PHOEBE RYAN|2016-10-22|18|18|16|20161112,,,,,
56|48|32|18|No Limit|USHER featuring YOUNG THUG|2016-07-16|80|32|20|20161112,,,,,
57|NEW|57|1|Million Reasons|LADY GAGA|2016-11-12|57|57|3|20161112,,,,,
58|59|58|3|All Time Low|JON BELLION|2016-10-29|82|16|16|20161112,,,,,
59|56|52|9|I Know Somebody|LoCASH|2016-09-17|97|52|11|20161112,,,,,
60|57|57|7|A Little More Summertime|JASON ALDEAN|2016-10-01|69|52|12|20161112,,,,,
61|60|60|15|Come And See Me|PARTYNEXTDOOR featuring DRAKE|2016-08-06|98|55|22|20161112,,,,,
62|61|61|7|Sleep Without You|BRETT YOUNG|2016-10-01|89|47|18|20161112,,,,,
63|58|54|20|Money Longer|LIL UZI VERT|2016-07-02|92|54|22|20161112,,,,,
64|63|63|10|Too Much Sauce|DJ ESCO featuring FUTURE & LIL UZI VERT|2016-09-10|94|50|20|20161112,,,,,
65|64|47|8|Fade|KANYE WEST|2016-09-24|98|47|13|20161112,,,,,
66|NEW|66|1|A-YO|LADY GAGA|2016-11-12|66|66|1|20161112,,,,,
67|66|47|15|Vice|MIRANDA LAMBERT|2016-08-06|47|47|19|20161112,,,,,
68|65|25|5|This Town|NIALL HORAN|2016-10-15|63|20|18|20161112,,,,,
69|NEW|69|1|Shout Out To My Ex|LITTLE MIX|2016-11-12|69|69|2|20161112,,,,,
70|71|70|16|You Was Right|LIL UZI VERT|2016-07-30|89|40|28|20161112,,,,,
71|62|44|14|It Don't Hurt Like It Used To|BILLY CURRINGTON|2016-08-13|97|44|17|20161112,,,,,
72|69|69|5|Song For Another Time|OLD DOMINION|2016-10-15|92|59|18|20161112,,,,,
73|70|70|6|Key To The Streets|YFN LUCCI featuring MIGOS & TROUBLE|2016-10-08|87|70|10|20161112,,,,,
74|74|74|4|Fresh Eyes|ANDY GRAMMER|2016-10-22|97|59|17|20161112,,,,,
75|67|67|5|HandClap|FITZ AND THE TANTRUMS|2016-10-15|89|53|18|20161112,,,,,
76|76|76|4|Wanna Be That Song|BRETT ELDREDGE|2016-10-22|98|46|17|20161112,,,,,
77|73|73|2|Dirty Laundry|CARRIE UNDERWOOD|2016-11-05|73|48|15|20161112,,,,,
78|NEW|78|1|Perfect Illusion|LADY GAGA|2016-11-12|78|78|1|20161112,,,,,
79|NEW|79|1|Say It|FLUME featuring TOVE LO|2016-11-12|79|79|1|20161112,,,,,
80|NEW|80|1|Love On The Brain|RIHANNA|2016-11-12|80|14|14|20161112,,,,,
81|78|78|5|Capsize|FRENSHIP & EMILY WARREN|2016-10-15|94|78|10|20161112,,,,,
82|77|77|11|Wishing|DJ DRAMA featuring CHRIS BROWN, SKEME & LYQUIN|2016-09-03|95|77|14|20161112,,,,
83|84|68|5|Mercy|SHAWN MENDES|2016-10-15|68|17|18|20161112,,,,,
84|79|79|2|All Eyez|THE GAME featuring JEREMIH|2016-11-05|79|79|4|20161112,,,,,
85|NEW|85|1|No Heart|21 SAVAGE & METRO BOOMIN|2016-11-12|85|43|14|20161112,,,,,
86|85|85|3|Ain't My Fault|ZARA LARSSON|2016-10-29|85|76|7|20161112,,,,,
87|81|66|15|Wat U Mean (Aye, Aye, Aye)|DAE DAE|2016-08-06|96|66|17|20161112,,,
88|75|26|14|This Girl|KUNGS vs COOKIN' ON 3 BURNERS|2016-08-13|91|26|14|20161112,,,,,
89|99|89|2|How I'll Always Be|TIM McGRAW|2016-11-05|99|70|12|20161112,,,,,
90|82|69|8|Hold Up|BEYONCE|2016-09-24|69|69|8|20161112,,,,,
91|88|88|2|Why You Always Hatin?|YG featuring DRAKE & KAMAIYAH|2016-11-05|88|88|2|20161112,,,,,
92|98|92|2|My Shit|A BOOGIE WIT DA HOODIE|2016-11-05|98|89|9|20161112,,,,,
93|95|93|2|80s Mercedes|MAREN MORRIS|2016-11-05|95|90|6|20161112,,,,,
94|87|85|5|CRZY|KEHLANI|2016-10-15|95|85|5|20161112,,,,,
95|NEW|95|1|Greenlight|PITBULL featuring FLO RIDA & LUNCHMONEY LEWIS|2016-11-12|95|95|1|20161112,,,,,
96|97|96|2|Lockjaw|FRENCH MONTANA featuring KODAK BLACK|2016-11-05|97|96|2|20161112,,,,,
97|92|58|16|You & Me|MARC E. BASSY featuring G-EAZY|2016-07-30|91|58|16|20161112,,,,,
98|100|98|2|Goosebumps|TRAVIS SCOTT|2016-11-05|100|98|2|20161112,,,,,
99|NEW|99|1|What They Want|RUSS|2016-11-12|99|83|7|20161112,,,,,
100|NEW|100|1|Say You Won't Let Go|JAMES ARTHUR|2016-11-12|100|30|14|20161112,,,,,
1|1|1|12|Closer|THE CHAINSMOKERS featuring HALSEY|2016-08-20|9|1|26|20161105,,,,,
2|2|2|5|Starboy|THE WEEKND featuring DAFT PUNK|2016-10-08|40|1|19|20161105,,,,,
3|3|2|18|Heathens|TWENTY ONE PILOTS|2016-07-09|14|2|32|20161105,,,,,
4|4|4|11|Let Me Love You|DJ SNAKE featuring JUSTIN BIEBER|2016-08-27|12|4|25|20161105,,,,,
5|6|5|19|Broccoli|D.R.A.M. featuring LIL YACHTY|2016-07-02|87|5|33|20161105,,,,,
6|5|5|2|24K Magic|BRUNO MARS|2016-10-29|5|4|16|20161105,,,,,
7|7|2|13|Cold Water|MAJOR LAZER featuring JUSTIN BIEBER & MO|2016-08-13|2|2|27|20161105,,,,,
8|10|8|8|Side To Side|ARIANA GRANDE featuring NICKI MINAJ|2016-09-17|31|4|22|20161105,,,,,
9|56|9|2|Don't Wanna Know|MAROON 5 featuring KENDRICK LAMAR|2016-10-29|56|7|16|20161105,,,,,
10|8|6|20|Treat You Better|SHAWN MENDES|2016-06-25|34|6|34|20161105,,,,,
11|12|10|27|I Hate U I Love U|GNASH featuring OLIVIA O'BRIEN|2016-05-07|93|10|39|20161105,,,,,
12|9|1|36|Cheap Thrills|SIA featuring SEAN PAUL|2016-03-05|81|1|50|20161105,,,,,
13|11|11|3|Juju On That Beat (TZ Anthem)|ZAY HILFIGERRR & ZAYLON McCALL|2016-10-22|89|5|17|20161105,,,,,
14|15|13|22|Gold|KIIARA|2016-06-11|96|13|27|20161105,,,,,
15|13|3|35|Don't Let Me Down|THE CHAINSMOKERS featuring DAYA|2016-03-12|81|3|49|20161105,,,,,
16|16|5|32|Ride|TWENTY ONE PILOTS|2016-04-02|96|5|39|20161105,,,,,
17|14|3|25|This Is What You Came For|CALVIN HARRIS featuring RIHANNA|2016-05-21|9|3|32|20161105,,,,,
18|20|18|12|Starving|HAILEE STEINFELD & GREY featuring ZEDD|2016-08-20|96|12|26|20161105,,,,,
19|22|1|24|Can't Stop The Feeling!|JUSTIN TIMBERLAKE|2016-05-28|1|1|38|20161105,,,,,
20|21|19|17|Luv|TORY LANEZ|2016-07-16|96|19|22|20161105,,,,,
21|28|21|8|Ooouuu|YOUNG M.A.|2016-09-17|85|19|20|20161105,,,,,
22|33|22|6|Black Beatles|RAE SREMMURD featuring GUCCI MANE|2016-10-01|96|1|20|20161105,,,,,
23|17|1|29|One Dance|DRAKE featuring WIZKID & KYLA|2016-04-23|21|1|36|20161105,,,,,
24|19|8|22|Send My Love (To Your New Lover)|ADELE|2016-06-11|26|8|26|20161105,,,,,
25|25|24|7|The Greatest|SIA featuring KENDRICK LAMAR|2016-09-24|52|18|21|20161105,,,,,
26|18|7|38|Needed Me|RIHANNA|2016-02-20|91|7|45|20161105,,,,,
27|23|15|17|Sucker For Pain|LIL WAYNE, WIZ KHALIFA & IMAGINE DRAGONS with LOGIC, TY DOLL|2016-07-16|32|15|22|20161105,,,
28|24|14|25|Too Good|DRAKE featuring RIHANNA|2016-05-21|52|14|29|20161105,,,,,
29|26|9|19|We Don't Talk Anymore|CHARLIE PUTH featuring SELENA GOMEZ|2016-07-02|86|9|23|20161105,,,,,
30|29|26|23|Unsteady|X AMBASSADORS|2016-06-04|99|20|34|20161105,,,,,
31|27|25|19|Hymn For The Weekend|COLDPLAY|2016-07-02|88|25|21|20161105,,,,,
32|35|32|7|Caroline|AMINE|2016-09-24|96|11|21|20161105,,,,,
33|31|28|21|Sit Still, Look Pretty|DAYA|2016-06-18|100|28|24|20161105,,,,
34|37|34|13|Tiimy Turner|DESIIGNER|2016-08-13|46|34|20|20161105,,,,,
35|30|24|5|My Way|CALVIN HARRIS|2016-10-08|24|24|10|20161105,,,,,
36|42|36|8|Scars To Your Beautiful|ALESSIA CARA|2016-09-17|95|10|22|20161105,,,,,
37|36|29|12|Setting The World On Fire|KENNY CHESNEY featuring P!NK|2016-08-20|29|29|20|20161105,,,,,
38|32|1|35|Panda|DESIIGNER|2016-03-12|96|1|40|20161105,,,,,
39|44|39|12|Chill Bill|ROB stone featuring J. DAVI$ & SPOOKS|2016-08-20|97|29|26|20161105,,,,,
40|40|40|6|Blue Ain't Your Color|KEITH URBAN|2016-10-01|73|24|20|20161105,,,,,
41|34|13|22|Into You|ARIANA GRANDE|2016-06-11|51|13|23|20161105,,,,,
42|39|39|10|In The Name Of Love|MARTIN GARRIX & BEBE REXHA|2016-09-03|93|24|23|20161105,,,,,
43|49|43|21|No Problem|CHANCE THE RAPPER featuring LIL WAYNE & 2 CHAINZ|2016-06-18|97|43|25|20161105,,,,,
44|38|18|3|All We Know|THE CHAINSMOKERS featuring PHOEBE RYAN|2016-10-22|18|18|16|20161105,,,,,
45|43|16|25|Controlla|DRAKE|2016-05-21|34|16|26|20161105,,,,,
46|51|46|13|Middle Of A Memory|COLE SWINDELL|2016-08-13|99|46|20|20161105,,,,,
47|41|13|20|For Free|DJ KHALED featuring DRAKE|2016-06-25|18|13|20|20161105,,,,,
48|45|32|17|No Limit|USHER featuring YOUNG THUG|2016-07-16|80|32|20|20161105,,,,,
49|46|4|34|Work From Home|FIFTH HARMONY featuring TY DOLLA $IGN|2016-03-19|12|4|34|20161105,,,,,
50|59|50|8|May We All|FLORIDA GEORGIA LINE featuring TIM McGRAW|2016-09-17|56|30|20|20161105,,,,,
51|47|43|10|Pick Up The Phone|YOUNG THUG and TRAVIS SCOTT featuring QUAVO|2016-09-03|90|43|20|20161105,,,,,
52|57|52|10|1 Night|LIL YACHTY|2016-09-03|94|49|19|20161105,,,,,
53|58|53|9|Move|LUKE BRYAN|2016-09-10|100|50|14|20161105,,,,,
54|71|54|6|X|21 SAVAGE & METRO BOOMIN featuring FUTURE|2016-10-01|98|36|20|20161105,,,,,
55|48|48|11|Do You Mind|DJ KHALED featuring NICKI MINAJ, CHRIS BROWN & AUGUST ALSINA|2016-08-27|94|27|20|20161105,,,,
56|52|52|8|I Know Somebody|LoCASH|2016-09-17|97|52|11|20161105,,,,,
57|63|57|6|A Little More Summertime|JASON ALDEAN|2016-10-01|69|52|12|20161105,,,,,
58|72|54|19|Money Longer|LIL UZI VERT|2016-07-02|92|54|22|20161105,,,,,
59|82|59|2|All Time Low|JON BELLION|2016-10-29|82|16|16|20161105,,,,,
60|62|60|14|Come And See Me|PARTYNEXTDOOR featuring DRAKE|2016-08-06|98|55|22|20161105,,,,,
61|68|61|6|Sleep Without You|BRETT YOUNG|2016-10-01|89|47|18|20161105,,,,,
62|53|44|13|It Don't Hurt Like It Used To|BILLY CURRINGTON|2016-08-13|97|44|17|20161105,,,,,
63|66|63|9|Too Much Sauce|DJ ESCO featuring FUTURE & LIL UZI VERT|2016-09-10|94|50|20|20161105,,,,,
64|64|47|7|Fade|KANYE WEST|2016-09-24|98|47|13|20161105,,,,,
65|54|25|4|This Town|NIALL HORAN|2016-10-15|63|20|18|20161105,,,,,
66|67|47|14|Vice|MIRANDA LAMBERT|2016-08-06|47|47|19|20161105,,,,,
67|80|67|4|HandClap|FITZ AND THE TANTRUMS|2016-10-15|89|53|18|20161105,,,,,
68|NEW|68|1|False Alarm|THE WEEKND|2016-11-05|68|68|1|20161105,,,,,
69|81|69|4|Song For Another Time|OLD DOMINION|2016-10-15|92|59|18|20161105,,,,,
70|74|70|5|Key To The Streets|YFN LUCCI featuring MIGOS & TROUBLE|2016-10-08|87|70|10|20161105,,,,,
71|73|71|15|You Was Right|LIL UZI VERT|2016-07-30|89|40|28|20161105,,,,,
72|NEW|72|1|Blow Your Mind (Mwah)|DUA LIPA|2016-11-05|72|72|1|20161105,,,,,
73|NEW|73|1|Dirty Laundry|CARRIE UNDERWOOD|2016-11-05|73|48|15|20161105,,,,,
74|84|74|3|Fresh Eyes|ANDY GRAMMER|2016-10-22|97|59|17|20161105,,,,,
75|65|26|13|This Girl|KUNGS vs COOKIN' ON 3 BURNERS|2016-08-13|91|26|14|20161105,,,,,
76|93|76|3|Wanna Be That Song|BRETT ELDREDGE|2016-10-22|98|46|17|20161105,,,,,
77|79|77|10|Wishing|DJ DRAMA featuring CHRIS BROWN, SKEME & LYQUIN|2016-09-03|95|77|14|20161105,,,,
78|91|78|4|Capsize|FRENSHIP & EMILY WARREN|2016-10-15|94|78|10|20161105,,,,,
79|NEW|79|1|All Eyez|THE GAME featuring JEREMIH|2016-11-05|79|79|4|20161105,,,,,
80|NEW|80|1|Bad Things|MACHINE GUN KELLY x CAMILA CABELLO|2016-11-05|80|80|1|20161105,,,,,
81|86|66|14|Wat U Mean (Aye, Aye, Aye)|DAE DAE|2016-08-06|96|66|17|20161105,,,
82|83|69|7|Hold Up|BEYONCE|2016-09-24|69|69|8|20161105,,,,,
83|75|42|19|Different For Girls|DIERKS BENTLEY featuring ELLE KING|2016-07-02|99|42|19|20161105,,,,,
84|89|68|4|Mercy|SHAWN MENDES|2016-10-15|68|17|18|20161105,,,,,
85|85|85|2|Ain't My Fault|ZARA LARSSON|2016-10-29|85|76|7|20161105,,,,,
86|92|40|19|THat Part|SCHOOLBOY Q featuring KANYE WEST|2016-07-02|76|40|19|20161105,,,,,
87|90|85|4|CRZY|KEHLANI|2016-10-15|95|85|5|20161105,,,,,
88|NEW|88|1|Why You Always Hatin?|YG featuring DRAKE & KAMAIYAH|2016-11-05|88|88|2|20161105,,,,,
89|88|24|18|All In My Head (Flex)|FIFTH HARMONY featuring FETTY WAP|2016-07-09|78|24|18|20161105,,,,,
90|100|41|11|Gangsta|KEHLANI|2016-08-27|62|41|11|20161105,,,,,
91|69|62|10|Rock On|TUCKER BEATHARD|2016-09-03|98|62|10|20161105,,,,,
92|87|58|15|You & Me|MARC E. BASSY featuring G-EAZY|2016-07-30|91|58|16|20161105,,,,,
93|NEW|93|1|Alone|MARSHMELLO|2016-11-05|93|93|1|20161105,,,,,
94|78|60|9|I Met A Girl|WILLIAM MICHAEL MORGAN|2016-09-10|99|60|9|20161105,,,,,
95|NEW|95|1|80s Mercedes|MAREN MORRIS|2016-11-05|95|90|6|20161105,,,,,
96|98|30|17|I Got The Keys|DJ KHALED featuring JAY Z & FUTURE|2016-07-16|56|30|17|20161105,,,,,
97|NEW|97|1|Lockjaw|FRENCH MONTANA featuring KODAK BLACK|2016-11-05|97|96|2|20161105,,,,,
98|NEW|98|1|My Shit|A BOOGIE WIT DA HOODIE|2016-11-05|98|89|9|20161105,,,,,
99|NEW|99|1|How I'll Always Be|TIM McGRAW|2016-11-05|99|70|12|20161105,,,,,
100|NEW|100|1|Goosebumps|TRAVIS SCOTT|2016-11-05|100|98|2|20161105,,,,,
1|1|1|11|Closer|THE CHAINSMOKERS featuring HALSEY|2016-08-20|9|1|26|20161029,,,,,
2|2|2|4|Starboy|THE WEEKND featuring DAFT PUNK|2016-10-08|40|1|19|20161029,,,,,
3|3|2|17|Heathens|TWENTY ONE PILOTS|2016-07-09|14|2|32|20161029,,,,,
4|5|4|10|Let Me Love You|DJ SNAKE featuring JUSTIN BIEBER|2016-08-27|12|4|25|20161029,,,,,
5|NEW|5|1|24K Magic|BRUNO MARS|2016-10-29|5|4|16|20161029,,,,,
6|6|6|18|Broccoli|D.R.A.M. featuring LIL YACHTY|2016-07-02|87|5|33|20161029,,,,,
7|4|2|12|Cold Water|MAJOR LAZER featuring JUSTIN BIEBER & MO|2016-08-13|2|2|27|20161029,,,,,
8|7|6|19|Treat You Better|SHAWN MENDES|2016-06-25|34|6|34|20161029,,,,,
9|8|1|35|Cheap Thrills|SIA featuring SEAN PAUL|2016-03-05|81|1|50|20161029,,,,,
10|12|10|7|Side To Side|ARIANA GRANDE featuring NICKI MINAJ|2016-09-17|31|4|22|20161029,,,,,
11|89|11|2|Juju On That Beat (TZ Anthem)|ZAY HILFIGERRR & ZAYLON McCALL|2016-10-22|89|5|17|20161029,,,,,
12|10|10|26|I Hate U I Love U|GNASH featuring OLIVIA O'BRIEN|2016-05-07|93|10|39|20161029,,,,,
13|9|3|34|Don't Let Me Down|THE CHAINSMOKERS featuring DAYA|2016-03-12|81|3|49|20161029,,,,,
14|11|3|24|This Is What You Came For|CALVIN HARRIS featuring RIHANNA|2016-05-21|9|3|32|20161029,,,,,
15|13|13|21|Gold|KIIARA|2016-06-11|96|13|27|20161029,,,,,
