date,url,venue,artist
"<time datetime=""2017-02-04T19:00:00-0500""></time>",https://www.songkick.com/metro_areas/4120-us-atlanta,The Office Lounge,Sacred Hollow
"<time datetime=""2017-02-04T22:00:00-0500""></time>",https://www.songkick.com/metro_areas/9776-us-miami,Bardot,Joakim
"<time datetime=""2017-02-04T10:00:00-0500""></time>",https://www.songkick.com/metro_areas/9776-us-miami,E11even Miami,Jason Lema
"<time datetime=""2017-02-04T23:00:00-0500""></time>",https://www.songkick.com/metro_areas/9776-us-miami,"The Wall, W Hotel",Chicco Secci and Antonio Giacca
"<time datetime=""2017-02-04T23:15:00-0500""></time>",https://www.songkick.com/metro_areas/9776-us-miami,Heart Nightclub,Kevin Reinoso
"<time datetime=""2017-02-04T23:00:00-0500""></time>",https://www.songkick.com/metro_areas/9776-us-miami,Story,Chachi
"<time datetime=""2017-02-04T19:00:00-0500""></time>",https://www.songkick.com/metro_areas/9776-us-miami,World of Beer - Dadeland,Zander (US)
"<time datetime=""2017-02-05T10:00:00-0500""></time>",https://www.songkick.com/metro_areas/9776-us-miami,E11even Miami,ESP
"<time datetime=""2017-02-04""></time>",https://www.songkick.com/metro_areas/18842-us-boston-cambridge,Paradise Rock Club,Nothing
"<time datetime=""2017-02-04T18:30:00-0500""></time>",https://www.songkick.com/metro_areas/18842-us-boston-cambridge,Brighton Music Hall,Whiskey Myers and The Wans
"<time datetime=""2017-02-04T20:30:00-0500""></time>",https://www.songkick.com/metro_areas/18842-us-boston-cambridge,Wonderland Ballroom,Gerardo Ortíz
"<time datetime=""2017-02-04T20:00:00-0500""></time>",https://www.songkick.com/metro_areas/18842-us-boston-cambridge,The Sinclair,The Ballroom Thieves
"<time datetime=""2017-02-04T19:30:00-0500""></time>",https://www.songkick.com/metro_areas/18842-us-boston-cambridge,"Red Room, Cafe 939, Berklee College of Music",Why Don't We
"<time datetime=""2017-02-04T20:00:00-0500""></time>",https://www.songkick.com/metro_areas/18842-us-boston-cambridge,The Spire Center for Performing Arts,Mieka Pauley
"<time datetime=""2017-02-03T20:00:00-0500""></time>",https://www.songkick.com/metro_areas/7644-us-new-york,Baby's All Right,Jay Prince
"<time datetime=""2017-02-03T20:00:00-0500""></time>",https://www.songkick.com/metro_areas/7644-us-new-york,House of Independents,Brian Fallon & the Crowes and Brian Fallon
"<time datetime=""2017-02-03T22:00:00-0500""></time>",https://www.songkick.com/metro_areas/7644-us-new-york,Good Room,Nosaj Thing (DJ Set)
"<time datetime=""2017-02-03T20:00:00-0500""></time>",https://www.songkick.com/metro_areas/7644-us-new-york,The Gateway,Jeff Rosenstock
"<time datetime=""2017-02-04T21:00:00-0600""></time>",https://www.songkick.com/metro_areas/11104-us-nashville,Cannery Ballroom,The Devil Makes Three
"<time datetime=""2017-02-04T16:45:00-0600""></time>",https://www.songkick.com/metro_areas/11104-us-nashville,Ryman Auditorium,Chris Thile
"<time datetime=""2017-02-04T21:00:00-0600""></time>",https://www.songkick.com/metro_areas/11104-us-nashville,Mercy Lounge,Papadosio
"<time datetime=""2017-02-04T17:30:00-0600""></time>",https://www.songkick.com/metro_areas/11104-us-nashville,The Bluebird Café,Sarah Darling
"<time datetime=""2017-02-04""></time>",https://www.songkick.com/metro_areas/11104-us-nashville,Grand Ole Opry House,Steve Wariner
"<time datetime=""2017-02-04T19:00:00-0600""></time>",https://www.songkick.com/metro_areas/11104-us-nashville,12th and Porter,Big Something
"<time datetime=""2017-02-04T20:00:00-0600""></time>",https://www.songkick.com/metro_areas/11104-us-nashville,Schermerhorn Symphony Center,Michael Feinstein and Nashville Symphony
"<time datetime=""2017-02-04T20:00:00-0800""></time>",https://www.songkick.com/metro_areas/17835-us-los-angeles,The Coach House,Marc Cohn
"<time datetime=""2017-02-04T21:00:00-0800""></time>",https://www.songkick.com/metro_areas/17835-us-los-angeles,The Roxy Theatre,Kitten
"<time datetime=""2017-02-04T21:00:00-0800""></time>",https://www.songkick.com/metro_areas/17835-us-los-angeles,99 Bottles & Cocktails,MC Magic
"<time datetime=""2017-02-04T20:00:00-0800""></time>",https://www.songkick.com/metro_areas/17835-us-los-angeles,Troubadour,Leroy Sanchez
"<time datetime=""2017-02-04T22:00:00-0800""></time>",https://www.songkick.com/metro_areas/17835-us-los-angeles,Avalon,Project 46
"<time datetime=""2017-02-04T22:00:00-0800""></time>",https://www.songkick.com/metro_areas/17835-us-los-angeles,Sound Nightclub,Sharam
"<time datetime=""2017-02-04T23:00:00-0600""></time>",https://www.songkick.com/metro_areas/9426-us-chicago,Vic Theatre,Chris D’Elia
"<time datetime=""2017-02-04T20:30:00-0600""></time>",https://www.songkick.com/metro_areas/9426-us-chicago,Beat Kitchen,Wray
"<time datetime=""2017-02-04T20:00:00-0600""></time>",https://www.songkick.com/metro_areas/9426-us-chicago,S.P.A.C.E.,Justin Furstenfeld
"<time datetime=""2017-02-04""></time>",https://www.songkick.com/metro_areas/9426-us-chicago,1st Ward / Chop Shop,CRi
"<time datetime=""2017-02-04""></time>",https://www.songkick.com/metro_areas/9426-us-chicago,Martyrs',"Crisp, Fat Night, and PolySci"
"<time datetime=""2017-02-04T21:00:00-0600""></time>",https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,The Bucket,Van Darien
"<time datetime=""2017-02-04""></time>",https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,Shipping & Receiving,North By North
"<time datetime=""2017-02-04""></time>",https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,Zin Zen Wine Bar,Chant Duplantier
"<time datetime=""2017-02-04""></time>",https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,Chief Records,The Gibbonses
"<time datetime=""2017-02-04T19:00:00-0600""></time>",https://www.songkick.com/metro_areas/15073-us-houston,Old Quarter Acoustic Café,Scott H. Biram
"<time datetime=""2017-02-04T18:00:00-0600""></time>",https://www.songkick.com/metro_areas/15073-us-houston,Super Bowl Live,The Suffers
"<time datetime=""2017-02-04""></time>",https://www.songkick.com/metro_areas/15073-us-houston,Post Htx,"No Regular Play, Thalab, and métrika"
"<time datetime=""2017-02-04T21:00:00-0600""></time>",https://www.songkick.com/metro_areas/15073-us-houston,Scout Bar,The Weeds
"<time datetime=""2017-02-04""></time>",https://www.songkick.com/metro_areas/15073-us-houston,Mo's Place,Southern County Line and George Strait & Friends Tribute
"<time datetime=""2017-02-04T14:00:00-0600""></time>",https://www.songkick.com/metro_areas/15073-us-houston,Satellite Bar,Karina Nistal
"<time datetime=""2017-02-04T21:00:00-0600""></time>",https://www.songkick.com/metro_areas/15073-us-houston,Fitzgerald's,Soul Creatures and Cuba Gooding Sr.
"<time datetime=""2017-02-04T21:30:00-0500""></time>",https://www.songkick.com/metro_areas/1409-us-washington,Hill Country BBQ - Washington,The Woodshedders and Scott Kurt & Memphis 59
"<time datetime=""2017-02-04T19:00:00-0500""></time>",https://www.songkick.com/metro_areas/1409-us-washington,State Theatre,The Stranger: A Tribute To Billy Joel
"<time datetime=""2017-02-04""></time>",https://www.songkick.com/metro_areas/1409-us-washington,Warner Theatre,Walker Hayes
"<time datetime=""2017-02-04T10:30:00-0500""></time>",https://www.songkick.com/metro_areas/1409-us-washington,Jammin' Java,Mr. Jon & Friends
"<time datetime=""2017-02-04T09:00:00-0500""></time>",https://www.songkick.com/metro_areas/1409-us-washington,Outta The Way Cafe,Sandra Dean and SANDRA DEAN BAND
"<time datetime=""2017-02-04T20:00:00-0500""></time>",https://www.songkick.com/metro_areas/5202-us-philadelphia,Boot & Saddle,The End of America
"<time datetime=""2017-02-04T19:00:00-0500""></time>",https://www.songkick.com/metro_areas/5202-us-philadelphia,Trocadero Theatre,Dirkschneider
"<time datetime=""2017-02-04T20:00:00-0500""></time>",https://www.songkick.com/metro_areas/5202-us-philadelphia,Ortlieb's,"Tiny Vices, Hold Down The Ocean, Worst Ones, and Sold"
"<time datetime=""2017-02-04""></time>",https://www.songkick.com/metro_areas/5202-us-philadelphia,World Café Live,"Dani Mari, Lovers League, Reverend TJ McGlinchey, and Christopher Davis-Shannon"
"<time datetime=""2017-02-04""></time>",https://www.songkick.com/metro_areas/5202-us-philadelphia,The Grape Room,West King String Band
"<time datetime=""2017-02-04T19:00:00-0500""></time>",https://www.songkick.com/metro_areas/4120-us-atlanta,120 Tavern & Music Hall,"The Bone Church, TACH, Icarus Syndrome, and Dead Reckoning"
"<time datetime=""2017-02-04T22:00:00-0500""></time>",https://www.songkick.com/metro_areas/4120-us-atlanta,Gold Room Nightclub,DJ EU
"<time datetime=""2017-02-04T22:00:00-0500""></time>",https://www.songkick.com/metro_areas/4120-us-atlanta,40 Watt Club,DJ Immuzikation
"<time datetime=""2017-02-04T21:00:00-0500""></time>",https://www.songkick.com/metro_areas/4120-us-atlanta,Smith's Olde Bar,Letters To Alan
"<time datetime=""2017-02-04T18:30:00-0500""></time>",https://www.songkick.com/metro_areas/4120-us-atlanta,Venkman's,Katie Martin
"<time datetime=""2017-02-04T22:00:00-0500""></time>",https://www.songkick.com/metro_areas/4120-us-atlanta,Go Bar,"Electric Nature, Nonconnah, Leisure Service, and Third Eye Stir Fry"
"<time datetime=""2017-02-05T17:00:00-0500""></time>",https://www.songkick.com/metro_areas/4120-us-atlanta,Eddie's Attic,Francine Reed
"<time datetime=""2017-02-05T19:00:00-0500""></time>",https://www.songkick.com/metro_areas/9776-us-miami,Mardi Gras Casino,33 Years
"<time datetime=""2017-02-05""></time>",https://www.songkick.com/metro_areas/9776-us-miami,The River Yacht Club,Robbie Rivera
