ground_strikes_landed,strikes_avoided_pct,attempted_strikes,weight,passes,hometown,age,reach,leg_reach,fighter_name,submissions,takedowns_defended_pct,successful_takedowns,attempted_takedowns,sweeps,fight_out_of,height,standing_strikes_landed,fight_record,other_strikes_landed
,,,None,,None,None,None,None,aaron-Steed,,,,,,None,None,,None,
2,52,65,135 lb ( 61 kg ),10,Zgierz Poland,26,"70""","40""",damian-stasiak,3,N/A		,7,13,2,Lodz Poland,"5' 8"" ( 172 cm )",17,10-3-0,7
3,59,136,185 lb ( 84 kg ),3,"Sacramento, California USA",35,None,None,clifford-Starks,0,60,3,3,1,"Tempe, Arizona USA","6' 0"" ( 182 cm )",35,None,7
43,53,286,185 lb ( 84 kg ),4,"Surrey, British Columbia Canada",42,None,None,kalib-Starnes,2,25,5,15,1,None,"6' 3"" ( 190 cm )",69,None,27
22,57,173,205 lb ( 93 kg ),5,"East Liverpool, Ohio USA",32,"74""",None,joshua-stansbury,2,88,0,4,0,"East Liverpool, Ohio USA","6' 2"" ( 187 cm )",60,8-4-0,15
112,59,1002,185 lb ( 84 kg ),1,"Yokota Airbase Japan, Western Tokyo Japan",36,None,None,brian-Stann,3,61,1,8,1,"Scranton , PA USA","6' 1"" ( 185 cm )",225,None,89
2,52,88,115 lb ( 52 kg ),0,Bucharest Romania,22,"64""","39""",cristina-Stanciu,2,40,1,1,0,Bucharest Romania,"5' 5"" ( 165 cm )",34,None,8
22,51,138,185 lb ( 84 kg ),1,"Durham, North Carolina USA",34,"75""",None,ron-stallings,0,71,0,0,0,"Camp Springs, Maryland USA","6' 0"" ( 182 cm )",59,None,3
96,73,2351,170 lb ( 77 kg ),117,"Montreal, Quebec Canada",35,None,None,georges-St-Pierre,23,84,87,118,5,"Montreal, Quebec Canada","5' 11"" ( 180 cm )",716,None,442
13,58,145,170 lb ( 77 kg ),0,Skelleftea Sweden,28,"73""","42""",andreas-Stahl,0,80,2,3,0,Umea Sweden,"5' 11"" ( 180 cm )",40,9-2-0,2
18,55,106,170 lb ( 77 kg ),6,"Denison, TX USA",46,None,None,pete-Spratt,1,46,1,1,3,None,"5' 9"" ( 175 cm )",24,None,19
6,54,51,205 lb ( 93 kg ),2,"New Concord, Ohio USA",32,"78""",None,daniel-spohn,2,29,0,1,0,"Columbus, Ohio USA","6' 4"" ( 193 cm )",17,8-4-0,1
3,58,20,185 lb ( 84 kg ),2,"Stoughton, Massachusetts USA",30,"73""","41""",eric-spicely,2,N/A		,2,9,0,"Olneyville, Rhode Island USA","6' 1"" ( 185 cm )",7,10-2-0,3
49,61,1406,170 lb ( 77 kg ),5,"Bluefield, Virginia USA",29,"75""","41""",sean-Spencer,0,69,1,3,1,"Dallas, Texas USA","5' 10"" ( 177 cm )",391,12-6-0,16
,,,None,,None,None,None,None,randy-Spence,,,,,,None,None,,None,
None,36,37,170 lb ( 77 kg ),1,"Rochester, Minnesota USA",32,None,None,tommy-Speer,0,33,1,3,0,None,"5' 10"" ( 177 cm )",5,None,None
None,60,57,170 lb ( 77 kg ),0,Vaxjo Sweden,29,None,None,chris-Spang,0,50,0,0,0,"Las Vegas, Nevada USA","6' 2"" ( 187 cm )",1,None,None
21,65,283,185 lb ( 84 kg ),21,Espiritos Santos Brazil,37,"72""","41""",ronaldo-Souza,6,58,10,29,1,Rio de Janeiro Brazil,"6' 1"" ( 185 cm )",60,"23-4-0, 1NC",78
,,,None,,None,None,None,None,brian-Stromberg,,,,,,None,None,,None,
19,42,128,205 lb ( 93 kg ),2,Rhenen The Netherlands,29,"73""",None,hans-Stringer,0,63,4,11,0,Rhen Netherlands,"6' 3"" ( 190 cm )",34,None,26
33,66,912,170 lb ( 77 kg ),6,"Anaheim, California USA",25,"76""","41""",sean-Strickland,3,72,8,16,0,"Corona, California USA","6' 1"" ( 185 cm )",254,18-1-0,53
None,39,0,154 lb ( 70 kg ),0,USA,None,None,None,gerald-Strebendt,3,N/A		,0,0,0,None,None,None,None,None
15,59,136,170 lb ( 77 kg ),1,"Milwaukee, Wisconsin USA",47,None,None,dave-Strasser,0,33,1,3,0,None,"5' 10"" ( 177 cm )",23,None,24
93,57,3444,155 lb ( 70 kg ),9,"London, Ontario Canada",32,"70""",None,sam-Stout,2,78,10,26,1,"London, Ontario Canada","5' 9"" ( 175 cm )",856,None,46
None,29,10,185 lb ( 84 kg ),0,"Poughkeepsie, New York - USA USA",43,None,None,curtis-Stout,0,20,0,0,0,None,"6' 1"" ( 185 cm )",1,None,None
,,,None,,USA,None,None,None,greg-Stott,,,,,,None,None,,None,
201,63,2158,170 lb ( 77 kg ),28,"Tacoma, WA USA",32,"71""","40""",rick-Story,14,63,40,83,5,"Vancouver, Washington USA","5' 10"" ( 177 cm )",548,19-9-0,152
None,71,11,None,0,None,None,None,None,ryan-Stonitsch,0,N/A		,0,0,1,None,None,3,None,None
3,37,99,235 lb ( 106 kg ),0,Sarajevo Bosnia,37,None,None,denis-Stojnic,1,80,0,0,0,None,"5' 11"" ( 180 cm )",4,None,16
24,49,188,135 lb ( 61 kg ),2,"Holliston, MA USA",34,None,None,ken-Stone,1,60,2,6,0,"Coconut Creek, Florida USA","5' 8"" ( 172 cm )",68,None,1
None,37,123,170 lb ( 77 kg ),0,"Woodstock, Illinois USA",36,None,None,dan-Stittgen,0,100,1,1,0,"Schaumburg, Illinois USA","6' 1"" ( 185 cm )",11,None,None
None,100,10,205 lb ( 93 kg ),0,London England,26,"74""","41""",darren-Stewart,0,N/A		,1,2,0,London England,"5' 10"" ( 177 cm )",6,8-0-0,None
35,61,731,155 lb ( 70 kg ),23,"Torrance, CA USA",34,None,None,joe-Stevenson,24,40,31,67,5,"Victorville, CA USA","5' 7"" ( 170 cm )",142,None,130
64,67,538,135 lb ( 61 kg ),11,"Long Island, New York USA",27,"71""","39""",aljamain-Sterling,7,46,13,32,0,"Uniondale, New York USA","5' 7"" ( 170 cm )",118,12-2-0,65
100,61,1989,145 lb ( 65 kg ),8,"Des Moines, Iowa United States",30,"71""","38""",jeremy-Stephens,10,65,27,73,7,"San Diego, California United States","5' 9"" ( 175 cm )",572,25-13-0,169
,,,None,,USA,None,None,None,dmitrei-Stepanov,,,,,,None,None,,None,
67,49,239,185 lb ( 84 kg ),2,Ipswich England,35,None,None,steve-Steinbeiss,0,58,1,2,0,None,"6' 3"" ( 190 cm )",53,None,13
,,,None,,USA,None,None,None,yoshiki-Takahashi,,,,,,None,None,,None,
12,61,349,155 lb ( 70 kg ),2,"Grozny, Chechen Republic Russia",28,"73""","40""",mairbek-Taisumov,0,85,7,9,0,Vienna Austria,"5' 9"" ( 175 cm )",118,25-5-0,23
,,,None,,USA,None,None,None,eugenio-Tadeu,,,,,,None,None,,None,
137,61,1401,255 lb ( 115 kg ),3,"Ellsworth, Maine USA",40,None,None,tim-Sylvia,1,75,1,1,1,None,"6' 8"" ( 203 cm )",396,None,52
None,80,79,125 lb ( 56 kg ),0,Santa Cruz Bolivia,34,None,None,bentley-syler,0,75,0,0,0,"Boca Raton, Florida USA","5' 4"" ( 162 cm )",1,None,None
None,40,7,185 lb ( 84 kg ),0,"Durango, CO USA",40,None,None,floyd-Sword,0,33,0,0,0,None,"6' 0"" ( 182 cm )",1,None,None
124,54,881,170 lb ( 77 kg ),17,"Houston, Texas USA",37,None,None,mike-Swick,6,62,10,20,2,Phuket Thailand,"6' 1"" ( 185 cm )",160,None,50
,,,None,,None,None,None,None,eric-Swartz,,,,,,None,None,,None,
85,64,1892,145 lb ( 65 kg ),18,"Palm Springs, California USA",33,"70""","38""",cub-Swanson,10,55,21,41,4,"Palm Springs, California USA","5' 8"" ( 172 cm )",664,24-7-0,139
None,39,34,155 lb ( 70 kg ),0,Malmo Sweden,31,"72""","42""",martin-Svensson,0,N/A		,0,4,0,Malmo Sweden,"6' 1"" ( 185 cm )",1,None,None
,,,None,,USA,None,None,None,joel-Sutton,,,,,,None,None,,None,
,,,None,,None,None,None,None,joel-Suprenant,,,,,,None,None,,None,
None,71,84,200 lb ( 90 kg ),1,"Kalinin City, Armenia USA",40,None,None,amar-Suloev,1,88,1,1,0,None,"5' 9"" ( 175 cm )",2,None,None
6,33,100,155 lb ( 70 kg ),7,"Tokyo, Japan Japan",38,None,None,genki-Sudo,7,50,6,10,0,None,"5' 9"" ( 175 cm )",14,None,19
28,59,522,170 lb ( 77 kg ),7,"Red Bank, New Jersey USA",35,"73""","41""",george-Sullivan,3,35,5,23,1,"Belmar, New Jersey USA","6' 0"" ( 182 cm )",124,"17-5-0, 1NC",59
None,75,19,115 lb ( 52 kg ),0,"Bellflower, California USA",26,"67""",None,tatiana-saurez,1,N/A		,3,3,0,"Rancho Cucamonga, California USA","5' 5"" ( 165 cm )",15,5-0-0,None
None,47,146,170 lb ( 77 kg ),2,"Crystal Lake, Illinois USA",30,None,None,mike-Stumpf,1,33,2,8,0,"Crystal Lake, Illinois USA","5' 10"" ( 177 cm )",12,None,None
,,,None,,None,None,None,None,travis-Stuart,,,,,,None,None,,None,
,,,None,,USA,None,None,None,josh-Stuart,,,,,,None,None,,None,
46,58,981,205 lb ( 93 kg ),29,"Sobralia, Minas Gerais Brazil",37,"76""","42""",glover-Teixeira,5,59,17,34,1,"Danbury, Connecticut United States","6' 2"" ( 187 cm )",204,25-5-0,186
34,63,471,185 lb ( 84 kg ),9,Darfield New Zealand,35,"75""","44""",james-Te-Huna,1,59,11,29,0,Penrith Australia,"6' 2"" ( 187 cm )",138,18-9-0,70
,,,185 lb ( 84 kg ),,"Chicago, Illinois United States",37,"74""",None,louis-taylor,,,,,,"Chicago, Illinois USA","5' 11"" ( 180 cm )",,None,
,,,None,,None,None,None,None,JT-Taylor,,,,,,None,None,,None,
102,55,1033,155 lb ( 70 kg ),7,Walsall England,37,None,None,paul-Taylor,4,56,2,8,2,Walsall England,"6' 0"" ( 182 cm )",356,None,37
None,56,13,185 lb ( 84 kg ),0,"San Diego, California USA",34,None,None,jesse-Taylor,0,100,1,3,0,None,"6' 1"" ( 185 cm )",1,None,None
None,86,264,115 lb ( 52 kg ),0,"Lancaster, California USA",27,"60""","33""",danielle-taylor,0,100,1,3,0,"Van Nuys, California USA","5' 0"" ( 152 cm )",None,8-2-0,None
82,55,1227,185 lb ( 84 kg ),6,"Kailua, Hawaii USA",29,"74""",None,brad-Tavares,0,75,14,43,1,"Las Vegas, Nevada USA","6' 1"" ( 185 cm )",404,14-4-0,23
26,60,223,145 lb ( 65 kg ),3,Siauliai Lithuania,39,None,None,deividas-Taurosevicius,1,50,6,21,0,None,"5' 8"" ( 172 cm )",45,None,25
57,51,631,135 lb ( 61 kg ),18,"Tacoma, Washington United States",30,"65""","37""",miesha-Tate,11,52,10,44,2,"Las Vegas, Nevada United States","5' 6"" ( 167 cm )",157,18-7-0,60
20,58,783,135 lb ( 61 kg ),3,"Riverside, California USA",36,None,None,manny-Tapia,1,67,2,5,0,None,"5' 5"" ( 165 cm )",117,None,28
30,63,820,145 lb ( 65 kg ),32,Florianopolis Brazil,32,"68""","39""",thiago-Tavares,16,63,42,98,5,Florianopolis Brazil,"5' 7"" ( 170 cm )",209,24-7-1,90
79,56,578,185 lb ( 84 kg ),22,"Amarillo, Texas USA",37,None,None,evan-Tanner,10,25,19,44,0,None,"6' 0"" ( 182 cm )",116,None,146
4,51,395,135 lb ( 61 kg ),9,Kanagawa Japan,26,"67""","37""",michinori-Tanaka,1,44,12,31,7,Kanagawa Japan,"5' 5"" ( 165 cm )",91,11-3-0,53
None,19,27,170 lb ( 77 kg ),0,Liverpool England,35,None,None,jason-Tan,0,N/A		,0,6,0,None,"5' 10"" ( 177 cm )",None,None,None
7,45,58,135 lb ( 61 kg ),2,Tokyo Japan,32,None,None,issei-Tamura,0,33,1,4,0,Tokyo Japan,"5' 5"" ( 165 cm )",16,None,8
25,70,338,170 lb ( 77 kg ),8,St. Tropez France,35,"74""","42""",nordine-taleb,0,69,13,17,0,"Montreal, Quebec Canada","6' 1"" ( 185 cm )",117,11-3-0,51
,,,None,,USA,None,None,None,oleg-Taktarov,,,,,,None,None,,None,
8,61,120,145 lb ( 65 kg ),1,Chiba Japan,39,None,None,hiroyuki-Takaya,0,66,2,2,0,None,"5' 6"" ( 167 cm )",30,None,3
37,64,457,155 lb ( 70 kg ),5,"San Jose, CA USA",38,"71""",None,josh-Thomson,0,55,11,30,0,"San Jose, CA USA","5' 10"" ( 177 cm )",128,None,32
46,58,1059,170 lb ( 77 kg ),5,"Simpsonville, South Carolina United States",33,"75""","41""",stephen-Thompson,0,79,5,10,1,"Simpsonville, South Carolina United States","6' 0"" ( 182 cm )",397,13-1-1,33
None,48,97,242 lb ( 109 kg ),0,"Hastings, East Sussex England",37,None,None,oli-Thompson,1,67,0,4,0,"Hastings, East Sussex England","6' 1"" ( 185 cm )",11,None,None
7,50,114,170 lb ( 77 kg ),7,"Newport News, VA. USA",35,None,None,nick-Thompson,3,36,2,2,3,None,"6' 1"" ( 185 cm )",14,None,29
5,31,75,170 lb ( 77 kg ),2,"Danville, Illinois USA",32,None,None,ryan-Thomas,2,N/A		,5,15,0,None,"6' 0"" ( 182 cm )",12,None,10
None,34,36,135 lb ( 61 kg ),0,"Colorado Springs, CO USA",35,None,None,noah-Thomas,1,N/A		,0,5,0,None,"5' 9"" ( 175 cm )",None,None,None
,,,None,,None,None,None,None,joel-Thomas,,,,,,None,None,,None,
60,59,483,155 lb ( 70 kg ),9,"Wilmington, Delaware USA",40,None,None,din-Thomas,8,77,9,17,0,None,"5' 10"" ( 177 cm )",102,None,20
45,50,557,185 lb ( 84 kg ),5,"Toronto, Ontario Canada",28,"75""","40""",elias-theodorou,0,42,9,31,0,"Toronto, Ontario Canada","6' 1"" ( 185 cm )",114,12-1-0,61
31,53,278,170 lb ( 77 kg ),0,"Denver, Colorado USA",31,"74""","43""",brandon-Thatch,2,50,4,6,0,"Denver, Colorado USA","6' 2"" ( 187 cm )",79,11-5-0,9
None,33,3,185 lb ( 84 kg ),0,"British Columbia, British Columbia Canada",None,None,None,jason-Thacker,0,N/A		,0,0,0,None,"5' 11"" ( 180 cm )",None,None,None
73,64,649,170 lb ( 77 kg ),19,Brasilia Brazil,36,"72""",None,paulo-Thiago,12,64,14,44,3,Brasilia Brazil,"5' 11"" ( 180 cm )",151,None,30
None,51,110,135 lb ( 61 kg ),1,Nagano Japan,29,None,None,motonobu-Tezuka,1,N/A		,3,27,0,Osaka Japan,"5' 7"" ( 170 cm )",1,None,None
,,,None,,None,None,None,None,jeff-Terry,,,,,,None,None,,None,
7,37,30,185 lb ( 84 kg ),1,"Sacramento, California USA",39,None,None,david-Terrell,3,N/A		,3,6,0,None,"6' 0"" ( 182 cm )",3,None,9
,,,None,,None,None,None,None,jimmy-Terrel,,,,,,None,None,,None,
25,48,98,170 lb ( 77 kg ),0,"Pomona, California, California USA",38,None,None,dave-Terrel,0,100,0,4,0,None,"5' 8"" ( 172 cm )",18,None,1
9,57,107,233 lb ( 105 kg ),0,"Fort Worth, Texas USA",52,None,None,tra-Telligman,0,80,0,0,0,None,"6' 2"" ( 187 cm )",37,None,1
8,58,99,155 lb ( 70 kg ),6,Manacapuru Brazil,31,None,None,ronys-Torres,1,17,8,17,1,None,"5' 7"" ( 170 cm )",13,None,5
153,74,1128,135 lb ( 61 kg ),9,"East Chicago, Indiana USA",36,None,None,miguel-Angel-Torres,13,18,0,5,3,None,"5' 9"" ( 175 cm )",303,None,30
7,45,49,170 lb ( 77 kg ),1,"Waimanalo, Hawaii USA",38,None,None,anthony-Torres,1,100,0,0,0,None,"5' 10"" ( 177 cm )",14,None,3
None,27,0,None,0,None,None,None,None,james-Toney,0,N/A		,0,0,0,None,None,None,None,None
5,62,146,145 lb ( 65 kg ),0,"Denver, CO US",33,None,None,tyler-Toner,1,55,0,0,0,None,"5' 8"" ( 172 cm )",41,None,21
,,,None,,None,None,None,None,pedro-Tome,,,,,,None,None,,None,
,,,None,,None,None,None,None,ed-Tomaselli,,,,,,None,None,,None,
,,,170 lb ( 77 kg ),,None,None,None,None,andrew-todhunter,,,,,,None,"6' 0"" ( 182 cm )",,None,
20,53,289,155 lb ( 70 kg ),8,Tokyo Japan,29,"73""",None,kazuki-Tokudome,0,79,7,18,0,Tokyo Japan,"5' 11"" ( 180 cm )",76,None,23
,,,None,,None,None,None,None,to-Be-Determined-Female,,,,,,None,None,,None,
,,,None,,None,None,None,None,to-Be-Determined,,,,,,None,None,,None,
,,,None,,None,None,None,None,to-be-announced-female,,,,,,None,None,,None,
,,,None,,None,None,None,None,ernie-Tiserino,,,,,,None,None,,None,
11,49,129,170 lb ( 77 kg ),1,Liverpool England,24,"74""","42""",darren-till,0,71,0,5,0,"Balneario Camboriu, Santa Catarina Brazil","6' 0"" ( 182 cm )",48,13-0-1,15
26,68,162,125 lb ( 56 kg ),0,"Palm Springs, California USA",28,"69""",None,nolan-ticman,0,60,0,5,1,"Huntington Beach, California USA","5' 6"" ( 167 cm )",42,None,9
99,64,1707,155 lb ( 70 kg ),64,Rio Grande Norte Brazil,33,"71""","39""",gleison-Tibau,17,92,84,154,1,"Coconut Creek, Florida USA","5' 10"" ( 177 cm )",353,41-11-0,119
1,43,40,155 lb ( 70 kg ),3,"Pontiac, Illinois USA",35,None,None,chris-Tickle,2,20,1,4,1,"Bloomington, Illinois USA","5' 9"" ( 175 cm )",11,None,4
,,,None,,None,None,None,None,levi-Thornbure,,,,,,None,None,,None,
58,51,487,155 lb ( 70 kg ),18,Kanagawa Japan,41,None,None,caol-Uno,2,38,20,64,6,None,"5' 7"" ( 170 cm )",116,None,92
13,60,337,170 lb ( 77 kg ),2,"Zinzeli, Astrakhan Oblast Russia",34,"71""","41""",gasan-Umalatov,0,90,3,17,0,"Zinzeli, Astrakhan Oblast Russia","5' 11"" ( 180 cm )",119,15-5-1,2
11,46,36,185 lb ( 84 kg ),1,"Blumenau, Santa Catarina Brazil",32,"77""","45""",alberto-uda,0,67,2,4,1,"Blumenau, Santa Catarina Brazil","6' 3"" ( 190 cm )",4,9-2-0,4
None,72,163,249 lb ( 113 kg ),1,Uniejow Poland,31,"78""","46""",marcin-tybura,0,100,1,3,0,Warszawa Poland,"6' 3"" ( 190 cm )",12,14-2-0,None
,,,None,,USA,None,None,None,courtney-Turner,,,,,,None,None,,None,
20,59,664,170 lb ( 77 kg ),0,Nalchik Russia,25,"73""","39""",albert-Tumenov,0,75,1,5,1,"Fairfield, New Jersey USA","5' 11"" ( 180 cm )",243,17-4-0,16
,,,415 lb ( 188 kg ),,"Honolulu, Hawaii USA",None,None,None,teila-Tuli,,,,,,None,"6' 2"" ( 187 cm )",,None,
15,69,357,145 lb ( 65 kg ),0,"Grozny, Chechen Republic Russia",26,"68""","38""",zubaira-Tukhugov,0,100,7,15,0,"Grozny, Chechen Republic Russia","5' 8"" ( 172 cm )",98,18-4-0,12
7,60,176,135 lb ( 61 kg ),0,Xinjiang China,30,"67""",None,jumabieke-Tuerxun,2,67,1,9,0,Xi'an China,"5' 7"" ( 170 cm )",40,17-3-0,4
,,,145 lb ( 65 kg ),,None,30,None,None,gavin-Tucker,,,,,,None,"5' 7"" ( 170 cm )",,9-0-0,
28,61,721,155 lb ( 70 kg ),17,"Spokane, Washington USA",32,"73""","39""",jon-Tuck,5,56,3,8,1,Hagatna Guam,"5' 11"" ( 180 cm )",227,9-4-0,29
8,47,107,260 lb ( 118 kg ),2,"Rugby, ND USA",41,None,None,chris-Tuchscherer,1,N/A		,2,11,0,"Fargo, ND USA","6' 1"" ( 185 cm )",25,None,1
62,61,571,155 lb ( 70 kg ),4,"Greensboro, North Carolina United States",33,"70""","39""",abel-Trujillo,3,40,14,27,0,"Boca Raton, Florida United States","5' 8"" ( 172 cm )",117,"15-6-0, 1NC",65
23,32,120,185 lb ( 84 kg ),9,Umea Sweden,34,"77""",None,tor-Troeng,1,67,2,26,3,Umea Sweden,"6' 2"" ( 187 cm )",25,None,8
106,60,1125,155 lb ( 70 kg ),14,"Amarante, Piaui Brazil",38,"70""","40""",francisco-Trinaldo,5,58,12,29,1,"Brasilia, Distrito Federal Brazil","5' 9"" ( 175 cm )",336,21-4-0,89
15,57,157,170 lb ( 77 kg ),4,"Rochester, New York USA",44,None,None,frank-Trigg,2,75,2,3,1,None,"5' 8"" ( 172 cm )",14,None,45
20,64,193,155 lb ( 70 kg ),1,Mexico City Mexico,35,"70""",None,francisco-Trevino,0,41,2,9,1,"McAllen, Texas USA","5' 9"" ( 175 cm )",56,None,6
None,57,2,216 lb ( 98 kg ),0,"Rio de Janeiro, Brazil USA",48,None,None,roberto-Traven,0,N/A		,0,0,0,None,"6' 2"" ( 187 cm )",None,None,None
39,60,497,145 lb ( 65 kg ),6,"Laranjal do Jari, Amapa Brazil",29,"70""","41""",tiago-Trator,1,33,2,18,2,Rio de Janeiro Brazil,"5' 9"" ( 175 cm )",137,"20-6-2, 1NC",1
7,45,80,155 lb ( 70 kg ),3,"Springfield, Illinois USA",35,None,None,matt-Veach,2,100,5,13,0,None,"5' 7"" ( 170 cm )",12,None,4
2,72,471,145 lb ( 65 kg ),17,Santiago Cuba,40,None,None,javier-Vazquez,7,57,12,23,0,"Rancho Cucamonga, CA USA","5' 7"" ( 170 cm )",124,None,45
,,,None,,USA,None,None,None,yuri-Vaulin,,,,,,None,None,,None,
None,71,166,185 lb ( 84 kg ),0,"Belo Horizonte, MG Brazil",30,None,None,guilherme-vasconcelos,0,N/A		,0,3,0,"Belo Horizonte, MG Brazil","6' 0"" ( 182 cm )",1,None,None
68,59,1376,155 lb ( 70 kg ),18,"Phoenix, Arizona USA",32,"72""",None,jamie-Varner,9,67,38,71,2,"Tempe, Arizona USA","5' 8"" ( 172 cm )",302,None,107
,,,None,,USA,None,None,None,paul-Varelans,,,,,,None,None,,None,
102,43,455,115 lb ( 52 kg ),9,"Newberg, Oregon USA",22,"65""","37""",paige-vanzant,4,42,8,21,3,"Sacramento, California USA","5' 4"" ( 162 cm )",61,7-3-0,78
2,42,142,155 lb ( 70 kg ),0,"Neptune, New Jersey USA",24,"71""","39""",landon-Vannata,0,N/A		,0,2,0,"Albuquerque, New Mexico USA","5' 9"" ( 175 cm )",44,9-1-0,4
,,,None,,USA,None,None,None,ron-Van-Clief,,,,,,None,None,,None,
None,49,222,205 lb ( 93 kg ),0,"Chesapeake, Virginia USA",30,"76""",None,matt-van-buren,0,50,0,0,0,"Chula Vista, California USA","6' 5"" ( 195 cm )",28,None,None
4,42,104,205 lb ( 93 kg ),4,"Waterloo, Iowa USA",51,None,None,mike-Van-Arsdale,0,38,2,14,1,None,"6' 2"" ( 187 cm )",8,None,31
95,45,619,155 lb ( 70 kg ),0,"Ann Arbor, Michigan USA",38,"70""",None,isaac-Vallie-Flagg,0,59,1,8,0,"Albuquerque, New Mexico USA","5' 8"" ( 172 cm )",184,None,5
8,68,219,205 lb ( 93 kg ),1,Kingston Canada,35,None,None,victor-Valimaki,0,N/A		,1,7,0,None,"6' 0"" ( 182 cm )",53,None,5
23,57,355,125 lb ( 56 kg ),11,"Sydney, NSW Australia",33,"69""","41""",richie-vaculik,3,32,9,20,2,"Marouba Beach, Sydney Australia","5' 6"" ( 167 cm )",132,None,11
44,78,584,135 lb ( 61 kg ),7,"Los Angeles, California USA",42,None,None,charlie-Valencia,3,75,8,15,2,None,"5' 3"" ( 160 cm )",140,None,37
8,66,165,125 lb ( 56 kg ),4,"San Francisco, CA USA",37,"64""",None,darren-Uyenoyama,3,35,4,15,2,"South San Francisco, CA USA","5' 6"" ( 167 cm )",45,None,13
20,60,323,170 lb ( 77 kg ),18,Auchi Nigeria,29,"76""","41""",kamarudeen-usman,2,N/A		,18,32,0,"Boca Raton, Florida USA","6' 0"" ( 182 cm )",74,9-1-0,81
None,65,176,125 lb ( 56 kg ),0,Ehime Japan,40,None,None,yasuhiro-Urushitani,0,80,0,1,0,Tokyo Japan,"5' 5"" ( 165 cm )",None,None,None
7,39,49,170 lb ( 77 kg ),1,Monterrey Mexico,29,"73""","40""",hector-urbina,5,38,0,1,1,"Muncie, Indiana USA","5' 11"" ( 180 cm )",10,25-10-0,2
75,52,505,155 lb ( 70 kg ),0,St Georges Grenada,35,None,None,andre-Winner,0,74,0,3,0,None,"5' 11"" ( 180 cm )",91,None,3
38,71,2018,135 lb ( 61 kg ),4,"Houston, TX USA",32,"69""","36""",eddie-Wineland,2,85,4,12,0,"Chesterton, IN USA","5' 7"" ( 170 cm )",493,23-11-1,55
138,55,1046,155 lb ( 70 kg ),23,"Denver, Colorado USA",33,"68""",None,matt-Wiman,18,64,24,63,5,"Arvada, Colorado USA","5' 10"" ( 177 cm )",220,16-7-0,165
14,60,183,205 lb ( 93 kg ),0,"San Bernardino, California USA",29,"75""","42""",jonathan-wilson,0,100,1,1,0,"San Bernardino, California USA","6' 2"" ( 187 cm )",78,7-2-0,8
26,56,261,170 lb ( 77 kg ),3,"Portland, Oregon USA",39,None,None,chris-Wilson,6,60,5,10,1,None,"6' 1"" ( 185 cm )",70,None,37
,,,265 lb ( 120 kg ),,"East Palo Alto, California United States",29,"81""",None,justin-Willis,,,,,,"San Jose, California United States","6' 3"" ( 190 cm )",,4-1-0,
,,,None,,USA,None,None,None,tedd-Williams,,,,,,None,None,,None,
None,40,16,235 lb ( 106 kg ),2,"San Lorenzo, California - USA USA",41,None,None,pete-Williams,1,17,2,5,0,None,"6' 3"" ( 190 cm )",8,None,None
None,62,39,135 lb ( 61 kg ),1,"Miami, Florida USA",35,"73""",None,patrick-Williams,1,100,2,3,0,"Homestead, Florida USA","5' 8"" ( 172 cm )",3,8-4-0,None
35,50,190,170 lb ( 77 kg ),4,Leicester England,38,None,None,james-Wilks,12,67,4,18,4,None,"6' 1"" ( 185 cm )",41,None,10
8,36,201,145 lb ( 65 kg ),2,"Leigh, Lancashire England",29,"68""",None,mike-wilkinson,2,56,2,14,1,"Leigh, Lancashire England","5' 7"" ( 170 cm )",50,9-2-0,19
None,100,1,155 lb ( 70 kg ),0,Manchester England,30,None,None,aaron-Wilkinson,0,N/A		,1,1,1,Liverpool England,"6' 0"" ( 182 cm )",None,None,None
None,32,10,250 lb ( 113 kg ),1,"Topeka, Kansas USA",37,None,None,jonathan-Wiezorek,0,N/A		,1,4,0,None,"6' 3"" ( 190 cm )",8,None,None
56,63,1244,185 lb ( 84 kg ),9,Middlemore New Zealand,26,"73""","43""",robert-whittaker,0,94,4,6,0,"Sydney, NSW Australia","6' 0"" ( 182 cm )",415,18-4-0,46
28,46,261,155 lb ( 70 kg ),0,"Indianapolis, Indiana USA",36,"72""",None,garett-Whiteley,2,28,0,2,0,"Indianapolis, Indiana USA","6' 0"" ( 182 cm )",73,None,25
3,59,75,205 lb ( 93 kg ),5,"Medford, Oregon USA",35,None,None,mike-Whitehead,0,78,7,15,0,None,"6' 1"" ( 185 cm )",23,None,2
16,63,277,145 lb ( 65 kg ),6,Fauldhouse Scotland,33,"69""",None,rob-Whiteford,0,45,7,23,1,Glasgow Scotland,"5' 9"" ( 175 cm )",103,None,10
21,54,119,205 lb ( 93 kg ),5,"East Palo Alto, California USA",45,None,None,vernon-White,0,44,1,6,1,None,"6' 1"" ( 185 cm )",19,None,18
37,67,555,145 lb ( 65 kg ),3,"Columbia, Missouri USA",28,"71""","41""",alex-White,1,58,4,10,2,"Farmington, MO USA","6' 0"" ( 182 cm )",164,11-3-0,8
14,47,120,125 lb ( 56 kg ),3,"San Jose dos Pinhais, Parana Brazil",37,None,None,marcos-Vinicius,1,25,0,0,0,Curitiba Brazil,"5' 9"" ( 175 cm )",35,None,10
5,56,283,170 lb ( 77 kg ),5,Brasilia Brazil,25,None,None,yuri-Villefort,1,40,4,13,1,"Boca Raton, FL USA","6' 0"" ( 182 cm )",109,None,3
