PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
Maurice Harkless,POR,23,50,21,29,29.0,10.5,4.3,8.9,47.8,1.0,3.1,33.1,0.9,1.4,67.1,1.6,3.0,4.6,1.0,1.2,1.2,0.9,2.7,2,0,-0.5
Terrence Ross,TOR,26,53,31,22,22.4,10.4,3.9,8.9,44.0,1.8,4.8,37.4,0.8,0.9,82.0,0.3,2.3,2.5,0.8,0.6,1.0,0.4,1.5,0,0,3.1
Dario Saric,PHI,22,53,19,34,24.1,10.3,3.7,9.6,38.9,1.3,3.8,34.0,1.6,2.1,77.1,1.3,4.4,5.7,1.7,1.9,0.6,0.2,1.7,4,0,-3.5
Gorgui Dieng,MIN,27,53,20,33,31.9,10.3,4.3,8.3,52.0,0.2,0.4,34.8,1.5,1.9,78.0,2.3,5.5,7.8,1.9,1.4,0.9,1.1,3.2,7,0,0.7
Frank Kaminsky,CHA,23,51,22,29,24.3,10.3,3.8,9.8,38.7,1.3,4.2,30.2,1.4,1.8,76.3,0.8,3.5,4.4,2.0,1.0,0.7,0.4,1.6,1,0,0.0
Marcus Smart,BOS,22,50,32,18,30.8,10.1,3.4,9.3,36.7,1.2,4.0,31.0,2.1,2.7,77.4,1.0,2.9,3.9,4.6,2.0,1.6,0.4,2.3,1,0,3.2
Courtney Lee,NYK,31,49,20,29,31.1,10.1,3.9,8.6,45.2,1.4,3.5,41.8,0.9,1.0,84.0,0.8,2.4,3.2,2.0,0.7,0.9,0.3,1.8,0,0,-2.9
Trevor Booker,BKN,29,48,8,40,26.2,10.0,4.3,8.3,51.9,0.3,1.1,28.3,1.1,1.8,64.7,2.1,6.5,8.7,2.3,1.8,1.3,0.5,2.2,15,0,-6.7
Marreese Speights,LAC,29,53,32,21,16.6,10.0,3.3,7.3,45.1,1.4,3.6,40.2,2.0,2.3,87.7,1.2,3.5,4.7,0.9,0.7,0.3,0.5,2.9,3,0,0.5
Kenneth Faried,DEN,27,47,22,25,22.3,9.9,3.7,6.6,56.6,0.0,0.1,0.0,2.4,3.6,68.9,3.2,4.8,8.0,0.9,1.0,0.7,0.7,2.1,10,0,-1.6
Kyle Korver,CLE,35,48,24,24,27.0,9.8,3.5,7.6,45.8,2.2,5.1,43.9,0.6,0.7,88.6,0.1,2.6,2.8,1.8,1.1,0.6,0.3,1.5,0,0,-3.1
Patty Mills,SAS,28,51,40,11,21.5,9.8,3.5,7.8,45.6,1.8,4.1,43.5,0.9,1.1,85.7,0.3,1.6,1.9,3.3,1.3,0.8,0.0,1.4,0,0,5.7
E'Twaun Moore,NOP,27,49,19,30,24.8,9.8,4.0,8.7,46.0,1.2,3.0,40.0,0.6,0.9,73.8,0.5,1.7,2.2,2.2,1.0,0.7,0.5,1.9,0,0,-1.8
Doug McDermott,CHI,25,40,20,20,24.1,9.7,3.6,8.2,44.0,1.2,3.3,36.9,1.3,1.5,86.9,0.4,2.7,3.0,1.1,0.8,0.3,0.1,1.3,1,0,0.9
Evan Turner,POR,28,50,23,27,26.2,9.7,3.9,8.9,43.5,0.6,2.0,28.3,1.4,1.6,85.4,0.5,3.3,3.8,3.4,1.6,0.8,0.3,1.8,2,0,-3.6
Robin Lopez,CHI,28,53,26,27,28.3,9.7,4.4,8.9,49.5,0.0,0.0,0.0,0.9,1.3,67.1,3.4,3.6,6.9,0.9,1.0,0.2,1.6,1.9,6,0,0.4
DeMarre Carroll,TOR,30,49,29,20,26.6,9.7,3.4,8.2,41.1,1.7,4.7,35.4,1.3,1.6,78.5,0.9,3.0,3.9,0.9,0.8,1.2,0.4,2.0,1,0,2.2
Tyreke Evans,NOP,27,23,11,12,17.7,9.7,3.5,8.8,39.9,0.9,2.8,32.3,1.7,2.1,79.6,0.3,3.0,3.2,3.6,1.4,0.8,0.1,1.5,0,0,-3.0
Montrezl Harrell,HOU,23,44,32,12,19.5,9.6,4.1,6.3,65.2,0.0,0.1,33.3,1.3,2.1,64.1,1.5,2.4,3.9,1.2,0.9,0.4,0.8,2.0,2,0,3.7
Gerald Henderson,PHI,29,48,17,31,23.8,9.6,3.5,7.7,45.9,0.8,2.1,38.8,1.7,2.0,83.5,0.4,2.0,2.5,1.7,0.9,0.6,0.2,1.7,0,0,-4.1
Patrick Beverley,HOU,28,42,30,12,31.1,9.5,3.6,8.3,43.2,1.6,4.4,37.7,0.7,0.9,80.6,1.3,4.4,5.7,4.5,1.5,1.5,0.4,3.3,3,0,4.7
Yogi Ferrell,DAL,23,17,6,11,23.4,9.5,3.1,7.7,40.5,1.5,3.8,38.5,1.8,2.2,81.1,0.4,1.5,1.9,2.9,1.5,0.9,0.2,1.5,0,0,-2.8
Jeff Green,ORL,30,53,20,33,23.2,9.4,3.2,8.2,38.7,0.9,2.9,29.5,2.2,2.5,85.7,0.6,2.5,3.1,1.2,1.2,0.5,0.2,1.4,1,0,-3.8
Tony Allen,MEM,35,47,27,20,28.1,9.4,4.0,8.6,46.2,0.1,0.7,22.6,1.3,2.1,62.2,2.3,3.3,5.6,1.2,1.5,1.8,0.5,2.6,5,0,0.4
Derrick Favors,UTA,25,37,25,12,23.3,9.4,3.9,8.2,46.9,0.1,0.2,25.0,1.6,2.4,64.4,1.7,4.5,6.2,1.1,1.2,0.9,0.8,2.2,4,0,1.8
Shabazz Muhammad,MIN,24,49,18,31,19.8,9.3,3.4,7.2,46.8,0.8,1.9,45.1,1.7,2.2,79.4,1.0,1.9,2.9,0.4,0.7,0.3,0.1,1.2,0,0,-0.2
Jeremy Lamb,CHA,24,33,15,18,17.4,9.2,3.4,7.8,43.6,0.5,2.3,23.4,1.9,2.3,82.7,0.5,4.2,4.7,1.1,0.7,0.3,0.4,1.4,1,0,-0.1
Michael Kidd-Gilchrist,CHA,23,52,24,28,29.5,9.2,3.6,7.9,45.6,0.0,0.2,12.5,1.9,2.5,75.8,2.1,5.4,7.4,1.4,0.7,0.8,1.0,2.2,9,0,0.6
Malcolm Brogdon,MIL,24,51,22,29,25.6,9.2,3.5,7.9,43.6,1.0,2.3,41.9,1.3,1.5,84.6,0.6,2.1,2.7,4.2,1.5,1.2,0.1,1.8,1,1,1.6
JaMychal Green,MEM,26,53,32,21,29.0,9.2,3.3,6.8,48.3,0.7,1.9,37.9,1.9,2.4,80.0,2.3,5.1,7.3,1.3,1.2,0.7,0.5,3.5,7,0,0.5
Lance Stephenson,MIN,26,7,1,6,26.0,9.1,4.1,8.9,46.8,0.1,1.4,10.0,0.7,1.1,62.5,0.4,2.7,3.1,4.3,1.7,0.3,0.1,2.6,0,0,-0.7
Channing Frye,CLE,33,45,30,15,18.1,9.1,3.2,7.2,44.0,1.9,4.6,41.8,0.8,1.0,82.6,0.6,3.0,3.6,0.6,0.7,0.4,0.5,1.8,1,0,-0.4
Nikola Mirotic,CHI,25,47,24,23,22.6,9.1,3.1,8.2,38.2,1.5,4.9,30.0,1.4,1.8,77.1,0.7,4.4,5.2,0.9,1.1,0.7,0.8,1.8,4,0,1.3
Ty Lawson,SAC,29,51,20,31,24.6,9.0,3.2,7.3,43.6,0.5,1.8,29.0,2.1,2.6,80.9,0.6,2.0,2.6,4.5,1.8,1.1,0.1,1.5,0,0,-0.9
Tim Frazier,NOP,26,39,14,25,25.6,9.0,3.2,7.4,42.9,0.7,2.1,34.9,1.9,2.4,81.5,0.5,2.4,2.9,6.0,1.9,0.9,0.2,2.4,7,1,-2.1
Jodie Meeks,ORL,29,24,10,14,21.7,8.9,2.9,7.0,41.7,1.5,3.7,40.4,1.6,1.8,90.5,0.1,2.1,2.3,1.5,1.0,1.2,0.1,1.2,0,0,-2.2
Nik Stauskas,PHI,23,51,18,33,27.0,8.9,3.0,7.4,40.4,1.6,4.2,37.6,1.4,1.6,83.1,0.2,2.4,2.7,2.3,1.5,0.5,0.4,1.9,0,0,-2.7
Brandon Jennings,NYK,27,54,22,32,24.9,8.9,2.9,7.5,38.9,1.2,3.5,34.2,1.8,2.4,75.4,0.4,2.3,2.6,4.9,1.9,1.0,0.1,1.4,3,0,-1.6
Kelly Olynyk,BOS,25,46,30,16,20.9,8.8,3.3,6.7,49.8,1.0,2.8,35.7,1.1,1.6,72.2,0.9,3.7,4.6,1.9,1.2,0.7,0.4,2.6,0,0,0.5
Troy Daniels,MEM,25,40,23,17,17.5,8.8,3.0,7.6,39.1,2.1,5.3,39.3,0.8,1.0,82.5,0.3,1.0,1.3,0.7,0.7,0.3,0.1,1.5,0,0,2.4
Ricky Rubio,MIN,26,47,17,30,31.7,8.7,2.6,6.9,38.5,0.7,2.5,29.3,2.7,3.1,87.7,1.0,2.8,3.7,8.2,2.3,1.7,0.1,2.6,9,0,-1.6
Michael Beasley,MIL,28,43,17,26,16.0,8.7,3.5,6.8,51.4,0.3,0.7,43.8,1.4,2.0,70.9,0.7,2.8,3.5,0.9,1.2,0.4,0.4,1.6,1,0,-0.3
Al Jefferson,IND,32,52,29,23,14.6,8.7,3.8,7.5,50.5,0.0,0.0,0.0,1.2,1.5,77.2,1.2,3.0,4.2,0.8,0.5,0.3,0.3,1.9,1,0,-2.1
Rodney Stuckey,IND,30,20,10,10,19.2,8.7,2.9,6.8,42.2,0.4,1.4,28.6,2.6,3.5,74.3,0.2,2.3,2.5,1.9,1.6,0.4,0.0,1.4,0,0,-2.5
D.J. Augustin,ORL,29,54,20,34,20.7,8.7,2.8,7.1,39.4,1.4,3.9,36.4,1.7,2.2,79.5,0.1,1.3,1.5,3.1,1.1,0.4,0.0,1.4,0,0,-4.1
Jamal Murray,DEN,19,52,23,29,19.9,8.7,3.1,7.9,39.0,1.2,3.8,32.0,1.3,1.5,86.8,0.6,2.0,2.6,1.8,1.2,0.4,0.4,1.4,0,0,0.8
Langston Galloway,NOP,25,51,19,32,20.3,8.6,3.0,8.2,36.9,1.8,4.9,36.3,0.8,1.0,79.6,0.4,1.9,2.3,1.2,0.5,0.8,0.1,1.4,0,0,-1.5
JR Smith,CLE,31,21,16,5,28.9,8.6,3.0,8.8,33.7,2.4,6.6,36.2,0.3,0.4,77.8,0.4,1.8,2.1,1.2,0.7,1.2,0.4,2.2,0,0,5.2
Tyson Chandler,PHX,34,44,13,31,28.1,8.6,3.3,4.9,67.6,0.0,0.0,0.0,2.0,2.7,72.5,3.4,8.3,11.7,0.6,1.5,0.7,0.5,2.8,12,0,-2.2
Joe Johnson,UTA,35,53,33,20,22.4,8.6,3.3,7.5,44.2,1.3,3.1,40.9,0.7,0.8,82.2,0.4,2.6,3.0,1.7,0.9,0.4,0.2,1.1,0,0,1.8
Cory Joseph,TOR,25,52,30,22,22.5,8.6,3.4,7.6,44.4,0.5,1.3,36.4,1.3,1.7,80.5,0.5,2.1,2.6,2.8,1.0,0.8,0.1,1.7,0,0,-0.6
Buddy Hield,NOP,23,53,20,33,20.4,8.5,3.2,8.4,38.6,1.6,4.3,36.6,0.5,0.5,89.7,0.4,2.5,2.9,1.3,0.9,0.3,0.1,1.4,0,0,-3.3
Michael Carter-Williams,CHI,25,22,13,9,22.3,8.5,3.3,8.3,39.3,0.4,1.8,20.0,1.6,2.1,78.3,0.8,4.0,4.7,2.5,1.7,0.8,0.4,2.5,0,0,-1.4
Jameer Nelson,DEN,35,52,23,29,25.6,8.5,3.3,7.8,43.0,1.2,3.4,36.6,0.6,0.8,72.7,0.4,1.8,2.2,4.6,1.7,0.7,0.1,2.7,1,0,0.4
Joe Harris,BKN,25,45,9,36,22.4,8.5,3.1,7.2,43.0,1.6,4.3,37.4,0.7,1.0,74.4,0.3,2.7,3.0,1.1,1.0,0.6,0.1,2.4,0,0,-5.0
Nene,HOU,34,46,32,14,17.2,8.2,3.2,5.2,61.8,0.1,0.1,50.0,1.7,2.9,59.1,1.2,2.5,3.7,0.9,1.2,0.8,0.6,2.4,0,0,4.2
Ish Smith,DET,28,52,25,27,23.7,8.2,3.6,8.2,44.0,0.3,1.2,23.8,0.8,1.1,68.4,0.3,2.4,2.6,5.0,1.4,0.8,0.3,1.6,1,0,0.9
Sergio Rodriguez,PHI,30,48,16,32,23.1,8.2,3.3,8.2,39.7,1.4,3.9,36.5,0.3,0.4,68.4,0.3,2.2,2.5,5.1,2.2,0.8,0.1,1.4,1,0,-2.7
Brandon Ingram,LAL,19,55,18,37,27.8,8.2,2.9,7.8,36.7,0.7,2.4,30.5,1.7,2.6,66.9,0.7,3.4,4.1,2.0,1.3,0.5,0.4,1.9,0,0,-3.8
Al-Farouq Aminu,POR,26,36,16,20,28.8,8.2,2.9,7.8,36.8,1.1,3.6,29.7,1.4,1.9,74.6,1.1,6.1,7.2,2.1,1.5,1.0,0.7,1.8,3,0,0.7
Vince Carter,MEM,40,47,26,21,24.2,8.1,2.7,6.9,39.0,1.5,4.1,35.9,1.3,1.7,73.2,0.5,2.7,3.3,1.8,0.6,0.8,0.5,2.3,0,0,2.6
Manu Ginobili,SAS,39,45,34,11,18.7,8.1,2.6,6.6,39.1,1.4,3.4,41.8,1.5,1.8,81.7,0.3,2.0,2.4,2.5,1.4,1.2,0.3,1.7,0,0,4.0
Jusuf Nurkic,DEN,22,44,19,25,18.1,8.1,3.4,6.7,51.0,0.0,0.0,0.0,1.3,2.6,49.6,2.0,3.8,5.8,1.3,1.8,0.6,0.8,2.0,4,0,-3.2
Nerlens Noel,PHI,22,26,12,14,18.2,8.1,3.3,5.7,58.5,0.0,0.0,0.0,1.5,2.1,69.1,1.5,3.4,4.9,1.0,0.9,1.2,0.9,2.3,1,0,-3.2
Luol Deng,LAL,31,51,17,34,27.1,8.0,3.1,7.8,39.0,1.0,3.1,31.8,0.9,1.2,72.1,1.2,4.3,5.5,1.4,0.8,0.9,0.4,1.1,5,0,-3.6
Tony Snell,MIL,25,50,22,28,28.7,8.0,2.9,6.4,45.0,1.7,4.3,38.7,0.5,0.6,75.0,0.3,3.0,3.3,1.2,0.6,0.5,0.2,1.7,1,0,-1.5
Tristan Thompson,CLE,25,52,36,16,29.7,7.9,3.2,5.5,58.5,0.0,0.1,0.0,1.5,3.0,51.3,3.6,5.9,9.6,0.8,0.8,0.6,1.2,2.4,14,0,4.0
Rondae Hollis-Jefferson,BKN,22,49,8,41,21.8,7.9,2.6,6.3,41.7,0.2,0.9,20.5,2.4,3.2,77.4,0.8,4.2,5.0,2.0,1.6,1.0,0.6,2.2,2,0,-4.6
Raymond Felton,LAC,32,51,31,20,22.7,7.8,3.2,7.3,43.7,0.8,2.1,37.6,0.6,0.8,78.0,0.5,2.4,2.9,2.6,1.1,0.8,0.4,1.8,0,0,-2.1
Iman Shumpert,CLE,26,49,34,15,25.4,7.8,2.7,6.2,42.8,1.4,3.6,40.2,1.0,1.3,77.3,0.6,2.4,3.0,1.6,1.0,1.0,0.3,2.0,0,0,1.4
James Ennis III,MEM,26,41,24,17,25.5,7.8,2.6,5.6,46.7,1.0,2.4,40.8,1.6,2.0,78.6,1.4,3.0,4.4,1.1,1.1,0.8,0.4,2.9,1,0,1.2
Arron Afflalo,SAC,31,45,18,27,25.3,7.8,2.8,6.5,42.5,1.0,2.6,38.8,1.2,1.4,87.5,0.2,1.8,2.0,1.2,0.7,0.4,0.1,1.8,0,0,-3.5
Monta Ellis,IND,31,44,26,18,26.8,7.8,2.9,6.8,42.3,0.5,1.5,29.4,1.6,2.0,80.2,0.2,2.7,2.8,3.1,1.8,1.0,0.4,2.0,0,0,-0.9
Matthew Dellavedova,MIL,26,46,19,27,26.4,7.7,2.8,7.1,39.4,1.0,2.8,35.9,1.1,1.3,83.3,0.4,1.7,2.1,5.3,1.9,0.8,0.0,2.0,0,0,-2.7
Danny Green,SAS,29,44,34,10,26.5,7.7,2.8,6.5,42.6,1.9,4.6,40.7,0.3,0.4,81.3,0.3,2.8,3.1,1.9,1.0,1.0,0.8,1.8,0,0,5.0
Garrett Temple,SAC,30,49,19,30,26.6,7.7,2.7,6.3,43.6,1.2,3.2,36.7,1.0,1.3,79.0,0.6,2.1,2.7,2.2,1.0,1.2,0.4,2.2,0,0,-1.6
Thabo Sefolosha,ATL,32,44,26,18,25.8,7.6,3.0,6.6,45.7,0.6,1.8,32.9,1.0,1.3,77.2,0.8,3.5,4.3,1.6,0.9,1.7,0.5,1.5,0,0,-0.3
Marquese Chriss,PHX,19,53,16,37,18.4,7.6,2.9,6.8,42.5,0.8,2.4,31.3,1.1,1.7,61.5,1.1,2.3,3.4,0.6,1.1,0.8,0.6,3.0,1,0,-4.2
Matt Barnes,SAC,36,50,19,31,25.0,7.5,2.7,7.0,38.0,1.3,3.8,33.3,0.9,1.2,74.2,1.0,4.3,5.3,2.7,1.5,0.6,0.3,2.6,3,0,-1.7
Shelvin Mack,UTA,26,45,27,18,21.7,7.5,3.0,6.8,44.2,0.7,2.2,32.0,0.8,1.2,66.0,0.4,1.8,2.2,2.9,1.8,0.8,0.0,1.8,0,0,0.2
Trey Lyles,UTA,21,54,34,20,18.6,7.5,2.7,7.0,39.1,1.1,3.3,33.3,0.9,1.3,70.6,0.7,2.9,3.7,1.2,1.1,0.5,0.3,1.5,1,0,0.6
Timofey Mozgov,LAL,30,52,16,36,20.7,7.5,3.2,6.2,50.9,0.0,0.0,0.0,1.2,1.5,80.3,1.9,3.0,4.9,0.8,1.3,0.3,0.6,2.4,1,0,-3.9
Justin Holiday,NYK,27,54,22,32,19.8,7.4,2.6,6.3,41.8,1.2,3.3,35.2,1.0,1.2,84.4,0.4,2.6,2.9,1.1,0.8,0.9,0.4,1.5,0,0,0.5
Mike Muscala,ATL,25,47,27,20,20.2,7.4,2.9,5.7,50.8,0.8,1.8,42.4,0.9,1.1,77.4,1.3,2.5,3.8,1.4,0.9,0.5,0.7,1.7,0,0,-1.9
Sam Dekker,HOU,22,56,39,17,19.5,7.3,2.9,6.2,47.0,0.9,2.8,33.1,0.6,0.9,58.5,1.3,2.5,3.9,1.1,0.6,0.6,0.3,1.2,0,0,1.1
Alec Burks,UTA,25,18,12,6,14.6,7.3,2.6,5.5,46.5,0.6,1.8,30.3,1.6,2.3,69.0,0.2,1.7,1.9,0.6,0.8,0.5,0.2,1.5,0,0,1.9
Spencer Hawes,MIL,28,35,15,20,17.9,7.3,3.0,6.2,47.7,0.5,1.6,29.1,0.9,1.0,88.2,0.9,3.3,4.2,1.8,1.1,0.4,0.7,1.7,3,0,-3.7
David Lee,SAS,33,51,39,12,18.5,7.3,3.1,5.2,59.2,0.0,0.0,0.0,1.1,1.5,70.1,1.7,3.7,5.5,1.6,1.0,0.4,0.4,1.6,4,0,4.1
Alex Len,PHX,23,51,15,36,19.6,7.2,2.7,5.5,50.2,0.0,0.1,25.0,1.7,2.4,72.7,1.9,4.4,6.3,0.5,1.2,0.4,1.3,3.0,7,0,-4.7
Darrell Arthur,DEN,28,27,11,16,16.0,7.2,2.7,5.7,47.7,1.5,2.9,50.6,0.3,0.4,90.0,0.7,2.1,2.8,1.1,1.1,0.3,0.6,2.1,0,0,-0.6
Caris LeVert,BKN,22,29,4,25,20.3,7.2,2.5,5.9,42.7,1.0,3.2,31.5,1.2,1.6,73.9,0.3,2.5,2.9,1.8,1.0,1.0,0.2,1.3,0,0,-1.7
Norman Powell,TOR,23,50,30,20,17.3,7.2,2.7,5.9,45.6,0.7,1.9,35.1,1.2,1.5,77.6,0.3,1.6,2.0,1.0,0.8,0.7,0.2,1.5,0,0,1.5
Patrick Patterson,TOR,27,40,24,16,27.3,7.2,2.5,6.4,38.5,1.6,4.3,36.3,0.7,1.0,65.9,1.2,4.3,5.5,1.4,0.7,0.8,0.4,2.1,1,0,7.5
Anthony Tolliver,SAC,31,41,17,24,23.0,7.1,2.4,5.3,45.4,1.3,3.4,39.0,1.0,1.2,80.4,1.0,2.7,3.7,0.9,0.8,0.6,0.2,1.7,1,0,-1.0
John Henson,MIL,26,45,20,25,20.3,7.1,2.8,5.4,51.0,0.0,0.0,0.0,1.6,2.2,70.7,1.4,3.8,5.2,1.1,1.0,0.5,1.3,2.7,0,0,-1.2
Isaiah Whitehead,BKN,21,45,7,38,22.2,7.1,2.7,7.0,38.2,0.6,1.9,32.1,1.1,1.4,82.3,0.3,2.2,2.5,3.0,2.0,0.6,0.5,2.6,1,0,-1.9
Jared Dudley,PHX,31,36,9,27,21.0,7.0,2.6,5.3,47.9,1.3,3.0,41.7,0.7,1.1,61.5,0.5,2.8,3.3,1.6,1.1,0.6,0.2,2.4,0,0,-1.4
Mirza Teletovic,MIL,31,42,18,24,16.7,7.0,2.4,6.2,38.7,1.6,4.6,34.9,0.6,0.8,78.8,0.2,2.2,2.5,0.8,0.7,0.1,0.2,1.6,0,0,1.8
Dwight Powell,DAL,25,53,21,32,18.7,7.0,2.7,5.0,53.9,0.1,0.5,20.8,1.5,1.9,76.7,1.4,3.0,4.4,0.8,0.4,1.0,0.6,1.9,1,0,-1.2
PJ Tucker,PHX,31,53,16,37,28.6,7.0,2.6,6.2,41.6,0.8,2.4,33.3,1.1,1.4,78.1,1.6,4.3,5.8,1.2,0.9,1.5,0.2,2.5,2,0,-3.3
Josh Huestis,OKC,25,1,0,1,6.9,7.0,3.0,4.0,75.0,1.0,2.0,50.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0,0,-2.0
Justin Hamilton,BKN,26,46,8,38,19.7,7.0,2.8,6.1,45.4,0.9,3.1,30.1,0.5,0.7,71.0,1.2,3.3,4.5,0.8,0.7,0.5,0.8,1.5,1,0,-5.3
Larry Nance Jr.,LAL,24,36,13,23,22.1,6.9,3.1,5.5,56.3,0.1,0.3,16.7,0.7,1.0,71.4,1.8,3.8,5.6,1.3,0.9,1.2,0.7,2.4,4,0,-1.8
Richaun Holmes,PHI,23,29,7,22,15.8,6.8,2.8,5.3,51.9,0.3,0.8,36.4,1.0,1.5,65.1,1.4,2.9,4.3,0.8,0.9,0.6,0.8,1.9,0,0,-2.3
Andre Roberson,OKC,25,54,31,23,30.8,6.7,2.7,6.1,44.2,0.6,2.6,24.1,0.6,1.5,41.5,1.1,4.0,5.1,1.0,0.7,1.2,1.0,2.4,2,0,1.4
Marcus Thornton,WAS,29,33,15,18,17.4,6.6,2.5,6.4,40.0,0.8,2.4,35.0,0.7,0.8,85.2,0.7,1.6,2.3,1.2,0.8,0.6,0.1,1.5,0,0,-4.5
Justin Anderson,DAL,23,48,18,30,14.3,6.6,2.2,5.6,39.6,0.8,2.5,30.8,1.4,1.8,79.8,0.8,2.2,3.0,0.6,0.8,0.6,0.3,1.3,0,0,-2.8
Chandler Parsons,MEM,28,25,15,10,19.1,6.6,2.4,6.8,34.7,0.8,2.8,27.5,1.1,1.3,84.8,0.1,2.2,2.3,1.6,0.6,0.6,0.2,1.3,0,0,0.4
Jonathon Simmons,SAS,27,49,39,10,18.2,6.5,2.4,5.4,43.8,0.4,1.2,32.2,1.4,1.9,73.9,0.3,2.0,2.3,1.7,1.1,0.7,0.4,1.9,0,0,3.8
Amir Johnson,BOS,29,52,33,19,20.0,6.5,2.7,4.7,56.6,0.3,0.8,39.5,0.9,1.3,67.2,1.7,2.9,4.6,1.7,0.8,0.5,0.7,2.7,0,0,1.5
Rajon Rondo,CHI,30,44,21,23,26.6,6.5,2.8,7.6,36.8,0.5,1.6,31.0,0.4,0.8,54.5,0.9,4.4,5.3,6.6,2.4,1.4,0.2,2.0,5,1,-0.2
Ian Clark,GSW,25,47,40,7,14.1,6.5,2.5,5.2,47.8,0.9,2.2,38.5,0.6,0.9,75.0,0.3,1.2,1.4,1.3,0.6,0.5,0.1,1.0,0,0,1.2
Kelly Oubre Jr.,WAS,21,50,29,21,20.9,6.4,2.4,5.6,42.0,0.8,2.6,30.5,0.9,1.2,76.7,0.8,2.7,3.5,0.6,0.7,0.8,0.2,2.6,1,0,-0.1
Spencer Dinwiddie,BKN,23,30,2,28,21.0,6.4,2.1,4.8,42.8,0.5,1.3,38.5,1.8,2.1,82.8,0.4,2.2,2.5,2.6,1.2,0.5,0.4,2.1,0,0,-4.4
Joe Ingles,UTA,29,54,34,20,21.7,6.4,2.2,4.8,46.7,1.3,3.0,44.4,0.6,0.8,79.1,0.2,2.6,2.8,2.4,1.1,1.1,0.1,1.9,0,0,1.8
Kyle O'Quinn,NYK,26,52,21,31,15.1,6.3,2.8,5.3,52.7,0.0,0.2,12.5,0.7,1.0,74.0,2.1,3.5,5.6,1.2,0.9,0.4,1.2,2.1,6,0,-1.4
Kosta Koufos,SAC,27,53,21,32,19.2,6.3,2.9,4.8,59.9,0.0,0.0,0.0,0.5,0.9,55.1,1.6,3.8,5.5,0.6,0.8,0.5,0.6,2.3,1,0,-1.3
Andrew Harrison,MEM,22,52,31,21,22.3,6.3,1.7,5.4,31.7,0.6,2.3,26.2,2.3,3.0,76.6,0.4,1.6,2.0,3.0,1.3,0.9,0.4,3.0,0,0,-0.5
Willy Hernangomez,NYK,22,46,19,27,15.2,6.3,2.6,4.9,52.7,0.1,0.2,27.3,1.1,1.5,72.1,1.9,3.9,5.8,1.1,1.2,0.4,0.5,1.6,4,0,0.4
Solomon Hill,NOP,25,51,20,31,27.9,6.3,2.1,5.4,38.3,1.0,2.9,34.7,1.1,1.4,79.7,0.5,3.1,3.6,1.7,0.9,0.9,0.5,2.3,0,0,-1.0
Ramon Sessions,CHA,30,50,23,27,16.2,6.2,2.0,5.3,38.0,0.4,1.2,33.9,1.8,2.4,77.1,0.2,1.2,1.5,2.6,0.9,0.5,0.1,0.9,0,0,-1.6
Jonathan Gibson,DAL,29,17,4,13,13.6,6.2,2.1,5.6,36.8,0.9,2.6,33.3,1.2,1.7,72.4,0.1,1.2,1.3,1.5,1.2,0.5,0.0,1.2,0,0,-4.9
Glenn Robinson,IND,23,50,28,22,22.1,6.2,2.3,5.1,45.5,0.7,1.8,37.8,0.8,1.2,70.7,0.9,2.8,3.7,0.7,0.6,0.5,0.3,0.9,3,0,-0.5
Derrick Williams,CLE,25,26,5,21,15.3,6.2,2.2,5.4,40.7,0.3,1.7,20.0,1.4,2.2,63.8,0.6,2.2,2.8,0.6,0.6,0.3,0.2,1.4,0,0,-1.2
Luc Mbah a Moute,LAC,30,51,30,21,22.4,6.1,2.3,4.8,48.6,0.6,1.5,38.7,0.9,1.3,71.9,0.7,1.7,2.4,0.4,0.7,1.0,0.5,1.7,0,0,2.7
Rodney McGruder,MIA,25,49,22,27,26.1,6.1,2.2,5.7,39.1,0.9,2.8,33.3,0.7,1.1,65.4,1.3,2.1,3.4,1.5,0.7,0.7,0.2,1.8,0,0,-0.2
Bismack Biyombo,ORL,24,54,20,34,23.6,6.1,2.3,4.3,53.0,0.0,0.0,0.0,1.5,3.1,47.6,1.9,5.4,7.3,1.0,1.2,0.3,1.3,2.4,7,0,-4.1
Tarik Black,LAL,25,43,17,26,16.3,6.0,2.3,4.6,51.3,0.0,0.0,0.0,1.3,1.9,71.6,2.4,3.2,5.6,0.7,0.8,0.4,0.5,2.7,2,0,0.6
Devin Harris,DAL,33,36,17,19,16.8,6.0,1.8,4.9,37.3,0.9,2.6,32.6,1.5,1.8,85.7,0.2,1.8,2.0,1.8,0.7,0.6,0.1,1.6,0,0,0.3
Dante Exum,UTA,21,39,24,15,18.8,6.0,2.3,5.4,42.5,0.7,2.4,28.3,0.7,0.9,82.9,0.4,1.4,1.8,1.7,1.1,0.3,0.2,2.4,0,0,-1.4
Malcolm Delaney,ATL,27,53,31,22,17.9,6.0,2.3,5.8,39.7,0.4,1.6,26.7,1.0,1.3,79.4,0.1,1.7,1.8,2.8,1.4,0.6,0.0,1.5,0,0,1.6
