"","zip","Year","Count","MedNormSourceEUI","MedSiteEUI","MedSourceEUI","MedNormSiteEUI","city.x","Borough","Observations","region","city.y","state","latitude","longitude"
"300","10472","2013",NA,111.8,87.7,130.9,111.8,"NYC","BRONX",52,"10472","Bronx","NY",40.830409,-73.86845
"301","10472","2014",NA,143.8,105.05,143.55,143.8,"NYC","BRONX",62,"10472","Bronx","NY",40.830409,-73.86845
"302","10472","2012",NA,120.1,84.4,NA,120.1,"NYC","BRONX",57,"10472","Bronx","NY",40.830409,-73.86845
"303","10473","2014",NA,127.2,85.7,137.6,127.2,"NYC","BRONX",29,"10473","Bronx","NY",40.818514,-73.85893
"304","10473","2012",NA,141.9,81.9,NA,141.9,"NYC","BRONX",44,"10473","Bronx","NY",40.818514,-73.85893
"305","10473","2011",NA,274.2,95.2,NA,274.2,"NYC","BRONX",9,"10473","Bronx","NY",40.818514,-73.85893
"306","10473","2013",NA,135.2,88.3,135.5,135.2,"NYC","BRONX",39,"10473","Bronx","NY",40.818514,-73.85893
"307","10474","2014",NA,130.9,85.6,132.8,130.9,"NYC","BRONX",20,"10474","Bronx","NY",40.81321,-73.88755
"308","10474","2012",NA,99.3,74.9,NA,99.3,"NYC","BRONX",15,"10474","Bronx","NY",40.81321,-73.88755
"309","10474","2013",NA,121,80,113.2,121,"NYC","BRONX",19,"10474","Bronx","NY",40.81321,-73.88755
"310","10474","2011",NA,31.6,20.1,NA,31.6,"NYC","BRONX",6,"10474","Bronx","NY",40.81321,-73.88755
"311","10475","2011",NA,172.7,79.5,NA,172.7,"NYC","BRONX",6,"10475","Bronx","NY",40.878522,-73.82541
"312","10475","2012",NA,188.1,127.1,NA,188.1,"NYC","BRONX",17,"10475","Bronx","NY",40.878522,-73.82541
"313","10475","2014",NA,111.4,50.9,115.8,111.4,"NYC","BRONX",19,"10475","Bronx","NY",40.878522,-73.82541
"314","10475","2013",NA,187,122.5,187.45,187,"NYC","BRONX",16,"10475","Bronx","NY",40.878522,-73.82541
"315","11004","2012",NA,249,155.2,NA,249,"NYC","QUEENS",11,"11004","Glen Oaks","NY",40.742944,-73.70956
"316","11004","2013",NA,236,171.2,235.9,236,"NYC","QUEENS",14,"11004","Glen Oaks","NY",40.742944,-73.70956
"317","11004","2011",NA,332.9,139.55,NA,332.9,"NYC","QUEENS",4,"11004","Glen Oaks","NY",40.742944,-73.70956
"318","11004","2014",NA,216.2,159.2,220,216.2,"NYC","QUEENS",13,"11004","Glen Oaks","NY",40.742944,-73.70956
"319","11040","2013",NA,NA,101.6,212.7,NA,"NYC","QUEENS",2,"11040","New Hyde Park","NY",40.742901,-73.67895
"320","11101","2013",NA,112.95,58.8,112.4,112.95,"NYC","QUEENS",109,"11101","Long Island City","NY",40.745341,-73.93907
"321","11101","2011",NA,113.9,53.2,NA,113.9,"NYC","QUEENS",85,"11101","Long Island City","NY",40.745341,-73.93907
"322","11101","2014",NA,120.4,64.2,120.7,120.4,"NYC","QUEENS",123,"11101","Long Island City","NY",40.745341,-73.93907
"323","11101","2012",NA,106.1,46.7,NA,106.1,"NYC","QUEENS",119,"11101","Long Island City","NY",40.745341,-73.93907
"324","11102","2012",NA,123.2,79.5,NA,123.2,"NYC","QUEENS",25,"11102","Astoria","NY",40.771286,-73.92462
"325","11102","2011",NA,80,35,NA,80,"NYC","QUEENS",3,"11102","Astoria","NY",40.771286,-73.92462
"326","11102","2014",NA,133.6,91.5,136.7,133.6,"NYC","QUEENS",21,"11102","Astoria","NY",40.771286,-73.92462
"327","11102","2013",NA,129.5,83.6,123.7,129.5,"NYC","QUEENS",27,"11102","Astoria","NY",40.771286,-73.92462
"328","11103","2014",NA,107.2,90.7,115.4,107.2,"NYC","QUEENS",9,"11103","Astoria","NY",40.762968,-73.91091
"329","11103","2013",NA,116.95,92.9,119.3,116.95,"NYC","QUEENS",9,"11103","Astoria","NY",40.762968,-73.91091
"330","11103","2012",NA,107.5,77.7,NA,107.5,"NYC","QUEENS",9,"11103","Astoria","NY",40.762968,-73.91091
"331","11103","2011",NA,196.65,92.55,NA,196.65,"NYC","QUEENS",2,"11103","Astoria","NY",40.762968,-73.91091
"332","11104","2012",NA,115.4,80.4,NA,115.4,"NYC","QUEENS",67,"11104","Sunnyside","NY",40.743796,-73.91949
"333","11104","2014",NA,123.9,93.3,127.5,123.9,"NYC","QUEENS",62,"11104","Sunnyside","NY",40.743796,-73.91949
"334","11104","2013",NA,115.2,88.4,118.8,115.2,"NYC","QUEENS",57,"11104","Sunnyside","NY",40.743796,-73.91949
"335","11104","2011",NA,76.15,40.55,NA,76.15,"NYC","QUEENS",4,"11104","Sunnyside","NY",40.743796,-73.91949
"336","11105","2014",NA,82.6,84.7,105.4,82.6,"NYC","QUEENS",11,"11105","Astoria","NY",40.774686,-73.90816
"337","11105","2011",NA,158.85,97.3,NA,158.85,"NYC","QUEENS",4,"11105","Astoria","NY",40.774686,-73.90816
"338","11105","2012",NA,117.45,84.55,NA,117.45,"NYC","QUEENS",14,"11105","Astoria","NY",40.774686,-73.90816
"339","11105","2013",NA,88.6,78.8,96.1,88.6,"NYC","QUEENS",13,"11105","Astoria","NY",40.774686,-73.90816
"340","11106","2013",NA,125.4,86.8,120.1,125.4,"NYC","QUEENS",29,"11106","Astoria","NY",40.762012,-73.93147
"341","11106","2011",NA,62.6,31.45,NA,62.6,"NYC","QUEENS",4,"11106","Astoria","NY",40.762012,-73.93147
"342","11106","2014",NA,134.1,91.1,129.3,134.1,"NYC","QUEENS",29,"11106","Astoria","NY",40.762012,-73.93147
"343","11106","2012",NA,103.8,69.4,NA,103.8,"NYC","QUEENS",39,"11106","Astoria","NY",40.762012,-73.93147
"344","11109","2013",NA,131.9,77.8,140.35,131.9,"NYC","QUEENS",4,"11109","Long Island City","NY",40.651378,-73.870779
"345","11109","2012",NA,135.4,60.6,NA,135.4,"NYC","QUEENS",5,"11109","Long Island City","NY",40.651378,-73.870779
"346","11109","2014",NA,136.85,81.7,140.75,136.85,"NYC","QUEENS",4,"11109","Long Island City","NY",40.651378,-73.870779
"347","11201","2011",NA,170.2,81.9,NA,170.2,"NYC","BROOKLYN",47,"11201","Brooklyn","NY",40.695286,-73.98907
"348","11201","2014",NA,130.05,81.6,135,130.05,"NYC","BROOKLYN",150,"11201","Brooklyn","NY",40.695286,-73.98907
"349","11201","2012",NA,145.8,74.8,NA,145.8,"NYC","BROOKLYN",149,"11201","Brooklyn","NY",40.695286,-73.98907
"350","11201","2013",NA,125.5,78,126,125.5,"NYC","BROOKLYN",142,"11201","Brooklyn","NY",40.695286,-73.98907
"351","11203","2013",NA,131.7,93.7,126.1,131.7,"NYC","BROOKLYN",33,"11203","Brooklyn","NY",40.649059,-73.93304
"352","11203","2012",NA,131,84.35,NA,131,"NYC","BROOKLYN",36,"11203","Brooklyn","NY",40.649059,-73.93304
"353","11203","2014",NA,121.8,89.2,125,121.8,"NYC","BROOKLYN",41,"11203","Brooklyn","NY",40.649059,-73.93304
"354","11203","2011",NA,610.2,358.2,NA,610.2,"NYC","BROOKLYN",3,"11203","Brooklyn","NY",40.649059,-73.93304
"355","11204","2011",NA,124.1,70.7,NA,124.1,"NYC","BROOKLYN",3,"11204","Brooklyn","NY",40.618944,-73.98473
"356","11204","2014",NA,99.6,75.4,102.7,99.6,"NYC","BROOKLYN",35,"11204","Brooklyn","NY",40.618944,-73.98473
"357","11204","2012",NA,104.6,68.8,NA,104.6,"NYC","BROOKLYN",35,"11204","Brooklyn","NY",40.618944,-73.98473
"358","11204","2013",NA,108.75,78.3,106.45,108.75,"NYC","BROOKLYN",32,"11204","Brooklyn","NY",40.618944,-73.98473
"359","11205","2012",NA,114.7,81.7,NA,114.7,"NYC","BROOKLYN",63,"11205","Brooklyn","NY",40.694214,-73.96529
"360","11205","2011",NA,181.2,108.8,NA,181.2,"NYC","BROOKLYN",33,"11205","Brooklyn","NY",40.694214,-73.96529
"361","11205","2013",NA,114.7,95.2,127.6,114.7,"NYC","BROOKLYN",57,"11205","Brooklyn","NY",40.694214,-73.96529
"362","11205","2014",NA,118.5,75.95,126.45,118.5,"NYC","BROOKLYN",44,"11205","Brooklyn","NY",40.694214,-73.96529
"363","11206","2011",NA,199.5,75,NA,199.5,"NYC","BROOKLYN",15,"11206","Brooklyn","NY",40.702348,-73.94288
"364","11206","2012",NA,117.4,55.9,NA,117.4,"NYC","BROOKLYN",47,"11206","Brooklyn","NY",40.702348,-73.94288
"365","11206","2014",NA,134,86.9,138.85,134,"NYC","BROOKLYN",44,"11206","Brooklyn","NY",40.702348,-73.94288
"366","11206","2013",NA,123.4,59.5,121.9,123.4,"NYC","BROOKLYN",45,"11206","Brooklyn","NY",40.702348,-73.94288
"367","11207","2011",NA,197.8,73.65,NA,197.8,"NYC","BROOKLYN",14,"11207","Brooklyn","NY",40.670874,-73.89424
"368","11207","2013",NA,105.8,55.65,109,105.8,"NYC","BROOKLYN",32,"11207","Brooklyn","NY",40.670874,-73.89424
"369","11207","2012",NA,114.1,67,NA,114.1,"NYC","BROOKLYN",49,"11207","Brooklyn","NY",40.670874,-73.89424
"370","11207","2014",NA,98.8,62.8,100.6,98.8,"NYC","BROOKLYN",39,"11207","Brooklyn","NY",40.670874,-73.89424
"371","11208","2014",NA,139.4,89.25,142.9,139.4,"NYC","BROOKLYN",20,"11208","Brooklyn","NY",40.672666,-73.87248
"372","11208","2012",NA,106.4,74.7,NA,106.4,"NYC","BROOKLYN",11,"11208","Brooklyn","NY",40.672666,-73.87248
"373","11208","2013",NA,126.45,91.05,144.75,126.45,"NYC","BROOKLYN",16,"11208","Brooklyn","NY",40.672666,-73.87248
"374","11208","2011",NA,56.2,21.4,NA,56.2,"NYC","BROOKLYN",5,"11208","Brooklyn","NY",40.672666,-73.87248
"375","11209","2012",NA,114.85,71.6,NA,114.85,"NYC","BROOKLYN",96,"11209","Brooklyn","NY",40.62327,-74.0295
"376","11209","2014",NA,107.1,80.95,110.9,107.1,"NYC","BROOKLYN",108,"11209","Brooklyn","NY",40.62327,-74.0295
"377","11209","2013",NA,109.9,80.9,111.6,109.9,"NYC","BROOKLYN",98,"11209","Brooklyn","NY",40.62327,-74.0295
"378","11209","2011",NA,90.1,45.9,NA,90.1,"NYC","BROOKLYN",2,"11209","Brooklyn","NY",40.62327,-74.0295
"379","11210","2014",NA,114.1,81.6,113.2,114.1,"NYC","BROOKLYN",53,"11210","Brooklyn","NY",40.627946,-73.94552
"380","11210","2012",NA,112.55,71.2,NA,112.55,"NYC","BROOKLYN",44,"11210","Brooklyn","NY",40.627946,-73.94552
"381","11210","2013",NA,135.7,90.95,129.15,135.7,"NYC","BROOKLYN",42,"11210","Brooklyn","NY",40.627946,-73.94552
"382","11211","2013",NA,102.4,63,111.5,102.4,"NYC","BROOKLYN",31,"11211","Brooklyn","NY",40.71209,-73.95427
"383","11211","2012",NA,130.3,60.4,NA,130.3,"NYC","BROOKLYN",21,"11211","Brooklyn","NY",40.71209,-73.95427
"384","11211","2011",NA,93.9,43.4,NA,93.9,"NYC","BROOKLYN",7,"11211","Brooklyn","NY",40.71209,-73.95427
"385","11211","2014",NA,120.15,66.1,126,120.15,"NYC","BROOKLYN",37,"11211","Brooklyn","NY",40.71209,-73.95427
"386","11212","2011",NA,216.9,108.7,NA,216.9,"NYC","BROOKLYN",7,"11212","Brooklyn","NY",40.662191,-73.91328
"387","11212","2014",NA,148.7,86.95,151.05,148.7,"NYC","BROOKLYN",54,"11212","Brooklyn","NY",40.662191,-73.91328
"388","11212","2013",NA,137.6,73.95,138.25,137.6,"NYC","BROOKLYN",46,"11212","Brooklyn","NY",40.662191,-73.91328
"389","11212","2012",NA,145.8,71.4,NA,145.8,"NYC","BROOKLYN",47,"11212","Brooklyn","NY",40.662191,-73.91328
"390","11213","2014",NA,110.05,79.5,114.4,110.05,"NYC","BROOKLYN",57,"11213","Brooklyn","NY",40.670937,-73.93459
