Year,Rank,Name,College,Conference,Games,XPM,XPA,XP_Per,FGM,FGA,FG_Per,Points
2003,16,Billy Bennett,Georgia,SEC,14,38,39,97.4,31,38,81.6,131
2003,17,Brian Kelly,Middle Tennessee State,Sun Belt,12,37,40,92.5,13,16,81.3,76
2003,18,Dan Burnett,Georgia Tech,ACC,13,28,29,96.6,17,21,81,79
2003,19,Steve Azar,Northern Illinois,MAC,12,41,43,95.3,21,26,80.8,104
2003,20,Dillon Pieffer,Nevada-Las Vegas,MWC,12,26,28,92.9,20,25,80,86
2003,21,Sean Comiskey,Louisiana-Lafayette,Sun Belt,12,28,29,96.6,12,15,80,64
2003,22,Ryan Killeen,Southern California,Pac-10,13,65,67,97,19,24,79.2,122
2003,23,Jon Peattie,Miami (FL),Big East,13,37,37,100,22,28,78.6,103
2003,24,Bryan Borreson,Utah,MWC,12,29,32,90.6,11,14,78.6,62
2003,25,Matt Leach,Florida,SEC,13,41,41,100,21,27,77.8,104
2003,26,Matt Payne,Brigham Young,MWC,12,20,20,100,14,18,77.8,62
2003,27,Rhys Lloyd,Minnesota,Big Ten,13,59,61,96.7,14,18,77.8,101
2003,28,Todd Pegram,Texas A&M,Big 12,12,31,34,91.2,17,22,77.3,82
2003,29,Matt Prater,Central Florida,MAC,12,23,24,95.8,10,13,76.9,53
2003,30,Damon Fine,Nevada,WAC,12,27,32,84.4,13,17,76.5,66
2003,31,Xavier Beitia,Florida State,ACC,13,50,51,98,19,25,76,107
2003,32,Tyler Jones,Boise State,WAC,14,75,76,98.7,19,25,76,132
2003,33,Dave Rayner,Michigan State,Big Ten,13,39,40,97.5,22,29,75.9,105
2003,34,David Rayner,Michigan State,Big Ten,13,39,40,97.5,22,29,75.9,105
2003,35,Nick Novak,Maryland,ACC,13,38,42,90.5,24,32,75,110
2003,36,Brett Visintainer,Fresno State,WAC,14,35,35,100,21,28,75,98
2003,37,Dan Orner,North Carolina,ACC,12,35,35,100,12,16,75,71
2003,38,Collin Barber,Syracuse,Big East,12,33,34,97.1,12,16,75,69
2003,39,Dustin Bell,Houston,CUSA,13,56,56,100,14,19,73.7,98
2003,40,Justin Medlock,UCLA,Pac-10,13,26,26,100,14,19,73.7,68
2003,41,Chris Balseiro,Arkansas,SEC,11,40,41,97.6,11,15,73.3,73
2003,42,Michael Matheny,Missouri,Big 12,13,44,47,93.6,10,14,71.4,74
2003,43,Mike Matheny,Missouri,Big 12,12,42,45,93.3,10,14,71.4,72
2003,44,Chris McMurtray,Southern Methodist,WAC,12,10,11,90.9,10,14,71.4,40
2003,45,James Wilhoit,Tennessee,SEC,13,41,41,100,17,24,70.8,92
2003,46,Adam Kiker,North Carolina State,ACC,13,56,59,94.9,12,17,70.6,92
2003,47,Deric Yaussi,Wyoming,MWC,12,34,35,97.1,12,17,70.6,70
2003,48,Joe Rheem,Kansas State,Big 12,15,67,68,98.5,12,17,70.6,103
2003,49,D.J. Fitzpatrick,Notre Dame,Ind,11,17,18,94.4,12,17,70.6,53
2003,50,Jason Swiger,Akron,MAC,12,49,50,98,14,20,70,91
2003,51,Nate Smith,Louisville,CUSA,13,50,52,96.2,14,20,70,92
2003,52,Aaron Hunt,Clemson,ACC,13,38,42,90.5,18,26,69.2,92
2003,53,Brian Jackson,Ball State,MAC,12,25,26,96.2,11,16,68.8,58
2003,54,Jared Siegel,Oregon,Pac-10,13,45,45,100,13,19,68.4,84
2003,55,Jeff Babcock,Colorado State,MWC,13,46,48,95.8,13,19,68.4,85
2003,56,Josh Scobee,Louisiana Tech,WAC,12,31,31,100,21,31,67.7,94
2003,57,Shaun Suisham,Bowling Green State,MAC,14,56,60,93.3,16,24,66.7,104
2003,58,Travis Mayle,Kent State,MAC,12,33,35,94.3,16,24,66.7,81
2003,59,David Dyches,Nebraska,Big 12,12,32,32,100,14,21,66.7,74
2003,60,Carter Warley,Virginia Tech,Big East,13,54,57,94.7,12,18,66.7,90
2003,61,Cameron Broadwell,East Carolina,CUSA,12,23,25,92,12,18,66.7,59
2003,62,Bryan Robertson,Indiana,Big Ten,12,19,20,95,12,18,66.7,55
2003,63,Jesse Ainsworth,Arizona State,Pac-10,12,25,28,89.3,10,15,66.7,55
2003,64,Greg Dimarino,Ohio,MAC,12,27,32,84.4,8,12,66.7,51
2003,65,Stephen Gostkowski,Memphis,CUSA,13,44,44,100,19,29,65.5,101
2003,66,Jeff Carr,San Jose State,WAC,11,28,29,96.6,11,17,64.7,61
2003,67,Nick Bazaldua,North Texas,Sun Belt,12,42,43,97.7,9,14,64.3,69
2003,68,Brian Bostick,Alabama,SEC,13,33,37,89.2,16,25,64,81
2003,69,Justin Ayat,Hawaii,WAC,14,30,38,78.9,14,22,63.6,72
2003,70,John Gockman,Illinois,Big Ten,12,21,21,100,14,22,63.6,63
2003,71,J.C. Mejia,San Diego State,MWC,12,20,23,87,18,29,62.1,74
2003,72,Joey Ashcroft,Air Force,MWC,12,28,30,93.3,13,21,61.9,67
2003,73,Daniel Weaver,South Carolina,SEC,12,25,25,100,8,13,61.5,49
2003,74,Keith Toogood,Texas Tech,Big 12,13,66,70,94.3,8,13,61.5,90
2003,75,Brad Cooper,West Virginia,Big East,13,46,48,95.8,11,18,61.1,79
2003,76,Sandro Sciortino,Boston College,Big East,12,36,36,100,11,18,61.1,69
2003,77,Santiago Gramatica,South Florida,CUSA,11,30,31,96.8,12,20,60,66
2003,78,Evan Knudson,Washington,Pac-10,12,33,36,91.7,10,17,58.8,63
2003,79,Chet Ervin,Cincinnati,CUSA,12,,,,10,17,58.8,
2003,80,Brent Garber,Duke,ACC,12,5,5,100,7,12,58.3,26
2003,81,Ryan Sands,Rutgers,Big East,12,24,25,96,12,21,57.1,60
2003,82,Dario Aguiniga,New Mexico State,Sun Belt,12,27,30,90,13,23,56.5,66
2003,83,Johnny Beck,Kansas,Big 12,13,31,34,91.2,9,16,56.3,58
2003,84,Brad Devault,Tulsa,WAC,13,49,53,92.5,9,16,56.3,76
2003,85,Robbie Gould,Penn State,Big Ten,12,22,24,91.7,9,16,56.3,49
2003,86,Michael Sgroi,Stanford,Pac-10,11,21,22,95.5,7,13,53.8,42
2003,87,Kenny Webb,Baylor,Big 12,12,24,24,100,7,13,53.8,45
2003,88,Robert Menchinger,Western Michigan,MAC,12,41,41,100,8,15,53.3,65
2003,89,Matt Nuzie,Connecticut,Ind,12,47,49,95.9,11,21,52.4,80
2003,90,Tyler Fredrickson,California,Pac-10,14,54,54,100,15,30,50,99
2003,91,David Abdul,Pittsburgh,Big East,13,49,51,96.1,9,18,50,76
2003,92,Keith Robinson,Texas-El Paso,WAC,10,26,27,96.3,7,14,50,47
2003,93,Thomas Olmsted,Troy,Ind,12,21,24,87.5,6,13,46.2,39
2003,94,Jared Davis,Temple,Big East,12,23,26,88.5,10,22,45.5,53
2004,1,Todd Pegram,Texas A&M,Big 12,12,37,42,88.1,12,13,92.3,73
2004,2,Andrew Wellock,Eastern Michigan,MAC,11,32,33,97,21,23,91.3,95
2004,3,Mike Nugent,Ohio State,Big Ten,12,30,30,100,24,27,88.9,102
2004,4,Tyler Jones,Boise State,WAC,12,69,70,98.6,24,27,88.9,141
2004,5,Colby Smith,Middle Tennessee State,Sun Belt,11,32,32,100,15,17,88.2,77
2004,6,Travis Bell,Georgia Tech,ACC,12,31,31,100,15,17,88.2,76
2004,7,Joe Rheem,Kansas State,Big 12,11,37,38,97.4,13,15,86.7,76
2004,8,Greg Whibbs,Troy,Sun Belt,12,32,35,91.4,12,14,85.7,68
2004,9,Alexis Serna,Oregon State,Pac-10,11,29,32,90.6,17,20,85,80
2004,10,Brian Bostick,Alabama,SEC,12,35,35,100,16,19,84.2,83
2004,11,Darren McCaleb,Southern Mississippi,CUSA,12,27,31,87.1,16,19,84.2,75
2004,12,Stephen Gostkowski,Memphis,CUSA,12,48,49,98,20,24,83.3,108
2004,13,Jeff Babcock,Colorado State,MWC,11,30,30,100,14,17,82.4,72
2004,14,Kyle Schlicher,Iowa,Big Ten,12,29,32,90.6,21,26,80.8,92
2004,15,Arthur Carmody,Louisville,CUSA,12,77,77,100,12,15,80,113
2004,16,Cameron Broadwell,East Carolina,CUSA,11,25,26,96.2,12,15,80,61
2004,17,Jad Dean,Clemson,ACC,11,17,18,94.4,12,15,80,53
2004,18,John Vaughn,Auburn,SEC,13,51,52,98.1,12,15,80,87
2004,19,Art Carmody,Louisville,CUSA,12,77,77,100,12,15,80,113
2004,20,Mason Crosby,Colorado,Big 12,13,31,33,93.9,23,29,79.3,100
2004,21,Garrett Rivas,Michigan,Big Ten,12,37,41,90.2,19,24,79.2,94
2004,22,Bryan Robertson,Indiana,Big Ten,11,15,17,88.2,11,14,78.6,48
2004,23,Brandon Pace,Virginia Tech,ACC,13,43,44,97.7,21,27,77.8,106
2004,24,Connor Barth,North Carolina,ACC,12,35,37,94.6,14,18,77.8,77
2004,25,Nick Bazaldua,North Texas,Sun Belt,11,37,38,97.4,14,18,77.8,79
2004,26,Josh Brown,South Carolina,SEC,11,27,27,100,10,13,76.9,57
2004,27,Nick Hayes,Alabama-Birmingham,CUSA,12,45,48,93.8,13,17,76.5,84
2004,28,Chris Nendick,Northern Illinois,MAC,12,51,52,98.1,16,21,76.2,99
2004,29,Justin Medlock,UCLA,Pac-10,12,42,43,97.7,15,20,75,87
2004,30,Reagan Schneider,Texas-El Paso,WAC,12,52,53,98.1,15,20,75,97
2004,31,Brad Devault,Tulsa,WAC,10,33,33,100,12,16,75,69
2004,32,Brian Jackson,Ball State,MAC,11,23,24,95.8,12,16,75,59
2004,33,Jonathan Nichols,Mississippi,SEC,11,19,19,100,20,27,74.1,79
2004,34,Ian O'Connor,Marshall,MAC,12,31,33,93.9,14,19,73.7,73
2004,35,D.J. Fitzpatrick,Notre Dame,Ind,12,34,35,97.1,11,15,73.3,67
2004,36,Dusty Mangum,Texas,Big 12,11,50,51,98,11,15,73.3,83
2004,37,Justin Ayat,Hawaii,WAC,13,54,60,90,11,15,73.3,87
2004,38,Kenny Webb,Baylor,Big 12,11,25,26,96.2,11,15,73.3,58
2004,39,Kevin Lovell,Cincinnati,CUSA,11,39,40,97.5,11,15,73.3,72
2004,40,Sergio Aguayo,Nevada-Las Vegas,MWC,11,27,27,100,11,15,73.3,60
2004,41,Nick Novak,Maryland,ACC,11,21,21,100,16,22,72.7,69
2004,42,Deric Yaussi,Wyoming,MWC,12,36,36,100,18,25,72,90
2004,43,Mark Myers,Florida Atlantic,Sun Belt,12,30,32,93.8,20,28,71.4,90
2004,44,Matt Nuzie,Connecticut,Big East,12,37,42,88.1,20,28,71.4,97
2004,45,Brett Visintainer,Fresno State,WAC,12,55,56,98.2,10,14,71.4,85
2004,46,David Rayner,Michigan State,Big Ten,12,39,39,100,22,31,71,105
2004,47,Dave Rayner,Michigan State,Big Ten,12,39,39,100,22,31,71,105
2004,48,Connor Hughes,Virginia,ACC,12,42,45,93.3,17,24,70.8,93
2004,49,Andy Bailey,Georgia,SEC,12,36,37,97.3,14,20,70,78
2004,50,Shaun Suisham,Bowling Green State,MAC,12,69,69,100,14,20,70,111
2004,51,Eric Neihouse,Arkansas State,Sun Belt,11,26,26,100,11,16,68.8,59
2004,52,Jason Ricks,Oklahoma State,Big 12,12,47,49,95.9,11,16,68.8,80
2004,53,Wes Zunker,New Mexico,MWC,12,27,28,96.4,11,16,68.8,60
2004,54,Matt Brooks,Duke,ACC,11,18,19,94.7,13,19,68.4,57
2004,55,Matt Leach,Florida,SEC,12,49,49,100,13,19,68.4,88
2004,56,Ryan Ohliger,Boston College,Big East,12,31,34,91.2,13,19,68.4,70
2004,57,Matt Payne,Brigham Young,MWC,11,30,31,96.8,15,22,68.2,75
2004,58,Josh Cummings,Pittsburgh,Big East,12,35,37,94.6,18,27,66.7,89
2004,59,Michael Sgroi,Stanford,Pac-10,11,22,23,95.7,16,24,66.7,70
2004,60,Damon Fine,Nevada,WAC,12,44,45,97.8,12,18,66.7,80
2004,61,Rhys Lloyd,Minnesota,Big Ten,12,43,47,91.5,12,18,66.7,79
2004,62,Ryan Guardia,New Mexico State,Sun Belt,11,21,25,84,12,18,66.7,57
2004,63,Chris Jackson,Louisiana State,SEC,12,15,20,75,11,17,64.7,48
2004,64,Jesse Ainsworth,Arizona State,Pac-10,12,40,40,100,18,28,64.3,94
2004,65,Jared Siegel,Oregon,Pac-10,11,31,33,93.9,9,14,64.3,58
2004,66,Matt Prater,Central Florida,MAC,9,12,14,85.7,9,14,64.3,39
2004,67,Taylor Begley,Kentucky,SEC,10,20,20,100,9,14,64.3,47
2004,68,Ryan Killeen,Southern California,Pac-10,13,64,64,100,16,25,64,112
2004,69,Xavier Beitia,Florida State,ACC,11,29,29,100,16,25,64,77
2004,70,Collin Barber,Syracuse,Big East,11,24,27,88.9,14,22,63.6,66
2004,71,Sean Comiskey,Louisiana-Lafayette,Sun Belt,11,24,24,100,14,22,63.6,66
2004,72,Michael Greenaway,Air Force,MWC,11,33,36,91.7,7,11,63.6,54
2004,73,Santiago Gramatica,South Florida,CUSA,9,23,24,95.8,7,11,63.6,44
2004,74,Jeremy Ito,Rutgers,Big East,11,28,29,96.6,15,24,62.5,73
2004,75,Jon Peattie,Miami (FL),ACC,12,45,45,100,15,24,62.5,90
2004,76,Joe Tantarelli,Missouri,Big 12,9,27,28,96.4,10,16,62.5,57
2004,77,Johnny Beck,Kansas,Big 12,11,1,2,50,10,16,62.5,31
2004,78,Jeff Carr,San Jose State,WAC,11,40,40,100,8,13,61.5,64
2004,79,Nick Folk,Arizona,Pac-10,11,18,18,100,8,13,61.5,42
2004,80,Peter Lococo,Texas Christian,CUSA,9,30,32,93.8,9,15,60,57
2004,81,Dustin Bell,Houston,CUSA,11,21,24,87.5,13,22,59.1,60
2004,82,John Deraney,North Carolina State,ACC,11,29,29,100,13,22,59.1,68
2004,83,James Wilhoit,Tennessee,SEC,13,44,45,97.8,10,17,58.8,74
2004,84,Jason Swiger,Akron,MAC,11,31,33,93.9,10,17,58.8,61
2004,85,Jason Reda,Illinois,Big Ten,12,26,27,96.3,7,12,58.3,47
2004,86,Garrett Palmer,San Diego State,MWC,11,26,27,96.3,12,21,57.1,62
2004,87,Mike Allen,Wisconsin,Big Ten,12,27,29,93.1,12,21,57.1,63
2004,88,Danny Horwedel,Louisiana Tech,WAC,10,27,28,96.4,8,14,57.1,51
2004,89,Brad Cooper,West Virginia,Big East,12,43,44,97.7,9,16,56.3,70
2004,90,Tom Schneider,California,Pac-10,12,56,57,98.2,9,16,56.3,83
2004,91,Ben Jones,Purdue,Big Ten,12,49,50,98,10,18,55.6,79
2004,92,Ragan Walters,Louisiana-Monroe,Sun Belt,9,13,14,92.9,6,11,54.5,31
2004,93,Alex Trlica,Texas Tech,Big 12,12,55,55,100,7,13,53.8,76
2004,94,Robbie Gould,Penn State,Big Ten,11,22,23,95.7,7,13,53.8,43
2004,95,Ryan Lux,Temple,Big East,11,27,28,96.4,9,17,52.9,54
2004,96,Trey Dicarlo,Oklahoma,Big 12,13,45,48,93.8,8,16,50,69
2004,97,Brooks Rossman,Ohio,MAC,11,20,24,83.3,7,14,50,41
2004,98,Patrick Johnson,Vanderbilt,SEC,11,18,23,78.3,7,14,50,39
2004,99,Mike Gruzwalski,Central Michigan,MAC,11,23,27,85.2,6,13,46.2,41
2004,100,Travis Mayle,Kent State,MAC,11,37,41,90.2,6,13,46.2,55
2004,101,Loren Langley,Washington State,Pac-10,11,30,32,93.8,5,11,45.5,45
2004,102,Robert Menchinger,Western Michigan,MAC,11,32,33,97,5,11,45.5,47
2004,103,Geoffrey Blumenfeld,Navy,Ind,12,38,42,90.5,5,12,41.7,53
2004,104,Brian Huffman,Northwestern,Big Ten,12,23,24,95.8,7,17,41.2,44
2004,105,Michael Baker,Buffalo,MAC,10,24,25,96,5,13,38.5,39
2004,106,Mike Barrow,Idaho,Sun Belt,12,27,28,96.4,4,12,33.3,39
2005,1,Chris Manfredini,Texas Christian,MWC,10,40,44,90.9,13,13,100,79
2005,2,Jason Robbins,Toledo,MAC,12,54,55,98.2,13,13,100,93
2005,3,Robert Lee,East Carolina,CUSA,11,30,30,100,17,19,89.5,81
2005,4,Garrett Palmer,San Diego State,MWC,12,36,38,94.7,15,17,88.2,81
2005,5,Stephen Gostkowski,Memphis,CUSA,12,35,35,100,22,25,88,101
2005,6,Connor Hughes,Virginia,ACC,12,36,36,100,21,24,87.5,99
2005,7,Arthur Carmody,Louisville,Big East,12,63,65,96.9,14,16,87.5,105
2005,8,Art Carmody,Louisville,Big East,12,63,65,96.9,14,16,87.5,105
2005,9,Kenny Byrd,New Mexico,MWC,11,33,38,86.8,13,15,86.7,72
2005,10,Brandon Pace,Virginia Tech,ACC,13,51,52,98.1,19,22,86.4,108
2005,11,Brad Devault,Tulsa,CUSA,13,49,51,96.1,18,21,85.7,103
2005,12,Dan Beardall,Utah,MWC,12,40,42,95.2,16,19,84.2,88
2005,13,Mike Barrow,Idaho,WAC,11,21,23,91.3,16,19,84.2,69
2005,14,Josh Brown,South Carolina,SEC,12,32,35,91.4,10,12,83.3,62
2005,15,Jordan Congdon,Nebraska,Big 12,12,31,32,96.9,19,23,82.6,88
2005,16,Alexis Serna,Oregon State,Pac-10,11,32,32,100,23,28,82.1,101
2005,17,Darren McCaleb,Southern Mississippi,CUSA,12,38,39,97.4,23,28,82.1,107
2005,18,Chris McMurtray,Southern Methodist,CUSA,11,21,22,95.5,18,22,81.8,75
2005,19,Chris Hetland,Florida,SEC,12,38,40,95,13,16,81.3,77
2005,20,Kyle Schlicher,Iowa,Big Ten,12,43,44,97.7,17,21,81,94
2005,21,Brett Jaekle,Nevada,WAC,12,50,53,94.3,12,15,80,86
2005,22,Taylor Begley,Kentucky,SEC,11,27,28,96.4,12,15,80,63
2005,23,Brandon Coutu,Georgia,SEC,13,45,45,100,23,29,79.3,114
2005,24,Paul Martinez,Oregon,Pac-10,9,26,30,86.7,19,24,79.2,83
2005,25,Sam Swank,Wake Forest,ACC,11,29,29,100,19,24,79.2,86
2005,26,Todd Pegram,Texas A&M,Big 12,11,41,41,100,15,19,78.9,86
2005,27,Josh Huston,Ohio State,Big Ten,12,44,45,97.8,22,28,78.6,110
2005,28,Adam Moss,Florida International,Sun Belt,11,32,32,100,11,14,78.6,65
2005,29,Bruce Redden,Oklahoma State,Big 12,11,23,24,95.8,11,14,78.6,56
2005,30,Reagan Schneider,Texas-El Paso,CUSA,12,41,41,100,18,23,78.3,95
2005,31,David Pino,Texas,Big 12,13,71,77,92.2,14,18,77.8,113
2005,32,Parker Mullins,Alabama-Birmingham,CUSA,11,37,37,100,14,18,77.8,79
2005,33,Jad Dean,Clemson,ACC,12,34,35,97.1,24,31,77.4,106
2005,34,Justin Medlock,UCLA,Pac-10,11,50,50,100,13,17,76.5,89
2005,35,Mason Crosby,Colorado,Big 12,13,32,32,100,22,29,75.9,98
2005,36,John Deraney,North Carolina State,ACC,12,28,28,100,15,20,75,73
2005,37,Jon Peattie,Miami (FL),ACC,12,34,39,87.2,15,20,75,79
2005,38,Bret Culbertson,Iowa State,Big 12,10,34,34,100,12,16,75,70
2005,39,Sergio Aguayo,Nevada-Las Vegas,MWC,11,21,22,95.5,12,16,75,57
2005,40,Joey Bullen,Navy,Ind,12,52,53,98.1,9,12,75,79
2005,41,Justin Koenig,Army,Ind,11,20,20,100,9,12,75,47
2005,42,Jeremy Ito,Rutgers,Big East,12,40,40,100,20,27,74.1,100
2005,43,James Wilhoit,Tennessee,SEC,11,21,21,100,14,19,73.7,63
2005,44,Jared McLaughlin,Brigham Young,MWC,12,46,48,95.8,14,19,73.7,88
2005,45,Josh Cummings,Pittsburgh,Big East,9,19,19,100,14,19,73.7,61
2005,46,Scott Webb,Kansas,Big 12,12,27,29,93.1,14,19,73.7,69
2005,47,Evan Knudson,Washington,Pac-10,11,28,28,100,11,15,73.3,61
2005,48,Garrett Rivas,Michigan,Big Ten,12,33,35,94.3,19,26,73.1,90
2005,49,Travis Mayle,Kent State,MAC,11,20,21,95.2,8,11,72.7,44
2005,50,Alex Trlica,Texas Tech,Big 12,12,60,60,100,13,18,72.2,99
2005,51,Chris Balseiro,Arkansas,SEC,11,31,32,96.9,13,18,72.2,70
2005,52,Andrew Wellock,Eastern Michigan,MAC,11,22,24,91.7,18,25,72,76
2005,53,Gary Cismesia,Florida State,ACC,13,42,43,97.7,17,24,70.8,93
2005,54,Bryant Hahnfeldt,Vanderbilt,SEC,11,32,33,97,12,17,70.6,68
2005,55,Todd Soderquist,Miami (OH),MAC,11,43,44,97.7,19,27,70.4,100
2005,56,Adam Crossett,Missouri,Big 12,12,39,42,92.9,14,20,70,81
2005,57,Jason Swiger,Akron,MAC,13,35,36,97.2,14,20,70,77
2005,58,Taylor Mehlhaff,Wisconsin,Big Ten,13,56,58,96.6,14,20,70,98
2005,59,Kevin Kelly,Penn State,Big Ten,12,49,50,98,16,23,69.6,97
2005,60,Ryan Havens,Baylor,Big 12,11,22,24,91.7,16,23,69.6,70
2005,61,Danny Horwedel,Louisiana Tech,WAC,11,34,38,89.5,18,26,69.2,88
2005,62,Brian Jackson,Ball State,MAC,11,26,27,96.3,9,13,69.2,53
2005,63,Chris Nendick,Northern Illinois,MAC,12,50,50,100,9,13,69.2,77
2005,64,Kyle Bronson,South Florida,Big East,12,29,30,96.7,11,16,68.8,62
2005,65,Jason Giannini,Minnesota,Big Ten,11,36,44,81.8,13,19,68.4,75
2005,66,Dan Ennis,Maryland,ACC,11,23,25,92,17,25,68,74
2005,67,Dan Kelly,Hawaii,WAC,12,42,45,93.3,10,15,66.7,72
2005,68,Ben Bell,Houston,CUSA,12,37,39,94.9,8,12,66.7,61
2005,69,John Barker,Syracuse,Big East,6,,,,8,12,66.7,
2005,70,Matt Prater,Central Florida,CUSA,13,29,32,90.6,17,26,65.4,80
2005,71,Michael Sgroi,Stanford,Pac-10,11,32,32,100,15,23,65.2,77
2005,72,Jason Reda,Illinois,Big Ten,10,20,20,100,13,20,65,59
2005,73,D.J. Fitzpatrick,Notre Dame,Ind,12,52,54,96.3,11,17,64.7,85
2005,74,Ryan Ohliger,Boston College,ACC,12,19,20,95,9,14,64.3,46
2005,75,Jamie Christensen,Alabama,SEC,11,25,26,96.2,16,25,64,73
2005,76,Garrett Hartley,Oklahoma,Big 12,12,37,38,97.4,14,22,63.6,79
2005,77,Loren Langley,Washington State,Pac-10,11,38,41,92.7,14,22,63.6,80
2005,78,Nick Folk,Arizona,Pac-10,11,31,33,93.9,7,11,63.6,52
2005,79,Sean Comiskey,Louisiana-Lafayette,Sun Belt,11,31,34,91.2,7,11,63.6,52
2005,80,Nate Meyer,Western Michigan,MAC,11,42,44,95.5,12,19,63.2,78
2005,81,Jeff Snodgrass,Kansas State,Big 12,11,21,23,91.3,10,16,62.5,51
2005,82,Scott Eberle,Air Force,MWC,11,38,40,95,10,16,62.5,68
2005,83,Jared Strubeck,San Jose State,WAC,11,28,30,93.3,11,18,61.1,61
2005,84,Pat McAfee,West Virginia,Big East,12,48,49,98,11,18,61.1,81
2005,85,John Vaughn,Auburn,SEC,12,50,50,100,12,20,60,86
2005,86,Eric Neihouse,Arkansas State,Sun Belt,12,35,35,100,13,22,59.1,74
2005,87,Ben Jones,Purdue,Big Ten,11,40,42,95.2,8,14,57.1,64
2005,88,Deric Yaussi,Wyoming,MWC,11,32,33,97,9,16,56.3,59
2005,89,Tom Schneider,California,Pac-10,12,50,52,96.2,9,16,56.3,77
2005,90,Greg Whibbs,Troy,Sun Belt,10,19,19,100,11,20,55,52
2005,91,Chris Jackson,Louisiana State,SEC,13,,,,10,19,52.6,
2005,92,Matt Nuzie,Connecticut,Big East,11,27,29,93.1,10,19,52.6,57
2005,93,Rick Albreski,Central Michigan,MAC,11,31,32,96.9,10,19,52.6,61
2005,94,Connor Barth,North Carolina,ACC,11,23,23,100,11,21,52.4,56
2005,95,Joel Howells,Northwestern,Big Ten,12,45,48,93.8,11,21,52.4,78
2005,96,Travis Bell,Georgia Tech,ACC,12,27,27,100,11,21,52.4,60
2005,97,Nick Bazaldua,North Texas,Sun Belt,10,15,17,88.2,8,16,50,39
2005,98,Ian O'Connor,Marshall,CUSA,11,16,17,94.1,7,14,50,37
2005,99,Conor Foley,New Mexico State,WAC,12,22,25,88,6,12,50,40
2005,100,Colby Smith,Middle Tennessee State,Sun Belt,11,26,26,100,7,16,43.8,47
2005,101,Justin Hamblin,Utah State,WAC,11,19,20,95,6,14,42.9,37
2005,102,John Goss,Michigan State,Big Ten,7,28,28,100,4,11,36.4,40
2006,1,Garrett Hartley,Oklahoma,Big 12,14,49,50,98,19,20,95,106
2006,2,Brandon Pace,Virginia Tech,ACC,13,38,40,95,18,19,94.7,92
2006,3,Mario Danelo,Southern California,Pac-10,13,44,48,91.7,15,16,93.8,89
2006,4,Cole Wilson,Louisiana-Monroe,Sun Belt,12,21,23,91.3,14,15,93.3,63
2006,5,Anthony Montgomery,Boise State,WAC,13,61,63,96.8,13,14,92.9,100
2006,6,Jeff Wolfert,Missouri,Big 12,13,45,45,100,18,20,90,99
2006,7,Brian Jackson,Ball State,MAC,12,37,38,97.4,17,19,89.5,88
2006,8,Patrick Shadle,Syracuse,Big East,12,21,21,100,16,18,88.9,69
2006,9,Justin Medlock,UCLA,Pac-10,13,29,29,100,28,32,87.5,113
2006,10,Conor Lee,Pittsburgh,Big East,12,47,47,100,12,14,85.7,83
2006,11,Chris Manfredini,Texas Christian,MWC,13,36,41,87.8,12,14,85.7,72
2006,12,Garrett Rivas,Michigan,Big Ten,13,42,44,95.5,17,20,85,93
2006,13,Arthur Carmody,Louisville,Big East,13,60,60,100,21,25,84,123
2006,14,Art Carmody,Louisville,Big East,13,60,60,100,21,25,84,123
2006,15,John Vaughn,Auburn,SEC,13,34,34,100,20,24,83.3,94
2006,16,Michael Braunstein,Washington,Pac-10,12,32,32,100,10,12,83.3,62
2006,17,Kenny Byrd,New Mexico,MWC,13,31,31,100,19,23,82.6,88
2006,18,Joshua Shene,Mississippi,SEC,12,20,20,100,14,17,82.4,62
2006,19,James Wilhoit,Tennessee,SEC,13,42,43,97.7,18,22,81.8,96
2006,20,Dan Ennis,Maryland,ACC,13,32,32,100,20,25,80,92
2006,21,Reagan Schneider,Texas-El Paso,CUSA,12,34,37,91.9,16,20,80,82
2006,22,Louie Sakoda,Utah,MWC,13,43,43,100,16,20,80,91
2006,23,Ryan Succop,South Carolina,SEC,13,37,39,94.9,16,20,80,85
2006,24,Austin Starr,Indiana,Big Ten,12,28,32,87.5,12,15,80,64
2006,25,Layne Neumann,Texas A&M,Big 12,12,23,25,92,12,15,80,59
2006,26,Jason Reda,Illinois,Big Ten,12,24,24,100,15,19,78.9,69
2006,27,Brett Swenson,Michigan State,Big Ten,12,33,33,100,15,19,78.9,78
2006,28,Ryan Havens,Baylor,Big 12,12,32,33,97,11,14,78.6,65
2006,29,Drew Edmiston,Louisiana-Lafayette,Sun Belt,12,27,28,96.4,11,14,78.6,60
2006,30,Kevin Lovell,Cincinnati,Big East,13,28,28,100,18,23,78.3,82
2006,31,Jared McLaughlin,Brigham Young,MWC,13,58,62,93.5,14,18,77.8,100
2006,32,Ben Bell,Houston,CUSA,13,51,53,96.2,14,18,77.8,93
2006,33,Pat McAfee,West Virginia,Big East,13,62,62,100,17,22,77.3,113
2006,34,Trevor Cook,Miami (OH),MAC,12,17,18,94.4,10,13,76.9,47
2006,35,Dan Kelly,Hawaii,WAC,14,47,50,94,13,17,76.5,86
2006,36,Jamie Christensen,Alabama,SEC,11,17,18,94.4,13,17,76.5,56
2006,37,Jeremy Ito,Rutgers,Big East,13,41,42,97.6,22,29,75.9,107
2006,38,Alexis Serna,Oregon State,Pac-10,14,45,45,100,22,29,75.9,111
