,X_value,Y_value,Z_value,accel_mag,classification
2017-03-19 10:14:39.088,0.70653,4.96967,8.89989,10.2178689834,W
2017-03-19 10:14:39.158,2.5962,3.38177,11.07218,11.8646446523,W
2017-03-19 10:14:39.230,-1.52802,1.76513,10.06387,10.3311184493,W
2017-03-19 10:14:39.239,1.62861,1.78189,9.0867,9.40189445772,W
2017-03-19 10:14:39.316,0.63468,1.73399,9.19688,9.38041266453,W
2017-03-19 10:14:39.316,0.38799,1.34361,7.37187,7.50335200888,W
2017-03-19 10:14:39.398,0.13652,0.13412,5.75763,5.76080976094,W
2017-03-19 10:14:39.469,-1.21428,1.61185,9.7118,9.91925378145,W
2017-03-19 10:14:39.469,-1.21428,1.61185,9.7118,9.91925378145,W
2017-03-19 10:14:39.563,0.13412,1.01788,13.55342,13.5922500553,W
2017-03-19 10:14:39.627,-1.34121,1.152,14.63357,14.7399904752,W
2017-03-19 10:14:39.627,0.0982,1.53042,15.0048,15.0829656121,W
2017-03-19 10:14:39.717,1.48012,-1.45617,12.76066,12.9284813462,W
2017-03-19 10:14:39.787,2.18186,-0.60115,8.59094,8.88403874742,W
2017-03-19 10:14:39.787,2.3064,0.41194,9.11305,9.40940252227,W
2017-03-19 10:14:39.877,-1.99984,2.65847,5.78637,6.67449627638,W
2017-03-19 10:14:39.877,0.87179,2.66087,7.41259,7.92380826807,W
2017-03-19 10:14:39.952,0.49337,2.13875,5.50854,5.92972836233,W
2017-03-19 10:14:40.025,0.479,1.91362,9.94891,10.1425929965,W
2017-03-19 10:14:40.034,0.25866,2.3088,9.78366,10.0557180465,W
2017-03-19 10:14:40.104,-0.57241,1.20469,11.99186,12.0658044682,W
2017-03-19 10:14:40.184,0.39278,3.37458,10.95243,11.4672485457,W
2017-03-19 10:14:40.194,1.93278,3.30273,15.57721,16.0403595772,W
2017-03-19 10:14:40.263,2.02858,0.71132,8.15744,8.43593150235,W
2017-03-19 10:14:40.263,2.02858,0.71132,8.15744,8.43593150235,W
2017-03-19 10:14:40.367,-2.31598,1.45857,11.39311,11.7172584369,W
2017-03-19 10:14:40.421,1.1041,1.32445,8.49035,8.66367403213,W
2017-03-19 10:14:40.421,1.16158,0.47182,6.24142,6.36609816333,W
2017-03-19 10:14:40.509,1.7795,1.34361,6.89047,7.24227070075,W
2017-03-19 10:14:40.588,1.30289,2.48603,8.95977,9.38910783653,W
2017-03-19 10:14:40.588,1.30289,2.48603,8.95977,9.38910783653,W
2017-03-19 10:14:40.674,0.04072,3.40332,11.16319,11.670520816,W
2017-03-19 10:14:40.674,-0.44308,4.26313,10.68179,11.5096148888,W
2017-03-19 10:14:40.741,-1.4442,3.93023,13.00735,13.6646835132,W
2017-03-19 10:14:40.826,1.80345,1.09931,11.72123,11.910001977,W
2017-03-19 10:14:40.826,1.7316,0.08383,8.43286,8.60921563259,W
2017-03-19 10:14:40.897,-1.06099,3.74821,7.03417,8.04079135242,W
2017-03-19 10:14:40.977,-0.06706,2.44532,7.41738,7.81035293763,W
2017-03-19 10:14:40.981,2.47406,2.29443,6.34201,7.18376452486,W
2017-03-19 10:14:41.056,1.96152,1.81782,5.5804,6.1881252753,W
2017-03-19 10:14:41.137,0.90532,2.73272,12.09964,12.4373892369,W
2017-03-19 10:14:41.143,0.36404,1.87291,8.96935,9.17003579122,W
2017-03-19 10:14:41.216,-2.30161,1.91602,11.75476,12.1302483029,W
2017-03-19 10:14:41.216,1.03944,2.80696,12.71516,13.062723827,W
2017-03-19 10:14:41.304,-0.40955,1.26697,12.24334,12.3155315979,W
2017-03-19 10:14:41.375,-0.21316,0.2898,10.26026,10.2665649802,W
2017-03-19 10:14:41.375,-0.33051,0.3377,11.10571,11.1157578578,W
2017-03-19 10:14:41.463,-0.42152,1.55676,9.17292,9.31362669074,W
2017-03-19 10:14:41.533,1.1065,0.74485,4.3302,4.53097956434,W
2017-03-19 10:14:41.533,0.6251,1.38911,6.40668,6.58528095259,W
2017-03-19 10:14:41.627,0.07904,2.14354,6.4929,6.83803783722,W
2017-03-19 10:14:41.627,0.46942,2.11959,8.63884,8.90744483284,W
2017-03-19 10:14:41.692,0.41913,2.0669,14.21923,14.3747781673,W
2017-03-19 10:14:41.773,0.97717,2.18665,12.83491,13.0564625431,W
2017-03-19 10:14:41.780,1.81063,1.37953,14.48508,14.6628451067,W
2017-03-19 10:14:41.851,3.47517,0.33051,7.26409,8.05934531566,W
2017-03-19 10:14:41.931,2.57225,0.479,10.25547,10.5839773235,W
2017-03-19 10:14:41.938,0.26345,2.27527,9.22801,9.50801914362,W
2017-03-19 10:14:42.010,-0.22034,3.04167,6.60786,7.2776452156,W
2017-03-19 10:14:42.010,0.55804,2.6441,4.94093,5.63164831257,W
2017-03-19 10:14:42.096,0.60354,2.19623,6.43542,6.82658899604,W
2017-03-19 10:14:42.169,0.07904,3.16382,10.0016,10.49037687,W
2017-03-19 10:14:42.169,-0.05748,2.51238,9.91778,10.231212897,W
2017-03-19 10:14:42.257,-0.39278,3.57576,10.05669,10.6806998583,W
2017-03-19 10:14:42.328,-1.79387,4.50264,13.21332,14.0742162115,W
2017-03-19 10:14:42.328,-0.08383,1.75555,13.71867,13.8307949822,W
2017-03-19 10:14:42.420,-0.62031,2.02858,11.41466,11.6100983729,W
2017-03-19 10:14:42.488,-0.71132,1.88967,9.37411,9.58909626312,W
2017-03-19 10:14:42.488,-1.35079,2.22497,10.42552,10.7455382553,W
2017-03-19 10:14:42.579,0.23711,1.7292,5.17324,5.45974045992,W
2017-03-19 10:14:42.580,0.27543,1.80345,6.21987,6.48190376389,W
2017-03-19 10:14:42.646,0.46463,2.37825,7.85566,8.22090920367,W
2017-03-19 10:14:42.724,1.01788,2.96743,7.80297,8.40999770037,W
2017-03-19 10:14:42.737,1.5376,3.05605,10.59557,11.1341707813,W
2017-03-19 10:14:42.804,1.03944,3.52307,13.25883,13.7582350143,W
2017-03-19 10:14:42.884,2.09564,3.47996,13.30912,13.9152615421,W
2017-03-19 10:14:42.896,2.97701,1.38193,11.47693,11.9370114053,W
2017-03-19 10:14:42.963,3.93023,-0.22274,8.18857,9.0856480014,W
2017-03-19 10:14:42.963,2.11001,-0.15568,10.02076,10.2416800106,W
2017-03-19 10:14:43.051,0.39039,1.57592,10.15728,10.2862172443,W
2017-03-19 10:14:43.121,1.0083,1.78668,8.35862,8.60670800113,W
2017-03-19 10:14:43.121,1.0083,1.78668,8.35862,8.60670800113,W
2017-03-19 10:14:43.209,1.80105,2.28724,6.52403,7.14410353795,W
2017-03-19 10:14:43.280,1.62382,2.26808,8.21731,8.6778546839,W
2017-03-19 10:14:43.280,1.18074,2.12438,9.38608,9.69565031849,W
2017-03-19 10:14:43.366,-1.96631,0.13412,16.82022,16.9352934441,W
2017-03-19 10:14:43.366,-0.97238,1.38911,15.04312,15.138381974,W
2017-03-19 10:14:43.440,-1.18314,0.49816,11.44101,11.5128056296,W
2017-03-19 10:14:43.523,-0.95801,-0.34967,10.2411,10.2917530809,W
2017-03-19 10:14:43.523,-0.95801,-0.34967,10.2411,10.2917530809,W
2017-03-19 10:14:43.600,-0.0479,1.48012,8.60291,8.7294392771,W
2017-03-19 10:14:43.679,0.62989,1.06578,2.73751,3.00443163021,W
2017-03-19 10:14:43.685,0.7233,0.31135,6.15281,6.20299706663,W
2017-03-19 10:14:43.757,0.61313,1.06099,8.49513,8.58305667544,W
2017-03-19 10:14:43.837,2.38065,-0.86221,9.88664,10.2057116849,W
2017-03-19 10:14:43.841,-0.00958,-0.59636,12.96903,12.9827376222,W
2017-03-19 10:14:43.924,3.2716,-1.64538,12.92353,13.4323590469,W
2017-03-19 10:14:43.924,1.2981,0.06946,13.57976,13.6418389508,W
2017-03-19 10:14:44.004,4.08351,-1.825,3.60211,5.74289782011,W
2017-03-19 10:14:44.074,2.8357,-0.7233,9.65672,10.0904211279,W
2017-03-19 10:14:44.075,-0.88616,1.81063,10.20757,10.4047174804,W
2017-03-19 10:14:44.169,-1.50647,2.80217,8.94061,9.48979007892,W
2017-03-19 10:14:44.235,0.6275,2.51717,7.49641,7.93259503233,W
2017-03-19 10:14:44.235,1.31726,0.83586,7.04136,7.21211387159,W
2017-03-19 10:14:44.320,1.09213,0.6754,10.3848,10.463889532,W
2017-03-19 10:14:44.320,0.45745,1.17595,10.06866,10.1474150945,W
2017-03-19 10:14:44.393,-1.20948,1.05141,12.87563,12.9749818017,W
2017-03-19 10:14:44.474,-0.58917,1.69807,13.15824,13.2804308255,W
2017-03-19 10:14:44.481,1.56395,0.40715,12.33435,12.4397709242,W
2017-03-19 10:14:44.551,2.84768,-1.76034,8.88552,9.49529062053,W
2017-03-19 10:14:44.634,2.17228,-1.48012,12.00623,12.2906108239,W
2017-03-19 10:14:44.640,1.90644,-0.86939,10.90931,11.1087081662,W
2017-03-19 10:14:44.710,0.02635,0.36165,5.97078,5.9817805755,W
2017-03-19 10:14:44.710,0.02635,0.36165,5.97078,5.9817805755,W
2017-03-19 10:14:44.794,1.0562,0.73527,6.8761,6.99549366542,W
2017-03-19 10:14:44.868,0.59875,0.48379,9.2807,9.31256929191,W
2017-03-19 10:14:44.868,0.59875,0.48379,9.2807,9.31256929191,W
2017-03-19 10:14:44.953,2.12438,0.13412,11.53681,11.7315371344,W
2017-03-19 10:14:45.028,2.85965,-1.64777,12.19304,12.6318236426,W
2017-03-19 10:14:45.028,2.85965,-1.64777,12.19304,12.6318236426,W
2017-03-19 10:14:47.317,3.54942,0.66582,7.82213,8.61553343361,W
2017-03-19 10:14:47.459,-1.03225,1.74597,10.61712,10.8091252374,W
2017-03-19 10:14:47.466,0.9125,1.57353,7.12518,7.35369586965,W
2017-03-19 10:14:47.466,0.4335,2.14594,7.95626,8.25197272906,W
2017-03-19 10:14:47.466,0.18442,1.47294,8.29635,8.42810692282,W
2017-03-19 10:14:47.544,1.39869,2.89558,7.72394,8.36659825593,W
