source_name,review_date,critic_name,review_detail
indieWire," February 11, 2016",Kate Erbland," In a landscape where superhero roles are too often seen as paycheck parts, Reynolds breaks the mold. Too bad his film doesn't."
Sky Movies," February 11, 2016",Tim Evans," A welcome acid corrective to the machine-tooled, marketing-driven product lapped up by the multiplex masses."
Butaca Ancha," February 12, 2016",Erick Ortiz," It's still a superhero movie that has the 'hero' protagonist, the big baddie and lots of romance. But it also goes surprisingly beyond the usual tropes of action. [Full review in Spanish]"
Salt Lake City Weekly," February 12, 2016",Scott Renshaw," This one's got attitude. If only it weren't quite so self-satisfied with that attitude. And not entirely justified in it, either."
BuzzFeed News," February 12, 2016",Alison Willmore," It's fun for a while, and then it all becomes deeply disheartening, because calling attention to the more businesslike mechanics of superheroics isn't subversive when you're also playing right into them."
Paste Magazine," February 12, 2016",Brogan Morris," If it were a regular R-rated comedy, Deadpool's ""taboo"" ingredients wouldn't be considered boundary-breaking at all. But in a superhero movie, this stuff feels revolutionary."
National Post," February 12, 2016",David Berry," Watching Deadpool feels a bit like downing a shot of something stiff, while simultaneously having the same again thrown in your face. It's bracing, and if you're not ready for it, it can rock you back on your heels."
Christian Science Monitor," February 12, 2016",Peter Rainer, It seems less irreverent than self-congratulatory.
Daily Record (UK)," February 12, 2016",Garry McConnachie," Thankfully, amid the sweaty mayhem there's a particularly sweet love story. Baccarin takes the role of Vanessa and clearly has a ball early doors as she matches Reynolds stride for stride."
BBC.com," February 12, 2016",Owen Gleiberman," Deadpool hooks you into Wade's trauma, but mostly it's content to skate along on the cheekiness of his death-sport attitude. The film's airy cynicism says: he's not the hero we dream of, he's just the one we deserve."
ScreenRant," February 12, 2016",Ben Kendrick," Deadpool, much like its source material, is an irreverent, bloody, and riotous twist on the superhero genre - a must-see comic book movie experience."
Las Vegas Review-Journal," February 12, 2016",Christopher Lawrence," Deadpool may not be the superhero movie we deserve. But, after an onslaught of increasingly formulaic big-screen adventures with ever-escalating stakes, it just might be the superhero movie we need."
Cambridge Day," February 12, 2016",Tom Meek," It's a tangy olio that lacks substance and consistency, and despite that, its in-your-face moxie comes at you in all the right ways, gripping you by the gunny sack with a big glorious joker smile and never letting go."
NY1-TV," February 12, 2016",Neil Rosen," There are dozens of entertaining pop culture references, and even the opening credits have a self-mocking tone. It starts off flat, but then, about 20 minutes in, takes off. The end result is surprising and a lot of fun."
Toledo Blade," February 12, 2016",Kirk Baird," While the ""Merc with a Mouth"" is a novel and undeniably funny superhero film, like a relentless case of the runs, Deadpool's torrent of inappropriate/​smart-aleck jokes and pop culture references can be exhausting."
The Australian," February 12, 2016",Stephen Romei, By the end of Deadpool I was left with the feeling that it probably was more fun to make than it is to watch.
Tri-City Herald," February 12, 2016",Gary Wolcott, Deadpool had me laughing from the clever opening credits to Ryan Reynolds' just as clever credit roll outtake. This is what Spider-man's two franchises should have been. 
Dark Horizons," February 12, 2016",Gary Dowell, Deadpool may be the comic book movie spoof to end all comic book movie spoofs.
People Magazine," February 12, 2016",Alynda Wheat," Deadpool is a deeply funny, relatable mutant hero."
Boston Herald," February 12, 2016",James Verniere, Amazing feature debut by Tim Miller. Plays to Reynolds strengths. Best opening credits ever. Funny and raunchy as heck. Zoolander who?
Common Sense Media," February 12, 2016",Sandie Angulo Chen," Gory, profane, sexy superhero story great, but NOT for kids."
The Newnan Times-Herald," February 12, 2016",Jonathan W. Hickman," Sharing more in common with ""Kick-Ass 2"" than ""Kick-Ass,"" the long gestating ""Deadpool"" comic adaptation pulls no punches. "
Crikey," February 13, 2016",Luke Buckmaster, The casting of a hunk to play the hero and a hunk to play the villain is indicative of a film that wants to appear to take risks while not really taking any at all.
