source_name,review_date,critic_name,review_detail
The Patriot Ledger," December 27, 2016",Dana Barbuto," The final scenes, when the action returns to India, can't help but pack an emotional punch because it recalls that vastly superior first act when we fell in love with Saroo. "
ReelViews," December 27, 2016",James Berardinelli," Lion represents a commitment from those involved and, flaws aside, it's an amazing tale of resilience and determination."
One Guy's Opinion," December 26, 2016",Frank Swietek," Designed to be a crowd-pleaser, but after a turbulent, heart-wrenching first act, the second-meant to be touchingly uplifting-instead comes across as rather shallow and pedestrian by comparison."
Ex-Press.com," December 25, 2016",Katherine Monk," ...This story of a small boy lost in a sprawling land finds truly epic proportions, not because it's trying to go big, but exactly the opposite: it's determined to find meaning in the beings, things and feelings we often deem too small to matter."
Creative Loafing," December 24, 2016",Matt Brunson, A heartwarming true-life tale.
ReviewExpress.com," December 23, 2016",Diana Saenger, Wonderfully Inspiring Movie - not to miss 
EntertainmentTell," December 23, 2016",Stephen Silver, Amounts to the third film in an unofficial trilogy: The Long Journey From India in Search of an Oscar Movie. (Splice Today) 
CinemaBlend.com," December 23, 2016",Sean O'Connell," Lion literally earns every heartstring tug with its impossible story of rediscovering ones childhood with the help of cutting-edge technology and good, old-fashioned resolve."
Combustible Celluloid," January 19, 2017",Jeffrey M. Anderson, Middlebrow mediocrity served up by the Weinsteins on a silver platter for awards season. 
Financial Times," January 19, 2017",Nigel Andrews, Director Garth Davis and screenwriter Luke Davies throw all the soap suds at the story.
ABC Radio (Australia)," January 18, 2017",CJ Johnson," Director Garth Davis and screenwriter Luke Davies have delivered the tasteful version, one that avoids practically all the story's potential [bombastic, sensational, sentimental] landmines in lieu of honest emotion. It is a film of great integrity."
Herald Sun (Australia)," January 18, 2017",Leigh Paatsch," If the second section of Lion is no match for the first, none of its obvious flaws (most notably, disjointed scripting and more than a few plot holes) detract from the intense emotional connection forged with the viewer throughout."
Baret News," January 18, 2017",Kam Williams," A bittersweet variation on the 'I was lost, but now I'm found' theme of the parable of the Prodigal Son."
Independent (UK)," January 18, 2017",Geoffrey Macnab, The film is moving enough in its own terms but lacks the depth and complexity that might have been expected.
Empire Magazine," January 18, 2017",Dan Jolin," An astonishing true story that's treated with an admirably light and artistic touch, rather than an overly dramatic heavy hand."
News.com.au," January 16, 2017",Wenlei Ma, The source material is so rich that it's easy to forgive Lion's small flaws when the film treats its characters with such empathy.
Student Edge," January 16, 2017",Simon Miraudo," It's a miraculous tale, though one that relies heavily on a device filmmakers have struggled to make cinematic: staring at a computer for long stretches."
Total Film," January 16, 2017",Jamie Graham, Davis' debut is a touch over-stretched but impossible to resist - a classy crowd-pleaser with an especially magical first half.
CineVue," January 16, 2017",Matthew Anderson," By turns tragic, deeply moving and heartfelt."
The Skinny," January 16, 2017",Michelle Devereaux," An old-fashioned, crowd-pleasing film that succeeds on its own admittedly less-than-ambitious terms."
Urban Cinefile," January 15, 2017",Louise Keller, Loss and belonging are the themes of this incredible true story; it is the simplicity of the storytelling that brings it to life. Most crucial is the establishment of the Indian reality
MediaMikes," January 14, 2017",Michael A. Smith," Powerful. That is how I'd best describe ""Lion."""
The Australian," January 13, 2017",David Stratton," Crucial to these early scenes is the casting of Sunny Pawar, a marvellously instinctive child actor who gives an indelible performance as Saroo."
Reel Film Reviews," January 11, 2017",David Nusair, ...an interesting story told relatively well...
IGN Movies," January 10, 2017",Josh Lasser," Lion offers a tale that is incredibly unique and yet, at the same time, utterly universal."
Antagony & Ecstasy," January 9, 2017",Tim Brayton," The beats aren't anything new; the value is in the execution, and that's great."
tonymacklin.net," January 7, 2017",Tony Macklin, You can start 2017 with positive vibes.
Phantom Tollbooth," January 6, 2017",Marie Asner," Director Gareth Davis has pulled it together for a tale of two countries, two cities and two lives twenty years apart."
The Sun (UK)," January 23, 2017",Jamie East, Your heart is made of Satan's teeth if you don't come away with dusty eyes and a warm feeling.
Irish Times," January 23, 2017",Donald Clarke," If you don't blub at the end, you may wish to secede from the human species."
Daily Mail (UK)," January 23, 2017",Brian Viner," You don't need to have adopted a child, or to have been adopted yourself (although I was, as it happens), to find Lion immensely moving. All you need is a heart."
Times (UK)," January 23, 2017",Kevin Maher, A deeply empathetic performance from Dev Patel and an unflinching view of child poverty on the streets of Calcutta provide a winning edge to Lion.
Sunday Times (UK)," January 23, 2017",Camilla Long, Drab and predictable.
Daily Express (UK)," January 22, 2017",Henry Fitzherbert, Lion may not roar but it does have a big heart.
London Evening Standard," January 22, 2017",Charlotte O'Sullivan," Google Earth has blind spots and so does Lion. Still, it covers an awful lot of ground and the views are stunning."
Observer (UK)," January 22, 2017",Wendy Ide," Has some pacing issues and an overbearing score, but nothing that isn't erased by the swelling, tear-jerking crescendo of an ending."
Daily Telegraph (Australia)," January 20, 2017",Nick Dent," The director, Garth Davis, gets strong performances from his cast -- a heart-to-heart scene between Patel and Kidman looks set to earn them both Oscar nominations."
Little White Lies," January 20, 2017",David Jenkins," Robustly made, but very little to gnaw on."
4:3," January 20, 2017",Virat Nehru, Lion is yet another seemingly inclusive film that does little more than pander to its target white audience.
iNews.co.uk," January 20, 2017",Matthew Turner," If this was a two minute commercial for Google Earth, you'd be bawling your eyes out. But stretched to two hours, you find yourself looking at your watch."
The Arts Desk," January 19, 2017",Tom Birchenough," To say that Davis doesn't complicate Lion is meant as a compliment, relying as he does instead on some excellent playing, from Patel and Kidman especially."
Sky Movies," January 19, 2017",Tim Evans," With a story this strong, you can't really go wrong and director Garth Davis provides a sure guiding hand with Saroo's barely believable story unfolding largely in chronological order."
Scotsman," January 19, 2017",Alistair Harkness," This is the sort of true story that catches you unawares, even if you know (or think you know) where it's going."
Radio Times," January 19, 2017",Damon Wise," Though there are shades of Slumdog Millionaire in its gripping depiction of a young boy thrown by fate onto the streets of India, this affecting true story still has plenty to offer."
Daily Express (UK)," January 19, 2017",Allan Hunter, Lion is a beguiling piece of storytelling.
Guardian," January 19, 2017",Peter Bradshaw," This big-hearted film does full justice to the horror, the pathos and the drama of his postmodern odyssey."
RTÉ (Ireland)," January 19, 2017",Sarah McIntyre," A carefully grafted and artfully conceived big-screen adaptation of a truly astonishing story which is both a tearjerker and a crowd-pleaser, without being a sell-out."
New Zealand Herald," January 19, 2017",Francesca Rudkin, Don't think about stepping into the theatre without a good supply of tissues.
