source_name,review_date,critic_name,review_detail
One Guy's Opinion," April 14, 2016",Frank Swietek, A pretty conventional if consistently engaging boy's adventure story [that's] a breathtaking visual feast.
Charlotte Observer," April 14, 2016",Lawrence Toppman, This story is a new look at a narrative that was already ancient when Kipling wrote 12 decades ago.
Washington Post," April 14, 2016",Ann Hornaday," Like all classic Disney productions, ""The Jungle Book"" possesses its share of fear, suffering and loss. But somehow the audience comes out whistling - in this case, with joy and quite a bit of awe."
TIME Magazine," April 14, 2016",Stephanie Zacharek," This Jungle Book works, because Favreau has both a sense of humor and a sense of spectacle."
Arizona Republic," April 14, 2016",Randy Cordova," Wow. Just, wow."
Financial Times," April 14, 2016",Raphael Abraham," Through it all - action set-pieces, eco-subplots, a few frights - Favreau drives the plot like a man with a machete, clearing the way for us to be swept along, dazzled, delighted."
Los Angeles Times," April 14, 2016",Kenneth Turan," ""The Jungle Book"" is the kind of family film calculated to make even those without families wish they had one to take along."
BuzzFeed News," April 14, 2016",Alison Willmore, The new Jungle Book proves movie technology still has the power to create a sense of wonder.
National Post," April 14, 2016",Chris Knight," The real jungle may be a fragile place full of endangered species, but in the eyes of a man-cub it is everything, encompassing heaven and hell in equal measure. That's a wide and appealing canvas for a director. No need to colour outside the lines."
New York Post," April 14, 2016",Kyle Smith," The plot is episodic, sewing together several tales by Rudyard Kipling, yet Favreau skillfully covers up the seams by increasing the pressure from Shere Khan."
New York Times," April 14, 2016",Manohla Dargis," Studios are in the recycling business, and while this ""The Jungle Book"" is lightly diverting, it is also disappointing, partly because it feels like a pumped-up version of Disney's 1967 animated film, with more action and less sweetness."
Austin Chronicle," April 14, 2016",Steve Davis," This is a match made in movie heaven, given that the critters in Kipling's stories speak and behave like human beings, perfectly suited to Disney's anthropomorphic tradition of walking and talking animals, which began with Mickey Mouse."
Sydney Morning Herald," April 14, 2016",Jake Wilson," The film itself is technically innovative while also being thoroughly, satisfyingly traditional."
The Sunday Age," April 14, 2016",Craig Mathieson," Near seamless in its reproduction of the mythical Indian jungle of Rudyard Kipling's 19th century stories on Hollywood sound stages and hard drives, Disney's latest take on The Jungle Book has a sense of momentum that mostly succeeds."
The National (UAE)," April 14, 2016",James Mottram," Boasting stunning photorealistic CGI, the 3-D visual effects are nothing short of incredible. Right down to the droplets of water nestling in the animals' fur, every detail is perfect."
Toronto Sun," April 14, 2016",Bruce Kirkland," Walt Disney Studios' splendid new version of The Jungle Book is utterly charming, absolutely gorgeous and perhaps too terrifying for the youngest and most impressionable children."
NPR," April 14, 2016",Andrew Lapin," Though darker in tone, and more suitable for older kids, Disney's new take retains the undeniably fun spirit of the earlier film."
Boston Globe," April 14, 2016",Ty Burr," Favreau has proved he can make big studio contraptions seem warm and nearly human - he's the Baloo of filmmakers - and the great strength of this ""Jungle Book"" is how busy it is with personalities and incident."
