time,X_value,Y_value,Z_value
24.362,0.00000,0.03593,9.73575
24.403,0.15568,0.02874,9.73336
24.455,0.05269,0.02156,9.82198
24.506,-0.15328,-0.00479,9.98723
24.556,0.17244,-0.07185,10.06627
24.605,0.04072,-0.21795,9.94412
24.669,0.04311,0.09580,9.84593
24.702,0.04551,-0.12215,9.87946
24.762,0.07185,0.07664,9.81958
24.813,0.01916,-0.02635,9.92496
24.855,1.68849,1.21188,11.42424
24.903,-3.56139,0.22274,9.03162
24.957,1.33882,-6.45218,11.25420
25.004,-2.77343,2.20821,10.20997
25.053,11.40269,-11.95833,14.93774
25.102,-14.39167,-2.40699,8.88073
25.154,-9.22562,-4.00687,19.97925
25.208,1.43222,-4.84033,8.70590
25.253,-2.20102,-6.45458,-2.11959
25.313,-0.19160,-6.47853,5.41753
25.354,-4.53138,-5.95402,1.54479
25.408,-5.53489,-1.44659,3.19496
25.453,-7.81016,-1.21667,-2.57225
25.507,-9.06275,-1.74597,-0.06467
25.557,-15.40477,-1.12326,1.99984
25.607,-16.77951,-7.56347,-3.73144
25.655,-11.97270,-5.79355,6.77312
25.706,-12.91155,-8.47358,4.68705
25.753,-6.01150,-8.31551,21.90485
25.811,-9.48907,-10.28900,5.78397
25.855,-10.58120,-11.18235,-1.36516
25.906,-6.64139,-10.69137,-4.90500
25.955,-5.26425,-8.56699,-1.51365
26.006,-7.81255,-7.25212,-1.71483
26.063,-8.51190,-5.52052,-2.38783
26.104,-10.64107,-5.46304,-1.98787
26.153,-4.26074,-3.96615,-1.01788
26.208,1.24302,-4.47869,-1.16637
26.255,-3.39853,-1.49689,0.49098
26.305,-6.41386,-2.79259,-1.88728
26.354,-8.81846,-3.18298,-0.92687
26.404,-6.68450,-1.84656,-0.75683
26.457,-8.91187,-2.95066,-0.11017
26.505,-8.74182,-2.11001,-0.97717
26.559,-11.27096,-1.12326,2.28964
26.605,-10.41594,-3.58055,0.17484
26.658,-8.62207,-5.21156,-0.44308
26.704,-11.46256,-3.20454,-0.07425
26.757,-9.08910,-4.84752,0.41673
26.801,-6.56235,-6.28693,1.08494
26.858,-2.44532,-5.29778,0.79754
26.904,-4.71819,-10.53569,5.00559
26.960,-7.94428,-8.70350,14.40125
27.003,-11.63740,-3.83203,6.98388
27.056,-8.98132,-6.39231,3.60450
27.102,-19.37571,-6.08335,8.39215
27.157,-14.79883,-5.35526,5.77679
27.209,-12.84210,-7.35032,1.06818
27.257,-9.75252,-5.71212,0.32093
27.303,-9.23280,-3.78653,0.85023
27.356,-8.47358,-2.04535,1.74836
27.403,-6.35878,-2.31598,0.77838
27.460,-11.18474,-1.46096,0.56043
27.505,-6.42105,-1.87530,2.99617
27.554,-7.69759,-1.78429,1.11847
27.604,-6.42823,-1.62861,2.89079
27.657,-9.04599,0.18202,1.54479
27.709,-6.56235,-0.77359,3.15903
27.753,-12.88521,-0.20358,5.23551
27.802,-6.63181,-1.20948,7.79818
27.860,-8.55741,0.49337,5.16366
27.908,-7.41019,-0.63229,5.88696
27.963,-3.99489,0.67779,6.28693
28.013,-1.65496,1.55437,7.14195
28.053,3.55660,1.26936,10.36565
28.110,3.36740,-4.39007,0.14370
28.151,3.34584,-8.37538,3.38416
28.219,-10.82788,-10.85662,5.74805
28.254,-20.74087,-10.14530,9.49865
28.307,-25.03753,-2.64889,15.58200
28.353,-15.86940,5.12534,20.90852
28.408,-11.63980,2.37346,18.60691
28.452,-17.74949,-0.76401,12.09485
28.506,-15.06946,-3.66677,7.70717
