date,attributes,rDev,name
"Dec 23, 2010",look: 1 | smell: 2 | taste: 1.5 | feel: 2 | overall: 3,-0.5%,Busch Light | Anheuser-Busch
"Dec 21, 2010",look: 2.5 | smell: 2.5 | taste: 1.5 | feel: 2 | overall: 3,+10.3%,Busch Light | Anheuser-Busch
"Dec 21, 2010",look: 2 | smell: 2 | taste: 1.5 | feel: 1.5 | overall: 2.5,-5.1%,Busch Light | Anheuser-Busch
"Dec 17, 2010",look: 3 | smell: 3 | taste: 3.5 | feel: 3 | overall: 4,+74.4%,Busch Light | Anheuser-Busch
"Nov 19, 2010",look: 2.5 | smell: 3.5 | taste: 3 | feel: 3 | overall: 3.5,+63.6%,Busch Light | Anheuser-Busch
"Nov 16, 2010",look: 1.5 | smell: 1.5 | taste: 1.5 | feel: 1.5 | overall: 1.5,-23.1%,Busch Light | Anheuser-Busch
"Nov 14, 2010",look: 1 | smell: 1.5 | taste: 1.5 | feel: 1.5 | overall: 2,-19.5%,Busch Light | Anheuser-Busch
"Oct 28, 2010",look: 2.5 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 2,+23.1%,Busch Light | Anheuser-Busch
"Oct 25, 2010",look: 1 | smell: 1 | taste: 1.5 | feel: 1.5 | overall: 2,-25.6%,Busch Light | Anheuser-Busch
"Oct 20, 2010",look: 1.5 | smell: 1.5 | taste: 1.5 | feel: 1.5 | overall: 3,-7.7%,Busch Light | Anheuser-Busch
"Oct 08, 2010",look: 1.5 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-47.2%,Busch Light | Anheuser-Busch
"Oct 01, 2010",look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3,+53.8%,Busch Light | Anheuser-Busch
"Sep 29, 2010",look: 1.5 | smell: 2 | taste: 2.5 | feel: 3.5 | overall: 4,+39.5%,Busch Light | Anheuser-Busch
"Sep 20, 2010",look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-48.7%,Busch Light | Anheuser-Busch
"Sep 15, 2010",look: 1.5 | smell: 1.5 | taste: 2 | feel: 2 | overall: 3,+5.1%,Busch Light | Anheuser-Busch
"Sep 15, 2010",look: 2 | smell: 2 | taste: 1.5 | feel: 3 | overall: 4.5,+23.1%,Busch Light | Anheuser-Busch
"Sep 12, 2010",look: 2 | smell: 2 | taste: 2 | feel: 3.5 | overall: 5,+41%,Busch Light | Anheuser-Busch
"Sep 07, 2010",look: 1.5 | smell: 2.5 | taste: 2.5 | feel: 2 | overall: 3,+27.7%,Busch Light | Anheuser-Busch
