date,attributes,rDev,name
"Jan 31, 2017",look: 4.5 | smell: 1.5 | taste: 3 | feel: 3 | overall: 3.75,+18.5%,Budweiser | Anheuser-Busch
"Sep 06, 2014",202 characters,+85.2%,Budweiser | Anheuser-Busch
"Sep 04, 2014",278 characters,-58.8%,Budweiser | Anheuser-Busch
"Sep 01, 2014",260 characters,-7.4%,Budweiser | Anheuser-Busch
"Aug 31, 2014",543 characters,-58.4%,Budweiser | Anheuser-Busch
"Aug 26, 2014",422 characters,-13.6%,Budweiser | Anheuser-Busch
"Aug 19, 2014",295 characters,+2.9%,Budweiser | Anheuser-Busch
"Aug 18, 2014",look: 3 | smell: 3.25 | taste: 3 | feel: 2.75 | overall: 3,+25.1%,Budweiser | Anheuser-Busch
"Aug 16, 2014",181 characters,+44%,Budweiser | Anheuser-Busch
"Aug 16, 2014","1,744 characters",+49.8%,Budweiser | Anheuser-Busch
"Aug 07, 2014",look: 3.5 | smell: 2.25 | taste: 2.25 | feel: 2.5 | overall: 2.25,-3.3%,Budweiser | Anheuser-Busch
"Aug 02, 2014",look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-58.8%,Budweiser | Anheuser-Busch
"Aug 01, 2014",look: 3 | smell: 3 | taste: 3 | feel: 3.5 | overall: 3,+25.5%,Budweiser | Anheuser-Busch
"Jul 27, 2014",look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5,+44%,Budweiser | Anheuser-Busch
"Jul 18, 2014",look: 2.75 | smell: 2.25 | taste: 2 | feel: 2.5 | overall: 2.25,-9.1%,Budweiser | Anheuser-Busch
"Jul 13, 2014",look: 2.75 | smell: 2.75 | taste: 3 | feel: 3 | overall: 2.75,+18.5%,Budweiser | Anheuser-Busch
"Jul 11, 2014",look: 2.75 | smell: 2.75 | taste: 2.75 | feel: 2.75 | overall: 2.75,+13.2%,Budweiser | Anheuser-Busch
"Jun 25, 2014",look: 2.25 | smell: 3 | taste: 3 | feel: 3 | overall: 3,+21.8%,Budweiser | Anheuser-Busch
"Jun 24, 2014",look: 3 | smell: 2 | taste: 2 | feel: 2.5 | overall: 2.5,-9.1%,Budweiser | Anheuser-Busch
"Jun 21, 2014",look: 3.25 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5,+43.6%,Budweiser | Anheuser-Busch
"Jun 20, 2014",look: 3 | smell: 3.75 | taste: 3 | feel: 2 | overall: 3,+26.7%,Budweiser | Anheuser-Busch
"Jun 19, 2014",look: 3 | smell: 2.75 | taste: 2.75 | feel: 2.75 | overall: 3,+16%,Budweiser | Anheuser-Busch
"Jun 17, 2014",look: 2 | smell: 2.5 | taste: 1 | feel: 1.75 | overall: 1,-38.3%,Budweiser | Anheuser-Busch
"Jun 11, 2014",look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.75 | overall: 4.75,+92.6%,Budweiser | Anheuser-Busch
"Jun 07, 2014",look: 3 | smell: 3 | taste: 1.25 | feel: 3 | overall: 2,-13.6%,Budweiser | Anheuser-Busch
"Jun 01, 2014",look: 1.25 | smell: 1.25 | taste: 2 | feel: 1.25 | overall: 1.5,-34.2%,Budweiser | Anheuser-Busch
"May 31, 2014",look: 3 | smell: 3.25 | taste: 2 | feel: 2.25 | overall: 2.25,+0.4%,Budweiser | Anheuser-Busch
"May 31, 2014",look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-58.8%,Budweiser | Anheuser-Busch
"May 23, 2014",look: 2.5 | smell: 2.5 | taste: 3 | feel: 3.75 | overall: 3,+20.6%,Budweiser | Anheuser-Busch
"May 18, 2014",look: 4 | smell: 3.25 | taste: 4 | feel: 4 | overall: 4,+57.2%,Budweiser | Anheuser-Busch
"May 13, 2014",look: 2.5 | smell: 2.5 | taste: 2.75 | feel: 2.5 | overall: 2.75,+9.1%,Budweiser | Anheuser-Busch
"May 11, 2014",look: 2 | smell: 2.25 | taste: 2.5 | feel: 2.5 | overall: 2.5,-0.8%,Budweiser | Anheuser-Busch
"May 04, 2014",look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3,+23.5%,Budweiser | Anheuser-Busch
"Apr 27, 2014",look: 2.5 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 2.5,+2.9%,Budweiser | Anheuser-Busch
"Apr 23, 2014",look: 3 | smell: 3 | taste: 3.5 | feel: 3.5 | overall: 3,+33.7%,Budweiser | Anheuser-Busch
"Apr 20, 2014",look: 3.5 | smell: 3 | taste: 3.75 | feel: 3.75 | overall: 3.75,+46.5%,Budweiser | Anheuser-Busch
"Apr 20, 2014",look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3,+23.5%,Budweiser | Anheuser-Busch
"Apr 17, 2014",look: 1.5 | smell: 2.25 | taste: 2.5 | feel: 1.5 | overall: 2,-10.3%,Budweiser | Anheuser-Busch
"Apr 07, 2014",look: 3.5 | smell: 3 | taste: 4 | feel: 3 | overall: 4.5,+53.5%,Budweiser | Anheuser-Busch
"Apr 06, 2014",look: 3.5 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25,+34.6%,Budweiser | Anheuser-Busch
"Apr 06, 2014",look: 3.5 | smell: 2.75 | taste: 2.5 | feel: 3.75 | overall: 3,+17.3%,Budweiser | Anheuser-Busch
"Mar 28, 2014",look: 3 | smell: 3 | taste: 3.25 | feel: 3 | overall: 3.25,+29.6%,Budweiser | Anheuser-Busch
"Mar 20, 2014",look: 3.75 | smell: 2.75 | taste: 2.75 | feel: 3 | overall: 3,+18.9%,Budweiser | Anheuser-Busch
"Mar 19, 2014",look: 2.75 | smell: 2.25 | taste: 2.5 | feel: 2.25 | overall: 2.25,-2.1%,Budweiser | Anheuser-Busch
"Mar 18, 2014",look: 3.25 | smell: 3 | taste: 3.25 | feel: 3 | overall: 3,+28.4%,Budweiser | Anheuser-Busch
"Mar 18, 2014",look: 3 | smell: 2 | taste: 1.75 | feel: 3 | overall: 1.75,-17.3%,Budweiser | Anheuser-Busch
"Mar 12, 2014",look: 3 | smell: 2.5 | taste: 3 | feel: 3.75 | overall: 3.5,+25.9%,Budweiser | Anheuser-Busch
"Mar 02, 2014",look: 3 | smell: 3.25 | taste: 2.75 | feel: 2.75 | overall: 2.75,+18.9%,Budweiser | Anheuser-Busch
"Feb 26, 2014",look: 2 | smell: 1.5 | taste: 2.5 | feel: 2.25 | overall: 3,-4.9%,Budweiser | Anheuser-Busch
"Feb 17, 2014",look: 2 | smell: 1 | taste: 1 | feel: 2 | overall: 1.25,-50.2%,Budweiser | Anheuser-Busch
"Feb 13, 2014",look: 2.75 | smell: 2.75 | taste: 2.75 | feel: 3 | overall: 3,+16.5%,Budweiser | Anheuser-Busch
"Feb 10, 2014",look: 4 | smell: 3.75 | taste: 4.5 | feel: 4 | overall: 4,+70.4%,Budweiser | Anheuser-Busch
"Feb 09, 2014",look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5,+105.8%,Budweiser | Anheuser-Busch
"Feb 02, 2014",look: 3.5 | smell: 3 | taste: 4 | feel: 3 | overall: 3.75,+47.3%,Budweiser | Anheuser-Busch
"Jan 27, 2014",look: 3 | smell: 3 | taste: 3.25 | feel: 3.5 | overall: 3.25,+31.7%,Budweiser | Anheuser-Busch
"Jan 15, 2014",look: 2.5 | smell: 2 | taste: 2 | feel: 2.5 | overall: 2.5,-10.3%,Budweiser | Anheuser-Busch
"Jan 12, 2014",look: 3 | smell: 1 | taste: 1 | feel: 3 | overall: 1,-45.7%,Budweiser | Anheuser-Busch
"Jan 12, 2014",look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5,+44%,Budweiser | Anheuser-Busch
"Jan 03, 2014",look: 2 | smell: 3 | taste: 3.75 | feel: 3.75 | overall: 3.5,+40.7%,Budweiser | Anheuser-Busch
"Jan 01, 2014",look: 2.25 | smell: 2.25 | taste: 2.5 | feel: 2.25 | overall: 2.25,-3.3%,Budweiser | Anheuser-Busch
"Dec 26, 2013",look: 3.5 | smell: 2.25 | taste: 2 | feel: 3.5 | overall: 2,-5.3%,Budweiser | Anheuser-Busch
"Dec 23, 2013",look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.5,+79.4%,Budweiser | Anheuser-Busch
"Dec 10, 2013",look: 1.5 | smell: 1 | taste: 1 | feel: 2 | overall: 1,-53.5%,Budweiser | Anheuser-Busch
"Dec 07, 2013",look: 2.75 | smell: 3 | taste: 3 | feel: 3.75 | overall: 3.5,+30%,Budweiser | Anheuser-Busch
"Dec 06, 2013",look: 2.25 | smell: 3 | taste: 2.5 | feel: 3.75 | overall: 2.5,+12.3%,Budweiser | Anheuser-Busch
"Nov 22, 2013",look: 4 | smell: 3.25 | taste: 3.5 | feel: 3.25 | overall: 3.5,+42%,Budweiser | Anheuser-Busch
"Nov 16, 2013",look: 2.5 | smell: 2.5 | taste: 2.5 | feel: 2.75 | overall: 2.5,+4.1%,Budweiser | Anheuser-Busch
"Nov 16, 2013",look: 2.75 | smell: 2 | taste: 2 | feel: 1.75 | overall: 2,-16.9%,Budweiser | Anheuser-Busch
"Nov 15, 2013",look: 2.5 | smell: 1.5 | taste: 1 | feel: 1 | overall: 1.25,-48.1%,Budweiser | Anheuser-Busch
"Oct 31, 2013",look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5,+89.3%,Budweiser | Anheuser-Busch
"Oct 26, 2013",look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5,+105.8%,Budweiser | Anheuser-Busch
"Sep 29, 2013",look: 3.5 | smell: 3 | taste: 2.75 | feel: 2.75 | overall: 3,+19.8%,Budweiser | Anheuser-Busch
"Sep 29, 2013",look: 2.5 | smell: 3 | taste: 2.75 | feel: 2.5 | overall: 3,+16%,Budweiser | Anheuser-Busch
"Sep 26, 2013",look: 2.5 | smell: 2 | taste: 3 | feel: 2.5 | overall: 2.5,+6.2%,Budweiser | Anheuser-Busch
"Sep 26, 2013",look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5,+105.8%,Budweiser | Anheuser-Busch
"Sep 23, 2013",look: 2.25 | smell: 2.25 | taste: 2 | feel: 2 | overall: 2,-14.4%,Budweiser | Anheuser-Busch
"Sep 22, 2013",look: 1.5 | smell: 1 | taste: 2 | feel: 1.25 | overall: 2,-31.7%,Budweiser | Anheuser-Busch
"Sep 18, 2013",look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3,+23.5%,Budweiser | Anheuser-Busch
"Sep 11, 2013",look: 3 | smell: 2.5 | taste: 3.25 | feel: 3 | overall: 3,+22.6%,Budweiser | Anheuser-Busch
"Aug 29, 2013",look: 1.25 | smell: 1.25 | taste: 1.25 | feel: 1.25 | overall: 1.25,-48.6%,Budweiser | Anheuser-Busch
"Aug 29, 2013",look: 1.25 | smell: 1.25 | taste: 1 | feel: 1.25 | overall: 1,-54.7%,Budweiser | Anheuser-Busch
"Aug 29, 2013",look: 4 | smell: 3.5 | taste: 4 | feel: 4 | overall: 4,+59.7%,Budweiser | Anheuser-Busch
"Aug 21, 2013",look: 2 | smell: 2.25 | taste: 2.5 | feel: 2.25 | overall: 2.5,-1.6%,Budweiser | Anheuser-Busch
"Aug 20, 2013",look: 2.5 | smell: 2 | taste: 2.25 | feel: 2.5 | overall: 2.5,-6.2%,Budweiser | Anheuser-Busch
"Aug 19, 2013",look: 3.25 | smell: 2.75 | taste: 2.75 | feel: 3 | overall: 2.75,+15.6%,Budweiser | Anheuser-Busch
"Aug 18, 2013",look: 3.25 | smell: 3 | taste: 3 | feel: 3.25 | overall: 3.25,+27.2%,Budweiser | Anheuser-Busch
"Aug 16, 2013",look: 2.5 | smell: 2.25 | taste: 2.5 | feel: 3 | overall: 3,+6.6%,Budweiser | Anheuser-Busch
"Aug 07, 2013",look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-58.8%,Budweiser | Anheuser-Busch
"Jul 29, 2013",look: 3 | smell: 2 | taste: 2.75 | feel: 2.5 | overall: 3,+7.4%,Budweiser | Anheuser-Busch
"Jul 25, 2013",look: 2.5 | smell: 1.25 | taste: 1.5 | feel: 1.75 | overall: 1.75,-35%,Budweiser | Anheuser-Busch
"Jul 24, 2013",look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-58.8%,Budweiser | Anheuser-Busch
"Jul 24, 2013",look: 3.75 | smell: 2.25 | taste: 2.5 | feel: 2.25 | overall: 2.5,+2.5%,Budweiser | Anheuser-Busch
"Jul 20, 2013",look: 2.25 | smell: 2.25 | taste: 2.5 | feel: 2.75 | overall: 2.5,+0.8%,Budweiser | Anheuser-Busch
"Jul 14, 2013",look: 3 | smell: 2.5 | taste: 2 | feel: 3.25 | overall: 2.5,-0.8%,Budweiser | Anheuser-Busch
"Jul 12, 2013",look: 3 | smell: 2.5 | taste: 2.5 | feel: 2.75 | overall: 2.5,+5.3%,Budweiser | Anheuser-Busch
"Jul 12, 2013",look: 4 | smell: 3.5 | taste: 3.75 | feel: 4 | overall: 4,+55.6%,Budweiser | Anheuser-Busch
"Jul 11, 2013",look: 3.25 | smell: 3 | taste: 3.5 | feel: 3.25 | overall: 3.25,+35.4%,Budweiser | Anheuser-Busch
"Jul 07, 2013",look: 2.75 | smell: 2 | taste: 2 | feel: 2.75 | overall: 2.75,-6.6%,Budweiser | Anheuser-Busch
"Jul 06, 2013",look: 3 | smell: 3 | taste: 2.75 | feel: 3.5 | overall: 3.5,+25.5%,Budweiser | Anheuser-Busch
"Jul 04, 2013",look: 3 | smell: 2.5 | taste: 3.5 | feel: 3 | overall: 3,+26.7%,Budweiser | Anheuser-Busch
"Jul 04, 2013",look: 2 | smell: 3 | taste: 2 | feel: 2.5 | overall: 2.5,-1.6%,Budweiser | Anheuser-Busch
"Jul 03, 2013",look: 2 | smell: 2 | taste: 1 | feel: 2 | overall: 1.5,-38.3%,Budweiser | Anheuser-Busch
"Jul 02, 2013",look: 2.25 | smell: 2.5 | taste: 3 | feel: 2 | overall: 2.5,+8.6%,Budweiser | Anheuser-Busch
"Jul 01, 2013",look: 3.75 | smell: 3.5 | taste: 4 | feel: 3.25 | overall: 4.25,+58%,Budweiser | Anheuser-Busch
"Jun 24, 2013",look: 3 | smell: 2.25 | taste: 3 | feel: 2.75 | overall: 3,+15.2%,Budweiser | Anheuser-Busch
"Jun 22, 2013",look: 3.75 | smell: 2 | taste: 3 | feel: 3 | overall: 3,+15.6%,Budweiser | Anheuser-Busch
"Jun 21, 2013",look: 3.5 | smell: 1.75 | taste: 2 | feel: 1.75 | overall: 2,-17.3%,Budweiser | Anheuser-Busch
"Jun 19, 2013",look: 1.75 | smell: 2.5 | taste: 2 | feel: 2 | overall: 2.25,-11.1%,Budweiser | Anheuser-Busch
"Jun 15, 2013",look: 4 | smell: 2 | taste: 1.5 | feel: 1 | overall: 2,-25.1%,Budweiser | Anheuser-Busch
"Jun 14, 2013",look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-58.8%,Budweiser | Anheuser-Busch
"Jun 13, 2013",look: 3.75 | smell: 2 | taste: 3.5 | feel: 2.5 | overall: 2.75,+19.8%,Budweiser | Anheuser-Busch
"Jun 12, 2013",look: 3.25 | smell: 2 | taste: 2 | feel: 3.5 | overall: 2.75,-2.1%,Budweiser | Anheuser-Busch
"Jun 10, 2013",look: 3.5 | smell: 2 | taste: 3 | feel: 2 | overall: 2.5,+6.6%,Budweiser | Anheuser-Busch
"Jun 07, 2013",look: 3 | smell: 2.75 | taste: 3 | feel: 3 | overall: 2.75,+18.9%,Budweiser | Anheuser-Busch
"May 27, 2013",look: 2.25 | smell: 2.25 | taste: 2.25 | feel: 3.5 | overall: 2.25,-2.1%,Budweiser | Anheuser-Busch
"May 20, 2013",look: 2.75 | smell: 1.25 | taste: 1 | feel: 3 | overall: 1.75,-37.4%,Budweiser | Anheuser-Busch
"May 14, 2013",look: 3 | smell: 2 | taste: 2.25 | feel: 2.25 | overall: 2.25,-7.8%,Budweiser | Anheuser-Busch
"May 10, 2013",look: 2 | smell: 3 | taste: 3 | feel: 3 | overall: 3.5,+25.1%,Budweiser | Anheuser-Busch
"Apr 27, 2013",look: 2.5 | smell: 2 | taste: 2 | feel: 2.5 | overall: 2.25,-12.3%,Budweiser | Anheuser-Busch
"Apr 23, 2013",look: 3 | smell: 2.5 | taste: 2 | feel: 2 | overall: 2,-10.3%,Budweiser | Anheuser-Busch
"Apr 23, 2013",look: 3 | smell: 2.5 | taste: 3.5 | feel: 3.25 | overall: 3.25,+30%,Budweiser | Anheuser-Busch
"Apr 11, 2013",look: 1 | smell: 2 | taste: 1 | feel: 1 | overall: 1.75,-42.8%,Budweiser | Anheuser-Busch
"Mar 24, 2013",look: 3.25 | smell: 3.25 | taste: 3.5 | feel: 3.5 | overall: 3.25,+39.1%,Budweiser | Anheuser-Busch
"Mar 20, 2013",look: 3 | smell: 3 | taste: 2.5 | feel: 2.5 | overall: 3,+13.2%,Budweiser | Anheuser-Busch
"Mar 06, 2013",look: 2 | smell: 1.5 | taste: 2.75 | feel: 3.5 | overall: 2.5,look: 2 | smell: 1.5 | taste: 2.75 | feel: 3.5 | overall: 2.5,Budweiser | Anheuser-Busch
"Mar 04, 2013",look: 2.75 | smell: 2.75 | taste: 3.25 | feel: 3 | overall: 3.25,+26.7%,Budweiser | Anheuser-Busch
"Mar 03, 2013",look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3,+23.5%,Budweiser | Anheuser-Busch
"Feb 24, 2013",look: 2.75 | smell: 2.5 | taste: 3 | feel: 2.75 | overall: 3,+16.9%,Budweiser | Anheuser-Busch
"Feb 23, 2013",look: 3 | smell: 3.5 | taste: 4.5 | feel: 4.5 | overall: 4,+67.5%,Budweiser | Anheuser-Busch
"Feb 22, 2013",look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.75,+49.4%,Budweiser | Anheuser-Busch
"Feb 14, 2013",look: 3 | smell: 2.25 | taste: 2.25 | feel: 3 | overall: 2.25,-2.5%,Budweiser | Anheuser-Busch
"Feb 09, 2013",look: 3 | smell: 2 | taste: 3.5 | feel: 3.5 | overall: 3.75,+30%,Budweiser | Anheuser-Busch
"Feb 08, 2013",look: 2.75 | smell: 2.5 | taste: 3.75 | feel: 3 | overall: 3,+30.5%,Budweiser | Anheuser-Busch
"Jan 27, 2013",look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-58.8%,Budweiser | Anheuser-Busch
"Jan 25, 2013",look: 1.75 | smell: 1.25 | taste: 2.25 | feel: 1.5 | overall: 1.5,-27.6%,Budweiser | Anheuser-Busch
"Jan 15, 2013",look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-58.8%,Budweiser | Anheuser-Busch
"Jan 15, 2013",look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-58.8%,Budweiser | Anheuser-Busch
"Jan 06, 2013",look: 3 | smell: 2 | taste: 2.5 | feel: 2.5 | overall: 2.5,-0.8%,Budweiser | Anheuser-Busch
"Dec 31, 2012",look: 3.5 | smell: 2 | taste: 2.5 | feel: 2 | overall: 2,-5.8%,Budweiser | Anheuser-Busch
"Dec 27, 2012",look: 3 | smell: 2 | taste: 2.5 | feel: 2.5 | overall: 2.5,-0.8%,Budweiser | Anheuser-Busch
"Dec 22, 2012",look: 3.5 | smell: 2.5 | taste: 2.5 | feel: 2 | overall: 2,-0.8%,Budweiser | Anheuser-Busch
"Dec 21, 2012",look: 1 | smell: 1 | taste: 1.5 | feel: 1.5 | overall: 1,-48.6%,Budweiser | Anheuser-Busch
"Dec 19, 2012",look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-58.8%,Budweiser | Anheuser-Busch
"Dec 11, 2012",look: 3 | smell: 2.5 | taste: 2.5 | feel: 3 | overall: 2.5,+6.2%,Budweiser | Anheuser-Busch
"Dec 09, 2012",look: 2.5 | smell: 2.5 | taste: 2 | feel: 3 | overall: 2.5,-3.3%,Budweiser | Anheuser-Busch
"Dec 07, 2012",look: 2.5 | smell: 1.5 | taste: 2 | feel: 1.5 | overall: 2,-23.5%,Budweiser | Anheuser-Busch
"Dec 06, 2012",look: 2.5 | smell: 3 | taste: 3.5 | feel: 2 | overall: 3,+26.3%,Budweiser | Anheuser-Busch
"Dec 02, 2012",look: 2 | smell: 2 | taste: 2.5 | feel: 2.5 | overall: 2.5,-3.3%,Budweiser | Anheuser-Busch
"Dec 01, 2012",look: 1 | smell: 1.5 | taste: 1.5 | feel: 3.5 | overall: 1.5,-31.3%,Budweiser | Anheuser-Busch
"Nov 29, 2012",look: 3 | smell: 3 | taste: 3 | feel: 2.5 | overall: 3,+21.4%,Budweiser | Anheuser-Busch
"Nov 15, 2012",look: 3 | smell: 2.5 | taste: 2.5 | feel: 2 | overall: 2.5,+2.1%,Budweiser | Anheuser-Busch
"Nov 10, 2012",look: 3 | smell: 2 | taste: 2 | feel: 1.5 | overall: 2.5,-13.2%,Budweiser | Anheuser-Busch
"Nov 03, 2012",look: 2 | smell: 1.5 | taste: 1.5 | feel: 1.5 | overall: 1.5,-37%,Budweiser | Anheuser-Busch
"Oct 29, 2012",look: 4 | smell: 5 | taste: 5 | feel: 4.5 | overall: 5,+101.2%,Budweiser | Anheuser-Busch
"Oct 22, 2012",look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5,+105.8%,Budweiser | Anheuser-Busch
"Oct 20, 2012",look: 3 | smell: 1.5 | taste: 1.5 | feel: 3.5 | overall: 2.5,-18.1%,Budweiser | Anheuser-Busch
"Oct 18, 2012",look: 5 | smell: 2.5 | taste: 3 | feel: 2 | overall: 4,+27.6%,Budweiser | Anheuser-Busch
"Oct 14, 2012",look: 4 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5,+79%,Budweiser | Anheuser-Busch
"Oct 08, 2012",look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3,+23.5%,Budweiser | Anheuser-Busch
"Oct 07, 2012",look: 2 | smell: 2 | taste: 2.5 | feel: 3 | overall: 2.5,-1.2%,Budweiser | Anheuser-Busch
"Oct 07, 2012",look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1,-58.8%,Budweiser | Anheuser-Busch
"Sep 29, 2012",look: 3.5 | smell: 3 | taste: 3.5 | feel: 3 | overall: 4,+41.2%,Budweiser | Anheuser-Busch
"Sep 15, 2012",look: 2.5 | smell: 1.5 | taste: 2 | feel: 3 | overall: 2,-17.3%,Budweiser | Anheuser-Busch
"Aug 29, 2012",look: 3 | smell: 3 | taste: 3 | feel: 2 | overall: 3,+19.3%,Budweiser | Anheuser-Busch
"Aug 23, 2012",look: 2 | smell: 1 | taste: 2.5 | feel: 2.5 | overall: 2,-17.3%,Budweiser | Anheuser-Busch
"Aug 18, 2012",look: 2 | smell: 2 | taste: 3 | feel: 3 | overall: 2.5,+7%,Budweiser | Anheuser-Busch
"Aug 06, 2012",look: 4 | smell: 3 | taste: 3 | feel: 4.5 | overall: 3.5,+36.2%,Budweiser | Anheuser-Busch
"Aug 05, 2012",look: 1 | smell: 1 | taste: 3.5 | feel: 2.5 | overall: 3,+4.9%,Budweiser | Anheuser-Busch
"Aug 01, 2012",look: 1.5 | smell: 2 | taste: 3 | feel: 2 | overall: 2.5,+1.6%,Budweiser | Anheuser-Busch
"Aug 01, 2012",look: 2.5 | smell: 2.5 | taste: 2 | feel: 1.5 | overall: 2.5,-9.5%,Budweiser | Anheuser-Busch
"Jul 29, 2012",look: 2 | smell: 2 | taste: 2 | feel: 1.5 | overall: 2,-19.8%,Budweiser | Anheuser-Busch
"Jul 29, 2012",look: 2 | smell: 2 | taste: 2 | feel: 4 | overall: 4.5,+11.1%,Budweiser | Anheuser-Busch
"Jul 23, 2012",look: 2 | smell: 1.5 | taste: 1.5 | feel: 2.5 | overall: 2,-28.8%,Budweiser | Anheuser-Busch
"Jul 12, 2012",look: 2 | smell: 2 | taste: 1.5 | feel: 2.5 | overall: 2,-23.9%,Budweiser | Anheuser-Busch
"Jul 12, 2012",look: 4 | smell: 1.5 | taste: 2 | feel: 1 | overall: 2,-21.8%,Budweiser | Anheuser-Busch
"Jul 07, 2012",look: 2.5 | smell: 2.5 | taste: 3 | feel: 4.5 | overall: 3,+23.5%,Budweiser | Anheuser-Busch
"Jul 04, 2012",look: 2.5 | smell: 3 | taste: 3 | feel: 3.5 | overall: 3,+24.3%,Budweiser | Anheuser-Busch
"Jun 30, 2012",look: 1.5 | smell: 2 | taste: 2 | feel: 3.5 | overall: 2.5,-8.6%,Budweiser | Anheuser-Busch
"Jun 29, 2012",look: 2 | smell: 1.5 | taste: 1 | feel: 1.5 | overall: 1,-49.4%,Budweiser | Anheuser-Busch
"Jun 26, 2012",look: 3 | smell: 2 | taste: 2 | feel: 4 | overall: 2.5,-2.9%,Budweiser | Anheuser-Busch
"Jun 24, 2012",look: 2.5 | smell: 2 | taste: 2 | feel: 2.5 | overall: 2.5,-10.3%,Budweiser | Anheuser-Busch
"Jun 24, 2012",look: 2 | smell: 1.5 | taste: 1.5 | feel: 2 | overall: 1.5,-35%,Budweiser | Anheuser-Busch
"Jun 09, 2012",look: 3 | smell: 2.5 | taste: 2.5 | feel: 3 | overall: 2,+2.1%,Budweiser | Anheuser-Busch
"Jun 08, 2012",look: 3 | smell: 1 | taste: 1.5 | feel: 3 | overall: 1,-37.4%,Budweiser | Anheuser-Busch
"Jun 07, 2012",look: 2 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 2.5,+1.6%,Budweiser | Anheuser-Busch
"Jun 06, 2012",look: 3 | smell: 2 | taste: 2.5 | feel: 3 | overall: 2,-2.9%,Budweiser | Anheuser-Busch
"Jun 06, 2012",look: 2.5 | smell: 2 | taste: 2 | feel: 2.5 | overall: 2.5,-10.3%,Budweiser | Anheuser-Busch
"May 25, 2012",look: 3 | smell: 2.5 | taste: 3.25 | feel: 2.75 | overall: 3.5,+25.9%,Budweiser | Anheuser-Busch
"May 17, 2012",look: 2.5 | smell: 1.5 | taste: 1.5 | feel: 2.5 | overall: 2,-27.6%,Budweiser | Anheuser-Busch
"Apr 29, 2012",look: 3.5 | smell: 2.5 | taste: 3 | feel: 3 | overall: 3,+19.8%,Budweiser | Anheuser-Busch
"Apr 25, 2012",look: 4.5 | smell: 4 | taste: 5 | feel: 4.5 | overall: 4.5,+88.5%,Budweiser | Anheuser-Busch
"Apr 21, 2012",look: 2.5 | smell: 3 | taste: 2.5 | feel: 3.5 | overall: 3,+16%,Budweiser | Anheuser-Busch
"Apr 19, 2012",look: 3 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 2.5,+4.1%,Budweiser | Anheuser-Busch
"Apr 19, 2012",look: 3.5 | smell: 3 | taste: 4.5 | feel: 4 | overall: 4,+61.7%,Budweiser | Anheuser-Busch
"Apr 11, 2012",look: 3 | smell: 2.5 | taste: 2 | feel: 2.5 | overall: 2.5,-4.1%,Budweiser | Anheuser-Busch
"Apr 10, 2012",look: 3 | smell: 2.5 | taste: 2 | feel: 2 | overall: 2.5,-6.2%,Budweiser | Anheuser-Busch
"Apr 07, 2012",look: 1.5 | smell: 1.5 | taste: 1.5 | feel: 2 | overall: 2,-32.1%,Budweiser | Anheuser-Busch
"Apr 07, 2012",look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4,+64.6%,Budweiser | Anheuser-Busch
"Apr 04, 2012",look: 2 | smell: 2 | taste: 1.5 | feel: 1.5 | overall: 1,-36.2%,Budweiser | Anheuser-Busch
"Apr 02, 2012",look: 2.5 | smell: 3 | taste: 3 | feel: 3 | overall: 3,+22.2%,Budweiser | Anheuser-Busch
