BBL,Street Number,Street Name,Borough,Zip,Benchmarking Submission,Entry Number,Site EUI(kBtu/ft2),Weather Normalized Source EUI(kBtu/ft2),Indoor Water Intensity (All Water Sources)(gal/ft2),Reported Water Method,ENERGY STAR Score,Total GHG Emissions(MtCO2e),Property Floor Area (Buildngs and Parking)(ft2),Primary Property Type - Self Selected,Number of Buildings,Reported BINs
1012830058,18,EAST   48 STREET,MANHATTAN,10017,Yes,12582,60.8,177,0,Manual,N/A,612.92,114874,Office,1,1035422
1008070028,119,WEST   31 STREET,MANHATTAN,10001,Yes,5832,110,231.6,18.81,ABS,68,1820.67,204417,Office,1,1015181
1012840002,597,   5 AVENUE,MANHATTAN,10017,Yes,10461,58.7,162,,Manual,74,354.98,67128,Office,1,1035430
1012840007,7,EAST   48 STREET,MANHATTAN,10017,Yes,11612,66.3,214,,Manual,75,3667.72,598058,Office,1,
1012840014,410,MADISON AVENUE,MANHATTAN,10017,No Record as of 08/1/13,,,,,,,,,,1,
1012840021,413,MADISON AVENUE,MANHATTAN,10017,Yes,83,58.5,183.7,15.83,Manual,85,1288.46,237258,Office,1,1035439
1012840026,33,EAST   48 STREET,MANHATTAN,10017,Yes,4729,,,21.21,Manual,N/A,,1232067,Office,1,1035441;1035440
1012840026,33,EAST   48 STREET,MANHATTAN,10017,Yes,6803,137.3,305.3,22.54,Manual,55,9237.27,782509,Office,1,1035440
1012840033,280,PARK AVENUE,MANHATTAN,10017,Yes,4729,,,21.21,Manual,N/A,,1232067,Office,1,1035441;1035440
1012840033,280,PARK AVENUE,MANHATTAN,10017,Yes,6847,143.1,327.9,23.48,Manual,37,4457.68,361606,Office,1,1035441
1012840052,425,MADISON AVENUE,MANHATTAN,10017,Yes,355,104.4,286.1,,Manual,33,804.45,85905,Office,1,1035443
1012840056,424,MADISON AVENUE,MANHATTAN,10017,Yes,7693,75.2,202.8,21.1,Manual,63,1644.44,74679,Office,1,1035445
1012847501,609,   5 AVENUE,MANHATTAN,10017,Yes,3891,125.6,357.9,,Manual,67,1846.8,163139,Office,1,1035448
1012850015,432,MADISON AVENUE,MANHATTAN,10017,No Record as of 08/1/13,,,,,,,,,,1,
1012850021,437,MADISON AVENUE,MANHATTAN,10022,Yes,12892,65.5,218.9,,Manual,68,4922.34,800000,Office,1,1035455
1012850036,300,PARK AVENUE,MANHATTAN,10022,Yes,70,63.4,160.2,,Manual,86,4303.99,777658,Office,1,1081146
1012850059,18,EAST   50 STREET,MANHATTAN,10022,Yes,5696,134,345.7,,Manual,18,693.13,58341,Office,1,1035460
1012857501,611,   5 AVENUE,MANHATTAN,10022,Yes,11578,89.5,195.4,,Manual,78,7105.7,1095091,Office,1,1082746
1012860021,451,MADISON AVENUE,MANHATTAN,10022,Yes,4618,108.8,225,88,Manual,41,8811.83,972880,Hotel,1,1035462
1008440042,91,   5 AVENUE,MANHATTAN,10003,Yes,7833,98,276.1,18.85,ABS,N/A,460.45,53058,Other,1,1016095
1012870014,488,MADISON AVENUE,MANHATTAN,10022,Yes,5087,74.2,222.2,,Manual,73,3141.55,461295,Office,1,1035470
1012870021,477,MADISON AVENUE,MANHATTAN,10022,Yes,21,66.8,191,,Manual,69,1704.61,281847,Office,1,1035471
1012870028,41,EAST   51 STREET,MANHATTAN,10022,Yes,94,124.2,397.2,22.3,Manual,91,4264.04,370442,Office,1,1076267
1012870033,350,PARK AVENUE,MANHATTAN,10022,Yes,111,142.8,318.4,20.74,Manual,42,6579.54,533173,Office,1,1035473
1012870052,485,MADISON AVENUE,MANHATTAN,10022,Yes,189,87.5,233.5,,Manual,73,1975.25,263067,Office,1,1035474
1012870058,16,EAST   52 STREET,MANHATTAN,10022,Yes,3344,76.3,220.6,,Manual,67,701.82,102503,Office,1,1035475
1012877501,641,   5 AVENUE,MANHATTAN,10022,Yes,391,115.2,322.7,,Manual,41,4236.57,407706,Office,1,1035481
3062990032,8100,BAY PARKWAY,BROOKLYN,11214,Yes,5894,155.3,215.9,18.85,ABS,N/A,873.46,98000,Multifamily Housing,1,3163920
1012880011,500,MADISON AVENUE,MANHATTAN,10022,No Record as of 08/1/13,,,,,,,,,,1,
1012880021,503,MADISON AVENUE,MANHATTAN,10022,Yes,358,91.6,231.5,,Manual,62,1223.99,151735,Office,1,1035711
1012880027,57,EAST   52 STREET,MANHATTAN,10022,Yes,1989,82.4,236.3,,Manual,77,8970.74,1200000,Bank/Financial Institution,1,1083869
1012880033,370,PARK AVENUE,MANHATTAN,10022,No Record as of 08/1/13,,,,,,,,,,1,
1012880051,507,MADISON AVENUE,MANHATTAN,10022,Yes,6924,77,196.3,,Manual,68,1007.67,145859,Office,1,1035714
1012880056,510,MADISON AVENUE,MANHATTAN,10022,Yes,9535,9927.9,13428.4,,Manual,N/A,333474.46,425312,Office,1,1035715
1012880057,20,EAST   53 STREET,MANHATTAN,10022,No Record as of 08/1/13,,,,,,,,,,1,
1012880059,18,EAST   53 STREET,MANHATTAN,10022,No Record as of 08/1/13,,,,,,,,,,1,
1012880069,665,   5 AVENUE,MANHATTAN,10022,Yes,11092,68.9,230.2,,Manual,52,798.48,123371,Office,1,1035721
1012890014,512,MADISON AVENUE,MANHATTAN,10022,Yes,28,89.7,261,20.75,Manual,91,8476.69,1047808,Office,1,1035727
1012890021,515,MADISON AVENUE,MANHATTAN,10022,Yes,126,66.6,182.8,,Manual,80,2101.85,351500,Office,1,1035728
1012890021,515,MADISON AVENUE,MANHATTAN,10022,Yes,1470,56.6,180.5,,Manual,81,1841.33,351590,Office,1,1035728
1012890036,380,PARK AVENUE,MANHATTAN,10022,Yes,753,138.5,378.9,,Manual,21,3474.11,279980,Office,1,1035732
1012890045,56,EAST   54 STREET,MANHATTAN,10022,Yes,900,102.2,224.1,,Manual,45,491.23,65452,Hotel,1,1035733
1012890045,56,EAST   54 STREET,MANHATTAN,10022,Yes,12709,,,0,Manual,N/A,,68725,Hotel,1,1035733
1012890052,527,MADISON AVENUE,MANHATTAN,10022,Yes,156,60.1,213.9,,Manual,80,1391.37,246476,Office,1,1035734
1012890070,683,   5 AVENUE,MANHATTAN,10022,No Record as of 08/1/13,,,,,,,,,,2,
1012890072,681,   5 AVENUE,MANHATTAN,10022,No Record as of 08/1/13,,,,,,,,,,1,
1012900001,689,   5 AVENUE,MANHATTAN,10022,Yes,139,121.3,311.6,41.87,Manual,45,960.32,89978,Office,1,1035741
1011710133,140,RIVERSIDE BOULEVARD,MANHATTAN,10069,Yes,6800,94.4,180.4,18.86,ABS,N/A,2382.1,370082,Multifamily Housing,1,2806058
1008010065,142,WEST   26 STREET,MANHATTAN,10001,Yes,7389,45.8,75.2,18.93,ABS,N/A,184.71,52422,Multifamily Housing,1,1015026
1015070033,1220,PARK AVENUE,MANHATTAN,10128,Yes,2557,63,103.6,18.93,ABS,N/A,1223.85,246000,Multifamily Housing,1,1047431
1012900036,400,PARK AVENUE,MANHATTAN,10022,No Record as of 08/1/13,,,,,,,,,,1,
1012900037,410,PARK AVENUE,MANHATTAN,10022,Yes,3325,67.8,193,11.06,Manual,74,1452.61,236665,Office,1,1-01290-0037
1012900044,66,EAST   55 STREET,MANHATTAN,10022,Yes,1482,56.8,189.7,1174.64,Manual,68,825.03,154691,Office,1,
1005957504,330,SPRING STREET,MANHATTAN,10013,Yes,580,106.7,225.2,18.96,ABS,N/A,606.76,81449,Multifamily Housing,1,1087495
1012900056,540,MADISON AVENUE,MANHATTAN,10022,Yes,238,133.9,344.8,,Manual,31,3439.1,291610,Office,1,1035759
1012907501,60,EAST   55 STREET,MANHATTAN,10022,Yes,3497,145.5,358.8,0,Manual,N/A,1215.18,108430,Multifamily Housing,1,1087101
1012910001,1,EAST   55 STREET,MANHATTAN,10022,Yes,1546,73.9,217.3,9.09,Manual,68,2090.88,310000,Office,1,
1012910010,550,MADISON AVENUE,MANHATTAN,10022,Yes,7609,111.6,256.8,45.59,Manual,68,7829.18,871353,Office,1,1035769
1012910021,551,MADISON AVENUE,MANHATTAN,10022,No Record as of 08/1/13,,,,,,,,,,1,
1012910028,75,EAST   55 STREET,MANHATTAN,10022,No Record as of 08/1/13,,,,,,,,,,1,
1012910038,424,PARK AVENUE,MANHATTAN,10022,Yes,3500,72.3,213.8,,Manual,93,1905.64,288206,Office,1,1035772
1012910045,60,EAST   56 STREET,MANHATTAN,10022,Yes,3009,83.6,250.5,,Manual,N/A,426.33,57308,Other,1,1035773
1012910051,555,MADISON AVENUE,MANHATTAN,10022,Yes,211,67.3,148.4,13.88,Manual,90,2882.96,498531,Office,1,
5024527503,145,WELLINGTON COURT,STATEN ISLAND,10314,Yes,7048,32.6,101.7,18.99,ABS,N/A,158.99,56700,Multifamily Housing,3,5121202;5121203;5121204
1012920015,580,MADISON AVENUE,MANHATTAN,10022,Yes,149,106.5,290.3,0,Manual,45,16034.23,986069,Office,1,Building Identification Number (BIN): 1035778
5024527503,145,WELLINGTON COURT,STATEN ISLAND,10314,Yes,7051,35.8,109.5,18.99,ABS,N/A,173.03,56700,Multifamily Housing,3,5121204;5121203;5121202
1012920048,32,EAST   57 STREET,MANHATTAN,10022,Yes,3646,67.7,166.4,0,Manual,78,631.5,104990,Office,1,1035788
1012920052,571,MADISON AVENUE,MANHATTAN,10022,Yes,3181,109.3,273.7,,Manual,41,3521.84,365347,Office,1,1035789
1012920069,731,   5 AVENUE,MANHATTAN,10022,Yes,11143,208.9,575.3,,Manual,4,2062.79,110517,Office,1,1035792
1012927501,721,   5 AVENUE,MANHATTAN,10022,Yes,853,87.8,227.6,0,Manual,N/A,6231.91,805842,Multifamily Housing,1,1041086
1012930001,737,   5 AVENUE,MANHATTAN,10022,Yes,10212,171,542,,Manual,3,1315.28,83086,Office,1,BIN: 1036049
5024527503,145,WELLINGTON COURT,STATEN ISLAND,10314,Yes,7053,33.8,121.6,18.99,ABS,N/A,176.32,56700,Multifamily Housing,3,5121203;5121204;5121202
1012930014,19,EAST   57 STREET,MANHATTAN,10022,Yes,100,,,,Manual,N/A,,99936,Office,1,BIN#1086164
1012930016,592,MADISON AVENUE,MANHATTAN,10022,Yes,5029,123.1,370.2,,Manual,19,982.44,86957,Office,1,BIN #1036060
1012930026,597,MADISON AVENUE,MANHATTAN,10022,Yes,116,79,213.3,17.48,Manual,73,2142.03,303618,Office,1,1036061
1017370015,45,WEST  139 STREET,MANHATTAN,10037,Yes,1742,106.3,175,180.61,ABS,N/A,1273.01,189024,Multifamily Housing,1,1053938
2031600035,2055,GRAND CONCOURSE,BRONX,10453,Yes,6569,128.3,203.1,181.08,ABS,N/A,442.7,55952,Multifamily Housing,1,2013744
1012930059,600,MADISON AVENUE,MANHATTAN,10022,Yes,729,99.1,229.6,35.79,Manual,61,2865.35,332608,Office,1,1036076
1012930069,745,   5 AVENUE,MANHATTAN,10022,Yes,123,78,230.7,,Manual,71,3772.44,530303,Office,1,1-01293-0069
1012937501,53,EAST   57 STREET,MANHATTAN,10022,Yes,10959,173.2,371.1,85.8,Manual,4,7810.05,535250,Hotel,1,1077862
1012940001,761,   5 AVENUE,MANHATTAN,10022,Yes,241,148.8,372.3,,Manual,40,24332.06,1862263,Office,1,1036082
1022250004,61,VERMILYEA AVENUE,MANHATTAN,10034,Yes,7960,112.3,150,181.56,ABS,N/A,513.71,57428,Multifamily Housing,1,1084356
1012940037,500,PARK AVENUE,MANHATTAN,10022,Yes,10,105.8,315.6,,Manual,50,2146.36,223543,Bank/Financial Institution,1,1-01294-0037
1012940037,500,PARK AVENUE,MANHATTAN,10022,Yes,3413,131.2,413.4,,Manual,N/A,2562.39,210000,Multifamily Housing,1,1036084
1012940046,613,MADISON AVENUE,MANHATTAN,10022,Yes,3873,134.3,311.5,,Manual,53,5873.66,502581,Office,1,1036085
1012947501,500,PARK AVENUE,MANHATTAN,10022,No Record as of 08/1/13,,,,,,,,,,1,
1012950017,354,LEXINGTON AVENUE,MANHATTAN,10017,Yes,154,64,177.1,35.79,Manual,82,1349.4,234427,Office,1,1036145
2031930001,2042,GRAND AVENUE,BRONX,10453,Yes,4862,98.5,191.2,182.88,ABS,N/A,369.46,54723,Multifamily Housing,1,2014154
1014837501,524,EAST   72 STREET,MANHATTAN,10021,Yes,6143,197.7,525.6,183.87,ABS,N/A,2881.25,164806,Multifamily Housing,1,1072695
1012950033,622,   3 AVENUE,MANHATTAN,10017,Yes,11579,89.5,195.4,,Manual,78,6720.74,1035763,Office,1,1036148
1012950040,630,   3 AVENUE,MANHATTAN,10017,Yes,268,54.4,163.1,,Manual,81,1179.61,236023,Office,1,
1012950058,364,LEXINGTON AVENUE,MANHATTAN,10017,Yes,3008,68.3,183.3,21.2,Manual,75,1916.22,313770,Office,1,1036150
1012960014,374,LEXINGTON AVENUE,MANHATTAN,10017,Yes,68,85.7,194.8,,Manual,76,6012.25,815186,Office,1,1036152
1012960046,128,EAST   42 STREET,MANHATTAN,10017,Yes,2043,69.7,147.7,,Manual,90,9757.16,1653195,Office,1,1036153
1012967501,110,EAST   42 STREET,MANHATTAN,10017,Yes,5504,123.3,258.9,,Manual,67,2866.6,272735,Office,1,1083181
1012970023,395,LEXINGTON AVENUE,MANHATTAN,10017,Yes,71,69.5,182.5,,Manual,86,7917.26,1283579,Office,1,1036156
1012980023,417,LEXINGTON AVENUE,MANHATTAN,10017,Yes,7,76.2,224.2,30.26,Manual,73,4957.91,712924,Office,1,1036162
1012980041,150,EAST   44 STREET,MANHATTAN,10017,Yes,4430,113.5,203.3,,Manual,N/A,2454.79,329617,Multifamily Housing,1,1087190
1012990022,437,LEXINGTON AVENUE,MANHATTAN,10017,Yes,8879,151.8,365.8,0,Manual,N/A,1001.1,75815,Office,1,1036174
1012990023,137,EAST   44 STREET,MANHATTAN,10017,Yes,5818,87.7,232.3,,Manual,49,522.94,72307,Hotel,1,Fitzpatrick Grand Central Hotel
1012990027,147,EAST   44 STREET,MANHATTAN,10017,Yes,4664,69,203.4,0.97,Manual,76,4092,649883,Office,1,1036176
1012990033,708,   3 AVENUE,MANHATTAN,10017,No Record as of 08/1/13,,,,,,,,,,1,
1012990048,132,EAST   45 STREET,MANHATTAN,10017,Yes,8695,144.8,277.7,,Manual,N/A,841.42,72000,Multifamily Housing,1,1036182
1012990051,451,LEXINGTON AVENUE,MANHATTAN,10017,No Record as of 08/1/13,,,,,,,,,,1,
1012380046,2450,BROADWAY,MANHATTAN,10024,Yes,2030,82.2,151.9,186.21,ABS,N/A,1122.68,206190,Multifamily Housing,1,1033560
1013000014,460,LEXINGTON AVENUE,MANHATTAN,10017,Yes,10859,71.3,226.1,14.81,Manual,60,8205.52,1243174,Office,1,1036186
1013000033,730,   3 AVENUE,MANHATTAN,10017,Yes,19,92.7,262.9,,Manual,78,5218.38,627731,Office,1,1036195
1013000050,140,EAST   46 STREET,MANHATTAN,10017,Yes,1576,94.2,129.6,,Manual,N/A,932.08,131175,Multifamily Housing,1,1036200
1013010001,245,PARK AVENUE,MANHATTAN,10017,Yes,42,89.1,223.1,13.07,Manual,95,12438.88,1592125,Office,1,1036205
1013010023,485,LEXINGTON AVENUE,MANHATTAN,10017,Yes,3888,94,211.7,,Manual,80,7215.1,886670,Office,1,1036206
1013010033,750,   3 AVENUE,MANHATTAN,10017,Yes,3876,113.3,248.7,,Manual,67,7292.53,749843,Office,1,1036207
1013020021,501,LEXINGTON AVENUE,MANHATTAN,10017,Yes,11091,77343.2,93587.7,0,Manual,N/A,659476.6,108000,Hotel,1,1036208
1013020025,131,EAST   47 STREET,MANHATTAN,10017,Yes,12858,0,0,,Manual,N/A,61.35,0,Other,1,1036212
1013020033,760,   3 AVENUE,MANHATTAN,10017,Yes,3324,75.6,151.2,11.31,Manual,N/A,1983.99,316648,Multifamily Housing,1,1036217
1013020043,144,EAST   48 STREET,MANHATTAN,10017,No Record as of 08/1/13,,,,,,,,,,1,
1013020051,509,LEXINGTON AVENUE,MANHATTAN,10017,Yes,7150,133.8,270.6,,Manual,37,3194.55,291062,Hotel,1,1036219
1013027501,277,PARK AVENUE,MANHATTAN,10017,No Record as of 08/1/13,,,,,,,,,,1,
1013030001,299,PARK AVENUE,MANHATTAN,10017,Yes,197,109.2,292.2,,Manual,58,12415.28,1278462,Bank/Financial Institution,1,1036223
1013030014,111,EAST   48 STREET,MANHATTAN,10017,Yes,11790,124.1,248.4,,Manual,50,4411.81,427611,Hotel,1,1036224
1013030033,776,   3 AVENUE,MANHATTAN,10017,No Record as of 08/1/13,,,,,,,,,,1,
3051240026,681,OCEAN AVENUE,BROOKLYN,11226,Yes,2000,123,179.4,186.39,ABS,N/A,455.87,63110,Multifamily Housing,1,3117624
1013030053,525,LEXINGTON AVENUE,MANHATTAN,10017,Yes,11777,126.8,262.9,,Manual,34,3633.1,405000,Hotel,1,1036232
1010190055,234,WEST   48 STREET,MANHATTAN,10036,Yes,8658,162.2,318.9,200.08,ABS,19,1642.68,122957,Hotel,1,1024764
1013037501,145,EAST   48 STREET,MANHATTAN,10017,Yes,296,109.3,235.5,0,Manual,N/A,1586.27,170711,Multifamily Housing,1,1036233
1013037502,517,LEXINGTON AVENUE,MANHATTAN,10017,No Record as of 08/1/13,,,,,,,,,,0,
1013040020,541,LEXINGTON AVENUE,MANHATTAN,10022,No Record as of 08/1/13,,,,,,,,,,1,
1013040033,800,   3 AVENUE,MANHATTAN,10022,Yes,3651,202.6,474.7,0,Manual,7,5776.25,328180,Office,1,1036446
1013040041,150,EAST   50 STREET,MANHATTAN,10022,No Record as of 08/1/13,,,,,,,,,,1,
1013040045,138,EAST   50 STREET,MANHATTAN,10022,Yes,12856,0,0,,Manual,N/A,69.42,0,Other,1,1036448
1013049001,301,PARK AVENUE,MANHATTAN,10022,No Record as of 08/1/13,,,,,,,,,,1,
1013050001,321,PARK AVENUE,MANHATTAN,10022,No Record as of 08/1/13,,,,,,,,,,1,
1013050020,557,LEXINGTON AVENUE,MANHATTAN,10022,Yes,7225,104,249.1,,Manual,63,1257.36,138614,Hotel,1,1036452
1013050023,135,EAST   50 STREET,MANHATTAN,10022,Yes,10360,107.5,167.9,88.75,Manual,N/A,692.16,81733,Multifamily Housing,1,1036453
1013050028,145,EAST   50 STREET,MANHATTAN,10022,Yes,8688,95.9,189.4,,Manual,59,1310.63,165000,Hotel,1,1036454
1013050033,155,EAST   50 STREET,MANHATTAN,10022,Yes,5804,,,,Manual,N/A,,159582,Hotel,3,1-01305-0033
1013050040,830,   3 AVENUE,MANHATTAN,10022,Yes,1097,49.7,153.8,,Manual,79,656.28,142787,Office,1,
2028000019,1815,MONROE AVENUE,BRONX,10457,Yes,9589,96.7,134.8,186.51,ABS,N/A,552.49,69833,Multifamily Housing,1,2007516
1013057501,569,LEXINGTON AVENUE,MANHATTAN,10022,Yes,7140,87.6,201.6,,Manual,57,2928.08,389683,Hotel,1,1036458
1013060001,345,PARK AVENUE,MANHATTAN,10022,Yes,78,146,324.7,18.64,Manual,38,23290.46,1842494,Office,1,1036460
1013060042,154,EAST   52 STREET,MANHATTAN,10022,Yes,389,93.7,284.1,25.27,Manual,43,2557,297836,Office,1,1036463
1013070001,375,PARK AVENUE,MANHATTAN,10022,Yes,752,220.7,550.3,,Manual,3,15431.2,795168,Office,1,1036465
1013070014,600,LEXINGTON AVENUE,MANHATTAN,10022,Yes,3882,63.3,192.6,,Manual,87,1720.1,296588,Office,1,1036466
1013070023,599,LEXINGTON AVENUE,MANHATTAN,10022,Yes,61,77.1,253.8,21.74,Manual,66,7542.52,1042298,Office,1,1036467
1013070029,155,EAST   52 STREET,MANHATTAN,10022,Yes,9235,90.1,142.3,,Manual,N/A,463.73,66386,Multifamily Housing,1,1036468
1013077501,866,   3 AVENUE,MANHATTAN,10022,Yes,3199,,,,Manual,N/A,,458682,Other,1,1036469
1013077501,866,   3 AVENUE,MANHATTAN,10022,Yes,12744,45.2,145.9,,Manual,78,908.28,214000,Hotel,1,"BIN 1036469

Block 1307  Lot 7501

NYC 1-01307-7501"
1013080033,880,   3 AVENUE,MANHATTAN,10022,Yes,190,123.5,258,,Manual,34,1506.91,142235,Office,1,1036473
1013087501,884,   3 AVENUE,MANHATTAN,10022,Yes,234,135.2,296.4,,Manual,51,20311.25,1750740,Office,1,1036474
1013087502,399,PARK AVENUE,MANHATTAN,10022,Yes,200,93.4,273.9,16.25,Manual,67,14421.77,1711084,Office,1,1071457
1013090001,405,PARK AVENUE,MANHATTAN,10022,Yes,22,68.4,172.1,6.81,Manual,73,2981.61,164726,Office,1,1036476
1013090008,125,EAST   54 STREET,MANHATTAN,10022,Yes,5042,143.9,261,,Manual,N/A,613.08,56073,Multifamily Housing,1,1036480
1013090023,641,LEXINGTON AVENUE,MANHATTAN,10022,Yes,87,132.1,276.1,11.72,Manual,51,4814.39,429866,Office,1,1036482
1013090032,900,   3 AVENUE,MANHATTAN,10022,Yes,120,58.8,176.5,9.8,Manual,83,3189.13,592677,Office,1,1-01309-0032
4015057501,    40-35,ITHACA STREET,QUEENS,11373,Yes,9978,138.5,171.3,186.76,ABS,N/A,431.81,54485,Multifamily Housing,1,4037178
4021510101,    65-05,YELLOWSTONE BLVD,QUEENS,11375,Yes,7249,93.1,146.4,186.81,ABS,N/A,196.3,34785,Multifamily Housing,4,4432069
1013090069,417,PARK AVENUE,MANHATTAN,10022,Yes,2506,70.2,119.9,0,Manual,N/A,588.2,100247,Multifamily Housing,1,1036494
1013097502,135,EAST   54 STREET,MANHATTAN,10022,Yes,9177,140.8,243.8,6.92,Manual,N/A,1504.48,135928,Multifamily Housing,1,1071461
2027350011,926,SOUTHERN BOULEVARD,BRONX,10459,Yes,5823,118.1,157.8,187.34,ABS,N/A,450.36,50674,Multifamily Housing,1,2005883
1013100012,127,EAST   55 STREET,MANHATTAN,10022,Yes,3454,76.1,227.8,38.15,Manual,3,522.02,76190,Hotel,1,
2042850016,2041,HOLLAND AVENUE,BRONX,10462,Yes,2007,85.2,108.4,187.88,ABS,N/A,1096.95,216875,Multifamily Housing,1,2048779
1013100059,136,EAST   56 STREET,MANHATTAN,10022,Yes,2686,77.7,150.4,,Manual,N/A,1222.42,187972,Multifamily Housing,1,1036528
1013100063,126,EAST   56 STREET,MANHATTAN,10022,Yes,11649,57.5,195.6,,Manual,71,1008.33,186913,Office,1,1081163
1013100065,120,EAST   56 STREET,MANHATTAN,10022,Yes,9368,76.8,195,,Manual,79,556.5,87639,Office,1,1036530
1013107501,141,EAST   55 STREET,MANHATTAN,10022,Yes,10038,129.5,219.9,158.45,Manual,N/A,715.85,68472,Multifamily Housing,1,1036534
4108260006,   195-44,SAGAMORE AVENUE,QUEENS,11423,Yes,1265,169.8,271.5,188.04,ABS,100,1000.16,75600,Hospital (General Medical and Surgical),1,4231556
1007320036,433,   9 AVENUE,MANHATTAN,10001,Yes,4271,71.3,227,19,ABS,72,2429.06,366875,Office,1,1012860
1013110001,445,PARK AVENUE,MANHATTAN,10022,Yes,1462,110,277.2,,Manual,67,3129.38,323869,Office,1,1081164
1013110005,109,EAST   56 STREET,MANHATTAN,10022,No Record as of 08/1/13,,,,,,,,,,1,
1013110028,141,EAST   56 STREET,MANHATTAN,10022,Yes,7702,63.1,108.8,10.49,Manual,N/A,607.51,115766,Multifamily Housing,1,1036877
1013110033,165,EAST   56 STREET,MANHATTAN,10022,Yes,379,60.9,166.9,0,Manual,82,381.69,69598,Office,1,1036879
1013110045,150,EAST   57 STREET,MANHATTAN,10022,Yes,1900,85.7,204.9,,Manual,N/A,1047.32,158063,Multifamily Housing,1,1085779
1013110050,695,LEXINGTON AVENUE,MANHATTAN,10022,Yes,357,88.6,213,,Manual,74,622.86,81565,Office,1,1036888
1013110052,687,LEXINGTON AVENUE,MANHATTAN,10022,Yes,5623,111.1,269.1,,Manual,22,641.87,68308,Hotel,1,Fitzpatrick Manhattan Hotel
1013110058,690,LEXINGTON AVENUE,MANHATTAN,10022,Yes,12754,129.2,305.2,,Manual,18,1077.84,111084,Hotel,1,1036890
1013110065,110,EAST   57 STREET,MANHATTAN,10022,Yes,2454,70.4,149.3,0,Manual,N/A,964.56,161300,Multifamily Housing,1,1036897
1007940025,125,WEST   18 STREET,MANHATTAN,10011,Yes,12102,119.7,323.3,19.02,ABS,33,2386.47,228000,Office,1,1014717
1013120024,145,EAST   57 STREET,MANHATTAN,10022,Yes,408,71,178,9.5,Manual,85,428.4,68600,Office,1,Grubb & Ellis P2:10174
1013120028,153,EAST   57 STREET,MANHATTAN,10022,Yes,692,83.2,155.2,,Manual,N/A,959.31,135849,Multifamily Housing,1,1036911
1013120033,157,EAST   57 STREET,MANHATTAN,10022,Yes,1553,30.9,91.7,,Manual,N/A,437.17,159150,Multifamily Housing,1,1036912
1013120041,964,   3 AVENUE,MANHATTAN,10022,Yes,109,92.1,214,14.03,Manual,81,4567.49,573338,Office,1,1036915
1013120069,475,PARK AVENUE,MANHATTAN,10022,Yes,325,68.2,135.9,0,Manual,N/A,750.97,131573,Multifamily Housing,1,1036921
1008060006,151,WEST   30 STREET,MANHATTAN,10001,Yes,8599,37.3,85.5,19.03,ABS,98,271.99,85517,Office,1,1015157
1013127502,465,PARK AVENUE,MANHATTAN,10022,No Record as of 08/1/13,,,,,,,,,,1,
1013130001,485,PARK AVENUE,MANHATTAN,10022,Yes,2452,45.3,94.7,0,Manual,N/A,339.45,88547,Multifamily Housing,1,1037163
1013130004,499,PARK AVENUE,MANHATTAN,10022,Yes,17,92,282.3,25,Manual,49,2232.8,265091,Bank/Financial Institution,1,1037164
1013130014,722,LEXINGTON AVENUE,MANHATTAN,10022,Yes,2985,109.9,282.8,,Manual,22,1147.19,118146,Medical Office,1,1037166
1013137501,151,EAST   58 STREET,MANHATTAN,10022,Yes,54,151.2,452.6,31.83,Manual,N/A,20196.43,1465766,Office,2,1086160
1013137502,130,EAST   59 STREET,MANHATTAN,10022,Yes,134,53.8,162.8,18.89,Manual,92,1282.94,260719,Office,1,1087267
1013140015,222,EAST   41 STREET,MANHATTAN,10017,Yes,58,69.2,218.9,,Manual,81,2441.21,384607,Office,1,1087632
1013140021,747,   2 AVENUE,MANHATTAN,10017,Yes,7445,74.4,119.9,,Manual,N/A,2372.16,404293,Multifamily Housing,1,1037175
1013147501,235,EAST   40 STREET,MANHATTAN,10016,Yes,1600,97.5,188.9,,Manual,N/A,2243.11,278482,Multifamily Housing,1,1037178
1013147502,633,   3 AVENUE,MANHATTAN,10017,Yes,4823,109,257.8,28.37,Manual,67,9239.13,979730,Office,1,1037174
1005520026,37,WASHINGTON SQUARE W,MANHATTAN,10011,Yes,3784,63.5,76.2,19.05,ABS,N/A,613.05,120079,Multifamily Housing,1,1008877
1013150024,220,EAST   42 STREET,MANHATTAN,10017,Yes,3894,100.4,260.4,,Manual,73,9893.25,1114471,Office,1,1037546
1013150044,214,EAST   42 STREET,MANHATTAN,10017,No Record as of 08/1/13,,,,,,,,,,1,
1013160001,675,   3 AVENUE,MANHATTAN,10017,Yes,6,93.2,193.5,,Manual,67,6040.6,762051,Office,1,1037549; 1037550
3055380007,1638,  63 STREET,BROOKLYN,11204,Yes,9211,14.8,33.1,19.05,ABS,N/A,89.35,81000,Other,1,3133050
1008460071,105,   5 AVENUE,MANHATTAN,10003,Yes,10140,72.4,142.2,19.07,ABS,N/A,738.65,132017,Multifamily Housing,1,1016144
4021130034,    99-60,  64 AVENUE,QUEENS,11374,Yes,11255,59.7,75,19.07,ABS,N/A,650.73,134943,Multifamily Housing,1,4050818;4449615;4449616
1013167501,205,EAST   42 STREET,MANHATTAN,10017,No Record as of 08/1/13,,,,,,,,,,0,
1013170001,685,   3 AVENUE,MANHATTAN,10017,Yes,3442,50.1,133.9,10.68,Manual,N/A,2892.41,648853,Office,2,1037555
1013170007,209,EAST   43 STREET,MANHATTAN,10017,No Record as of 08/1/13,,,,,,,,,,1,
