Record Number,"NYC Borough, Block, and Lot (BBL)",Co-reported BBL Status,BBLs Co-reported,Reported NYC Building Identificaiton Numbers (BINs),Street Number,Street Name,Borough,Zip Code,DOF Benchmarking Submission Status,Site EUI(kBtu/ft2),Weather Normalized Site EUI(kBtu/ft2),Source EUI(kBtu/ft2),Weather Normalized Source EUI(kBtu/ft2),Municipally Supplied Potable Water - Indoor Intensity (gal/ft²),Automatic Water Benchmarking Eligible,Reported Water Method,ENERGY STAR Score,Total GHG Emissions(MtCO2e),Direct GHG Emissions(MtCO2e),Indirect GHG Emissions(MtCO2e),Reported Property Floor Area (Building(s)) (ft²),DOF Property Floor Area (Buildngs and Parking)(ft2),Primary Property Type - Self Selected,DOF Number of Buildings
4927,1021347502,,1-02134-7502,1063251,779,RIVERSIDE DRIVE,Manhattan,10032,Filed,81,80.4,109,108.4,Not Available,Yes,ABS,Not Available,678.2,563.70000000000005,114.5,111028,118809,Multifamily Housing,1
4918,1021340071,,1-02134-0071,1063252,790,RIVERSIDE DRIVE,Manhattan,10032,Filed,70,69.5,91.3,90.7,Not Available,No,None,Not Available,1869.3,1592,277.3,353175,326008,Multifamily Housing,1
4919,1021340090,,1-02134-0090,1063255,600,WEST  157 STREET,Manhattan,10032,Filed,97.9,97.4,128,127.5,144.41,Yes,ABS,Not Available,500.4,424.7,75.7,68463,64674,Multifamily Housing,1
4920,1021340095,,1-02134-0095,1063256,3761,BROADWAY,Manhattan,10032,Filed,92.7,91.8,122.9,121.9,45.84,Yes,ABS,Not Available,693.5,582.70000000000005,110.8,99540,70356,Multifamily Housing,1
4928,1021347503,,1-02134-7503,1063271,807,RIVERSIDE DRIVE,Manhattan,10032,Filed,105.3,102.6,140.80000000000001,137.9,Not Available,No,None,Not Available,486,406.3,79.7,60559,58230,Multifamily Housing,1
4921,1021340195,,1-02134-0195,1063275,800,RIVERSIDE DRIVE,Manhattan,10032,Filed,,Not Available,,Not Available,21.78,No,Manual,Not Available,,,,185000,167821,Multifamily Housing,1
4922,1021340199,,1-02134-0199,1063276,765,RIVERSIDE DRIVE,Manhattan,10032,Filed,114.7,Not Available,139.9,Not Available,Not Available,No,None,Not Available,1106.8,990.2,116.6,127060,127000,Multifamily Housing,1
562,1005350001,,1005350001,1078952,44,WEST    4 STREET,Manhattan,10012,Filed,0,0,0,0,Not Available,No,None,Not Available,0,0,0,213423,305900,College/University,1
4924,1021340250,,1-02134-0250,1063279,156-08,RIVERSIDE DRIVE WEST,Manhattan,10032,Filed,112.5,111.5,150.80000000000001,149.5,129.5,Yes,ABS,Not Available,611.9,510.9,101,71287,71287,Multifamily Housing,1
4932,1021357501,,1-02135-7501,1063288,835,RIVERSIDE DRIVE,Manhattan,10032,Filed,76.900000000000006,75.3,103.6,102,Not Available,No,None,Not Available,488.9,406.3,82.6,83356,78638,Multifamily Housing,1
5203,1021800427,,1021800427,1064450,802,WEST  190 STREET,Manhattan,10040,Filed,85.4,85.2,114.4,114.4,19.94,No,Manual,Not Available,506,422,84,78120,78120,Multifamily Housing,1
4929,1021350013,,1021350013,1063289,839,RIVERSIDE DRIVE,Manhattan,10032,Filed,131.1,130.5,166.6,166,87.03,Yes,ABS,Not Available,581.4,504.9,76.5,58764,58764,Multifamily Housing,1
4931,1021350020,,1021350020,1063291,853,RIVERSIDE DRIVE,Manhattan,10032,Filed,110.2,109.6,140.80000000000001,140.3,55.85,Yes,ABS,Not Available,580.79999999999995,502.1,78.7,70344,70344,Multifamily Housing,1
4933,1021360007,,1021360007,1063304,611,WEST  158 STREET,Manhattan,10032,Filed,89.1,88.6,115.3,114.8,Not Available,No,None,Not Available,273.39999999999998,227.2,46.2,54448,54448,Multifamily Housing,1
4963,1021367501,,1-02136-7501,1063305,812,RIVERSIDE DRIVE,Manhattan,10032,Filed,114.6,114.3,151,150.7,Not Available,No,None,Not Available,465.4,393.7,71.7,53296,51246,Multifamily Housing,1
4934,1021360013,,1021360013,1063306,820,RIVERSIDE DRIVE,Manhattan,10032,Filed,117.4,117.3,142.19999999999999,142,Not Available,Yes,None,Not Available,450.2,404.5,45.7,50910,50910,Multifamily Housing,1
4935,1021360020,,1-02136-0020,1063308,838,RIVERSIDE DRIVE,Manhattan,10032,Filed,59.3,59.3,82.1,82.1,Not Available,Yes,ABS,Not Available,250.3,202.8,47.5,56190,56190,Multifamily Housing,1
4936,1021360024,,1-02136-0024,1063309,860,RIVERSIDE DRIVE,Manhattan,10032,Filed,97.8,96.6,129.6,128.4,Not Available,No,None,Not Available,624.4,524.9,99.5,85014,85014,Multifamily Housing,1
4937,1021360036,,1-02136-0036,1063310,870,RIVERSIDE DRIVE,Manhattan,10032,Filed,26,26,46.8,46.8,Not Available,Yes,ABS,Not Available,123.3,66.400000000000006,56.9,74879,74879,Multifamily Housing,1
4938,1021360083,,1021360083,1063321,35,FT WASHINGTON AVENUE,Manhattan,10032,Filed,102.6,102.5,133.1,133,64.75,Yes,ABS,Not Available,404.5,345.7,58.8,52418,52428,Multifamily Housing,1
4939,1021360086,,1-02136-0086,1063322,47,FT WASHINGTON AVENUE,Manhattan,10032,Filed,83.4,82.9,113.5,112.8,Not Available,No,None,Not Available,394.6,324.5,70.099999999999994,63084,63084,Multifamily Housing,1
4940,1021360090,,1021360090,1063323,645,WEST  160 STREET,Manhattan,10032,Filed,110.9,110.8,144.5,144.3,Not Available,No,None,Not Available,526.9,448.6,78.3,63374,63384,Multifamily Housing,1
4941,1021360102,,1-02136-0102,1063325,665,WEST  160 STREET,Manhattan,10032,Filed,,Not Available,,Not Available,141.38,Yes,ABS,Not Available,,,,57550,53583,Multifamily Housing,1
4942,1021360106,,1-02136-0106,1063326,884,RIVERSIDE DRIVE,Manhattan,10032,Filed,109.3,109.2,137,136.9,Not Available,Yes,ABS,Not Available,628.9,552,76.900000000000006,75852,75852,Multifamily Housing,1
4943,1021360111,,1-02136-0111,1063327,      894,RIVERSIDE DRIVE     ,Manhattan,10032,Filed,24.8,24.7,54.3,54,Not Available,N/A,None,Not Available,132.5,46.5,86,78064,74064,Multifamily Housing,1
4944,1021360120,,1021360120,1063328,674,WEST  161 STREET,Manhattan,10032,Filed,122.7,122.6,160.80000000000001,160.4,Not Available,No,None,Not Available,487.9,413.7,74.2,52940,52950,Multifamily Housing,1
4945,1021360124,,1-02136-0124,1063329,664,WEST  161 STREET,Manhattan,10032,Filed,126.3,125.5,196,195.2,94.87,Yes,ABS,Not Available,510.2,372.1,138.1,52950,52950,Multifamily Housing,1
