Record Number,"NYC Borough, Block, and Lot (BBL)",Co-reported BBL Status,BBLs Co-reported,Reported NYC Building Identification Numbers (BINs),Street Number,Street Name,Borough,Zip Code,BBL on the Covered Buildings List,DOF Benchmarking Submission Status,Site EUI(kBtu/ft2),Weather Normalized Site EUI(kBtu/ft2),Source EUI(kBtu/ft2),Weather Normalized Source EUI(kBtu/ft2),Municipally Supplied Potable Water - Indoor Intensity (gal/ft²),Automatic Water Benchmarking Eligible,Reported Water Method,ENERGY STAR Score,Total GHG Emissions(MtCO2e),Direct GHG Emissions(MtCO2e),Indirect GHG Emissions(MtCO2e),Reported Property Floor Area (Building(s)) (ft²),DOF Property Floor Area (Buildngs and Parking)(ft2),Primary Property Type - Self Selected,DOF Number of Buildings
2540632,3012280060,,,3031048,925,PROSPECT PLACE      ,BROOKLYN            ,11213,Yes,In Compliance ,55.9,Not Available,77.2,Not Available,35.49,No,Manual,94,379.4,293,86.4,117390,86804,Multifamily Housing,1
2543889,1008217501,,,1076145,40,WEST   20 STREET    ,MANHATTAN,10011,Yes,In Compliance ,80.7,77.3,182,178.3,Not Available,No,None,Not Available,776.4,272.3,504.1,130000,95316,Office,1
2543952,1012020036,,,1031514,285,CENTRAL PARK WEST   ,MANHATTAN,10024,Yes,In Compliance ,69.9,Not Available,108.5,Not Available,Not Available,No,None,92,748.6,501.4,247.2,177679,177679,Multifamily Housing,1
2544622,1008400071,,,1016014,42,WEST   39 STREET    ,MANHATTAN,10018,Yes,In Compliance ,83.6,Not Available,177.4,Not Available,Not Available,No,None,74,1113.9,505.5,608.4,168103,157748,Office,1
2545989,1007630024,,,1013683,315,WEST   39 STREET    ,MANHATTAN,10018,Yes,In Compliance ,77.9,72.4,131.6,125.9,15.18,Yes,ABS,86,875.8,562.7,313.1,153821,132684,Office,1
2546264,1015090020,,,1047510,151,EAST   80 STREET    ,MANHATTAN,10075,Yes,In Compliance ,83.8,79.9,138.2,134.1,Not Available,Yes,None,52,304.6,189.3,115.3,57666,57666,Multifamily Housing,1
2546297,1021360210,,,1063343,920,RIVERSIDE DRIVE     ,MANHATTAN,10032,Yes,In Compliance ,81.5,77.5,110.5,106.2,Not Available,Yes,None,87,393.2,310.3,82.9,83952,85303,Multifamily Housing,1
2546299,1020970040,,,1062451,618,WEST  151 STREET    ,MANHATTAN,10031,Yes,In Compliance ,88.3,85,120.3,116.8,Not Available,No,None,95,339.9,269.9,70,62604,62604,Multifamily Housing,1
2546474,1015030059,,,1083912,20,EAST   92 STREET    ,MANHATTAN,10128,Yes,In Compliance ,78.1,Not Available,166.4,Not Available,Not Available,Yes,None,38,454.8,170.1,284.7,85000,108810,K-12 School,1
2546550,1010480020,,,1082494,315,WEST   57 STREET    ,MANHATTAN,10019,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,No,None,Not Available,Not Available,1594.2,Not Available,392966,396834,Multifamily Housing,1
2546572,1016030001,,,1051459,1160,   5 AVENUE         ,MANHATTAN,10029,Yes,In Compliance ,82.6,Not Available,134.3,Not Available,Not Available,No,None,64,554.2,363.6,190.7,99232,88349,Multifamily Housing,1
2547242,1014920049,,,1046638,1067,MADISON AVENUE      ,MANHATTAN,10028,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,None,Not Available,Not Available,Not Available,Not Available,53880,60858,Multifamily Housing,1
2549281,1011670055,,,1030845,242,WEST   76 STREET    ,MANHATTAN,10023,Yes,In Compliance ,84.5,83.3,192.6,189.7,64.71,No,Manual,22,486.9,150.8,336.1,81560,81560,Hotel,1
2549986,1010670044,,,1026893,432,WEST   58 STREET    ,MANHATTAN,10019,Yes,In Compliance ,360.2,348.8,572.6,558.2,Not Available,No,None,Not Available,2631.3,0,2631.3,104820,172000,Laboratory,1
2550071,1011510017,,,1030308,517,WEST   59 STREET    ,MANHATTAN,10019,Yes,In Compliance ,88.4,85.6,149.8,146.3,Not Available,Yes,None,65,2499.4,55.5,2443.8,402707,402707,Residence Hall/Dormitory,1
2550379,1021070014,,,1062488,930,ST NICHOLAS AVENUE  ,MANHATTAN,10032,Yes,In Compliance ,19,18.9,49.5,49.3,Not Available,No,None,100,75.2,13.5,61.6,52550,52542,Multifamily Housing,1
2550559,1000880010,,,1001237,30,VESEY STREET        ,MANHATTAN,10007,Yes,In Compliance ,40798.6,37121.9,49164.4,44741,7.69,No,Manual,1,208644.5,0,208644.5,77000,71959,Office,1
2550638,2033200013,,,2017613,26,BEDFORD PARK BLVD   ,BRONX               ,10468,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,No,None,Not Available,Not Available,Not Available,Not Available,69604,81700,Multifamily Housing,1
2550664,1013960071,,,1042010,553,PARK AVENUE         ,MANHATTAN,10065,Yes,In Compliance ,91.2,87,155.3,151.2,65,Yes,ABS,27,544.3,318.2,226.1,95603,95603,Multifamily Housing,1
2551614,2024470001,,,2002499,1010,SHERMAN AVENUE      ,BRONX               ,10456,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,None,Not Available,Not Available,Not Available,Not Available,80000,80009,Multifamily Housing,1
2551968,2025040036,,,2003035,941,JEROME AVENUE       ,BRONX               ,10452,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,No,None,Not Available,Not Available,Not Available,Not Available,115000,114941,Multifamily Housing,1
2551979,2032560156,,,2015735,2865,KINGSBRIDGE TERRACE ,BRONX               ,10463,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,No,None,Not Available,Not Available,Not Available,Not Available,111300,111300,Multifamily Housing,1
2551982,2024640023,,,2002849,1235,GRAND CONCOURSE     ,BRONX               ,10452,Yes,In Compliance ,88.4,Not Available,141.6,Not Available,Not Available,No,None,67,696.8,485.9,210.9,104000,181700,Multifamily Housing,1
2552023,1022020009,,,1064502,416,WEST  206 STREET    ,MANHATTAN,10034,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,No,None,Not Available,Not Available,Not Available,Not Available,78000,77967,Multifamily Housing,1
2553898,1012337501,,,1033149,530,WEST END AVENUE     ,MANHATTAN,10024,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,None,Not Available,Not Available,Not Available,101.1,76807,80669,Multifamily Housing,1
2556738,4000170029,,,4538610,     4-12,  49 AVENUE         ,QUEENS,11101,Yes,In Compliance ,84,80.6,112.5,108.9,Not Available,Yes,None,69,354,282.9,71.1,73639,73640,Multifamily Housing,1
2557733,1014250001,,,1043920,1213,   3 AVENUE         ,MANHATTAN,10021,Yes,In Compliance ,366.3,347.7,428.7,409.4,Not Available,No,None,1,7211.2,6582.8,628.4,359055,265980,Multifamily Housing,1
2557741,1007490024,,,1083599,313,   8 AVENUE         ,MANHATTAN,10001,Yes,In Compliance ,108.4,Not Available,113,Not Available,Not Available,No,None,61,1280.9,1280.9,0,206470,233429,Multifamily Housing,2
2557964,3070490051,,,3828548,3121,SURF AVENUE         ,BROOKLYN            ,11224,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,41.55,Yes,ABS,Not Available,Not Available,Not Available,79.3,66755,66755,Multifamily Housing,1
2558304,1001760018,,,1001967,40,LEONARD STREET      ,MANHATTAN,10013,Yes,In Compliance ,42989.9,40996.4,51829.3,49431.5,0.15,No,Manual,1,799514.7,0,799514.7,280000,235000,K-12 School,1
2558329,1008650014,,,1017122,200,MADISON AVENUE      ,MANHATTAN,10016,Yes,In Compliance ,80.7,77.3,208.5,203.4,Not Available,No,None,73,4160,0,4160,659245,571618,Office,1
2558651,1000460001,,,1001023,2,WALL STREET         ,MANHATTAN,10005,Yes,In Compliance ,107.6,103.8,261.8,256.6,Not Available,No,None,51,1593.1,0,1593.1,192500,173159,Office,1
2558870,1007860051,,,1014445,498,   7 AVENUE         ,MANHATTAN,10018,Yes,In Compliance ,75.4,72.3,192.5,189.4,Not Available,No,None,78,5702.8,1462.3,4240.5,936037,842295,Office,1
2558902,2032330070,,,2015073,2175,CEDAR AVENUE        ,BRONX               ,10468,Yes,In Compliance ,88.7,84.2,122.4,117.8,Not Available,Yes,None,57,465,359.6,105.4,90650,90650,Multifamily Housing,1
2558903,2032330082,,,2090377,2121,CEDAR AVENUE        ,BRONX               ,10468,Yes,In Compliance ,111.8,109.2,144.7,141.8,Not Available,Yes,None,26,498.8,418.7,80.1,70400,70400,Multifamily Housing,1
2558912,2032330090,,,2086829,2101,CEDAR AVENUE        ,BRONX               ,10468,Yes,In Compliance ,70.3,Not Available,100.2,Not Available,Not Available,Yes,None,78,301.1,226.5,74.6,70400,70400,Multifamily Housing,1
2558914,2028230046,,,2007862,1700,GRAND CONCOURSE     ,BRONX               ,10457,Yes,In Compliance ,83.4,80.2,132.3,129.1,Not Available,No,None,60,754.5,490.1,264.3,148896,154656,Multifamily Housing,1
2558922,2032300016,,,2015048,1981,SEDGWICK AVENUE     ,BRONX               ,10453,Yes,In Compliance ,77.7,75.2,88.9,86.2,Not Available,No,None,97,835.6,778.1,57.5,185000,202600,Multifamily Housing,1
2558930,2025110022,,,2098788,939,WOODYCREST AVENUE   ,BRONX               ,10452,Yes,In Compliance ,79.3,74.8,98.8,94.3,Not Available,No,None,80,1178.6,1036.3,142.3,196432,196432,Multifamily Housing,2
2558942,2024540019,,,2002706,930,SHERIDAN AVENUE     ,BRONX               ,10451,Yes,In Compliance ,113.2,113.2,156.7,156.7,Not Available,No,None,37,453.2,351.4,101.8,67144,69144,Multifamily Housing,1
2558974,2032190055,,,2014757,2400,WEBB AVENUE         ,BRONX               ,10468,Yes,In Compliance ,82.6,76.9,123.9,117.6,Not Available,No,None,70,388.5,271.9,116.6,79000,82200,Multifamily Housing,1
2558998,4157800100,,,4436113;4440807;4436112;4440804;4440806;4440805,    20-28,SEAGIRT BOULEVARD   ,QUEENS,11691,Yes,In Compliance ,4.1,Not Available,12.9,Not Available,Not Available,Yes,None,100,75.1,0,75.1,220201,242770,Multifamily Housing,6
2559037,4157800020,,,4440246;44440247;4440248;4440249;4440250;4440251;4440253,    20-20,SEAGIRT BOULEVARD   ,QUEENS,11691,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,None,Not Available,Not Available,Not Available,66.8,250648,473690,Multifamily Housing,13
2559043,4158150220,,,4436085;4436086,    20-55,SEAGIRT BOULEVARD   ,QUEENS,11691,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,None,Not Available,Not Available,Not Available,53.8,215056,322584,Multifamily Housing,3
2559046,4158100071,,,4440813,    20-33,SEAGIRT BOULEVARD   ,QUEENS,11691,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,None,Not Available,Not Available,Not Available,38,143441,143441,Multifamily Housing,4
2559047,4158100001,,,4436092;4440811;44408010;4436091;4436092;4440808;4440809,    20-21,SEAGIRT BOULEVARD   ,QUEENS,11691,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,None,Not Available,Not Available,Not Available,53.3,215700,252700,Multifamily Housing,6
2559051,4158150071,,,4534406,162,BEACH   24 STREET   ,QUEENS,11691,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,None,Not Available,Not Available,32.9,Not Available,94032,94032,Multifamily Housing,1
2559260,1010630035,,,1026769,404,WEST   54 STREET    ,MANHATTAN,10019,Yes,In Compliance ,80.8,78.4,123.8,121.3,70.06,No,Manual,65,388.5,264.6,123.9,80154,80154,Multifamily Housing,1
2559283,2039240007,,,2028701,1574,BEACH AVENUE        ,BRONX               ,10460,Yes,In Compliance ,71.2,71.2,97.3,97.3,Not Available,Yes,None,98,431.1,337.2,93.9,105000,104500,Multifamily Housing,1
2559288,2025990146,,,2804750,825,EAST  141 STREET    ,BRONX               ,10454,Yes,In Compliance ,13.7,12.7,20.5,19.4,0.8,Yes,ABS,92,191.8,134.8,57.1,235584,235000,Non-Refrigerated Warehouse,1
2559536,1012817501,,,1086068,360,MADISON AVENUE      ,MANHATTAN,10017,Yes,In Compliance ,98.5,96,261.5,258.4,Not Available,No,None,49,2680.5,0,2680.5,345360,356057,Office,1
2560258,1009220002,,,1081661;1020418;1020428,1,N D PERLMAN PLACE   ,MANHATTAN,10003,Yes,In Compliance ,236.2,229.9,463.8,457.4,Not Available,No,None,58,15364.9,2743.9,12621,927982,115838,Hospital (General Medical & Surgical),1
2560548,1008510035,,,1016286,286,PARK AVENUE SOUTH   ,MANHATTAN,10010,Yes,In Compliance ,91.8,89.8,210,208.7,Not Available,No,None,63,1352.7,509.5,843.2,184600,168200,Office,1
2560562,1006040033,,,1010421,154,CHRISTOPHER STREET  ,MANHATTAN,10014,Yes,In Compliance ,64.2,61.6,141.6,138.1,Not Available,No,None,65,2960.7,1050.2,1910.5,647567,553000,Multifamily Housing,1
2560563,1006410017,,,1084803,100,JANE STREET         ,MANHATTAN,10014,Yes,In Compliance ,87.7,84.6,149,145.7,Not Available,No,None,37,676.3,397,279.3,123646,123646,Multifamily Housing,1
2560572,1006420004,,,1012126,114,HORATIO STREET      ,MANHATTAN,10014,Yes,In Compliance ,63.2,60.9,88.2,85.8,Not Available,No,None,91,408.3,311.9,96.5,111280,85030,Multifamily Housing,1
2560610,1010620019,,,1075636,410,WEST   53 STREET    ,MANHATTAN,10019,Yes,In Compliance ,99.7,96.8,165.9,162.7,Not Available,Yes,None,26,1280.4,858.3,422.1,166518,166518,Multifamily Housing,1
2560615,1000160210,,,1085486,399,CHAMBERS STREET     ,MANHATTAN,10282,Yes,In Compliance ,77.5,71,132.1,125.1,Not Available,Yes,None,Not Available,1843.7,1115.5,728.2,357975,357000,Multifamily Housing,1
2560626,4000210060,,,4534604,    47-05,CENTER BOULEVARD    ,QUEENS,11109,Yes,In Compliance ,97.8,93.1,185.4,180.2,Not Available,No,None,28,3289,1626.8,1662.1,504682,466002,Multifamily Housing,1
2560647,1000750001,,,1001163,127,JOHN STREET         ,MANHATTAN,10038,Yes,In Compliance ,73.3,71.3,154,150.9,Not Available,Yes,None,30,2701.3,1046.6,1654.8,541000,541000,Multifamily Housing,1
2561008,2023720041,,,2098317,3463,   3 AVENUE         ,BRONX               ,10456,Yes,In Compliance ,69.5,66,113.8,109.4,0,No,Manual,65,618.4,383.7,234.7,144730,144730,Multifamily Housing,1
2561079,2029750013,,,2103548,1238,SIMPSON STREET      ,BRONX               ,10459,Yes,In Compliance ,114.6,109.8,159.8,154.7,87.02,Yes,ABS,45,452.2,345.9,106.4,67986,67986,Multifamily Housing,1
2561172,3070520014,,,3322028,2914,WEST   28 STREET    ,BROOKLYN            ,11224,Yes,In Compliance ,97.6,94.5,232.3,223.6,Not Available,No,None,3,1055.2,282.8,772.4,149955,149954,Multifamily Housing,3
2561799,1015180061,,,1048134,114,EAST   90 STREET    ,MANHATTAN,10128,Yes,In Compliance ,91.1,Not Available,130.3,Not Available,Not Available,No,None,68,380.3,298.5,81.8,54997,54997,Multifamily Housing,1
2586392,1008110001,,,1015222,463,   7 AVENUE         ,MANHATTAN,10018,Yes,In Compliance ,66.3,Not Available,162.1,Not Available,Not Available,No,None,83,2481.5,758.7,1722.9,465150,408511,Office,2
2561904,2028700020,,,2008630,2020,GRAND AVENUE        ,BRONX               ,10453,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,No,None,Not Available,Not Available,Not Available,73,72000,50400,Multifamily Housing,1
2561916,3000277501,,,3346104,1,MAIN STREET         ,BROOKLYN            ,11201,Yes,In Compliance ,95,95.1,143.7,144,Not Available,No,None,11,1588.9,1108.3,480.6,274516,241434,Multifamily Housing,1
2817500,1008360035,,,1015877,358,   5 AVENUE         ,MANHATTAN,10001,Yes,In Compliance ,99.2,94.2,243,238.4,20.41,Yes,Manual,80,793.8,240.7,553,99458,135570,Office,1
2561951,2024210036,,,2001939,3203,PARK AVENUE         ,BRONX               ,10451,Yes,In Compliance ,126.4,123.3,178.1,174.6,Not Available,Yes,None,Not Available,704.9,536.5,168.4,92625,86725,Multifamily Housing,1
2562042,1000880005,,,1001235,20,VESEY STREET        ,MANHATTAN,10007,Yes,In Compliance ,87.8,Not Available,175.1,Not Available,Not Available,Yes,None,76,665.4,341.9,323.5,96154,80298,Office,1
2562061,2031540040,,,2013613,2527,VALENTINE AVENUE    ,BRONX               ,10458,Yes,In Compliance ,132.6,127.6,170.9,165.3,119.5,Yes,ABS,64,544.3,466.4,77.9,54576,51285,Multifamily Housing,1
2562104,5022500370,,,Not Available,140,MEISNER AVENUE      ,STATEN ISLAND       ,10306,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,No,None,Not Available,Not Available,Not Available,911.1,211000,185000,Senior Care Community,1
2562147,2033420001,,,2018125,3164,BAINBRIDGE AVENUE   ,BRONX               ,10467,Yes,In Compliance ,89.3,85.8,108.9,105.3,Not Available,No,None,Not Available,449.3,401,48.3,66515,71000,Multifamily Housing,1
2562244,2028690009,,,2008585,1820,HARRISON AVENUE     ,BRONX               ,10453,Yes,In Compliance ,73.9,71.3,106.4,103.9,Not Available,No,None,98,447.2,348.2,99,80840,68874,Multifamily Housing,1
2562613,1012730012,,,1035066,37,WEST   57 STREET    ,MANHATTAN,10019,Yes,In Compliance ,67.6,64.2,164.7,161.2,Not Available,No,None,70,413.2,0,413.2,79474,69649,Office,1
2562923,2032100080,,,2014572,2114,AQUEDUCT AVENUE EAST,BRONX               ,10453,Yes,In Compliance ,127.7,119.8,170,162.1,3.55,Yes,ABS,59,593.9,496.2,97.7,61554,50890,Multifamily Housing,1
2562930,2025320043,,,2003542,1307,MERRIAM AVENUE      ,BRONX               ,10452,Yes,In Compliance ,97.4,93.5,125.6,121.6,Not Available,No,None,90,597.8,511.9,85.9,81837,77000,Multifamily Housing,1
2562937,2028080051,,,2007688,1955,GRAND CONCOURSE     ,BRONX               ,10453,Yes,In Compliance ,108.9,105.5,141.9,138.4,Not Available,No,None,83,431.4,356.7,74.7,67350,59800,Multifamily Housing,1
2562986,1009400012,,,1021900,321,EAST   34 STREET    ,MANHATTAN,10016,Yes,In Compliance ,118.9,Not Available,281.8,Not Available,Not Available,No,None,77,1094.7,354,740.7,117900,105572,Medical Office,1
2563004,2024570040,,,2002774,1268,GRAND CONCOURSE     ,BRONX               ,10456,Yes,In Compliance ,94.2,90.7,136,132.6,Not Available,No,None,Not Available,396.1,308.4,87.7,55284,53934,Multifamily Housing,1
2563011,2028310036,,,2007979,1350,GRAND CONCOURSE     ,BRONX               ,10456,Yes,In Compliance ,100.7,96.7,133.8,129.8,124.84,Yes,ABS,90,386.6,322.6,64.1,51528,50800,Multifamily Housing,1
2563021,2028770211,,,2008874,1480,POPHAM AVENUE       ,BRONX               ,10453,Yes,In Compliance ,84,80.5,119.9,116.3,Not Available,No,None,92,456.8,358.9,97.9,72372,60480,Multifamily Housing,1
2563039,2030370025,,,2011294,2115,WASHINGTON AVENUE   ,BRONX               ,10457,Yes,In Compliance ,141.1,135.2,182.1,175.7,172.36,Yes,ABS,Not Available,875.4,746.5,128.9,85550,84300,Multifamily Housing,1
2563051,2033430180,,,2018213,282,EAST GUN HILL ROAD  ,BRONX               ,10467,Yes,In Compliance ,113.6,Not Available,163.1,Not Available,Not Available,No,None,Not Available,346.5,257.2,89.4,51265,55000,Multifamily Housing,1
2563063,2028750039,,,2008784,1522,UNIVERSITY AVENUE   ,BRONX               ,10452,Yes,In Compliance ,98.7,96.4,132.8,130.6,Not Available,No,None,91,331.2,264.1,67.1,57750,55000,Multifamily Housing,1
2563179,1008190010,,,1015409,47,WEST   17 STREET    ,MANHATTAN,10011,Yes,In Compliance ,58.1,Not Available,131.3,Not Available,Not Available,Yes,None,84,890.7,329.3,561.4,199086,179186,Office,1
2563226,5022500250,,,Not Available,110,MEISNER AVENUE      ,STATEN ISLAND       ,10306,Yes,In Compliance ,99.2,97.4,170.2,168.4,39.78,No,Manual,77,334.4,193.3,141.1,53856,53856,Senior Care Community,1
2563301,3016730001,,,Not Available,239,PATCHEN AVENUE      ,BROOKLYN            ,11233,Yes,In Compliance ,63.5,61.1,128.4,126.3,Not Available,Yes,None,Not Available,382.9,162.4,220.5,90000,89457,K-12 School,1
2563453,1008250012,,,1080679; 1080678; 1080677,49,WEST   23 STREET    ,MANHATTAN,10010,Yes,In Compliance ,59,Not Available,144.7,Not Available,Not Available,No,None,87,1301.5,393.3,908.3,274116,274116,Office,3
2563484,1008800014,,,1018069,121,EAST   24 STREET    ,MANHATTAN,10010,Yes,In Compliance ,64.7,Not Available,128.4,Not Available,Not Available,Yes,None,82,322.6,167.3,155.3,63270,58744,Office,1
2563502,1008560009,,,1016876,11,EAST   26 STREET    ,MANHATTAN,10010,Yes,In Compliance ,59.5,Not Available,132.4,Not Available,Not Available,No,None,88,1201.5,487,714.5,253623,217991,Office,1
2563563,1008340049,,,1083631,4,WEST   33 STREET    ,MANHATTAN,10001,Yes,In Compliance ,64.1,63.3,165.2,164.9,Not Available,No,None,78,1834.8,349.8,1485,382200,319200,Office,1
2563587,1005110015,,,1007945,598,BROADWAY            ,MANHATTAN,10012,Yes,In Compliance ,72.6,Not Available,174.7,Not Available,Not Available,No,None,Not Available,454.1,144,310.1,78616,64120,Office,1
2563600,1008340022,,,1015846,29,WEST   32 STREET    ,MANHATTAN,10001,Yes,In Compliance ,76.4,Not Available,183.8,Not Available,Not Available,No,None,72,1124.6,290,834.6,203096,206388,Office,1
2563626,5000050057,,,5000026,33,CENTRAL AVENUE      ,STATEN ISLAND       ,10301,Yes,In Compliance ,60.9,59.7,81.6,80.2,37.61,Yes,ABS,96,275.1,221.6,53.5,75000,78300,Multifamily Housing,1
2564478,1019237501,,,1058390,257,WEST  117 STREET    ,MANHATTAN,10026,Yes,In Compliance ,36.1,36.2,76.5,76.7,22.99,Yes,ABS,88,246.6,93.8,152.8,99886,87400,Multifamily Housing,1
2564600,4000307501,,,4536962,     5-09,  48 AVENUE         ,QUEENS,11101,Yes,In Compliance ,52.3,50.4,101.4,98.6,Not Available,No,None,78,535.3,248.1,287.2,155680,136220,Multifamily Housing,1
2564620,1008197502,,,1015407,63,WEST   17 STREET    ,MANHATTAN,10011,Yes,In Compliance ,89.8,87.5,165.6,163.2,Not Available,Yes,None,Not Available,452,230.9,221.1,78121,74713,Multifamily Housing,1
2564633,1014920069,,,1046650,995,   5 AVENUE         ,MANHATTAN,10028,Yes,In Compliance ,68.4,66.7,159.3,157.6,Not Available,No,None,9,779.5,40.5,739,151627,142708,Multifamily Housing,1
2564636,1005597501,,,1087620,108,   3 AVENUE         ,MANHATTAN,10003,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,No,None,Not Available,Not Available,2.5,Not Available,115160,105525,Multifamily Housing,1
2564688,1013797504,,,1041101,838,   5 AVENUE         ,MANHATTAN,10065,Yes,In Compliance ,99.8,98.5,230.6,229.4,Not Available,No,None,Not Available,474,8.3,465.7,62857,71707,Multifamily Housing,1
2564691,1013500020,,,1040003,345,EAST   57 STREET    ,MANHATTAN,10022,Yes,In Compliance ,74.7,65.6,104.2,95.1,Not Available,No,None,84,499.9,396.6,103.3,94933,89349,Multifamily Housing,1
2564710,1014977501,,,1046842,1049,   5 AVENUE         ,MANHATTAN,10028,Yes,In Compliance ,41.2,41.2,128.3,128.3,Not Available,No,None,53,3158.9,4.6,3154.3,167707,160719,Multifamily Housing,1
2564712,1010187502,,,1024736,247,WEST   46 STREET    ,MANHATTAN,10036,Yes,In Compliance ,69.7,67,141.8,138.5,Not Available,No,None,Not Available,1466.5,614.4,852.1,313240,324126,Multifamily Housing,1
2564772,1013307501,,,1038595,212,EAST   57 STREET    ,MANHATTAN,10022,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,No,None,Not Available,Not Available,Not Available,Not Available,78424,75623,Multifamily Housing,1
2564792,1004747506,,,1087559,40,MERCER STREET       ,MANHATTAN,10013,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,19.43,Yes,ABS,Not Available,Not Available,Not Available,Not Available,169614,153500,Multifamily Housing,1
2565216,1008380076,,,1015952,48,WEST   37 STREET    ,MANHATTAN,10018,Yes,In Compliance ,65.5,Not Available,151.8,Not Available,Not Available,No,None,84,846.1,307.3,538.8,161519,130625,Office,1
2565227,1008120069,,,1015249,148,WEST   37 STREET    ,MANHATTAN,10018,Yes,In Compliance ,49.3,Not Available,104.4,Not Available,Not Available,No,None,94,398.4,180.4,218,102562,93846,Office,1
2586171,1008150039,,,1080614; 1080613,110,WEST   40 STREET    ,MANHATTAN,10018,Yes,In Compliance ,71.9,Not Available,148.4,Not Available,Not Available,No,None,84,779,375,404,136974,129808,Office,1
2586202,1008670001,,,1017191,411,   5 AVENUE         ,MANHATTAN,10016,Yes,In Compliance ,71.4,68.9,170.5,168.4,Not Available,Yes,None,72,721.3,239.6,481.7,125858,116598,Office,1
2586293,1009930036,,,1022566,1071,AVENUE OF THE AMER  ,MANHATTAN,10018,Yes,In Compliance ,64.6,64.8,164.2,164.9,Not Available,Yes,None,78,972,253.7,718.2,186371,174028,Office,1
2586400,1008260046,,,1015604,1115,BROADWAY            ,MANHATTAN,10010,Yes,In Compliance ,61.7,Not Available,157.2,Not Available,Not Available,Yes,None,78,1514.5,376.2,1138.3,308313,313755,Office,1
2586431,1008370056,,,1015902,16,WEST   36 STREET    ,MANHATTAN,10018,Yes,In Compliance ,113.5,110.9,222.3,219.7,Not Available,No,None,49,498.8,252,246.8,59367,59367,Office,1
2587268,1007010001,,,1080333,302,  11 AVENUE         ,MANHATTAN,10001,Yes,In Compliance ,35.2,32.4,70.7,67.8,Not Available,Yes,None,Not Available,507.1,218.4,288.8,215814,213330,Self-Storage Facility,1
2587287,1006940047,,,1012336,524,WEST   23 STREET    ,MANHATTAN,10011,Yes,In Compliance ,45.7,42.3,81.3,77.7,Not Available,No,None,Not Available,382.6,208.3,174.2,131835,141934,Self-Storage Facility,1
2587389,1020010120,,,1059948,2341,  12 AVENUE         ,MANHATTAN,10027,Yes,In Compliance ,39,36.3,82.2,79.5,Not Available,Yes,None,Not Available,230.1,88.6,141.5,86453,86625,Self-Storage Facility,1
2587400,1020010001,,,1059941,2351,JOE DIMAGGIO HIGHWAY,MANHATTAN,10031,Yes,In Compliance ,45.1,41.7,80.4,76.8,Not Available,Yes,None,Not Available,242.7,131.9,110.8,84596,80742,Self-Storage Facility,1
2587434,1014560035,,,1045287,406,EAST   62 STREET    ,MANHATTAN,10065,Yes,In Compliance ,36.8,34.6,90.1,87.4,0.97,No,Manual,Not Available,519.7,125,394.7,193270,177920,Self-Storage Facility,1
2587536,1004430005,,,1006080,28,   2 AVENUE         ,MANHATTAN,10003,Yes,In Compliance ,36.5,33.7,69.5,66.3,Not Available,No,None,Not Available,131,62.9,68.1,55000,52497,Self-Storage Facility,1
2587540,1014100033,,,1043149,1308,   3 AVENUE         ,MANHATTAN,10021,Yes,In Compliance ,98.1,98.2,138,138.3,Not Available,No,None,48,966,13.7,952.3,145000,191549,Multifamily Housing,1
2587541,1002500001,,,1003205,220,SOUTH STREET        ,MANHATTAN,10002,Yes,In Compliance ,43.7,41.2,113,109.7,Not Available,No,None,Not Available,836.5,157.7,678.8,255084,274752,Self-Storage Facility,1
2587543,1018610040,,,1081588,108,WEST  107 STREET    ,MANHATTAN,10025,Yes,In Compliance ,29.1,27.5,73.3,71.3,Not Available,Yes,None,Not Available,245.7,52.6,193.1,113886,113886,Self-Storage Facility,1
2587548,1017040001,,,1081440,2138,   1 AVENUE         ,MANHATTAN,10029,Yes,In Compliance ,33.7,32,88.1,85.9,1.6,Yes,Manual,Not Available,564.6,99.2,465.4,222200,257400,Self-Storage Facility,1
