0,PLAYER,GAME_DATE,POSITION:1,POSITION:2,POSITION:3,POSITION:4,POSITION:5,DK Sal
14.8286628723,Al Jefferson,2017-03-24,0,0,0,0,1,3000.0
18.027879715,Nene,2017-03-24,0,0,0,0,1,4000.0
7.93669986725,Ramon Sessions,2017-03-24,1,0,0,0,0,3000.0
25.2177829742,Ivica Zubac,2017-03-24,0,0,0,0,1,5500.0
12.0150203705,Brandon Rush,2017-03-24,0,1,1,0,0,3200.0
9.51316165924,Glenn Robinson III,2017-03-24,0,1,1,0,0,3000.0
10.6141586304,Mike Muscala,2017-03-24,0,0,0,1,0,3000.0
9.71722412109,Shaun Livingston,2017-03-24,1,0,0,0,0,3400.0
13.440536499,Tarik Black,2017-03-24,0,0,0,0,1,3000.0
11.8313713074,Malcolm Delaney,2017-03-24,1,0,0,0,0,3000.0
12.1691761017,Jaylen Brown,2017-03-24,0,1,1,0,0,3300.0
26.3144397736,Willie Cauley-Stein,2017-03-24,0,0,0,1,1,5900.0
28.2674255371,Robin Lopez,2017-03-24,0,0,0,0,1,4200.0
24.902507782,Clint Capela,2017-03-24,0,0,0,0,1,5300.0
17.2876472473,Bismack Biyombo,2017-03-24,0,0,0,0,1,4500.0
21.5844364166,Andre Iguodala,2017-03-24,0,1,0,0,0,4600.0
20.9608249664,Cody Zeller,2017-03-24,0,0,0,0,1,4900.0
17.200170517,Tyson Chandler,2017-03-24,0,0,0,0,1,3000.0
22.246137619,Tristan Thompson,2017-03-24,0,0,0,0,1,4600.0
24.3432483673,Terrence Jones,2017-03-24,0,0,0,1,0,3000.0
25.1592197418,Trevor Booker,2017-03-24,0,0,0,1,1,4800.0
20.022064209,Jon Leuer,2017-03-24,0,0,0,1,1,4200.0
25.6677284241,Greg Monroe,2017-03-24,0,0,0,0,1,5000.0
23.1573200226,Mason Plumlee,2017-03-24,0,0,0,0,1,5700.0
21.7947235107,Kenneth Faried,2017-03-24,0,0,0,1,0,4700.0
21.8801288605,Michael Kidd-Gilchrist,2017-03-24,0,0,1,0,0,4600.0
27.8855762482,Gorgui Dieng,2017-03-24,0,0,0,1,1,5400.0
32.7136497498,Jrue Holiday,2017-03-24,1,1,0,0,0,6500.0
39.0738220215,Nicolas Batum,2017-03-24,0,1,1,0,0,6900.0
36.1970558167,Dwyane Wade,2017-03-24,0,1,0,0,0,4000.0
35.2801551819,Avery Bradley,2017-03-24,0,1,0,0,0,6500.0
30.048166275,Tobias Harris,2017-03-24,0,0,1,1,0,5900.0
29.9978981018,Wilson Chandler,2017-03-24,0,0,1,1,0,6500.0
19.829334259,Rudy Gay,2017-03-24,0,0,1,0,0,3000.0
31.4134597778,Dennis Schroder,2017-03-24,1,0,0,0,0,6800.0
27.4510478973,Brook Lopez,2017-03-24,0,0,0,0,1,6800.0
26.4406909943,Evan Fournier,2017-03-24,0,1,0,0,0,5500.0
21.3559837341,Zach LaVine,2017-03-24,0,1,0,0,0,3000.0
27.8577404022,Danilo Gallinari,2017-03-24,0,0,1,0,0,6000.0
29.8808403015,Devin Booker,2017-03-24,0,1,0,0,0,6900.0
40.1183547974,Paul Millsap,2017-03-24,0,0,0,1,1,7400.0
33.4811210632,Eric Bledsoe,2017-03-24,1,0,0,0,0,3000.0
20.9676570892,Jabari Parker,2017-03-24,0,0,0,1,0,3000.0
39.2063941956,Jeff Teague,2017-03-24,1,0,0,0,0,7300.0
7.28855705261,Boban Marjanovic,2017-03-24,0,0,0,0,1,3000.0
13.8143100739,Georgios Papagiannis,2017-03-24,0,0,0,0,1,3600.0
0.857329189777,Bobby Brown,2017-03-24,1,0,0,0,0,3000.0
