Building Name,Building Address,Postal Code,Floor Area,Property Type - Self Selected,2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2)
Golden Gate Theater,1 TAYLOR ST,94102,146793,Performing Arts,,1155.9,,1155.9,,,524.9,643.3,524.9,643.3,,1595.9,1936,1596,1936.2,,10.8,31.9,10.8,31.9,,6.2,17,6.2,17
251 Post Street,251 POST ST,94108,44573,Office,,,,,,79,41.6,124.3,41.2,123.9,99,17.3,51,17.3,51.1,99,18.6,53.4,18.6,53.4,99,20.2,51.2,20.2,51.2
2233 POST ST,2233 POST ST,94115,17155,,,,,,,,,,,,,,,,,,,,,,,,,,
476 GEARY ST,476 GEARY ST,94102,18720,Hotel,,,,,,,,,,,,,,,,81,74.4,142.6,77.8,145,82,75.5,142.6,77,144.2
352 OCEAN AVE,352 OCEAN AVE,94112,12402,,,,,,,,,,,,,,,,,,,,,,,,,,
One Bush Street,1 BUSH ST,94104,439099,Office,95,93,,89.4,,95,93.8,254,93.8,254,76,71.1,183.1,71.2,183.3,95,70.2,191,71.2,190.5,96,67.8,183.3,68.2,182.6
149 BLUXOME ST,149 BLUXOME ST,94107,23456,Office,,,,,,,,,,,,,,,,40,51.6,154.9,49.8,149.3,42,56.2,155.3,56.6,153.2
678 GREEN ST,678 GREEN ST,94133,16380,,,,,,,,,,,,,,,,,,,,,,,,,,
2174-Stonestown Medical Building,501 BUCKINGHAM WAY,94132,13300,Movie Theater,,,,,,,,,,,,,,,,,,,,,,88.3,138.8,95.1,145.9
1650 Owens Street,1650 Owens St,94107,200280,Laboratory,,209.2,,211.3,,,212,466.5,213.6,471.8,,248,511.6,244.7,510.6,,255.6,541.2,260.7,539.1,,254.5,538.3,256.3,536.4
50 Quint Street,50 QUINT ST,94124,89090,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",,9.5,,9.5,,,7.4,23.5,7.4,23.6,,,,,,,7.4,22,7.7,23.1,,10.5,31.8,10.5,31.8
121 CAPP ST,121 CAPP ST,94110,11752,,,,,,,,,,,,,,,,,,,,,,,,,,
1230 MARKET ST,1230 MARKET ST,94102,12846,,,,,,,,,,,,,,,,,,,,,,,,,,
DiMaggio Building,243 JEFFERSON ST,94133,17311,Restaurant,,,,,,,,,,,,308.4,598.7,309,599,,285.3,579.9,282.5,571.3,,250,466.8,250,466.8
1126 HOWARD ST,1126 HOWARD ST,94103,19833,Financial Office,,,,,,,,,,,,,,,,,,,,,95,28.8,90.4,29.5,92.7
244 California St.,244 CALIFORNIA ST,94111,33317,Office,,,,,,74,119.5,165.2,115.3,160.8,80,112.6,152.8,113.1,153.3,85,98.9,136.5,105.2,143,85,102.2,137.7,104.5,140.1
Jim Joseph Building,131 Steuart St,94105,79837,Office,,116.1,,118,,,77.2,193.6,78,196.2,,,,,,,68.8,172.7,67.4,168.2,,58.3,141.6,58.7,142.1
Valencia Street LLC,225 VALENCIA ST,94103,12080,,,,,,,,,,,,,,,,,,,,,,,,,,
425 Divisadero,1100 OAK ST,94117,30044,Office,,,,,,,,,,,38,121.9,191,121.9,191,34,118.6,183.3,118.6,183.3,47,106.8,165.5,106.8,165.5
715 HARRISON ST,715 HARRISON ST,94107,14349,Bar/Nightclub,,,,,,,,,,,,,,,,,100.1,171.6,99.6,170.2,,90.3,158.6,90,157.6
SF Design Center - Galleria,101 HENRY ADAMS ST,94103,294475,Enclosed Mall,71,32.8,,32.3,,75,31.7,97.5,31.6,97.5,,29.5,84.3,29.2,84,,27.2,78.1,27.7,78.5,,24.7,69.2,24.5,68.3
300 ALEMANY BLVD,300 ALEMANY BLVD,94110,14492,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams Sonoma - Davis Street,777 DAVIS ST,94111,26160,Office,,,,,,66,64,173.1,63,172.1,81,54.9,129.6,54.2,128.9,72,55.1,146,58.9,149.9,72,56.4,148.7,57.7,150.1
559 SUTTER ST,559 SUTTER ST,94102,17595,,,,,,,,,,,,87,22.8,63.7,22.6,63.5,84,21.4,62.6,22.3,63.6,,,,,
100 Spear Street,100 SPEAR ST,94105,231663,,90,55.4,,53.2,,90,54.9,127.3,54.3,126.7,94,45.4,106.1,45.3,105.7,88,60.7,140.2,60.7,140.2,,,,,
Nieman Marcus,150 Stockton St.,94108,253975,Retail Store,84,54.6,171.5,55.4,174.1,85,53,166.4,53.7,168.7,84,54.2,170.1,54.1,169.7,86,51.7,162.3,50.3,158,87,51,160.1,50.4,158.1
Inn at Union Square,440 POST ST,94102,19170,,,,,,,,,,,,,47.2,148.3,46.4,145.8,,40.6,127.3,43,134.9,,,,,
475 6TH ST,475 6TH ST,94107,14400,Distribution Center,,,,,,,,,,,,6.6,15.3,6.7,15.7,,6.6,16.1,6.6,16.1,,5.9,14.4,6.4,14.9
2030 HARRISON ST,2030 HARRISON ST,94110,26535,,,,,,,92,34.8,75.2,34.2,74.6,90,37.1,79.4,34.2,75.6,90,32.7,75.6,39.1,82.3,,,,,
340 PINE ST,340 PINE ST,94104,57000,Office,,,,,,,,,,,67,85.5,150.6,85.7,150.8,70,78.2,141.8,80.7,144.4,63,84.2,156.3,85.4,157.5
Royal Pacific Motor Inn,661 BROADWAY,94133,46479,Hotel,,,,,,38,96.2,186.6,95.7,184.8,60,70.9,154.7,71.1,155.4,68,66.2,141.5,67.3,147.6,66,66.6,145.1,67,147.6
111 TOWNSEND ST,111 TOWNSEND ST,94107,22500,Office,,,,,,,,,,,,,,,,,,,,,97,17.6,55.1,17.6,55.1
220 Sansome,200 SANSOME ST,94104,64104,Office,88,50.1,,45.5,,93,40,88.3,37.9,86.1,89,49.4,97.5,50.1,98.2,90,40.3,91.8,47.3,99.1,85,50.5,105.8,53.9,109.3
1900 VAN NESS AVE,1900 VAN NESS AVE,94109,18159,,,,,,,,,,,,,,,,,,,,,,,,,,
847 Sansome,847 SANSOME ST,94133,20784,Office,,,,,,,,,,,42,52.1,112.6,52.1,112.6,37,52.6,113.3,52.6,113.3,43,48,109.9,47.2,107.4
1398 BRYANT ST,1398 BRYANT ST,94103,18000,,,,,,,,,,,,,,,,,81,24.3,76.3,24.3,76.3,,,,,
71 WILLIAMS AVE,71 WILLIAMS AVE,94124,23470,,,,,,,,,,,,,,,,,,,,,,,,,,
217 Second Street,217 2ND ST,94105,22687,Office,,,,,,,,,,,77,43.5,114.8,43.6,114.9,63,48.3,136,49.8,137.6,73,44.1,120.8,43.8,118.7
735 7th Ave,735 7TH AVE,94118,27723,Supermarket/Grocery Store,,,,,,37,291.5,675.6,299.6,700.9,18,399,780.3,399,780.3,19,354.6,747,369.3,754.6,31,291.1,685.7,289.8,681.6
245 VALENCIA ST,245 VALENCIA ST,94103,39000,Worship Facility,,,,,,,,,,,76,37.4,39.3,34.4,36.1,64,39.3,41.3,42.9,45,11,58.9,92.3,58.9,92.3
180 Townsend Street,180 TOWNSEND ST,94107,38280,Office,,,,,,86,72.4,166.9,72.4,166.9,76,90.4,195.1,90.4,195.1,40,84.1,180.6,84.1,180.6,69,80.2,178.4,81.2,179.4
Galleria Park Hotel,191 SUTTER ST,94104,127673,Hotel,,0,,0,,92,58,117.9,58.5,118.8,94,49.4,99.1,49.6,99.3,90,47.9,105.3,50,107.5,91,44.3,105.9,43.6,103.9
Congregation Emanu-El,2 Lake Street,94118,96035,Worship Facility,84,35.2,,35.2,,94,35.8,37.6,35.1,36.8,85,32.9,60.6,30.7,57.7,81,35.1,60.2,39.1,65.4,82,36.3,60.5,38.1,62.4
4767 MISSION ST,4767 MISSION ST,94112,10812,Food Sales,,,,,,,,,,,,,,,,,333.7,412.9,332.4,408.8,,348.3,426.8,347.9,425.3
122610 - Spear Street Corridor,150 SPEAR ST,94105,286510,Office,90,67.5,,66,,,,,,,89,65.3,157.4,65.5,157.7,93,54.3,136.8,57.5,140.2,95,50.1,130.1,51.7,131.8
1621 MARKET ST,1621 MARKET ST,94103,28554,,,,,,,,,,,,,,,,,,,,,,,,,,
930 MONTGOMERY ST,930 MONTGOMERY ST,94133,24000,,,,,,,,,,,,32,74.7,175.9,74.9,175.9,,,,,,,,,,
2186 Geary,2186 GEARY BLVD,94115,19751,Medical Office,,,,,,,,,,,92,29.7,67.9,28.4,66.6,73,57.5,108.2,57.5,108.2,84,45,85.8,45,85.8
Silver Creek - 221 Pine St,99 BATTERY ST,94104,26808,Office,,,,,,,25.7,54.6,25.1,54,98,21.2,54.7,21.4,54.9,92,27.3,71.8,29.8,74.4,87,33.1,84.4,34.1,85.5
2727 Mariposa St.,2727 Mariposa St.,94110,34927,,,,,,,,,,,,,,,,,,,,,,,,,,
525 4TH ST,525 4TH ST,94107,12400,,,,,,,,,,,,,,,,,,,,,,,,,,
558 SACRAMENTO ST,558 SACRAMENTO ST,94111,12000,Restaurant,,,,,,,,,,,,,,,,,392,609.2,391.4,607.3,,380.7,589.4,379.6,586.1
Civic Hotel Co LLC,50 8TH ST,94103,274450,Hotel,83,79.5,,78.9,,86,74.8,158.4,74.7,158,80,73,147.7,72.4,145.8,80,68.5,141.8,70.8,144.3,81,66.7,141.5,66.7,141.5
535 Pacific Ave,535 Pacific Ave,94133,36000,Office,,,,,,,,,,,49,69.4,162.3,69.2,161.9,49,66.8,157.8,65.4,153.4,65,54.3,134.8,54.3,134.8
311qr-San Francisco Downtown Courtyard,299 Second Street,94105,274550,Hotel,80,63.9,,63,,38,63.9,134.5,64.5,136.2,84,54.9,112,54.8,111.3,,68.7,140,69.5,138.6,,73.7,147.4,74.7,148.5
1444 MARKET ST,1444 MARKET ST,94102,23260,Office,,,,,,,,,,,89,27.6,86.1,27.6,86.1,87,28,87.2,28,87.2,88,27.4,85.6,27.4,85.6
140 2ND ST,132 2ND ST,94105,38000,Office,,,,,,,,,,,,,,,,,,,,,98,15.3,47.9,15.4,48.5
Growers' Refrigeration,2050 GALVEZ AVE,94124,23824,Refrigerated Warehouse,,,,,,,,,,,9,73.1,229.7,73.1,229.7,4,92.1,289.1,92.1,289.1,2,108.3,340,108.3,340
Van Ness Capital Group LLC,1801 VAN NESS AVE,94109,23340,Office,,,,,,,,,,,70,47.6,126.9,48,127.3,70,43.8,124.2,46.1,125.6,72,40.7,122.2,40.3,120.8
Tennessee Roundhouse LLC,901 MINNESOTA ST,94107,10526,Office,,,,,,,,,,,,40.6,78.5,41.4,79.3,,30.4,67.4,31,69.3,,30,64.8,33.7,69.4
Union Street Plaza,2001 Union St,94123,122396,,55,68.7,,68.7,,,,,,,21,105.2,248.1,105.4,248.3,8,128.2,282.7,128.2,282.7,,,,,
S&B,42 2ND ST,94105,10275,Office,,,,,,,,,,,68,39.6,122.4,39.6,122.4,60,42.5,132,41.2,127.8,61,43,133.1,41.9,129.7
Merchants Exchange Building,465 CALIFORNIA ST,94104,241000,Office,,52.2,,51.4,,,,,,,94,41.1,104.7,40.8,104.5,94,39.9,103.2,42.9,106.8,92,43.6,112.7,45.1,114.5
285 WINSTON DR,285 WINSTON DR,94132,101104,,,,,,,,,,,,,,,,,,,,,,,,,,
Gough,44 GOUGH ST,94103,34955,Office,,,,,,95,28.6,91.5,30.1,95.8,94,30.5,92.3,30.1,91.9,96,26.7,82,26.7,82,95,27.8,85.2,27.9,85.4
"466 Townsend, LLC",472 TOWNSEND ST,94107,115000,College/University,,35.1,,35.1,,,33.5,111.7,35.5,118.5,,36.2,113.7,36.2,113.7,,35,109.9,35,109.9,,34.6,108.5,34.6,108.5
650 California Street,636 CALIFORNIA ST,94108,587116,Office,87,57.1,,55.3,,87,56.7,153.3,55.3,151.7,86,52.3,135,52.5,135.2,86,50.8,131.7,53,134.4,83,60.5,142.7,62,144.5
1301 Folsom,1301 FOLSOM ST,94103,27000,,,,,,,,111.1,340.9,112.8,347.5,,113.3,318.5,110.9,315.9,,,,,,,,,,
Hotel Carlton,1075 SUTTER ST,94109,73480,,99,56.8,,56.8,,99,62.1,92.1,60.9,90.8,99,57.5,85.4,57.9,85.8,99,53.8,79.6,58.6,85.2,,,,,
955 INDIANA ST,955 INDIANA ST,94107,23720,Laboratory,,,,,,,,,,,,,,,,,77.7,243.2,77.7,243.2,,93,291.4,93,291.4
White Swan Inn,845 BUSH ST,94108,16210,,,,,,,,,,,,,,,,,,,,,,,,,,
S.H. Frank Building,3075 17TH ST,94110,43974,Other,,,,,,,14.5,40.2,14.1,39.7,,14.4,37.3,13.3,36.1,,15.2,42.5,15.2,42.5,,18.7,53.2,19.1,53.6
850 VAN NESS AVE,850 VAN NESS AVE,94109,13534,,,,,,,,,,,,,,,,,,,,,,,,,,
455 9TH ST,455 9TH ST,94103,14000,Office,,,,,,,,,,,20,106.9,305.6,104.4,303,20,104.2,297.9,108.9,302.8,27,100.8,284.2,102.4,285.8
1715 - 1745 CORTLAND AVE,1715 CORTLAND AVE,94110,35768,Retail Store,,,,,,,,,,,,39.6,95.6,37.4,93.3,,31.7,81.7,31.7,81.7,,30.4,79.3,32.1,81.1
731 Market Street,731 MARKET ST,94103,93140,Office,,,,,,75,76.9,183.8,78.7,189.2,80,76.5,173.1,76.5,173.1,,,,,,87,60.5,152.3,59.8,150.1
3727 Buchanan St.,3727 Buchanan St.,94123,24685,Office,,,,,,,,,,,43,60.1,179.4,59.5,177.4,39,60.4,182.1,61.2,181,37,64.2,189.7,63.8,186.7
552 BRANNAN ST,552 BRANNAN ST,94107,24000,Office,,,,,,,,,,,73,49.2,143.7,48.8,142.1,74,44.9,138.4,43.7,133.9,64,51.6,159.1,52,159.5
500 Terry Francois Blvd,500 Terry Francois Blvd,94158,305000,Office,,,,,,,,,,,,,,,,,,,,,97,47.1,129.6,47.9,130.4
UPS - San Francisco,2222 17TH ST,94103,285047,Non-Refrigerated Warehouse,57,30.1,,29.8,,55,30.7,97.6,30.7,97.5,35,31.4,93.6,30.8,92.4,37,29.7,90.6,29.7,90.6,38,29.3,88.8,29.6,89
166 Embarcadero,169 STEUART ST,94105,112615,Other,98,20.5,,20.2,,,159.6,276.2,156.9,273.3,,163.3,296.9,163.7,297.3,,153.2,287.2,157.8,290.4,,149.3,281.6,152.3,283.9
The Orrick Building,405 HOWARD ST,94105,665148,Office,92,51,,52.2,,92,50.2,167.6,50.2,167.6,93,39.8,125.1,39.8,125.1,94,37.8,118.7,37.8,118.7,97,36.8,115.4,36.4,114.3
233 POST ST,233 POST ST,94108,21206,Office,,,,,,,,,,,99,26,68.2,26,68.2,90,38.7,108.3,38.7,108.3,88,42,115.6,42,115.6
617 MISSION ST,617 MISSION ST,94105,66000,Office,,,,,,,,,,,65,67.7,167,67.7,167,74,53.6,145,53.6,145,70,60.6,153.9,61.5,154.9
The Townsend Building,123 TOWNSEND ST,94107,151855,Office,78,101.3,,101.4,,,,,,,79,94,199,94.1,199.1,82,85,169.7,86.3,171,80,87.6,176.3,88.2,176.9
660 Sacramento St./657 Commercial St.,657 COMMERCIAL ST,94111,18058,Office,,,,,,,,,,,,26,59.9,26.4,60.4,,28.8,71.9,30.9,74.1,,32.9,80.8,33.3,81.2
2031 IRVING ST,2031 IRVING ST,94122,19695,,,,,,,,,,,,,,,,,,,,,,,,,,
Bohemian Club,624 TAYLOR ST,94102,118969,Social/Meeting Hall,,82.1,,82.1,,,83,135.7,80.8,133.4,,77.8,127.6,78.6,128.4,,69.1,119.2,75.5,126,,69.1,117.7,72.2,121
4444 Geary Blvd,4444 GEARY BLVD,94118,11294,Office,,,,,,,,,,,86,32.1,100.9,30.8,96.9,89,28.5,89.4,29.8,93.7,89,28.9,90.8,29.4,92.4
490 2ND ST,490 2ND ST,94107,39318,Office,,,,,,97,29.3,78.4,,,95,31.6,86.4,31.8,86.6,93,32.1,92.9,33.8,94.6,99,24.4,66,25.1,66.7
201 8TH ST,201 8TH ST,94103,19432,Other,,,,,,,,,,,,171.9,239.6,170,237.6,,138.3,218.4,148.4,229.1,,143.3,226.4,147.3,230.7
01405 - 32nd Ave & Clement St,3132 CLEMENT ST,94121,16669,,,,,,,,,,,,78,109.4,343.5,109.4,343.5,55,123,386.2,123,386.2,,,,,
3450 3RD ST #1 D,3450 3RD ST #1 D,94124,11274,Mixed Use Property,,,,,,,,,,,,15.6,49,15.6,49,,14.5,45.6,14.5,45.6,,6.5,20.5,6.5,20.5
1 Sutter Street,540 MARKET ST,94104,34265,Office,,,,,,,94.2,180.1,91.8,177.6,62,85.2,149.8,85.9,150.6,74,65,124.4,73.3,133.2,84,59.9,108.7,64.3,113.4
Varlow Building,207 POWELL ST,94102,23215,Mixed Use Property,,,,,,,,,,,,29,63.5,28.2,62.7,,29.4,64,30.6,65.3,,25,55.5,25,55.5
"460 Townsend Street, LLC",460 TOWNSEND ST,94107,25920,College/University,,,,,,,32.2,79.8,31.1,78.7,,28.5,64.7,28.7,64.8,,23.3,55,26.4,58.3,,23.6,47.5,24.8,48.7
290 7TH ST,290 7TH ST,94103,13600,,,,,,,,,,,,,18.1,56.8,18.1,56.8,,18.3,57.3,18.3,57.3,,,,,
2660 SAN BRUNO AVE,2660 SAN BRUNO AVE,94134,10522,,,,,,,,,,,,,,,,,,,,,,,,,,
Montgomery Building Inc.,601 MONTGOMERY ST,94111,245733,,85,73.4,,71,,93,54,155.5,54.2,156.3,,,,,,87,51.1,134.3,53.2,135.4,,,,,
65 OCEAN AVE,65 OCEAN AVE,94112,18904,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalum Corporation,130 BATTERY ST,94111,33863,Office,,,,,,13,129.8,288.7,130.2,289.1,37,95.7,204.9,96.2,205.4,22,110.7,239.8,115.2,244.5,30,94.6,213.4,97,216
511 HARRISON ST,511 HARRISON ST,94105,19610,,,,,,,,,,,,,,,,,,,,,,,,,,
3180 18th ST,3180 18th ST,94110,37104,Office,,,,,,,,,,,100,5.3,16.8,5.3,16.8,97,29.6,71.2,,,83,43,113.6,43.4,114.1
5200 Geary Blvd.,5200 GEARY BLVD,94118,78958,Retail Store,64,70.6,,70.6,,64,70.5,213.8,70.6,213.9,46,70.4,202.2,70.4,202.2,44,66.8,194.5,66.8,194.5,18,93.3,274.8,93.3,274.8
801 Montgomery,801 MONTGOMERY ST,94133,36838,Office,,,,,,,42.1,132.1,43.3,137.5,48,59.7,184.6,59.7,184.6,31,69.7,215.3,70.5,216.2,30,71.6,222.5,71.7,222.7
735 Montgomery St,735 MONTGOMERY ST,94133,30000,,,,,,,5,150,294.9,151.5,299.9,3,156.1,292.2,156.2,292.2,8,113.3,239.5,113.3,239.5,,,,,
1960 FOLSOM ST,1960 FOLSOM ST,94103,27603,,,,,,,,,,,,,,,,,,,,,,,,,,
360 BAY SHORE BLVD,360 BAY SHORE BLVD,94110,14496,,,,,,,,,,,,,,,,,,,,,,,,,,
1707 MARKET ST,1707 MARKET ST,94103,21600,Hotel,,,,,,,,,,,41,125.9,225.4,124.2,220,39,131.1,220.8,134.8,232.3,41,125.7,219.9,127.5,225.5
Mollie Stones Market #8,635 PORTOLA DR,94127,18665,Supermarket/Grocery Store,,,,,,,,,,,36,261.3,708.2,261.3,708.2,23,273,753.6,272.2,745.9,23,272.3,760.3,273.6,761.7
364 BUSH ST,364 BUSH ST,94104,12014,,,,,,,,,,,,,,,,,,,,,,,,,,
37 BLUXOME ST,330 TOWNSEND ST,94107,60868,Office,,,,,,,,,,,91,50.3,116.3,50.1,115.4,93,43.4,107,42.8,104.9,98,32,84.7,32,84.7
Seven to Nine Maritime Plaza,444 BATTERY ST,94111,13418,Office,,,,,,,,,,,60,43.6,120.9,,,,,,,,44,55.2,142.6,53.7,138
650 7TH ST,650 7TH ST,94103,82862,Office,,,,,,,,,,,,,,,,87,43.6,105.8,43.6,105.8,93,35.4,91.4,36.3,92.5
901 Market Street,901 MARKET ST,94103,216259,,85,43.1,,42.4,,82,41.3,114.6,42.5,118.9,98,29,72,28.1,71,88,38.5,97.2,38.5,97.2,,,,,
540 9TH ST,540 9TH ST,94103,42346,Retail Store,,,,,,,,,,,,14.8,46.5,14.8,46.5,,16.5,51.7,15.9,49.9,94,13.5,42.4,13.5,42.4
255 SUTTER ST,255 SUTTER ST,94108,241918,,,,,,,,,,,,,,,,,,,,,,,,,,
"491 Post Street, LLC",491 POST ST,94102,37730,College/University,,,,,,,13.4,44.6,13.4,44.6,,13,40.8,13,40.8,,18.4,42.9,22.2,47.5,,15.8,38.2,16.6,39.3
San Francisco Conservatory of Music,50 OAK ST,94102,90589,College/University,,,,,,,73.4,178.9,68.6,173.8,,73,177.1,70.7,174.7,,67.2,167.9,71.7,172.6,,62.3,158.6,63.8,160.1
Tenth Street Property,151 10TH ST,94103,10200,,,,,,,,,,,,,49.2,108.7,49.2,108.7,,,,,,,,,,
989 Market Street,979 MARKET ST,94103,110717,Office,,,,,,88,52.6,127.7,55.9,138.2,,,,,,,,,,,77,80,198.5,80,198.5
Safeway 1490,2300 16th Street,94103,226487,,52,217.1,,217.1,,,,,,,,92,265.9,92,265.9,,96,276,96,276,,,,,
246 POST ST,246 POST ST,94108,40700,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kin Wo Construction, Inc.",2401 INGALLS ST,94124,10000,Office,,,,,,,,,,,1,123.7,388.5,134.5,422.5,1,105.3,330.7,105.3,330.7,1,133.9,420.5,133.9,420.5
449 Powell Street,449 POWELL ST,94102,34173,Retail Store,,,,,,100,18.7,57.2,18.4,56.9,100,27.9,76.7,26.9,75.6,,46.8,146.9,46.8,146.9,,48.7,152.8,48.7,152.8
855 JACKSON ST,855 JACKSON ST,94108,15626,Worship Facility,,,,,,,,,,,98,8.7,27.4,8.7,27.4,98,8.8,27.6,8.8,27.6,98,8.6,27.1,8.6,27.1
Intercontinental San Fransico,888 HOWARD ST,94103,564614,Hotel,87,73.4,,73.4,,,75.6,151,74.1,150.5,84,70.2,142.3,69.1,142.1,84,68.2,141,69.6,140.8,83,68.3,142.2,68.8,141.9
"150 Green Street Associates, LP",150 GREEN ST,94111,29189,Office,,,,,,88,43.2,115.8,43.4,116,89,41.2,104.4,41.5,104.7,83,42.7,116.4,44.9,116.3,75,53,133.7,55.4,136.2
999 Van Ness Ave,945 VAN NESS AVE,94109,82370,Automobile Dealership,,2.6,,2.6,,,2.6,2.6,2.6,2.6,,4,12.7,4,12.7,,6.7,21.1,6.7,21.1,,4.7,10.5,4.9,10.7
583 HOWARD ST,583 HOWARD ST,94105,34500,Office,,,,,,,,,,,,,,,,98,22.8,62.2,22.8,62.2,98,23.2,63.4,22.7,61.7
353 Sacramento St.,353 SACRAMENTO ST,94111,306883,Office,84,62.5,,61.6,,,,,,,86,57.1,152.7,57.2,152.9,85,57,156.1,58.5,157.7,87,54.4,149.7,54.4,149.7
555 California,555 CALIFORNIA ST,94104,1978104,Office,70,96.7,,91,,71,91.7,234,86.6,227.8,,,,,,68,83.4,204.7,85,206.5,69,87.7,205.7,87.1,203.7
75 ARKANSAS ST,75 ARKANSAS ST,94107,19250,,,,,,,,,,,,,,,,,,,,,,,,,,
Barneveld Dorman 1-55,1-55 Dorman Ave,94124,37550,Non-Refrigerated Warehouse,,,,,,100,5.8,10.5,5.1,9.7,100,4.9,9.5,4.3,8.8,100,3.6,7.2,4.6,8.6,100,3.4,7.8,3.7,8.3
5225 MISSION ST,5225 MISSION ST,94112,11200,,,,,,,,,,,,,,,,,,,,,,,,,,
398 KANSAS ST,398 KANSAS ST,94103,15000,Office,,,,,,,,,,,53,62.4,176.5,60.7,174.7,39,65.2,197.2,56.7,170.5,26,76.7,231.7,77.3,232.4
NEMS - San Bruno,2574 SAN BRUNO AVE,94134,13750,Urgent Care/Clinic/Other Outpatient,,,,,,,,,,,,93.6,197.3,91.6,195.1,,89.8,191.5,93.7,195.7,,80.9,178.7,82.1,179.1
522 2ND ST,522 2ND ST,94107,13475,Office,,,,,,,,,,,,45.3,123.1,45.5,123.2,,48,132,50.1,132.6,,62.6,183.9,63.6,184.9
Hawthorne Plaza - 75 Hawthorne,75 HAWTHORNE ST,94105,408667,Office,97,41.7,,40.9,,97,35.8,97.5,35.2,96.8,98,35.8,97.2,35.9,97.3,97,36.8,105.9,,,96,41.1,111.1,41.8,111.9
2055 FOLSOM ST,2055 FOLSOM ST,94110,18800,Office,,,,,,,,,,,94,28.8,90.5,28.8,90.5,91,30.4,95.5,30.4,95.5,92,30.2,94.9,30.2,94.9
2241 GEARY BLVD,2241 GEARY BLVD,94115,31879,,,,,,,,,,,,,,,,,52,109.4,198.2,109.4,198.2,,,,,
1001 16TH ST,1001 16TH ST,94107,18839,,,,,,,,,,,,,,,,,,,,,,,,,,
M & E LLC,216 PINE ST,94104,45098,,,,,,,,118.7,286.7,120.1,291.4,,114.8,273.3,114.1,270.8,,,,,,,,,,
99 Rhode Island,1750 ALAMEDA ST,94103,60350,Office,,,,,,63,108.4,241,108.5,243.8,57,113.9,256.3,112.3,254.5,50,127.6,270.3,127.6,270.3,33,114.2,238.1,114.2,238.1
4950 Mission St,4950 MISSION ST,94112,35715,,,,,,,,,,,,,,,,,,,,,,,,,,
710 SANSOME ST,710 SANSOME ST,94111,21790,Office,,,,,,,,,,,,,,,,51,97.4,173.7,95.3,167.1,,,,,
321 11th ST,321 11TH ST,94103,12700,Office,,,,,,,,,,,,,,,,34,53.4,165.8,53.4,165.8,24,61.1,189.3,58.9,182.5
La Salle Industrial Park,2000 McKinnon Ave,94124,449760,,,,,,,,6.9,21.8,7.1,22.2,,,,,,,,,,,,,,,
134 Golden Gate,134 GOLDEN GATE AVE,94102,27000,Social/Meeting Hall,,,,,,,51.7,82.7,48.2,79.1,,46.6,77.9,40.5,71.5,,17.1,37.7,21,41.7,,45.2,93.4,45.2,93.4
Compass Children's Center,144 LEAVENWORTH ST,94102,12077,Pre-school/Daycare,,,,,,,,,,,,30.5,70,29.2,68.6,,27,68.3,29.7,71.1,,22.6,56.4,23.2,57
450 9TH ST,450 9TH ST,94103,17660,Manufacturing/Industrial Plant,,,,,,,,,,,,34.6,60.9,31.1,57.3,,34.8,60.5,43.6,69.7,,25.5,53.5,27.2,55.3
Marco Fine Furniture,650 POTRERO AVE,94110,24004,Other,,,,,,,,,,,,13.5,23.3,11.9,21.6,,13.1,22.8,13.1,22.8,,11.3,21.3,12.5,22.6
Best Western Americania,121 7TH ST,94103,124147,Hotel,94,61.1,,61,,92,71.1,115.3,70.7,114.2,92,69.3,114.7,69,113.6,90,69.4,113.5,69.4,113.5,90,70.8,115.2,70.8,115.2
1023 MISSION ST,1023 MISSION ST,94103,15878,,,,,,,,,,,,,,,,,,,,,,,,,,
220 9TH ST,220 9TH ST,94103,23805,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery,901 BATTERY ST,94111,92061,Office,66,78.2,,78.2,,,,,,,52,86.4,202.8,86.5,202.7,64,70.2,173.9,72.5,176.3,65,71.5,173.5,71.4,171.5
10UN,10 UNITED NATIONS PLZ,94102,76500,College/University,,,,,,,,,,,,,,,,,,,,,,75.4,118.9,77.1,120.7
