Building Name,Building Address,Postal Code,Floor Area,Property Type - Self Selected,2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2)
366 CLEMENTINA ST,366 CLEMENTINA ST,94103,10673,,,,,,,,,,,,,,,,,,,,,,,,,,
Twentieth Street,3130 20TH ST,94110,74055,Office,93,32,,30.9,,94,29.1,82.6,29.3,82.8,,27.3,71.2,26,69.8,89,28,74.9,28,74.9,95,27.2,70.7,28.5,71.6
1201 EVANS AVE,1201 EVANS AVE,94124,15498,,,,,,,,,,,,,,,,,,,,,,,,,,
500 Post,500 POST ST,94102,420000,Hotel,57,75.1,,75.1,,,,,,,67,73.1,157.3,72.7,157.5,63,70.2,155.5,70.7,154.9,58,74.5,165.7,74.9,166.2
20 California Street,20 CALIFORNIA ST,94111,58383,,,,,,,77,31,97.3,31,97.3,76,39.7,124.7,39.7,124.7,93,22.9,72,22.9,72,,,,,
"MEPT 475 Sansome Street, LLC",475 SANSOME ST,94111,461795,Office,79,61.4,,59,,80,60.2,189,59.4,188.2,89,48.4,137.7,48.5,137.9,94,40.6,119.6,41.7,120.8,96,39.8,116.5,39.8,115.7
72022A (SAN FRANCISCO CENTRE),845 Market St,94103,337000,Retail Store,67,57.6,180.9,59.2,185.9,64,59,197.2,61.7,206,63,60.3,189.3,61.6,193.6,66,54.6,171.5,54.6,171.5,62,59.1,185.7,58.2,182.8
231 GRANT AVE,231 GRANT AVE,94108,13000,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel Inn,444 PRESIDIO AVE,94115,40328,Hotel,,,,,,22,77.8,173.6,77.2,173,22,77.5,172.9,75.8,168.4,21,74.2,162.8,76.1,168.6,38,64.5,144.5,65.3,147
1045 BRYANT ST,1045 BRYANT ST,94103,32953,,,,,,,,,,,,,,,,,,,,,,,,,,
1095 Market Street,1095 MARKET ST,94103,60171,,,26.3,,26.3,,,,,,,,,,,,,,,,,,,,,
990 COLUMBUS AVE,990 COLUMBUS AVE,94133,16900,Office,,,,,,,,,,,,,,,,,,,,,82,36.5,90.4,37.7,92.3
301 PACIFIC AVE,301 PACIFIC AVE,94111,14568,Office,,,,,,,,,,,83,43,105.3,43.3,105.7,93,36.3,89.2,39.7,92.8,93,36.4,92.3,37.3,93.2
445 Grant,445 Grant Ave,94108,24800,Office,,,,,,,,,,,29,67.9,191.5,68,191.7,31,63.1,181.9,65,184,33,63.4,180.5,63.6,179.7
Digital Realty Trust,200 Paul Ave,94124,346907,Data Center,13,608.8,,608.8,,14,617.7,2063.2,617.7,2063.2,19,655.8,2059.3,655.8,2059.3,24,752,2361.3,752,2361.3,20,776.3,2437.6,776.3,2437.6
1500 16th Street/250 DeHaro St,1500 16TH ST,94103,47500,Fitness Center/Health Club/Gym,,,,,,,42.9,143.4,40.5,135.1,,31.1,97.6,31.5,98.8,,32,100.5,32,100.5,,33.4,104.9,33.4,104.9
180 Montgomery Street,180 MONTGOMERY ST,94104,325006,Office,94,46.6,,45.1,,95,46,126.9,44.2,124.7,96,44.3,116.7,44.5,116.8,97,37.6,103.9,39.3,105.9,96,40.8,108.5,42,110
2201 VAN NESS AVE,2201 VAN NESS AVE,94123,24341,Hotel,,,,,,,,,,,44,95.9,173,96.1,173.6,46,92.1,164.4,93.9,170.1,44,95.3,172,96.4,175.4
St. John Missionary Baptist Church,825 Newhall St,94124,19819,Worship Facility,,,,,,,,,,,96,23.7,34,22.3,32.5,95,22.3,33.4,25.4,36.7,93,25.1,36.8,26.3,38.1
1555 Burke Ave,1555 Burke Ave,94124,44160,,,,,,,,,,,,,,,,,,,,,,,,,,
564 6TH ST,564 6TH ST,94103,18400,,,,,,,,,,,,,,,,,,,,,,,,,,
2700 3RD ST,2700 3RD ST,94107,16760,Other,,,,,,,,,,,,55.7,130.2,55.9,130.5,,46.5,118.8,50.7,123.2,,54,133.4,56.5,136.1
211 BEACH ST,2500 Mason Street,94133,405000,Hotel,,,,,,,,,,,,,,,,82,60.4,122.5,60.8,123.6,86,57.8,117.3,57.8,117.3
"Fifth Church of Christ, Scientist",450 OFARRELL ST,94102,26904,Worship Facility,,,,,,3,25.1,46,23.1,44,24,19.9,27.4,17.7,25.1,24,14.1,18.2,19.1,23.4,35,14.7,18.1,16.3,19.8
868 FOLSOM ST,868 FOLSOM ST,94103,18500,Office,,,,,,,,,,,,,,,,98,25.2,79,25.8,80.9,97,27.3,85.8,26.6,83.6
275 Battery Street,275 BATTERY ST,94104,588929,Office,83,59,,58.6,,89,53.8,155.7,53.3,155.2,90,51.7,142.9,51.8,143,91,45.8,133.6,47,134.8,92,45.9,133.6,45.9,132.8
2310 MASON ST,2310 MASON ST,94133,13923,Office,,,,,,,,,,,91,25.3,66.9,25.5,67.1,92,22.5,61.4,23.7,62.8,95,20,55.3,20.2,55.5
1301 EVANS AVE,1301 EVANS AVE,94124,48475,Office,,,,,,,,,,,97,22.6,58.5,,,97,22.9,58,22.9,58,97,22.9,56.2,23.8,56.7
146 GEARY ST,146 GEARY ST,94108,12400,,,,,,,,,,,,69,45.8,143.7,45.7,143.6,68,45,141.3,44.6,140,,,,,
398 11TH ST,398 11TH ST,94103,16689,,,,,,,,,,,,,,,,,,,,,,,,,,
501 ALABAMA ST,501 ALABAMA ST,94110,15050,,,,,,,,,,,,,,,,,,,,,,,,,,
560 Brannan,560 BRANNAN ST,94107,15762,Office,,,,,,,,,,,83,21.8,60.3,21.8,60.4,97,20.8,60.1,20,57.5,100,17,42,17.9,43
Lion Building,2525 16TH ST,94110,147250,Mixed Use Property,,,,,,,14.1,35.7,13.8,35.3,,18.3,46.5,16.9,45.1,,23,64.9,23,64.9,,21.7,59.9,22.5,60.8
Bank of America Parkside 00318-0000258,1007 TARAVAL ST,94116,13040,Bank Branch,,,,,,,,,,,91,30,77.9,30,77.9,89,32.2,80.2,32.2,80.2,90,32,78.9,33,80
565 South Van Ness Avenue,565 SOUTH VAN NESS AVE,94110,15000,Office,,,,,,,,,,,85,23.6,59.4,22.8,56.9,78,23.5,67.4,23.5,67.4,82,23.2,62.2,23.2,62.2
123 LOOMIS ST,123 LOOMIS ST,94124,32082,,,,,,,,,,,,,,,,,,,,,,,,,,
1660 PINE ST,1660 PINE ST,94109,11220,,,,,,,,,,,,,,,,,,,,,,,,,,
149 New Montgomery,149 NEW MONTGOMERY ST,94105,67807,Office,95,46.3,,45.4,,93,53.6,153.8,52.8,153,57,67.1,177,67.3,177.2,55,67.2,176.4,68.6,176.9,53,77.7,182.4,77.7,182.4
OfficeMax Store 582,1750 Harrison St.,94103,23520,Retail Store,,,,,,,,,,,,54.6,170.7,54.5,170.6,,70.3,219.8,63.9,199.7,,69.7,218.7,68.3,214.5
Williams Sonoma - Ice House 1&2,151 Union St,94111,205964,Office,75,66.2,,66.2,,91,56,150,56,150.1,94,52.7,130.9,52.6,130.8,,48.7,117.2,49.7,118.2,95,49.6,119.7,49.9,119.2
Williams Sonoma - 431 Sutter,431 SUTTER ST,94108,15453,Other,,,,,,,,,,,,16.3,41.1,16.4,41.2,,27.1,78.6,28.1,79.6,,27.8,78.3,28.2,78.8
2211 HAYES ST,2235 HAYES ST,94117,67600,Medical Office,,228.4,,200.2,,,,,,,57,121.4,174.5,116.6,169.4,68,93,142.4,104.5,154.5,67,97.7,145.5,103.2,151.3
720 Washington,720 WASHINGTON ST,94108,15507,Worship Facility,,,,,,,,,,,97,15,26.8,15.1,26.9,97,13.6,24.9,15,26.4,98,12.7,23.9,13.1,24.4
225 INDUSTRIAL ST,225 INDUSTRIAL ST,94124,11200,,,,,,,,,,,,,,,,,,,,,,,,,,
K&H California,45 KEARNY ST,94108,28660,Office,,,,,,,140.9,400.6,142.5,404.7,,,,,,58,53,122.8,55.9,127.4,56,54.5,127.9,55.6,129
1314 POST ST,1301 FRANKLIN ST,94109,12342,Retail Store,,,,,,,,,,,77,71.2,221.5,71.2,221.5,74,74.6,231.5,75.1,232.1,69,82.7,250.4,82.7,250.4
610 GEARY ST,610 GEARY ST,94109,39880,Hotel,,,,,,,,,,,,,,,,97,57.6,83.7,64.5,91,97,55.9,84.5,58.3,87
658 MISSION ST,658 MISSION ST,94105,23690,,,,,,,,,,,,,,,,,,,,,,,,,,
155 Montgomery,149 MONTGOMERY ST,94104,55785,,83,56.3,,52,,84,57.8,135,56.2,133.2,85,54.7,121.7,54.9,121.9,88,48.9,111.7,51.3,114.6,,,,,
55 UNION ST,55 UNION ST,94111,43000,Office,,,,,,,,,,,,146.4,383.7,146.7,384.1,,84.7,207.5,88.2,211.2,75,75.1,168.5,76.7,170.2
530 Bush,530 BUSH ST,94108,119679,Office,55,76.5,,76.5,,56,72.8,189.5,72.8,189.5,89,55.1,137.2,55.1,137.2,84,59.6,149.9,61.6,152,89,52,136.5,51.1,133.9
982 Mission Street,980 MISSION ST,94103,38537,Office,,,,,,,,,,,,,,,,51,58.1,146.7,59.8,143.4,68,58.5,137.7,60.1,139.3
25 POINT LOBOS AVE,25 POINT LOBOS AVE,94121,14950,Retail Store,,,,,,,,,,,57,112.9,354.5,114,358,2,68.8,216.2,68.8,216.2,3,67.1,210.6,67.1,210.6
Worldco Company - 1388 Sutter,1388 SUTTER ST,94109,119943,,,,,,,,,,,,,,,,,,,,,,,,,,
279 9TH ST,279 9TH ST,94103,10248,,,,,,,,,,,,,,,,,,,,,,,,,,
16 California Street (8 Cal),2 CALIFORNIA ST,94111,38597,Office,,,,,,,,,,,85,45.8,112,46.2,112.5,76,49.7,127.9,53.9,132.3,74,54.5,133.6,55.8,134.2
The Andrews Hotel,624 POST ST,94109,19570,Hotel,,,,,,,,,,,89,133.6,181.9,126.6,175.2,90,124.4,173.8,129.6,178.1,90,123.4,172.9,125.6,174.7
71430A (STONESTOWN),1 STONESTOWN MALL,94132,280025,Retail Store,97,24.7,74.7,24.7,74.7,97,23.6,71.5,23.6,71.5,84,40.3,124.3,40.3,124.3,96,24.5,75,24.5,75,97,22.9,67.2,,
"Pier 50 - Shed A, B, and D",50 Pier,94158,108431,Non-Refrigerated Warehouse,,,,,,,,,,,,,,,,2,34,102.3,,,1,37.9,113.9,,
429 CASTRO ST,429 CASTRO ST,94114,11000,Movie Theater,,,,,,,,,,,,112.8,242.7,99.6,228.8,,85.6,208.3,85.6,208.3,,97.6,219.1,105.9,227.7
Hearst Parking Center,51 3RD ST,94105,328885,Parking,,0,,0,,,225.9,754.5,225.9,754.5,,65,204.2,65,204.2,,86.6,272,86.6,272,,71.4,224.1,71.4,224.1
Hotel Vitale,8 Mission St,94105,142726,Hotel,,,,,,,,,,,55,105.5,188.5,105.5,188.5,59,95,175.1,96.9,177.2,61,94.1,174,94.9,173.7
San Francisco SC Parking Garage&Office _348802_3349,2270 Folsom St,94110,128901,,,76.7,,86.2,,,107.8,272,105.3,269.4,,33.8,78,32.3,76.4,,31.4,71.5,36.1,77.9,,,,,
SF - 211 Main St.,211 MAIN ST,94105,450536,Office,81,77.4,,76.2,,83,71.6,193.6,71.2,193.2,83,71.2,179.7,71.4,179.9,85,66.5,169,68.7,171.3,91,60.9,150.4,61.7,151.2
