Index,store,coupon,discount,total
459,Philips,6 Coupons,3.0% Cash Back,"$4,949 "
460,philosophy,2 Coupons,2.5% Cash Back,"$238,984 "
461,PhotoBox,No Coupons Available,2.5% Cash Back,
462,Photos.com by Getty Images,No Coupons Available,6.0% Cash Back,"$1,236 "
463,Picanova,No Coupons Available,8.0% Cash Back,"$1,692 "
464,Picture Keeper,4 Coupons,5.0% Cash Back,
465,Pictureframes.com,13 Coupons,4.0% Cash Back,
466,Pier 1 Imports,30 Coupons,2.0% Cash Back,"$240,657 "
467,Piercing Pagoda,5 Coupons,4.0% Cash Back,"$6,944 "
468,Pimsleur Language Program,3 Coupons,7.5% Cash Back,
469,PinkEPromise,1 Coupon,5.0% Cash Back,
470,Planet Blue,5 Coupons,5.0% Cash Back,
471,Planet Hollywood Resort & Casino,2 Coupons,2.5% Cash Back,"$2,991 "
472,Plant Therapy,2 Coupons,3.75% Cash Back,
473,Plonk Wine Club,No Coupons Available,Up to 3.5%,
474,Plow and Hearth,7 Coupons,4.0% Cash Back,"$145,744 "
475,Polarn O. Pyret,No Coupons Available,3.0% Cash Back,
476,Poler,No Coupons Available,5.0% Cash Back,
477,Pool Products,14 Coupons,3.0% Cash Back,
478,The Popcorn Factory,3 Coupons,3.0% Cash Back,"$133,977 "
479,POPSUGAR Must Have,No Coupons Available,3.0% Cash Back,"$4,009 "
480,Positively Clear,No Coupons Available,2.0% Cash Back,
481,Pottery Barn,No Coupons Available,No Discount,
482,PowerSkin,No Coupons Available,7.5% Cash Back,
483,prAna,5 Coupons,4.0% Cash Back,"$1,723 "
484,Precious Moments,2 Coupons,10.0% Cash Back,"$5,356 "
485,Prescriptives,1 Coupon,4.0% Cash Back,"$40,238 "
486,Pretty Green,No Coupons Available,5.5% Cash Back,
487,Priceline,14 Coupons,Up to 10.0%,
488,Priceline Air,No Coupons Available,Up to 3.0%,
489,PricePlunge,5 Coupons,4.0% Cash Back,"$2,387 "
490,PrimeSport,2 Coupons,Up to 4.0%,
491,Pro Board Shop,11 Coupons,5.0% Cash Back,
492,Proactiv+,4 Coupons,15.0% Cash Back,
493,ProBikeKit.com,10 Coupons,2.0% Cash Back,
494,Problem Solvers,2 Coupons,4.0% Cash Back,
495,ProFlowers,6 Coupons,20.0% Cash Back was 12.0%,
496,ProPlants,6 Coupons,20.0% Cash Back was 12.0%,
497,Proporta US,9 Coupons,5.0% Cash Back,
498,PRWeb,4 Coupons,2.5% Cash Back,
499,PsPrint,8 Coupons,4.0% Cash Back,
500,PUBLIC Bikes,4 Coupons,2.5% Cash Back,
501,Public Desire,No Coupons Available,4.0% Cash Back,
502,Pugster,5 Coupons,7.5% Cash Back,"$16,005 "
503,PUMA,3 Coupons,4.5% Cash Back,"$247,237 "
504,Punch CAD,1 Coupon,7.5% Cash Back,
505,Punch! Software,1 Coupon,7.5% Cash Back,
506,PUR,1 Coupon,Coupons Only,
507,Pura Vida Bracelets,4 Coupons,2.5% Cash Back,
508,Pure Collection,No Coupons Available,3.0% Cash Back,"$19,491 "
509,Pure Prescriptions,No Coupons Available,7.5% Cash Back,
510,PureFormulas,8 Coupons,1.5% Cash Back,"$24,131 "
511,PureVPN,No Coupons Available,12.5% Cash Back,
512,Puritan's Pride,20 Coupons,5.0% Cash Back,"$972,847 "
513,Qatar Airways,3 Coupons,1.0% Cash Back,
514,The Quad Resort & Casino,1 Coupon,2.5% Cash Back,
515,Quality Inn,No Coupons Available,2.5% Cash Back,"$37,674 "
516,Quiksilver,11 Coupons,3.5% Cash Back,"$19,761 "
517,Quill.com,38 Coupons,3.0% Cash Back,"$1,829,125 "
518,QVC,47 Coupons,4.0% Cash Back was 1.0%,"$6,544,713 "
519,Rachel Pally,5 Coupons,2.0% Cash Back,
520,Rachel Roy,No Coupons Available,6.0% Cash Back,"$3,099 "
521,Radio Flyer,No Coupons Available,Up to 5.0%,"$1,610 "
522,Radisson Blu,No Coupons Available,3.0% Cash Back,"$5,181 "
523,Radisson Hotels & Resorts,3 Coupons,2.5% Cash Back,
524,Radley London,No Coupons Available,3.0% Cash Back,"$1,631 "
525,Rafaella,1 Coupon,4.0% Cash Back,"$2,519 "
526,Raffles Hotels & Resorts,No Coupons Available,2.5% Cash Back,
527,rag & bone,4 Coupons,5.0% Cash Back,
528,Rainbow Shops,4 Coupons,3.0% Cash Back,"$6,386 "
529,Rainguard,3 Coupons,5.0% Cash Back,
530,Raise.com,89 Coupons,1.0% Cash Back,"$91,107 "
531,Rakuten.com,93 Coupons,1.0% Cash Back,"$1,774,398 "
532,Ralph Lauren,9 Coupons,2.5% Cash Back,
533,Ramada,9 Coupons,2.5% Cash Back,"$10,966 "
534,Ramy Brook,7 Coupons,5.0% Cash Back,
535,Rapala,6 Coupons,3.0% Cash Back,
536,Ray-Ban,3 Coupons,6.0% Cash Back was 4.0%,
537,Razer,4 Coupons,1.0% Cash Back,
538,Razor Gator,47 Coupons,3.5% Cash Back,
539,Readers.com,2 Coupons,7.5% Cash Back,"$3,370 "
540,Reading Eggs,1 Coupon,5.0% Cash Back,
541,The RealReal,No Coupons Available,No Discount,
542,Rebecca Minkoff,5 Coupons,4.0% Cash Back,
543,Rebecca Taylor,2 Coupons,5.0% Cash Back was 3.5%,
544,Red Heart,4 Coupons,Coupons Only,
545,Red Roof Inn,9 Coupons,3.5% Cash Back,"$13,805 "
546,Reebok,7 Coupons,2.0% Cash Back,"$128,980 "
547,Reeds Jewelers,4 Coupons,5.0% Cash Back,
548,Reef.com,1 Coupon,6.0% Cash Back,"$10,285 "
549,Refurb.io,3 Coupons,1.5% Cash Back,
550,REI,No Coupons Available,No Discount,
551,Reiss Online,2 Coupons,3.0% Cash Back,
552,REN Skincare,5 Coupons,4.0% Cash Back,
553,Renaissance Hotels and Resorts,No Coupons Available,2.5% Cash Back,"$7,339 "
554,ReNew Life,2 Coupons,5.5% Cash Back,"$7,629 "
555,Rent the Runway,3 Coupons,2.0% Cash Back,"$17,587 "
556,RepairClinic,No Coupons Available,3.0% Cash Back,"$3,050 "
557,Residence Inn,No Coupons Available,2.5% Cash Back,"$37,306 "
558,Restaurant.com,373 Coupons,Up to 20.0% was up to 10.0%,"$422,127 "
559,ReStockIt,1 Coupon,3.0% Cash Back,
560,ReUseIt.com,7 Coupons,2.5% Cash Back,
561,ReVive,No Coupons Available,4.0% Cash Back,
562,Revo,4 Coupons,3.5% Cash Back,
563,Rhone,1 Coupon,7.5% Cash Back,
564,Right Start,1 Coupon,2.5% Cash Back,
565,Ringcentral.com,5 Coupons,Up to $25.00,
566,Rio Las Vegas,2 Coupons,2.5% Cash Back,
567,Rite Aid,10 Coupons,5.0% Cash Back,
568,Ritz Camera,7 Coupons,1.0% Cash Back,
569,RitzPix,10 Coupons,7.5% Cash Back,"$4,128 "
570,River Island,No Coupons Available,3.5% Cash Back,"$2,031 "
571,Road Runner Sports,6 Coupons,3.5% Cash Back,
572,Robeez,3 Coupons,6.5% Cash Back,"$17,340 "
573,Rochester Big and Tall,1 Coupon,3.0% Cash Back,
574,Rock Bottom Golf,No Coupons Available,1.0% Cash Back,"$4,259 "
575,Rock Creek,17 Coupons,4.0% Cash Back,
576,Rock.com,No Coupons Available,6.0% Cash Back,
577,Rocket Dog,4 Coupons,4.0% Cash Back,"$1,232 "
578,Rockport.com,5 Coupons,4.0% Cash Back,"$30,386 "
579,Rocky Boots,9 Coupons,4.0% Cash Back,
580,Rodale's,5 Coupons,6.0% Cash Back,
581,Rodeway Inn,No Coupons Available,2.5% Cash Back,"$3,690 "
582,Rogaine,11 Coupons,$7.50 Cash Back,
583,RoomMates Decor,5 Coupons,8.0% Cash Back,"$3,608 "
584,Roots Canada,3 Coupons,2.0% Cash Back,"$2,069 "
585,Rose Wholesale,12 Coupons,5.0% Cash Back,"$1,950 "
586,RoseGal,44 Coupons,2.0% Cash Back,"$3,215 "
587,Rosetta Stone,7 Coupons,6.0% Cash Back,
588,Ross-Simons,5 Coupons,1.0% Cash Back,
589,Roxy,6 Coupons,3.5% Cash Back,"$22,453 "
590,Royal Albert,No Coupons Available,4.0% Cash Back,"$1,383 "
591,Royal Doulton,1 Coupon,4.0% Cash Back,
592,Royal Robbins,6 Coupons,2.5% Cash Back,
593,RST Outdoor,No Coupons Available,4.0% Cash Back,"$10,578 "
594,rue21,7 Coupons,3.0% Cash Back,"$54,078 "
595,Russell Stover,2 Coupons,5.0% Cash Back,"$1,147 "
596,Ryka,3 Coupons,5.0% Cash Back,
597,Saatchi Art,No Coupons Available,6.0% Cash Back,"$2,836 "
598,Sabon,3 Coupons,4.0% Cash Back,"$11,923 "
599,Safeway,1 Coupon,Coupons Only,
600,Sahalie,2 Coupons,1.5% Cash Back,"$34,516 "
601,Saison Beauty,No Coupons Available,5.0% Cash Back,
602,Saks Fifth Avenue,11 Coupons,8.0% Cash Back was 4.0%,
603,Saks OFF 5TH,19 Coupons,8.0% Cash Back was 4.0%,
604,Sally Beauty Supply,6 Coupons,4.0% Cash Back,"$158,358 "
605,Salt Life,2 Coupons,1.5% Cash Back,"$1,467 "
606,Saltgrass Steak House,No Coupons Available,In-Store Cash Back only,
607,Saltrock,6 Coupons,6.0% Cash Back was 4.0%,
608,Sam Edelman,4 Coupons,3.5% Cash Back,
609,Sam's Club,37 Coupons,1.5% Cash Back,"$1,014,343 "
610,Sammydress,4 Coupons,4.0% Cash Back,"$9,927 "
611,Samsonite,4 Coupons,2.5% Cash Back,
612,Samsung,11 Coupons,2.0% Cash Back,
613,Samuels Jewelers,20 Coupons,3.5% Cash Back,
614,San Diego Hat Company,4 Coupons,3.0% Cash Back,
615,Sandals All Inclusive Resorts,16 Coupons,2.0% Cash Back,
616,Sanuk Footwear,No Coupons Available,4.5% Cash Back,"$44,040 "
617,SAP Digital,9 Coupons,Up to 15.0%,
618,Saturdays NYC,1 Coupon,3.5% Cash Back,
619,Satya Jewelry,2 Coupons,3.0% Cash Back,
620,Saucony,23 Coupons,5.0% Cash Back,"$21,349 "
621,Savile Row Bespoke,5 Coupons,4.0% Cash Back,
622,Scarves.com,3 Coupons,7.5% Cash Back,"$2,483 "
623,Scentbird,5 Coupons,Up to $5.00,"$3,225 "
624,Schuler Shoes,3 Coupons,5.0% Cash Back,
625,Scribbler,No Coupons Available,2.5% Cash Back,
626,Scrubs & Beyond,9 Coupons,5.0% Cash Back,
627,SeaBear Smokehouse,14 Coupons,4.0% Cash Back,"$9,441 "
628,Sears,138 Coupons,8.0% Cash Back was 1.0%,
629,SeatGeek,1 Coupon,3.0% Cash Back,
630,SeaWorld,16 Coupons,2.5% Cash Back,
631,Sebago,8 Coupons,4.0% Cash Back,"$1,078 "
632,See's Candies,1 Coupon,3.5% Cash Back,"$81,460 "
633,Select Blinds,2 Coupons,2.5% Cash Back,
634,SendFlowers,3 Coupons,21.0% Cash Back was 16.0%,
635,Sephora,11 Coupons,8.0% Cash Back was 4.0%,
636,The Shade Store,2 Coupons,3.5% Cash Back,
637,Shari's Berries,6 Coupons,15.0% Cash Back was 4.0%,"$181,721 "
638,Sharper Image,2 Coupons,1.0% Cash Back,
639,Shaw Academy,15 Coupons,40.0% Cash Back,
640,SheIn,8 Coupons,6.0% Cash Back,"$29,949 "
641,The Shelving Store,3 Coupons,3.5% Cash Back,
642,Shelving.com,5 Coupons,3.5% Cash Back,
643,Sheraton,No Coupons Available,2.5% Cash Back,"$78,601 "
644,shi by Journeys,19 Coupons,3.0% Cash Back,
645,Shindigz,13 Coupons,6.0% Cash Back,
646,Shiseido,6 Coupons,8.0% Cash Back was 4.0%,
647,Shnoop,5 Coupons,2.5% Cash Back,"$1,188 "
648,Shoe Carnival,7 Coupons,3.0% Cash Back,
649,Shoe Metro,1 Coupon,5.0% Cash Back,"$62,358 "
650,Shoebacca,13 Coupons,6.0% Cash Back,"$7,557 "
651,ShoeBuy,14 Coupons,6.0% Cash Back was 4.5%,
652,ShoeLine.com,5 Coupons,7.5% Cash Back,
653,ShoeMall,3 Coupons,7.5% Cash Back,
654,Shoes For Crews,No Coupons Available,2.0% Cash Back,"$2,989 "
655,Shoes.com,No Coupons Available,No Discount,
656,Shop.NHL.com,2 Coupons,1.5% Cash Back,"$14,019 "
657,Shopbop,No Coupons Available,2.0% Cash Back,
658,Shopko,19 Coupons,Up to 2.0%,
659,Shoplet.com,11 Coupons,3.0% Cash Back,"$53,519 "
660,ShopletPromos.com,No Coupons Available,2.5% Cash Back,
661,ShopPBS,15 Coupons,3.5% Cash Back,"$15,494 "
662,ShortOrder.com,1 Coupon,1.5% Cash Back,
663,Show Me Your Mumu,4 Coupons,4.0% Cash Back,
664,Shu Uemura,4 Coupons,3.0% Cash Back,"$90,572 "
665,Shu Uemura Art of Hair,1 Coupon,7.5% Cash Back was 3.5%,
666,The Shutter Store,1 Coupon,2.5% Cash Back,
667,Shutterfly,10 Coupons,2.0% Cash Back,"$485,204 "
668,Sierra Designs,14 Coupons,3.0% Cash Back,
669,Sierra Trading Post,11 Coupons,2.5% Cash Back,"$426,042 "
670,Sigma Beauty,3 Coupons,5.0% Cash Back,"$35,554 "
671,Silver Jeans,1 Coupon,4.0% Cash Back,"$5,026 "
672,Simple Canvas Prints,4 Coupons,2.5% Cash Back,
673,Simply Be,8 Coupons,2.5% Cash Back,"$9,749 "
674,SiriusXM,5 Coupons,Up to $7.50,
675,Sit4Life,11 Coupons,3.0% Cash Back,
676,Sittercity,2 Coupons,$7.50 Cash Back,
677,Six:02,7 Coupons,6.0% Cash Back,
678,Sixity Powersports,40 Coupons,3.75% Cash Back,
679,Sixt Rent A Car,21 Coupons,4.0% Cash Back,
680,SK-II,2 Coupons,2.5% Cash Back,
681,Skagen,4 Coupons,2.5% Cash Back,"$2,472 "
682,Skechers,6 Coupons,3.5% Cash Back,"$30,750 "
683,SkinCareRx,No Coupons Available,3.75% Cash Back,"$73,539 "
684,SkinStore,30 Coupons,4.0% Cash Back,
685,Skirt Sports,1 Coupon,4.0% Cash Back,"$1,116 "
686,Skis.com,4 Coupons,3.0% Cash Back,
687,Skullcandy,2 Coupons,2.5% Cash Back,"$7,853 "
688,SKUSKY,31 Coupons,4.0% Cash Back,
689,Sky,1 Coupon,3.5% Cash Back,
690,SkyMall,16 Coupons,1.5% Cash Back,"$18,342 "
691,Skyo Textbooks,No Coupons Available,4.0% Cash Back,"$4,290 "
692,Slate & Stone,4 Coupons,3.0% Cash Back,
693,Sleep Inn,2 Coupons,2.5% Cash Back,
694,Sleep Number,9 Coupons,Up to 4.0%,
695,Sleepy Jones,4 Coupons,4.0% Cash Back,
696,Sleepy's,7 Coupons,3.0% Cash Back,
697,Smart Phone Repair from Dish,No Coupons Available,$5.00 Cash Back,
698,SmartBuyGlasses,11 Coupons,Up to 3.5%,
699,SmartFares,45 Coupons,Up to $4.50,
700,Smarthome,4 Coupons,2.0% Cash Back,
701,SmartWool,2 Coupons,4.25% Cash Back,"$11,908 "
702,Smashbox,6 Coupons,4.0% Cash Back,"$58,926 "
703,Smile Direct Club,No Coupons Available,1.5% Cash Back,
704,SmileBooks,3 Coupons,9.0% Cash Back,
705,Snagajob,2 Coupons,10.0% Cash Back,
706,Snapfish,6 Coupons,5.0% Cash Back,"$1,666,119 "
707,Soak & Sleep,No Coupons Available,4.0% Cash Back,
708,Soap.com,6 Coupons,2.5% Cash Back,"$254,533 "
709,SoccerSavings.com,9 Coupons,3.25% Cash Back,"$21,074 "
710,Soffe,2 Coupons,1.5% Cash Back,
711,Sofitel,1 Coupon,4.0% Cash Back,
712,Soft Surroundings,No Coupons Available,No Discount,
713,Soft Surroundings Outlet,No Coupons Available,No Discount,
714,Soia and Kyo,1 Coupon,3.0% Cash Back,
715,Sole Fitness,9 Coupons,4.0% Cash Back,
716,Solstice Sunglasses,4 Coupons,5.0% Cash Back,
717,Soludos,5 Coupons,4.0% Cash Back,"$11,473 "
718,Sonic Electronix,27 Coupons,1.0% Cash Back,"$7,850 "
719,Sonos,1 Coupon,5.0% Cash Back,
720,Sony Store,No Coupons Available,No Discount,
721,Sorel,6 Coupons,5.0% Cash Back,
722,SousVide,2 Coupons,4.0% Cash Back,
723,South Moon Under,3 Coupons,3.0% Cash Back,"$5,430 "
724,Spa & Wellness Gift Card,3 Coupons,6.0% Cash Back,
725,Space NK,4 Coupons,2.5% Cash Back,"$9,966 "
726,Spafinder Wellness 365,3 Coupons,5.0% Cash Back,
727,Spanx,No Coupons Available,3.0% Cash Back,"$136,331 "
728,Spartan Race,31 Coupons,Up to 5.0%,"$1,250 "
729,Speck,7 Coupons,2.5% Cash Back,"$2,800 "
730,Speedo USA,5 Coupons,3.5% Cash Back,"$29,794 "
731,Spencer's Gifts,13 Coupons,5.0% Cash Back,"$2,859 "
732,Sperry,20 Coupons,3.5% Cash Back,"$80,971 "
733,Spire,6 Coupons,6.0% Cash Back,
734,Spirit Halloween,7 Coupons,6.5% Cash Back,"$45,841 "
735,SpiritLine,No Coupons Available,6.0% Cash Back,
736,Splendid,7 Coupons,3.0% Cash Back,
737,Splits59,8 Coupons,4.0% Cash Back,
738,The Sports Authority,No Coupons Available,No Discount,
739,SportsFanfare,No Coupons Available,5.0% Cash Back,
740,Sportsman's Guide,7 Coupons,2.5% Cash Back,"$284,181 "
741,SportsMemorabilia.com,75 Coupons,5.0% Cash Back,
742,Spring,6 Coupons,12.0% Cash Back was 8.0%,
743,SpringHill Suites,No Coupons Available,2.5% Cash Back,"$15,779 "
744,Sprint,10 Coupons,Up to $187.50,
745,Spy Optic,6 Coupons,5.0% Cash Back,
746,Spyder,9 Coupons,3.0% Cash Back,
747,Squatty Potty,No Coupons Available,5.0% Cash Back,
748,STA Travel,62 Coupons,Up to 6.0%,"$4,428 "
749,Stacy Adams,2 Coupons,3.5% Cash Back,"$2,229 "
750,Stage Stores,15 Coupons,3.0% Cash Back,"$49,838 "
751,Stanford University Bookstore,6 Coupons,1.0% Cash Back,
752,Staples,16 Coupons,2.0% Cash Back,"$5,423,002 "
753,Staples Copy and Print,5 Coupons,6.5% Cash Back,
754,Starbucks Store,3 Coupons,2.5% Cash Back,"$209,857 "
755,Stash Tea,2 Coupons,2.5% Cash Back,"$1,999 "
756,StayBridge Suites,7 Coupons,4.5% Cash Back,
757,STEALS.com,49 Coupons,1.5% Cash Back,"$7,031 "
758,SteelSeries,6 Coupons,2.5% Cash Back,
759,Steepandcheap.com,No Coupons Available,1.0% Cash Back,
760,Stein Mart,29 Coupons,3.5% Cash Back,"$58,152 "
761,Steiner Sports,8 Coupons,5.5% Cash Back,
762,Stellar Data Recovery,7 Coupons,10.0% Cash Back,
763,Step2,4 Coupons,3.0% Cash Back,
764,Steve Madden,4 Coupons,3.0% Cash Back,"$171,842 "
765,StickerYou,1 Coupon,5.0% Cash Back,
766,Stila Cosmetics,3 Coupons,4.0% Cash Back,"$62,794 "
767,Stio.com,10 Coupons,4.0% Cash Back,
768,StockYards,1 Coupon,3.0% Cash Back,
769,Stonewall Kitchen,4 Coupons,5.0% Cash Back,"$26,168 "
770,STOPzilla,2 Coupons,25.0% Cash Back,
771,Straight Talk,12 Coupons,Up to 11.0%,
772,Strapworks,3 Coupons,5.0% Cash Back,
773,StrawberryNET,6 Coupons,4.0% Cash Back,"$100,972 "
774,StreetModa,16 Coupons,4.0% Cash Back,
775,StrideRite,5 Coupons,4.5% Cash Back,"$134,523 "
776,StriVectin,3 Coupons,7.5% Cash Back,
777,Stuart Weitzman,2 Coupons,5.0% Cash Back,
778,StubHub,6 Coupons,3.5% Cash Back,
779,Stumps Party,No Coupons Available,7.5% Cash Back was 5.0%,
780,Stylebop,3 Coupons,4.0% Cash Back,
781,StylesForLess.com,8 Coupons,6.0% Cash Back,"$6,014 "
782,Stylin' Trucks,1 Coupon,4.0% Cash Back,
783,StylinOnline,6 Coupons,8.0% Cash Back,
784,Sugarfina,7 Coupons,7.5% Cash Back was 2.5%,
785,SugarSync,No Coupons Available,$7.50 Cash Back,
786,Sulwhasoo,22 Coupons,9.0% Cash Back was 1.5%,
787,Summit Online,1 Coupon,3.0% Cash Back,
788,Sunbeam,4 Coupons,4.0% Cash Back,
789,Sundance Catalog,2 Coupons,1.0% Cash Back,"$90,587 "
790,Sunglass Hut,2 Coupons,4.0% Cash Back,
791,Sunglass Warehouse,1 Coupon,7.5% Cash Back,"$1,804 "
792,Super 8,8 Coupons,2.5% Cash Back,"$17,666 "
793,Super Media Store,2 Coupons,1.5% Cash Back,"$13,511 "
794,Superdry,1 Coupon,3.0% Cash Back,
795,Superga,3 Coupons,4.0% Cash Back,"$1,602 "
796,Superstar Tickets,1 Coupon,3.5% Cash Back,
797,Supplement Hunt,1 Coupon,10.0% Cash Back,
798,The Supplies Shops,4 Coupons,4.0% Cash Back,
799,SuppliesOutlet,3 Coupons,10.0% Cash Back,
800,Sur La Table,32 Coupons,4.0% Cash Back,
801,Surf Shop,9 Coupons,3.5% Cash Back,
802,SuzanneSomers.com,No Coupons Available,4.0% Cash Back,
803,Swak Designs,5 Coupons,5.0% Cash Back,
804,Swarovski,3 Coupons,2.0% Cash Back,"$79,325 "
805,Sweaty Betty,4 Coupons,5.0% Cash Back,
806,Swimspot.com,7 Coupons,6.0% Cash Back,"$8,143 "
807,SwimSuits Direct,5 Coupons,5.0% Cash Back,"$5,481 "
808,Swimsuits For All,9 Coupons,1.5% Cash Back,"$32,251 "
809,Swiss International Air Lines,2 Coupons,1.0% Cash Back,
810,Swissotel Hotels & Resorts,1 Coupon,2.5% Cash Back,
811,Swoonery,2 Coupons,4.5% Cash Back,
812,Szul.com,9 Coupons,3.0% Cash Back,
813,T-Mobile,22 Coupons,Up to $75.00 was up to $37.50,
814,T.J. Maxx,25 Coupons,Coupons Only,
815,Tablet Hotels,4 Coupons,3.75% Cash Back,
816,Tactics,3 Coupons,2.5% Cash Back,"$9,138 "
817,Tahari ASL,2 Coupons,3.5% Cash Back,
818,Talbots,2 Coupons,2.0% Cash Back,"$274,908 "
819,Tanga,67 Coupons,3.0% Cash Back,"$54,773 "
820,Taos Footwear,No Coupons Available,5.0% Cash Back,
821,Target,1 Coupon,1.0% Cash Back,"$7,173,265 "
822,Tarte Cosmetics,2 Coupons,Up to 4.0%,"$173,354 "
823,Tatcha,2 Coupons,4.0% Cash Back,
824,Tate's Bake Shop,2 Coupons,4.5% Cash Back,
825,TaxAct,3 Coupons,7.5% Cash Back,"$37,498 "
826,TaylorMade Golf,31 Coupons,3.0% Cash Back,
827,TCM Store,6 Coupons,2.5% Cash Back,"$6,010 "
828,Team Snap,1 Coupon,Up to 10.0%,"$1,525 "
829,Teavana,12 Coupons,3.0% Cash Back,"$116,795 "
830,Tech for Less,2 Coupons,3.5% Cash Back,
831,Tech21,No Coupons Available,5.0% Cash Back,
832,TechRabbit,98 Coupons,2.0% Cash Back,"$1,191 "
833,Ted & Muffy,2 Coupons,4.0% Cash Back,
834,Ted Baker,3 Coupons,1.0% Cash Back,
835,TeeFury,No Coupons Available,5.0% Cash Back,"$4,907 "
836,Teleflora Flowers,8 Coupons,5.0% Cash Back,
837,Temptu,3 Coupons,5.0% Cash Back,
838,TennisExpress.com,21 Coupons,Up to 3.0%,"$45,293 "
839,Tervis,4 Coupons,4.0% Cash Back,"$71,829 "
840,TestTube,1 Coupon,$5.00 Cash Back,
841,Teva,No Coupons Available,5.0% Cash Back,"$26,090 "
842,Texas State University Colloquium Bookstore,6 Coupons,1.0% Cash Back,
843,Textbooks.com,4 Coupons,3.0% Cash Back,"$79,085 "
844,TextbookUnderground,2 Coupons,4.0% Cash Back,"$7,136 "
845,TextbookX.com,4 Coupons,2.5% Cash Back,"$8,060 "
846,Texture,No Coupons Available,$10.00 Cash Back,"$11,999 "
847,TGW.com,12 Coupons,3.25% Cash Back,
848,Theory,3 Coupons,3.0% Cash Back
