store,coupon,discount,total
Blank NYC,1 Coupon,3.5% Cash Back,
Blendtec,3 Coupons,7.5% Cash Back,
Blessed Herbs,3 Coupons,5.0% Cash Back,
Blinds.com,3 Coupons,3.5% Cash Back was 2.5%,
BlindSaver.com,6 Coupons,3.0% Cash Back,
Bling Jewelry,2 Coupons,3.5% Cash Back,"$1,979 "
BLINQ,18 Coupons,Up to 3.0%,"$7,270 "
Bliss,6 Coupons,4.0% Cash Back,
Bloom and Wild,No Coupons Available,2.5% Cash Back,
Bloomingdale's,47 Coupons,3.0% Cash Back,
BloomThat,3 Coupons,25.0% Cash Back was 5.0%,
BluCigs,No Coupons Available,7.5% Cash Back,"$33,700 "
Blue Apron,6 Coupons,$7.50 Cash Back,
Blue Mountain,5 Coupons,15.0% Cash Back,"$1,162 "
Blue Nile,1 Coupon,1.0% Cash Back,
Blue&Cream,No Coupons Available,5.0% Cash Back was 3.5%,
Bluefly,3 Coupons,Coupons Only,
Bluehost,3 Coupons,$10.00 Cash Back,
bluemercury,14 Coupons,6.0% Cash Back,
Boardwalk Buy,1 Coupon,5.0% Cash Back,"$2,100 "
Bob's Stores,18 Coupons,2.5% Cash Back,"$3,824 "
Bobbi Brown Cosmetics,2 Coupons,8.0% Cash Back was 4.0%,"$307,234 "
Boden,1 Coupon,4.0% Cash Back was 2.0%,"$802,199 "
Body Beast,No Coupons Available,5.0% Cash Back,
The Body Shop,7 Coupons,12.0% Cash Back was 4.0%,"$714,429 "
Bogner,2 Coupons,4.0% Cash Back,
Bogs Footwear,2 Coupons,3.5% Cash Back,"$6,339 "
Bon-Ton,36 Coupons,2.0% Cash Back,"$305,756 "
Bonanza,2 Coupons,2.5% Cash Back,"$9,228 "
Bond No. 9,4 Coupons,3.0% Cash Back,
Bonobos,7 Coupons,1.5% Cash Back,
boohoo.com,2 Coupons,3.5% Cash Back,"$52,740 "
boohooMan,2 Coupons,5.0% Cash Back,
The Book Depository,1 Coupon,2.5% Cash Back,"$10,147 "
